YouTube Search interest: nelly
United States; Jan 2008 - Jul 2015

Interest over time
Week,nelly
2009-08-02 - 2009-08-08,21
2009-08-09 - 2009-08-15,22
2009-08-16 - 2009-08-22,21
2009-08-23 - 2009-08-29,21
2009-08-30 - 2009-09-05,23
2009-09-06 - 2009-09-12,22
2009-09-13 - 2009-09-19,23
2009-09-20 - 2009-09-26,24
2009-09-27 - 2009-10-03,23
2009-10-04 - 2009-10-10,23
2009-10-11 - 2009-10-17,23
2009-10-18 - 2009-10-24,24
2009-10-25 - 2009-10-31,22
2009-11-01 - 2009-11-07,23
2009-11-08 - 2009-11-14,21
2009-11-15 - 2009-11-21,21
2009-11-22 - 2009-11-28,21
2009-11-29 - 2009-12-05,22
2009-12-06 - 2009-12-12,22
2009-12-13 - 2009-12-19,22
2009-12-20 - 2009-12-26,21
2009-12-27 - 2010-01-02,21
2010-01-03 - 2010-01-09,21
2010-01-10 - 2010-01-16,21
2010-01-17 - 2010-01-23,21
2010-01-24 - 2010-01-30,21
2010-01-31 - 2010-02-06,21
2010-02-07 - 2010-02-13,22
2010-02-14 - 2010-02-20,22
2010-02-21 - 2010-02-27,22
2010-02-28 - 2010-03-06,22
2010-03-07 - 2010-03-13,21
2010-03-14 - 2010-03-20,20
2010-03-21 - 2010-03-27,22
2010-03-28 - 2010-04-03,21
2010-04-04 - 2010-04-10,21
2010-04-11 - 2010-04-17,20
2010-04-18 - 2010-04-24,20
2010-04-25 - 2010-05-01,21
2010-05-02 - 2010-05-08,20
2010-05-09 - 2010-05-15,20
2010-05-16 - 2010-05-22,20
2010-05-23 - 2010-05-29,20
2010-05-30 - 2010-06-05,20
2010-06-06 - 2010-06-12,20
2010-06-13 - 2010-06-19,18
2010-06-20 - 2010-06-26,19
2010-06-27 - 2010-07-03,18
2010-07-04 - 2010-07-10,20
2010-07-11 - 2010-07-17,21
2010-07-18 - 2010-07-24,20
2010-07-25 - 2010-07-31,20
2010-08-01 - 2010-08-07,24
2010-08-08 - 2010-08-14,29
2010-08-15 - 2010-08-21,38
2010-08-22 - 2010-08-28,51
2010-08-29 - 2010-09-04,57
2010-09-05 - 2010-09-11,71
2010-09-12 - 2010-09-18,75
2010-09-19 - 2010-09-25,82
2010-09-26 - 2010-10-02,91
2010-10-03 - 2010-10-09,83
2010-10-10 - 2010-10-16,80
2010-10-17 - 2010-10-23,80
2010-10-24 - 2010-10-30,79
2010-10-31 - 2010-11-06,89
2010-11-07 - 2010-11-13,90
2010-11-14 - 2010-11-20,100
2010-11-21 - 2010-11-27,85
2010-11-28 - 2010-12-04,74
2010-12-05 - 2010-12-11,64
2010-12-12 - 2010-12-18,61
2010-12-19 - 2010-12-25,58
2010-12-26 - 2011-01-01,51
2011-01-02 - 2011-01-08,49
2011-01-09 - 2011-01-15,49
2011-01-16 - 2011-01-22,45
2011-01-23 - 2011-01-29,46
2011-01-30 - 2011-02-05,46
2011-02-06 - 2011-02-12,47
2011-02-13 - 2011-02-19,46
2011-02-20 - 2011-02-26,45
2011-02-27 - 2011-03-05,43
2011-03-06 - 2011-03-12,49
2011-03-13 - 2011-03-19,57
2011-03-20 - 2011-03-26,43
2011-03-27 - 2011-04-02,41
2011-04-03 - 2011-04-09,39
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,37
2011-04-24 - 2011-04-30,35
2011-05-01 - 2011-05-07,33
2011-05-08 - 2011-05-14,32
2011-05-15 - 2011-05-21,33
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,31
2011-06-05 - 2011-06-11,30
2011-06-12 - 2011-06-18,29
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,29
2011-07-03 - 2011-07-09,28
2011-07-10 - 2011-07-16,28
2011-07-17 - 2011-07-23,28
2011-07-24 - 2011-07-30,28
2011-07-31 - 2011-08-06,25
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,24
2011-08-21 - 2011-08-27,24
2011-08-28 - 2011-09-03,22
2011-09-04 - 2011-09-10,22
2011-09-11 - 2011-09-17,22
2011-09-18 - 2011-09-24,23
2011-09-25 - 2011-10-01,23
2011-10-02 - 2011-10-08,24
2011-10-09 - 2011-10-15,24
2011-10-16 - 2011-10-22,23
2011-10-23 - 2011-10-29,24
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,23
2011-11-13 - 2011-11-19,22
2011-11-20 - 2011-11-26,22
2011-11-27 - 2011-12-03,21
2011-12-04 - 2011-12-10,20
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,23
2011-12-25 - 2011-12-31,27
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,25
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,23
2012-01-29 - 2012-02-04,24
2012-02-05 - 2012-02-11,23
2012-02-12 - 2012-02-18,21
2012-02-19 - 2012-02-25,22
2012-02-26 - 2012-03-03,22
2012-03-04 - 2012-03-10,22
2012-03-11 - 2012-03-17,23
2012-03-18 - 2012-03-24,22
2012-03-25 - 2012-03-31,20
2012-04-01 - 2012-04-07,20
2012-04-08 - 2012-04-14,21
2012-04-15 - 2012-04-21,21
2012-04-22 - 2012-04-28,20
2012-04-29 - 2012-05-05,20
2012-05-06 - 2012-05-12,21
2012-05-13 - 2012-05-19,19
2012-05-20 - 2012-05-26,20
2012-05-27 - 2012-06-02,20
2012-06-03 - 2012-06-09,20
2012-06-10 - 2012-06-16,18
2012-06-17 - 2012-06-23,18
2012-06-24 - 2012-06-30,19
2012-07-01 - 2012-07-07,17
2012-07-08 - 2012-07-14,18
2012-07-15 - 2012-07-21,19
2012-07-22 - 2012-07-28,19
2012-07-29 - 2012-08-04,17
2012-08-05 - 2012-08-11,16
2012-08-12 - 2012-08-18,17
2012-08-19 - 2012-08-25,17
2012-08-26 - 2012-09-01,17
2012-09-02 - 2012-09-08,17
2012-09-09 - 2012-09-15,18
2012-09-16 - 2012-09-22,19
2012-09-23 - 2012-09-29,18
2012-09-30 - 2012-10-06,19
2012-10-07 - 2012-10-13,17
2012-10-14 - 2012-10-20,17
2012-10-21 - 2012-10-27,15
2012-10-28 - 2012-11-03,16
2012-11-04 - 2012-11-10,16
2012-11-11 - 2012-11-17,17
2012-11-18 - 2012-11-24,15
2012-11-25 - 2012-12-01,15
2012-12-02 - 2012-12-08,15
2012-12-09 - 2012-12-15,15
2012-12-16 - 2012-12-22,14
2012-12-23 - 2012-12-29,14
2012-12-30 - 2013-01-05,15
2013-01-06 - 2013-01-12,15
2013-01-13 - 2013-01-19,16
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,17
2013-02-03 - 2013-02-09,18
2013-02-10 - 2013-02-16,18
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,19
2013-03-03 - 2013-03-09,23
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,23
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,24
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,24
2013-04-28 - 2013-05-04,24
2013-05-05 - 2013-05-11,25
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,28
2013-05-26 - 2013-06-01,31
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,26
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,26
2013-07-07 - 2013-07-13,23
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,20
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,20
2013-08-18 - 2013-08-24,18
2013-08-25 - 2013-08-31,18
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,18
2013-09-15 - 2013-09-21,18
2013-09-22 - 2013-09-28,17
2013-09-29 - 2013-10-05,20
2013-10-06 - 2013-10-12,18
2013-10-13 - 2013-10-19,17
2013-10-20 - 2013-10-26,15
2013-10-27 - 2013-11-02,15
2013-11-03 - 2013-11-09,15
2013-11-10 - 2013-11-16,15
2013-11-17 - 2013-11-23,14
2013-11-24 - 2013-11-30,15
2013-12-01 - 2013-12-07,14
2013-12-08 - 2013-12-14,13
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,14
2014-01-19 - 2014-01-25,12
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,11
2014-02-09 - 2014-02-15,11
2014-02-16 - 2014-02-22,12
2014-02-23 - 2014-03-01,12
2014-03-02 - 2014-03-08,11
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,11
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,10
2014-04-06 - 2014-04-12,11
2014-04-13 - 2014-04-19,11
2014-04-20 - 2014-04-26,11
2014-04-27 - 2014-05-03,11
2014-05-04 - 2014-05-10,11
2014-05-11 - 2014-05-17,10
2014-05-18 - 2014-05-24,11
2014-05-25 - 2014-05-31,11
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,10
2014-06-15 - 2014-06-21,10
2014-06-22 - 2014-06-28,9
2014-06-29 - 2014-07-05,9
2014-07-06 - 2014-07-12,10
2014-07-13 - 2014-07-19,10
2014-07-20 - 2014-07-26,10
2014-07-27 - 2014-08-02,12
2014-08-03 - 2014-08-09,10
2014-08-10 - 2014-08-16,9
2014-08-17 - 2014-08-23,10
2014-08-24 - 2014-08-30,10
2014-08-31 - 2014-09-06,9
2014-09-07 - 2014-09-13,9
2014-09-14 - 2014-09-20,10
2014-09-21 - 2014-09-27,9
2014-09-28 - 2014-10-04,9
2014-10-05 - 2014-10-11,9
2014-10-12 - 2014-10-18,9
2014-10-19 - 2014-10-25,9
2014-10-26 - 2014-11-01,9
2014-11-02 - 2014-11-08,10
2014-11-09 - 2014-11-15,8
2014-11-16 - 2014-11-22,8
2014-11-23 - 2014-11-29,8
2014-11-30 - 2014-12-06,8
2014-12-07 - 2014-12-13,9
2014-12-14 - 2014-12-20,8
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,8
2015-01-04 - 2015-01-10,8
2015-01-11 - 2015-01-17,9
2015-01-18 - 2015-01-24,9
2015-01-25 - 2015-01-31,10
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,9
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,9
2015-03-01 - 2015-03-07,9
2015-03-08 - 2015-03-14,8
2015-03-15 - 2015-03-21,8
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,8
2015-04-05 - 2015-04-11,8
2015-04-12 - 2015-04-18,9
2015-04-19 - 2015-04-25,9
2015-04-26 - 2015-05-02,9
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,8
2015-05-17 - 2015-05-23,8
2015-05-24 - 2015-05-30,9
2015-05-31 - 2015-06-06,8
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,7
2015-06-21 - 2015-06-27,8
2015-06-28 - 2015-07-04,7
2015-07-05 - 2015-07-11,7
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,7
2015-07-26 - 2015-08-01,6


Top sub-regions for nelly
Sub-region,nelly
South Dakota,100
Missouri,97
Mississippi,90
North Dakota,85
Kentucky,85
West Virginia,84
Wyoming,80
Ohio,79
Iowa,79
Nebraska,78
Alabama,77
Louisiana,76
Indiana,76
Wisconsin,75
Arkansas,75
South Carolina,74
Kansas,72
Virginia,71
Montana,70
Tennessee,70
New Mexico,70
Georgia,70
North Carolina,69
Michigan,68
Minnesota,67
Maine,66
Texas,64
Illinois,64
Hawaii,64
Oklahoma,64
Pennsylvania,64
Florida,63
District of Columbia,62
Vermont,61
California,61
New York,61
Colorado,61
Arizona,59
New Hampshire,58
Rhode Island,57
Idaho,56
Nevada,55
Maryland,55
Massachusetts,55
Delaware,55
Utah,54
Connecticut,53
Washington,52
New Jersey,51
Alaska,50
Oregon,43


Top metros for nelly
Metro,nelly
St. Louis MO,100
Columbia-Jefferson City MO,99
Minot-Bismarck-Dickinson(Williston) ND,96
Youngstown OH,94
Montgomery (Selma) AL,94
Jackson MS,93
Sioux City IA,93
Sioux Falls(Mitchell) SD,90
Albany GA,90
Lexington KY,88
Traverse City-Cadillac MI,87
Bowling Green KY,87
Evansville IN,86
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,85
Charleston-Huntington WV,84
Lincoln & Hastings-Kearney NE,84
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,83
Springfield MO,83
Florence-Myrtle Beach SC,82
Champaign & Springfield-Decatur IL,82
Chattanooga TN,81
New Orleans LA,80
Louisville KY,80
Little Rock-Pine Bluff AR,80
Green Bay-Appleton WI,80
Columbia SC,79
Macon GA,79
Johnstown-Altoona PA,79
La Crosse-Eau Claire WI,79
Wilkes Barre-Scranton PA,79
Kansas City MO,78
Erie PA,78
Fargo-Valley City ND,78
Des Moines-Ames IA,77
Greenville-New Bern-Washington NC,77
Wichita-Hutchinson KS,77
Ft. Wayne IN,76
Flint-Saginaw-Bay City MI,76
Memphis TN,75
Rockford IL,75
Columbus OH,75
Wausau-Rhinelander WI,75
Tallahassee FL-Thomasville GA,75
Omaha NE,75
Albuquerque-Santa Fe NM,75
Spokane WA,74
Baton Rouge LA,74
Columbus GA,74
Indianapolis IN,74
Tri-Cities TN-VA,74
South Bend-Elkhart IN,74
Huntsville-Decatur (Florence) AL,73
Grand Rapids-Kalamazoo-Battle Creek MI,72
Savannah GA,72
Birmingham AL,72
Dayton OH,72
Mobile AL-Pensacola (Ft. Walton Beach) FL,71
Cincinnati OH,71
Topeka KS,71
Madison WI,71
Lafayette LA,71
Augusta GA,71
Nashville TN,71
Cleveland-Akron (Canton) OH,71
Toledo OH,71
Charlottesville VA,71
Amarillo TX,70
Lansing MI,70
Shreveport LA,70
Davenport IA-Rock Island-Moline IL,69
Washington DC (Hagerstown MD),69
Colorado Springs-Pueblo CO,69
Pittsburgh PA,68
Chico-Redding CA,67
Reno NV,67
Charlotte NC,67
Lubbock TX,67
Portland-Auburn ME,67
Honolulu HI,67
Knoxville TN,67
Rochester MN-Mason City IA-Austin MN,67
Greenville-Spartanburg SC-Asheville NC-Anderson SC,66
Greensboro-High Point-Winston Salem NC,66
Raleigh-Durham (Fayetteville) NC,66
Atlanta GA,66
Milwaukee WI,65
Gainesville FL,65
Yakima-Pasco-Richland-Kennewick WA,65
Binghamton NY,64
Tyler-Longview(Lufkin & Nacogdoches) TX,64
Tampa-St. Petersburg (Sarasota) FL,64
San Francisco-Oakland-San Jose CA,64
Syracuse NY,64
Palm Springs CA,64
Oklahoma City OK,64
Charleston SC,64
West Palm Beach-Ft. Pierce FL,64
Dallas-Ft. Worth TX,63
Philadelphia PA,63
Corpus Christi TX,63
Minneapolis-St. Paul MN,63
Peoria-Bloomington IL,62
Ft. Myers-Naples FL,62
San Antonio TX,62
Albany-Schenectady-Troy NY,61
Boise ID,61
Harrisburg-Lancaster-Lebanon-York PA,61
Bakersfield CA,60
Roanoke-Lynchburg VA,60
Detroit MI,60
Los Angeles CA,60
Phoenix AZ,60
Boston MA-Manchester NH,60
Buffalo NY,60
Wilmington NC,60
Fresno-Visalia CA,60
Providence RI-New Bedford MA,60
Tucson (Sierra Vista) AZ,59
Chicago IL,59
El Paso TX,59
Denver CO,59
Waco-Temple-Bryan TX,59
Ft. Smith-Fayetteville-Springdale-Rogers AR,59
Orlando-Daytona Beach-Melbourne FL,59
Burlington VT-Plattsburgh NY,58
New York NY,58
Jacksonville FL,58
Sacramento-Stockton-Modesto CA,56
Las Vegas NV,56
Eugene OR,56
Hartford & New Haven CT,56
Houston TX,56
Rochester NY,55
Baltimore MD,55
Tulsa OK,55
Anchorage AK,55
Springfield-Holyoke MA,54
Austin TX,53
Miami-Ft. Lauderdale FL,53
Seattle-Tacoma WA,53
Harlingen-Weslaco-Brownsville-McAllen TX,52
Salt Lake City UT,52
Richmond-Petersburg VA,50
San Diego CA,49
Norfolk-Portsmouth-Newport News VA,49
Santa Barbara-Santa Maria-San Luis Obispo CA,48
Monterey-Salinas CA,44
Portland OR,41
Utica NY,0
Bangor ME,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for nelly
Town/City,nelly
St. Louis,100
Milpitas,75
Sterling,74
Atlanta,69
Richardson,68
Indianapolis,66
Columbus,65
Tampa,64
Chicago,59
Minneapolis,58
Miami,58
Los Angeles,58
Phoenix,58
Orlando,58
Dallas,57



Top searches for nelly
dream nelly,100
nelly furtado,100
dream,100
just dream nelly,95
just a dream,95
dilemma,25
dilemma nelly,25
the dream,20
over and over,20
nelly gone,20
nelly furtado promiscuous,20
gone,20
cruise nelly,20
cruise,20
tim mcgraw,15
kelly rowland,15
nelly and kelly,15
usher,15
country grammar nelly,15
nelly kelly dilemma,15
akon,15
cruise remix nelly,10
boom nelly,10
boom,10
grillz,10
grillz nelly,10
nelly live,10
ashanti,10
50 cent,10
tip drill,10
tip drill nelly,10
justin timberlake,10
florida georgia line,5
ludacris,5
timbaland,5
maneater nelly furtado,5
nelly 2010,5
body on me,5
fergie,5
ciara,5
nelly porsche,5



Rising searches for nelly
cruise,Breakout
cruise nelly,Breakout
just a dream,Breakout
just dream nelly,Breakout
dream nelly,+3,100%
dream,+3,000%
gone,+950%
the dream,+850%
nelly gone,+750%
dilemma nelly,+600%



