YouTube Search interest: omarion
United States; Jan 2008 - Jul 2015

Interest over time
Week,omarion
2010-01-31 - 2010-02-06,80
2010-02-07 - 2010-02-13,80
2010-02-14 - 2010-02-20,79
2010-02-21 - 2010-02-27,94
2010-02-28 - 2010-03-06,100
2010-03-07 - 2010-03-13,86
2010-03-14 - 2010-03-20,84
2010-03-21 - 2010-03-27,78
2010-03-28 - 2010-04-03,73
2010-04-04 - 2010-04-10,64
2010-04-11 - 2010-04-17,62
2010-04-18 - 2010-04-24,58
2010-04-25 - 2010-05-01,53
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,43
2010-05-16 - 2010-05-22,44
2010-05-23 - 2010-05-29,40
2010-05-30 - 2010-06-05,42
2010-06-06 - 2010-06-12,35
2010-06-13 - 2010-06-19,35
2010-06-20 - 2010-06-26,35
2010-06-27 - 2010-07-03,34
2010-07-04 - 2010-07-10,30
2010-07-11 - 2010-07-17,32
2010-07-18 - 2010-07-24,30
2010-07-25 - 2010-07-31,31
2010-08-01 - 2010-08-07,31
2010-08-08 - 2010-08-14,26
2010-08-15 - 2010-08-21,26
2010-08-22 - 2010-08-28,25
2010-08-29 - 2010-09-04,27
2010-09-05 - 2010-09-11,27
2010-09-12 - 2010-09-18,25
2010-09-19 - 2010-09-25,26
2010-09-26 - 2010-10-02,26
2010-10-03 - 2010-10-09,26
2010-10-10 - 2010-10-16,25
2010-10-17 - 2010-10-23,29
2010-10-24 - 2010-10-30,22
2010-10-31 - 2010-11-06,25
2010-11-07 - 2010-11-13,23
2010-11-14 - 2010-11-20,25
2010-11-21 - 2010-11-27,25
2010-11-28 - 2010-12-04,23
2010-12-05 - 2010-12-11,20
2010-12-12 - 2010-12-18,20
2010-12-19 - 2010-12-25,24
2010-12-26 - 2011-01-01,24
2011-01-02 - 2011-01-08,26
2011-01-09 - 2011-01-15,31
2011-01-16 - 2011-01-22,28
2011-01-23 - 2011-01-29,29
2011-01-30 - 2011-02-05,30
2011-02-06 - 2011-02-12,28
2011-02-13 - 2011-02-19,27
2011-02-20 - 2011-02-26,27
2011-02-27 - 2011-03-05,26
2011-03-06 - 2011-03-12,29
2011-03-13 - 2011-03-19,32
2011-03-20 - 2011-03-26,26
2011-03-27 - 2011-04-02,29
2011-04-03 - 2011-04-09,28
2011-04-10 - 2011-04-16,27
2011-04-17 - 2011-04-23,27
2011-04-24 - 2011-04-30,26
2011-05-01 - 2011-05-07,23
2011-05-08 - 2011-05-14,27
2011-05-15 - 2011-05-21,26
2011-05-22 - 2011-05-28,23
2011-05-29 - 2011-06-04,24
2011-06-05 - 2011-06-11,24
2011-06-12 - 2011-06-18,23
2011-06-19 - 2011-06-25,28
2011-06-26 - 2011-07-02,23
2011-07-03 - 2011-07-09,24
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,22
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,28
2011-08-07 - 2011-08-13,26
2011-08-14 - 2011-08-20,23
2011-08-21 - 2011-08-27,22
2011-08-28 - 2011-09-03,21
2011-09-04 - 2011-09-10,21
2011-09-11 - 2011-09-17,21
2011-09-18 - 2011-09-24,22
2011-09-25 - 2011-10-01,20
2011-10-02 - 2011-10-08,20
2011-10-09 - 2011-10-15,19
2011-10-16 - 2011-10-22,20
2011-10-23 - 2011-10-29,19
2011-10-30 - 2011-11-05,19
2011-11-06 - 2011-11-12,18
2011-11-13 - 2011-11-19,18
2011-11-20 - 2011-11-26,17
2011-11-27 - 2011-12-03,17
2011-12-04 - 2011-12-10,16
2011-12-11 - 2011-12-17,16
2011-12-18 - 2011-12-24,14
2011-12-25 - 2011-12-31,15
2012-01-01 - 2012-01-07,16
2012-01-08 - 2012-01-14,15
2012-01-15 - 2012-01-21,19
2012-01-22 - 2012-01-28,17
2012-01-29 - 2012-02-04,17
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,17
2012-02-19 - 2012-02-25,14
2012-02-26 - 2012-03-03,16
2012-03-04 - 2012-03-10,15
2012-03-11 - 2012-03-17,15
2012-03-18 - 2012-03-24,15
2012-03-25 - 2012-03-31,14
2012-04-01 - 2012-04-07,15
2012-04-08 - 2012-04-14,14
2012-04-15 - 2012-04-21,12
2012-04-22 - 2012-04-28,14
2012-04-29 - 2012-05-05,18
2012-05-06 - 2012-05-12,18
2012-05-13 - 2012-05-19,17
2012-05-20 - 2012-05-26,18
2012-05-27 - 2012-06-02,16
2012-06-03 - 2012-06-09,17
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,14
2012-06-24 - 2012-06-30,26
2012-07-01 - 2012-07-07,26
2012-07-08 - 2012-07-14,23
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,29
2012-08-05 - 2012-08-11,27
2012-08-12 - 2012-08-18,30
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,28
2012-09-09 - 2012-09-15,28
2012-09-16 - 2012-09-22,27
2012-09-23 - 2012-09-29,29
2012-09-30 - 2012-10-06,29
2012-10-07 - 2012-10-13,32
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,24
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,23
2012-11-11 - 2012-11-17,28
2012-11-18 - 2012-11-24,27
2012-11-25 - 2012-12-01,29
2012-12-02 - 2012-12-08,29
2012-12-09 - 2012-12-15,32
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,31
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,37
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,34
2013-02-10 - 2013-02-16,35
2013-02-17 - 2013-02-23,34
2013-02-24 - 2013-03-02,30
2013-03-03 - 2013-03-09,31
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,33
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,28
2013-04-14 - 2013-04-20,25
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,26
2013-05-05 - 2013-05-11,20
2013-05-12 - 2013-05-18,20
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,19
2013-06-02 - 2013-06-08,17
2013-06-09 - 2013-06-15,17
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,16
2013-06-30 - 2013-07-06,15
2013-07-07 - 2013-07-13,13
2013-07-14 - 2013-07-20,15
2013-07-21 - 2013-07-27,13
2013-07-28 - 2013-08-03,12
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,17
2013-08-25 - 2013-08-31,14
2013-09-01 - 2013-09-07,14
2013-09-08 - 2013-09-14,14
2013-09-15 - 2013-09-21,19
2013-09-22 - 2013-09-28,17
2013-09-29 - 2013-10-05,16
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,15
2013-10-20 - 2013-10-26,14
2013-10-27 - 2013-11-02,16
2013-11-03 - 2013-11-09,18
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,18
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,17
2013-12-15 - 2013-12-21,14
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,15
2014-01-05 - 2014-01-11,15
2014-01-12 - 2014-01-18,13
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,13
2014-02-02 - 2014-02-08,14
2014-02-09 - 2014-02-15,12
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,13
2014-03-02 - 2014-03-08,14
2014-03-09 - 2014-03-15,13
2014-03-16 - 2014-03-22,13
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,12
2014-04-06 - 2014-04-12,14
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,12
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,14
2014-05-11 - 2014-05-17,12
2014-05-18 - 2014-05-24,13
2014-05-25 - 2014-05-31,11
2014-06-01 - 2014-06-07,11
2014-06-08 - 2014-06-14,11
2014-06-15 - 2014-06-21,10
2014-06-22 - 2014-06-28,9
2014-06-29 - 2014-07-05,9
2014-07-06 - 2014-07-12,9
2014-07-13 - 2014-07-19,8
2014-07-20 - 2014-07-26,8
2014-07-27 - 2014-08-02,7
2014-08-03 - 2014-08-09,9
2014-08-10 - 2014-08-16,8
2014-08-17 - 2014-08-23,7
2014-08-24 - 2014-08-30,8
2014-08-31 - 2014-09-06,8
2014-09-07 - 2014-09-13,8
2014-09-14 - 2014-09-20,11
2014-09-21 - 2014-09-27,9
2014-09-28 - 2014-10-04,9
2014-10-05 - 2014-10-11,10
2014-10-12 - 2014-10-18,9
2014-10-19 - 2014-10-25,9
2014-10-26 - 2014-11-01,8
2014-11-02 - 2014-11-08,8
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,21
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,38
2014-12-07 - 2014-12-13,45
2014-12-14 - 2014-12-20,30
2014-12-21 - 2014-12-27,31
2014-12-28 - 2015-01-03,32
2015-01-04 - 2015-01-10,34
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,38
2015-01-25 - 2015-01-31,40
2015-02-01 - 2015-02-07,39
2015-02-08 - 2015-02-14,38
2015-02-15 - 2015-02-21,54
2015-02-22 - 2015-02-28,60
2015-03-01 - 2015-03-07,57
2015-03-08 - 2015-03-14,56
2015-03-15 - 2015-03-21,65
2015-03-22 - 2015-03-28,66
2015-03-29 - 2015-04-04,65
2015-04-05 - 2015-04-11,64
2015-04-12 - 2015-04-18,65
2015-04-19 - 2015-04-25,58
2015-04-26 - 2015-05-02,54
2015-05-03 - 2015-05-09,53
2015-05-10 - 2015-05-16,55
2015-05-17 - 2015-05-23,50
2015-05-24 - 2015-05-30,40
2015-05-31 - 2015-06-06,41
2015-06-07 - 2015-06-13,36
2015-06-14 - 2015-06-20,34
2015-06-21 - 2015-06-27,36
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,30
2015-07-19 - 2015-07-25,29
2015-07-26 - 2015-08-01,23


Top sub-regions for omarion
Sub-region,omarion
Mississippi,100
Louisiana,85
New York,81
North Carolina,80
Georgia,80
District of Columbia,76
South Carolina,75
Delaware,72
Maryland,69
Alabama,68
New Jersey,66
Arkansas,62
Pennsylvania,62
Florida,62
Rhode Island,61
Michigan,60
Tennessee,58
Illinois,57
Connecticut,55
Texas,55
Ohio,55
Missouri,55
Virginia,55
Kentucky,48
Indiana,48
Massachusetts,47
Nevada,45
Oklahoma,45
Wisconsin,43
Kansas,43
California,42
Hawaii,39
Arizona,37
Vermont,36
Nebraska,35
Minnesota,35
West Virginia,35
Washington,33
Colorado,33
Iowa,31
New Mexico,31
South Dakota,27
Alaska,26
Maine,24
New Hampshire,23
North Dakota,23
Oregon,21
Idaho,18
Utah,17
Montana,17
Wyoming,0


Top metros for omarion
Metro,omarion
Jackson MS,100
Norfolk-Portsmouth-Newport News VA,76
Memphis TN,74
Columbia SC,67
Richmond-Petersburg VA,65
New York NY,63
New Orleans LA,63
Little Rock-Pine Bluff AR,62
Philadelphia PA,58
Raleigh-Durham (Fayetteville) NC,56
Atlanta GA,56
Charlotte NC,54
Detroit MI,52
Jacksonville FL,51
Rochester NY,50
Baltimore MD,49
Greensboro-High Point-Winston Salem NC,47
West Palm Beach-Ft. Pierce FL,46
Miami-Ft. Lauderdale FL,45
Milwaukee WI,45
Birmingham AL,45
Buffalo NY,45
Dallas-Ft. Worth TX,45
Chicago IL,44
St. Louis MO,44
Kansas City MO,43
Hartford & New Haven CT,43
Tampa-St. Petersburg (Sarasota) FL,42
Houston TX,42
Louisville KY,41
Washington DC (Hagerstown MD),41
Orlando-Daytona Beach-Melbourne FL,41
Cleveland-Akron (Canton) OH,40
Providence RI-New Bedford MA,40
Greenville-Spartanburg SC-Asheville NC-Anderson SC,39
Cincinnati OH,38
Las Vegas NV,38
Indianapolis IN,37
Columbus OH,37
Los Angeles CA,36
Sacramento-Stockton-Modesto CA,35
San Antonio TX,33
Nashville TN,32
Boston MA-Manchester NH,32
Seattle-Tacoma WA,28
Pittsburgh PA,28
Phoenix AZ,27
San Francisco-Oakland-San Jose CA,27
Austin TX,27
Minneapolis-St. Paul MN,27
San Diego CA,25
Denver CO,21
Portland OR,14
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for omarion
Town/City,omarion
Jackson,100
Memphis,95
Detroit,93
New York,84
Philadelphia,82
Atlanta,76
Baltimore,75
Newark,71
Reston,66
Charlotte,66
Washington,66
Richardson,62
Raleigh,60
Jacksonville,59
Chicago,58



Top searches for omarion
omarion ice box,100
ice box,100
o omarion,90
bow wow omarion,90
bow wow,90
mia omarion,80
mia,80
omarion lil wayne,80
get it in,75
post to be,70
speedin,65
omarion speedin,65
speeding omarion,60
speeding,60
touch omarion,55
new omarion,45
mia omarion wale,45
girlfriend omarion,30
marques houston,25
omarion rick ross,25
omarion dancing,25
omarion live,20
jhene aiko,20
bow wow girlfriend,20
b2k,20
omarion icebox,20
m.i.a omarion,15
m.i.a,15
o omarion lyrics,15
lets talk omarion,15
omarion freestyle,15
wet omarion,15
omarion mia lyrics,15
speedin omarion lyrics,15
entourage omarion,15
entourage,10



Rising searches for omarion
get it in,Breakout
mia,Breakout
mia omarion,Breakout
omarion speedin,Breakout
post to be,Breakout
speedin,Breakout
speeding,Breakout
speeding omarion,Breakout
omarion ice box,+400%
ice box,+350%



