YouTube Search interest: muse
United States; Jan 2008 - Jul 2015

Interest over time
Week,muse
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,20
2014-12-07 - 2014-12-13,20
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,17
2015-01-04 - 2015-01-10,18
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,20
2015-02-01 - 2015-02-07,20
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,19
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,34
2015-03-15 - 2015-03-21,32
2015-03-22 - 2015-03-28,34
2015-03-29 - 2015-04-04,31
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,26
2015-04-26 - 2015-05-02,28
2015-05-03 - 2015-05-09,26
2015-05-10 - 2015-05-16,30
2015-05-17 - 2015-05-23,31
2015-05-24 - 2015-05-30,31
2015-05-31 - 2015-06-06,38
2015-06-07 - 2015-06-13,44
2015-06-14 - 2015-06-20,34
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,29
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,26
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,27


Top sub-regions for muse
Sub-region,muse
Utah,100
California,97
Virginia,80
Arizona,78
Washington,78
Texas,78
Colorado,77
Missouri,76
Pennsylvania,73
Ohio,72
Oregon,71
Kansas,71
Wisconsin,70
Indiana,70
New Mexico,70
Idaho,70
Illinois,70
Oklahoma,67
Nevada,67
Minnesota,66
Michigan,66
District of Columbia,66
Rhode Island,64
New Jersey,63
Maine,63
Massachusetts,63
Alaska,63
New Hampshire,62
Vermont,61
New York,61
Connecticut,61
Iowa,59
Maryland,59
South Dakota,59
Tennessee,59
Kentucky,59
North Dakota,58
Delaware,58
Montana,58
Nebraska,56
Wyoming,55
North Carolina,55
Florida,54
Arkansas,53
Georgia,52
South Carolina,50
Hawaii,48
Louisiana,47
Alabama,46
West Virginia,45
Mississippi,42


Top metros for muse
Metro,muse
Los Angeles CA,100
Austin TX,97
Salt Lake City UT,96
San Diego CA,91
Tucson (Sierra Vista) AZ,89
San Francisco-Oakland-San Jose CA,85
Green Bay-Appleton WI,85
Seattle-Tacoma WA,83
Washington DC (Hagerstown MD),82
Dallas-Ft. Worth TX,82
Cincinnati OH,80
Colorado Springs-Pueblo CO,79
Portland OR,79
Tulsa OK,79
Denver CO,78
St. Louis MO,77
Kansas City MO,76
Phoenix AZ,75
Santa Barbara-Santa Maria-San Luis Obispo CA,75
Philadelphia PA,74
Champaign & Springfield-Decatur IL,74
Milwaukee WI,72
Pittsburgh PA,71
Des Moines-Ames IA,71
Indianapolis IN,71
Portland-Auburn ME,71
Grand Rapids-Kalamazoo-Battle Creek MI,70
Columbus OH,70
El Paso TX,69
Waco-Temple-Bryan TX,69
Minneapolis-St. Paul MN,69
Albuquerque-Santa Fe NM,69
Rochester NY,69
Buffalo NY,68
Boston MA-Manchester NH,68
Las Vegas NV,68
Nashville TN,68
Wichita-Hutchinson KS,67
Hartford & New Haven CT,67
Sacramento-Stockton-Modesto CA,67
San Antonio TX,67
Toledo OH,66
Detroit MI,66
Chicago IL,66
Houston TX,66
Providence RI-New Bedford MA,65
Louisville KY,65
Albany-Schenectady-Troy NY,64
Spokane WA,64
Norfolk-Portsmouth-Newport News VA,63
New York NY,63
Madison WI,62
Cleveland-Akron (Canton) OH,61
Harlingen-Weslaco-Brownsville-McAllen TX,61
Harrisburg-Lancaster-Lebanon-York PA,61
Jacksonville FL,61
Richmond-Petersburg VA,61
Syracuse NY,61
Fresno-Visalia CA,61
Baltimore MD,60
Greenville-Spartanburg SC-Asheville NC-Anderson SC,59
Tampa-St. Petersburg (Sarasota) FL,59
Dayton OH,59
Wilkes Barre-Scranton PA,58
Atlanta GA,57
Oklahoma City OK,57
New Orleans LA,56
Charlotte NC,56
Orlando-Daytona Beach-Melbourne FL,55
Greensboro-High Point-Winston Salem NC,54
Raleigh-Durham (Fayetteville) NC,54
Honolulu HI,50
Birmingham AL,46
West Palm Beach-Ft. Pierce FL,46
Miami-Ft. Lauderdale FL,45
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for muse
Town/City,muse
Irvine,100
Los Angeles,95
Milpitas,87
Salt Lake City,86
Sterling,82
Austin,80
Richardson,76
San Diego,74
Tucson,71
Seattle,71
St. Louis,67
Portland,65
Phoenix,65
San Francisco,65
Denver,63



Top searches for muse
the muse,100
uprising,55
muse uprising,55
madness,50
muse madness,45
muse lyrics,40
muse live,30
muse starlight,30
supermassive black hole,25
muse hysteria,20
hysteria,20
muse resistance,15
knights of cydonia,15
the muse uprising,15
undisclosed desires,15
undisclosed desires muse,15
muse cover,10
the muse madness,10
feeling good muse,10
feeling good,10
madness muse lyrics,10
muse uprising lyrics,10
muse the resistance,5
muse remix,5
muse twilight,5
muse album,5
stockholm syndrome muse,5
neutron star collision,5
plug in baby,5
new born muse,5
panic station muse,5
bliss muse,5
muse wembley,5
assassin muse,5
unintended muse,5
muse survival,5
starlight muse lyrics,5
muse acoustic,5
muse full album,5
muse invincible,5
muse dubstep,5
muse 2nd law,5
supremacy muse,5



Rising searches for muse
madness,Breakout
muse lyrics,Breakout
muse madness,Breakout
muse resistance,Breakout
muse uprising,Breakout
the muse uprising,Breakout
undisclosed desires,Breakout
undisclosed desires muse,Breakout
uprising,Breakout
supermassive black hole,+600%



