YouTube Search interest: justin bieber
United States; Jan 2008 - Jul 2015

Interest over time
Week,justin bieber
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,1
2009-06-07 - 2009-06-13,1
2009-06-14 - 2009-06-20,2
2009-06-21 - 2009-06-27,2
2009-06-28 - 2009-07-04,2
2009-07-05 - 2009-07-11,3
2009-07-12 - 2009-07-18,4
2009-07-19 - 2009-07-25,4
2009-07-26 - 2009-08-01,7
2009-08-02 - 2009-08-08,8
2009-08-09 - 2009-08-15,8
2009-08-16 - 2009-08-22,10
2009-08-23 - 2009-08-29,10
2009-08-30 - 2009-09-05,11
2009-09-06 - 2009-09-12,11
2009-09-13 - 2009-09-19,12
2009-09-20 - 2009-09-26,13
2009-09-27 - 2009-10-03,13
2009-10-04 - 2009-10-10,16
2009-10-11 - 2009-10-17,20
2009-10-18 - 2009-10-24,17
2009-10-25 - 2009-10-31,19
2009-11-01 - 2009-11-07,24
2009-11-08 - 2009-11-14,28
2009-11-15 - 2009-11-21,33
2009-11-22 - 2009-11-28,37
2009-11-29 - 2009-12-05,27
2009-12-06 - 2009-12-12,25
2009-12-13 - 2009-12-19,25
2009-12-20 - 2009-12-26,28
2009-12-27 - 2010-01-02,29
2010-01-03 - 2010-01-09,26
2010-01-10 - 2010-01-16,24
2010-01-17 - 2010-01-23,27
2010-01-24 - 2010-01-30,28
2010-01-31 - 2010-02-06,31
2010-02-07 - 2010-02-13,33
2010-02-14 - 2010-02-20,40
2010-02-21 - 2010-02-27,54
2010-02-28 - 2010-03-06,55
2010-03-07 - 2010-03-13,58
2010-03-14 - 2010-03-20,66
2010-03-21 - 2010-03-27,76
2010-03-28 - 2010-04-03,100
2010-04-04 - 2010-04-10,80
2010-04-11 - 2010-04-17,77
2010-04-18 - 2010-04-24,72
2010-04-25 - 2010-05-01,70
2010-05-02 - 2010-05-08,73
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,69
2010-05-23 - 2010-05-29,68
2010-05-30 - 2010-06-05,68
2010-06-06 - 2010-06-12,66
2010-06-13 - 2010-06-19,69
2010-06-20 - 2010-06-26,68
2010-06-27 - 2010-07-03,61
2010-07-04 - 2010-07-10,61
2010-07-11 - 2010-07-17,60
2010-07-18 - 2010-07-24,59
2010-07-25 - 2010-07-31,55
2010-08-01 - 2010-08-07,52
2010-08-08 - 2010-08-14,61
2010-08-15 - 2010-08-21,58
2010-08-22 - 2010-08-28,51
2010-08-29 - 2010-09-04,51
2010-09-05 - 2010-09-11,50
2010-09-12 - 2010-09-18,51
2010-09-19 - 2010-09-25,46
2010-09-26 - 2010-10-02,46
2010-10-03 - 2010-10-09,46
2010-10-10 - 2010-10-16,45
2010-10-17 - 2010-10-23,40
2010-10-24 - 2010-10-30,38
2010-10-31 - 2010-11-06,38
2010-11-07 - 2010-11-13,39
2010-11-14 - 2010-11-20,36
2010-11-21 - 2010-11-27,46
2010-11-28 - 2010-12-04,39
2010-12-05 - 2010-12-11,36
2010-12-12 - 2010-12-18,38
2010-12-19 - 2010-12-25,41
2010-12-26 - 2011-01-01,43
2011-01-02 - 2011-01-08,38
2011-01-09 - 2011-01-15,37
2011-01-16 - 2011-01-22,41
2011-01-23 - 2011-01-29,40
2011-01-30 - 2011-02-05,49
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,88
2011-02-20 - 2011-02-26,82
2011-02-27 - 2011-03-05,69
2011-03-06 - 2011-03-12,60
2011-03-13 - 2011-03-19,62
2011-03-20 - 2011-03-26,55
2011-03-27 - 2011-04-02,52
2011-04-03 - 2011-04-09,49
2011-04-10 - 2011-04-16,42
2011-04-17 - 2011-04-23,44
2011-04-24 - 2011-04-30,40
2011-05-01 - 2011-05-07,38
2011-05-08 - 2011-05-14,38
2011-05-15 - 2011-05-21,43
2011-05-22 - 2011-05-28,44
2011-05-29 - 2011-06-04,42
2011-06-05 - 2011-06-11,46
2011-06-12 - 2011-06-18,44
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,46
2011-07-03 - 2011-07-09,42
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,40
2011-07-24 - 2011-07-30,40
2011-07-31 - 2011-08-06,39
2011-08-07 - 2011-08-13,38
2011-08-14 - 2011-08-20,35
2011-08-21 - 2011-08-27,34
2011-08-28 - 2011-09-03,36
2011-09-04 - 2011-09-10,31
2011-09-11 - 2011-09-17,28
2011-09-18 - 2011-09-24,28
2011-09-25 - 2011-10-01,29
2011-10-02 - 2011-10-08,29
2011-10-09 - 2011-10-15,29
2011-10-16 - 2011-10-22,38
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,49
2011-11-06 - 2011-11-12,45
2011-11-13 - 2011-11-19,37
2011-11-20 - 2011-11-26,51
2011-11-27 - 2011-12-03,47
2011-12-04 - 2011-12-10,47
2011-12-11 - 2011-12-17,44
2011-12-18 - 2011-12-24,54
2011-12-25 - 2011-12-31,42
2012-01-01 - 2012-01-07,30
2012-01-08 - 2012-01-14,26
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,23
2012-01-29 - 2012-02-04,20
2012-02-05 - 2012-02-11,20
2012-02-12 - 2012-02-18,19
2012-02-19 - 2012-02-25,21
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,21
2012-03-11 - 2012-03-17,19
2012-03-18 - 2012-03-24,19
2012-03-25 - 2012-03-31,47
2012-04-01 - 2012-04-07,44
2012-04-08 - 2012-04-14,44
2012-04-15 - 2012-04-21,48
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,51
2012-05-13 - 2012-05-19,40
2012-05-20 - 2012-05-26,39
2012-05-27 - 2012-06-02,44
2012-06-03 - 2012-06-09,41
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,40
2012-07-01 - 2012-07-07,34
2012-07-08 - 2012-07-14,34
2012-07-15 - 2012-07-21,32
2012-07-22 - 2012-07-28,34
2012-07-29 - 2012-08-04,47
2012-08-05 - 2012-08-11,44
2012-08-12 - 2012-08-18,41
2012-08-19 - 2012-08-25,35
2012-08-26 - 2012-09-01,34
2012-09-02 - 2012-09-08,33
2012-09-09 - 2012-09-15,32
2012-09-16 - 2012-09-22,31
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,36
2012-10-07 - 2012-10-13,37
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,31
2012-10-28 - 2012-11-03,30
2012-11-04 - 2012-11-10,30
2012-11-11 - 2012-11-17,31
2012-11-18 - 2012-11-24,37
2012-11-25 - 2012-12-01,32
2012-12-02 - 2012-12-08,29
2012-12-09 - 2012-12-15,28
2012-12-16 - 2012-12-22,30
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,25
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,23
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,25
2013-02-10 - 2013-02-16,24
2013-02-17 - 2013-02-23,20
2013-02-24 - 2013-03-02,21
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,18
2013-04-07 - 2013-04-13,17
2013-04-14 - 2013-04-20,19
2013-04-21 - 2013-04-27,19
2013-04-28 - 2013-05-04,18
2013-05-05 - 2013-05-11,18
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,22
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,17
2013-06-09 - 2013-06-15,16
2013-06-16 - 2013-06-22,16
2013-06-23 - 2013-06-29,16
2013-06-30 - 2013-07-06,15
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,14
2013-07-21 - 2013-07-27,13
2013-07-28 - 2013-08-03,15
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,13
2013-08-25 - 2013-08-31,14
2013-09-01 - 2013-09-07,13
2013-09-08 - 2013-09-14,11
2013-09-15 - 2013-09-21,15
2013-09-22 - 2013-09-28,14
2013-09-29 - 2013-10-05,12
2013-10-06 - 2013-10-12,18
2013-10-13 - 2013-10-19,16
2013-10-20 - 2013-10-26,15
2013-10-27 - 2013-11-02,14
2013-11-03 - 2013-11-09,16
2013-11-10 - 2013-11-16,15
2013-11-17 - 2013-11-23,16
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,18
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,16
2014-01-05 - 2014-01-11,15
2014-01-12 - 2014-01-18,14
2014-01-19 - 2014-01-25,18
2014-01-26 - 2014-02-01,21
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,14
2014-03-02 - 2014-03-08,12
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,13
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,10
2014-04-06 - 2014-04-12,10
2014-04-13 - 2014-04-19,10
2014-04-20 - 2014-04-26,10
2014-04-27 - 2014-05-03,9
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,9
2014-05-18 - 2014-05-24,9
2014-05-25 - 2014-05-31,9
2014-06-01 - 2014-06-07,10
2014-06-08 - 2014-06-14,8
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,7
2014-06-29 - 2014-07-05,7
2014-07-06 - 2014-07-12,7
2014-07-13 - 2014-07-19,7
2014-07-20 - 2014-07-26,7
2014-07-27 - 2014-08-02,8
2014-08-03 - 2014-08-09,7
2014-08-10 - 2014-08-16,7
2014-08-17 - 2014-08-23,7
2014-08-24 - 2014-08-30,6
2014-08-31 - 2014-09-06,6
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,6
2014-09-21 - 2014-09-27,6
2014-09-28 - 2014-10-04,5
2014-10-05 - 2014-10-11,5
2014-10-12 - 2014-10-18,6
2014-10-19 - 2014-10-25,6
2014-10-26 - 2014-11-01,5
2014-11-02 - 2014-11-08,6
2014-11-09 - 2014-11-15,7
2014-11-16 - 2014-11-22,6
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,6
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,7
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,6
2015-01-04 - 2015-01-10,5
2015-01-11 - 2015-01-17,5
2015-01-18 - 2015-01-24,9
2015-01-25 - 2015-01-31,6
2015-02-01 - 2015-02-07,6
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,6
2015-02-22 - 2015-02-28,6
2015-03-01 - 2015-03-07,6
2015-03-08 - 2015-03-14,6
2015-03-15 - 2015-03-21,11
2015-03-22 - 2015-03-28,7
2015-03-29 - 2015-04-04,24
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,8
2015-04-26 - 2015-05-02,8
2015-05-03 - 2015-05-09,8
2015-05-10 - 2015-05-16,8
2015-05-17 - 2015-05-23,10
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,9
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,8
2015-06-21 - 2015-06-27,8
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,9
2015-07-12 - 2015-07-18,9
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,8


Top sub-regions for justin bieber
Sub-region,justin bieber
South Dakota,100
Ohio,99
Arizona,98
Indiana,97
Texas,96
Kentucky,96
California,94
Florida,94
Missouri,94
Minnesota,94
Iowa,93
Michigan,93
New Jersey,93
Wisconsin,93
Illinois,91
North Dakota,91
New York,91
Kansas,91
Hawaii,89
Pennsylvania,88
Nebraska,88
Nevada,88
Georgia,88
Utah,88
Tennessee,88
Louisiana,88
Oklahoma,86
Virginia,86
New Mexico,86
North Carolina,85
Arkansas,85
Alabama,84
Mississippi,84
Washington,84
South Carolina,83
Colorado,83
Massachusetts,83
Rhode Island,82
Connecticut,82
West Virginia,82
Idaho,82
Maryland,75
Wyoming,75
Maine,74
Delaware,74
Montana,72
New Hampshire,69
Alaska,68
Vermont,66
Oregon,64
District of Columbia,62


Top metros for justin bieber
Metro,justin bieber
Laredo TX,100
Zanesville OH,99
Harlingen-Weslaco-Brownsville-McAllen TX,96
Yuma AZ-El Centro CA,95
Odessa-Midland TX,93
Palm Springs CA,93
Bakersfield CA,92
Sioux Falls(Mitchell) SD,90
Amarillo TX,90
Abilene-Sweetwater TX,87
Sioux City IA,86
Twin Falls ID,86
Fresno-Visalia CA,86
Rapid City SD,86
Rockford IL,86
Albany GA,84
San Antonio TX,84
Jackson TN,83
Lubbock TX,83
Mankato MN,83
Wichita Falls TX & Lawton OK,82
Phoenix AZ,81
San Angelo TX,81
El Paso TX,81
Ft. Wayne IN,81
Corpus Christi TX,80
Louisville KY,80
Los Angeles CA,80
Davenport IA-Rock Island-Moline IL,80
Lake Charles LA,80
Kansas City MO,79
Joplin MO-Pittsburg KS,78
Rochester MN-Mason City IA-Austin MN,78
St. Joseph MO,78
New York NY,77
Detroit MI,76
Evansville IN,76
Wichita-Hutchinson KS,76
Salt Lake City UT,76
Minneapolis-St. Paul MN,76
Honolulu HI,76
Sacramento-Stockton-Modesto CA,76
Indianapolis IN,76
Charleston-Huntington WV,76
Biloxi-Gulfport MS,76
Elmira NY,75
Lafayette LA,75
Chicago IL,75
Beaumont-Port Arthur TX,75
Cleveland-Akron (Canton) OH,75
West Palm Beach-Ft. Pierce FL,75
Bluefield-Beckley-Oak Hill WV,75
South Bend-Elkhart IN,75
Casper-Riverton WY,75
Ft. Smith-Fayetteville-Springdale-Rogers AR,75
Lincoln & Hastings-Kearney NE,74
Alexandria LA,74
Green Bay-Appleton WI,74
Columbus OH,74
Philadelphia PA,74
Tri-Cities TN-VA,74
Houston TX,73
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,73
Denver CO,73
Las Vegas NV,73
Dallas-Ft. Worth TX,73
Milwaukee WI,72
Jonesboro AR,72
Youngstown OH,72
Lima OH,72
Huntsville-Decatur (Florence) AL,72
Grand Rapids-Kalamazoo-Battle Creek MI,72
Wilkes Barre-Scranton PA,72
Providence RI-New Bedford MA,72
Minot-Bismarck-Dickinson(Williston) ND,72
Tucson (Sierra Vista) AZ,72
Flint-Saginaw-Bay City MI,72
Sherman TX-Ada OK,71
Erie PA,71
Terre Haute IN,71
Parkersburg WV,71
Des Moines-Ames IA,71
Tampa-St. Petersburg (Sarasota) FL,71
Atlanta GA,71
Chattanooga TN,71
Omaha NE,70
Florence-Myrtle Beach SC,70
Miami-Ft. Lauderdale FL,70
Fargo-Valley City ND,70
Wheeling WV-Steubenville OH,70
Cincinnati OH,70
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,70
Lexington KY,70
Shreveport LA,70
Yakima-Pasco-Richland-Kennewick WA,69
Dayton OH,69
Orlando-Daytona Beach-Melbourne FL,69
Boston MA-Manchester NH,69
Charlotte NC,69
St. Louis MO,69
New Orleans LA,69
Toledo OH,69
Quincy IL-Hannibal MO-Keokuk IA,68
Utica NY,68
Chico-Redding CA,68
Spokane WA,68
La Crosse-Eau Claire WI,68
Cheyenne WY-Scottsbluff NE,68
Reno NV,68
Albany-Schenectady-Troy NY,68
Duluth MN-Superior WI,68
Hartford & New Haven CT,68
Dothan AL,67
Springfield MO,67
Nashville TN,67
Buffalo NY,67
Great Falls MT,67
Albuquerque-Santa Fe NM,67
Harrisburg-Lancaster-Lebanon-York PA,67
Wilmington NC,67
Wausau-Rhinelander WI,66
Binghamton NY,66
Birmingham AL,66
Greenville-Spartanburg SC-Asheville NC-Anderson SC,66
Rochester NY,66
Seattle-Tacoma WA,66
Raleigh-Durham (Fayetteville) NC,66
Washington DC (Hagerstown MD),66
Knoxville TN,65
Jackson MS,65
San Diego CA,65
Ottumwa IA-Kirksville MO,65
San Francisco-Oakland-San Jose CA,65
Hattiesburg-Laurel MS,65
Syracuse NY,65
Grand Junction-Montrose CO,65
Clarksburg-Weston WV,65
Lafayette IN,65
Idaho Falls-Pocatello ID,65
Baton Rouge LA,65
Savannah GA,64
Madison WI,64
Portland-Auburn ME,64
Ft. Myers-Naples FL,64
Mobile AL-Pensacola (Ft. Walton Beach) FL,64
Boise ID,64
Oklahoma City OK,64
Augusta GA,64
Monroe LA-El Dorado AR,64
Traverse City-Cadillac MI,64
Topeka KS,63
Bend OR,63
Waco-Temple-Bryan TX,63
Little Rock-Pine Bluff AR,63
Champaign & Springfield-Decatur IL,63
Greensboro-High Point-Winston Salem NC,63
Pittsburgh PA,63
Jacksonville FL,63
Memphis TN,63
Salisbury MD,62
Santa Barbara-Santa Maria-San Luis Obispo CA,62
Peoria-Bloomington IL,62
Tulsa OK,62
Marquette MI,61
Bowling Green KY,61
Columbia SC,61
Columbia-Jefferson City MO,61
Springfield-Holyoke MA,60
Watertown NY,60
Monterey-Salinas CA,60
Anchorage AK,59
Lansing MI,59
Colorado Springs-Pueblo CO,59
Charlottesville VA,59
Columbus-Tupelo-West Point MS,59
Billings MT,59
Baltimore MD,59
Tyler-Longview(Lufkin & Nacogdoches) TX,59
Missoula MT,59
Montgomery (Selma) AL,58
Harrisonburg VA,58
Panama City FL,58
Greenwood-Greenville MS,58
Columbus GA,57
Austin TX,57
Johnstown-Altoona PA,57
Charleston SC,57
Eureka CA,57
Norfolk-Portsmouth-Newport News VA,57
Medford-Klamath Falls OR,57
Tallahassee FL-Thomasville GA,56
Macon GA,55
Bangor ME,55
Burlington VT-Plattsburgh NY,54
Roanoke-Lynchburg VA,53
Greenville-New Bern-Washington NC,53
Eugene OR,53
Portland OR,51
Richmond-Petersburg VA,51
Gainesville FL,51
Butte-Bozeman MT,50
Presque Isle ME,0
Alpena MI,0
Victoria TX,0
Meridian MS,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Helena MT,0
Glendive MT,0


Top cities for justin bieber
Town/City,justin bieber
Fresno,100
Phoenix,99
Las Vegas,98
San Antonio,95
Houston,91
Los Angeles,89
Sterling,88
St. Louis,88
New York,87
Milpitas,87
Minneapolis,85
Philadelphia,85
Sacramento,84
Richardson,84
Dallas,83



Top searches for justin bieber
justin bieber lyrics,100
baby justin bieber,90
baby,90
love me,45
boyfriend,35
boyfriend justin bieber,35
one time,30
never say never,25
selena gomez,20
chris brown,20
justin bieber up,20
somebody to love,15
justin bieber songs,15
justin bieber mistletoe,15
mistletoe,15
nicki minaj,15
taylor swift,15
eenie meenie,15
down,15
lil wayne,10
miley cyrus,10
drake,10
katy perry,10
next to you,10
justin bieber pray,10
rihanna,10
justin bieber live,10
justin bieber parody,10
usher,10
bruno mars,10
lady gaga,10
eminem,10
one direction,10
justin bieber smile,10
justin beiber,5
beyonce,5
kesha,5
call me maybe,5
justin bieber dancing,5
justin bieber interview,5
ellen,5
how to love,5
sean kingston,5
demi lovato,5
justin bieber acoustic,5
u smile,5
michael jackson,5
justin bieber rap,5
friday,5
tik tok,5



Rising searches for justin bieber
baby,Breakout
baby justin bieber,Breakout
boyfriend,Breakout
boyfriend justin bieber,Breakout
chris brown,Breakout
justin bieber lyrics,Breakout
justin bieber mistletoe,Breakout
justin bieber songs,Breakout
justin bieber up,Breakout
love me,Breakout



