YouTube Search interest: gavin degraw
United States; Jan 2008 - Jul 2015

Interest over time
Week,gavin degraw
2012-09-02 - 2012-09-08,27
2012-09-09 - 2012-09-15,29
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,24
2012-09-30 - 2012-10-06,26
2012-10-07 - 2012-10-13,25
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,22
2012-11-04 - 2012-11-10,23
2012-11-11 - 2012-11-17,24
2012-11-18 - 2012-11-24,24
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,31
2012-12-09 - 2012-12-15,29
2012-12-16 - 2012-12-22,29
2012-12-23 - 2012-12-29,21
2012-12-30 - 2013-01-05,22
2013-01-06 - 2013-01-12,25
2013-01-13 - 2013-01-19,26
2013-01-20 - 2013-01-26,30
2013-01-27 - 2013-02-02,29
2013-02-03 - 2013-02-09,27
2013-02-10 - 2013-02-16,25
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,24
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,17
2013-03-24 - 2013-03-30,18
2013-03-31 - 2013-04-06,17
2013-04-07 - 2013-04-13,19
2013-04-14 - 2013-04-20,18
2013-04-21 - 2013-04-27,19
2013-04-28 - 2013-05-04,18
2013-05-05 - 2013-05-11,17
2013-05-12 - 2013-05-18,19
2013-05-19 - 2013-05-25,17
2013-05-26 - 2013-06-01,16
2013-06-02 - 2013-06-08,16
2013-06-09 - 2013-06-15,16
2013-06-16 - 2013-06-22,19
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,19
2013-07-07 - 2013-07-13,21
2013-07-14 - 2013-07-20,20
2013-07-21 - 2013-07-27,22
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,33
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,28
2013-09-08 - 2013-09-14,32
2013-09-15 - 2013-09-21,37
2013-09-22 - 2013-09-28,36
2013-09-29 - 2013-10-05,38
2013-10-06 - 2013-10-12,40
2013-10-13 - 2013-10-19,48
2013-10-20 - 2013-10-26,63
2013-10-27 - 2013-11-02,45
2013-11-03 - 2013-11-09,47
2013-11-10 - 2013-11-16,36
2013-11-17 - 2013-11-23,32
2013-11-24 - 2013-11-30,31
2013-12-01 - 2013-12-07,27
2013-12-08 - 2013-12-14,24
2013-12-15 - 2013-12-21,24
2013-12-22 - 2013-12-28,18
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,21
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,25
2014-02-02 - 2014-02-08,28
2014-02-09 - 2014-02-15,28
2014-02-16 - 2014-02-22,30
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,18
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,14
2014-03-23 - 2014-03-29,17
2014-03-30 - 2014-04-05,18
2014-04-06 - 2014-04-12,18
2014-04-13 - 2014-04-19,18
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,14
2014-05-11 - 2014-05-17,11
2014-05-18 - 2014-05-24,14
2014-05-25 - 2014-05-31,12
2014-06-01 - 2014-06-07,13
2014-06-08 - 2014-06-14,15
2014-06-15 - 2014-06-21,13
2014-06-22 - 2014-06-28,12
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,12
2014-07-13 - 2014-07-19,13
2014-07-20 - 2014-07-26,11
2014-07-27 - 2014-08-02,10
2014-08-03 - 2014-08-09,15
2014-08-10 - 2014-08-16,14
2014-08-17 - 2014-08-23,16
2014-08-24 - 2014-08-30,13
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,15
2014-09-14 - 2014-09-20,14
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,15
2014-10-05 - 2014-10-11,15
2014-10-12 - 2014-10-18,13
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,14
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,11
2014-12-07 - 2014-12-13,12
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,9
2014-12-28 - 2015-01-03,12
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,15
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,14
2015-03-01 - 2015-03-07,13
2015-03-08 - 2015-03-14,12
2015-03-15 - 2015-03-21,13
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,13
2015-04-26 - 2015-05-02,14
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,12
2015-05-24 - 2015-05-30,11
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,8
2015-06-21 - 2015-06-27,8
2015-06-28 - 2015-07-04,10
2015-07-05 - 2015-07-11,9
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,11
2015-07-26 - 2015-08-01,11


Top sub-regions for gavin degraw
Sub-region,gavin degraw
Iowa,100
New Hampshire,98
Wisconsin,97
Massachusetts,95
Indiana,92
North Dakota,91
Minnesota,90
Pennsylvania,90
Ohio,89
Rhode Island,89
Maine,87
South Dakota,86
Connecticut,85
Michigan,84
Idaho,83
Tennessee,83
Kentucky,82
Missouri,82
Nebraska,81
West Virginia,81
Montana,81
South Carolina,80
New Jersey,75
North Carolina,75
Delaware,74
New York,72
Illinois,70
Maryland,70
Utah,69
Alabama,68
Vermont,67
Arkansas,65
Kansas,65
Mississippi,64
New Mexico,64
Oklahoma,63
Colorado,62
Florida,62
Louisiana,59
Wyoming,58
Georgia,58
Arizona,58
Texas,55
Washington,55
Nevada,51
Hawaii,49
District of Columbia,49
Oregon,48
California,47
Virginia,46
Alaska,41


Top metros for gavin degraw
Metro,gavin degraw
Grand Rapids-Kalamazoo-Battle Creek MI,100
Boston MA-Manchester NH,96
Providence RI-New Bedford MA,93
Milwaukee WI,92
Indianapolis IN,91
Raleigh-Durham (Fayetteville) NC,86
Columbus OH,82
Minneapolis-St. Paul MN,80
Pittsburgh PA,79
Hartford & New Haven CT,78
Cleveland-Akron (Canton) OH,77
Cincinnati OH,77
Detroit MI,75
St. Louis MO,73
Philadelphia PA,73
Nashville TN,72
Orlando-Daytona Beach-Melbourne FL,69
Kansas City MO,68
Chicago IL,67
Charlotte NC,66
New York NY,66
Phoenix AZ,63
Salt Lake City UT,61
Baltimore MD,61
Sacramento-Stockton-Modesto CA,61
Denver CO,56
Atlanta GA,54
Seattle-Tacoma WA,53
Tampa-St. Petersburg (Sarasota) FL,53
Dallas-Ft. Worth TX,51
San Diego CA,49
Houston TX,47
Los Angeles CA,46
Washington DC (Hagerstown MD),45
Miami-Ft. Lauderdale FL,44
Portland OR,44
San Francisco-Oakland-San Jose CA,30
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for gavin degraw
Town/City,gavin degraw
Boston,100
Columbus,96
Philadelphia,88
Minneapolis,88
St. Louis,85
Charlotte,82
New York,76
Orlando,74
Denver,72
Portland,69
Dallas,69
Phoenix,68
Houston,68
San Diego,67
Washington,67



Top searches for gavin degraw
not over you,100
not over,100
gavin degraw lyrics,45
soldier,15
chariot,15
chariot gavin degraw,15
soldier gavin degraw,15
gavin degraw sweeter,10
sweeter,10
follow through,5
gavin degraw live,5
gavin degraw fire,5
we belong together,5
gavin degraw acoustic,5
more than anyone,5
gavin degraw belief,5
gavin degraw karaoke,5
gavin degraw stay,5
gavin degraw free,0
gavin degraw stripped,0
the script nothing,0
gavin degraw album,0



Rising searches for gavin degraw
gavin degraw fire,Breakout
gavin degraw live,Breakout
gavin degraw lyrics,Breakout
gavin degraw sweeter,Breakout
not over,Breakout
not over you,Breakout
soldier,Breakout
soldier gavin degraw,Breakout
sweeter,Breakout
chariot,+40%



