YouTube Search interest: tyga
United States; Jan 2008 - Jul 2015

Interest over time
Week,tyga
2009-03-22 - 2009-03-28,2
2009-03-29 - 2009-04-04,1
2009-04-05 - 2009-04-11,2
2009-04-12 - 2009-04-18,2
2009-04-19 - 2009-04-25,2
2009-04-26 - 2009-05-02,2
2009-05-03 - 2009-05-09,2
2009-05-10 - 2009-05-16,2
2009-05-17 - 2009-05-23,2
2009-05-24 - 2009-05-30,2
2009-05-31 - 2009-06-06,2
2009-06-07 - 2009-06-13,2
2009-06-14 - 2009-06-20,2
2009-06-21 - 2009-06-27,2
2009-06-28 - 2009-07-04,2
2009-07-05 - 2009-07-11,2
2009-07-12 - 2009-07-18,2
2009-07-19 - 2009-07-25,2
2009-07-26 - 2009-08-01,2
2009-08-02 - 2009-08-08,2
2009-08-09 - 2009-08-15,2
2009-08-16 - 2009-08-22,2
2009-08-23 - 2009-08-29,2
2009-08-30 - 2009-09-05,2
2009-09-06 - 2009-09-12,1
2009-09-13 - 2009-09-19,2
2009-09-20 - 2009-09-26,2
2009-09-27 - 2009-10-03,2
2009-10-04 - 2009-10-10,2
2009-10-11 - 2009-10-17,2
2009-10-18 - 2009-10-24,2
2009-10-25 - 2009-10-31,1
2009-11-01 - 2009-11-07,2
2009-11-08 - 2009-11-14,2
2009-11-15 - 2009-11-21,2
2009-11-22 - 2009-11-28,2
2009-11-29 - 2009-12-05,2
2009-12-06 - 2009-12-12,3
2009-12-13 - 2009-12-19,3
2009-12-20 - 2009-12-26,4
2009-12-27 - 2010-01-02,3
2010-01-03 - 2010-01-09,4
2010-01-10 - 2010-01-16,4
2010-01-17 - 2010-01-23,3
2010-01-24 - 2010-01-30,4
2010-01-31 - 2010-02-06,3
2010-02-07 - 2010-02-13,3
2010-02-14 - 2010-02-20,3
2010-02-21 - 2010-02-27,5
2010-02-28 - 2010-03-06,6
2010-03-07 - 2010-03-13,5
2010-03-14 - 2010-03-20,6
2010-03-21 - 2010-03-27,5
2010-03-28 - 2010-04-03,6
2010-04-04 - 2010-04-10,7
2010-04-11 - 2010-04-17,6
2010-04-18 - 2010-04-24,8
2010-04-25 - 2010-05-01,10
2010-05-02 - 2010-05-08,8
2010-05-09 - 2010-05-15,8
2010-05-16 - 2010-05-22,9
2010-05-23 - 2010-05-29,10
2010-05-30 - 2010-06-05,10
2010-06-06 - 2010-06-12,8
2010-06-13 - 2010-06-19,9
2010-06-20 - 2010-06-26,10
2010-06-27 - 2010-07-03,9
2010-07-04 - 2010-07-10,9
2010-07-11 - 2010-07-17,9
2010-07-18 - 2010-07-24,9
2010-07-25 - 2010-07-31,10
2010-08-01 - 2010-08-07,9
2010-08-08 - 2010-08-14,13
2010-08-15 - 2010-08-21,11
2010-08-22 - 2010-08-28,11
2010-08-29 - 2010-09-04,14
2010-09-05 - 2010-09-11,12
2010-09-12 - 2010-09-18,12
2010-09-19 - 2010-09-25,12
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,11
2010-10-10 - 2010-10-16,11
2010-10-17 - 2010-10-23,11
2010-10-24 - 2010-10-30,10
2010-10-31 - 2010-11-06,14
2010-11-07 - 2010-11-13,17
2010-11-14 - 2010-11-20,15
2010-11-21 - 2010-11-27,15
2010-11-28 - 2010-12-04,14
2010-12-05 - 2010-12-11,13
2010-12-12 - 2010-12-18,13
2010-12-19 - 2010-12-25,13
2010-12-26 - 2011-01-01,13
2011-01-02 - 2011-01-08,14
2011-01-09 - 2011-01-15,14
2011-01-16 - 2011-01-22,13
2011-01-23 - 2011-01-29,14
2011-01-30 - 2011-02-05,14
2011-02-06 - 2011-02-12,14
2011-02-13 - 2011-02-19,14
2011-02-20 - 2011-02-26,15
2011-02-27 - 2011-03-05,15
2011-03-06 - 2011-03-12,14
2011-03-13 - 2011-03-19,15
2011-03-20 - 2011-03-26,15
2011-03-27 - 2011-04-02,17
2011-04-03 - 2011-04-09,17
2011-04-10 - 2011-04-16,21
2011-04-17 - 2011-04-23,21
2011-04-24 - 2011-04-30,21
2011-05-01 - 2011-05-07,21
2011-05-08 - 2011-05-14,23
2011-05-15 - 2011-05-21,22
2011-05-22 - 2011-05-28,21
2011-05-29 - 2011-06-04,21
2011-06-05 - 2011-06-11,23
2011-06-12 - 2011-06-18,23
2011-06-19 - 2011-06-25,24
2011-06-26 - 2011-07-02,26
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,29
2011-07-17 - 2011-07-23,40
2011-07-24 - 2011-07-30,41
2011-07-31 - 2011-08-06,45
2011-08-07 - 2011-08-13,39
2011-08-14 - 2011-08-20,40
2011-08-21 - 2011-08-27,37
2011-08-28 - 2011-09-03,34
2011-09-04 - 2011-09-10,34
2011-09-11 - 2011-09-17,33
2011-09-18 - 2011-09-24,34
2011-09-25 - 2011-10-01,39
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,41
2011-10-16 - 2011-10-22,41
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,48
2011-11-06 - 2011-11-12,45
2011-11-13 - 2011-11-19,46
2011-11-20 - 2011-11-26,44
2011-11-27 - 2011-12-03,44
2011-12-04 - 2011-12-10,60
2011-12-11 - 2011-12-17,66
2011-12-18 - 2011-12-24,65
2011-12-25 - 2011-12-31,66
2012-01-01 - 2012-01-07,85
2012-01-08 - 2012-01-14,86
2012-01-15 - 2012-01-21,100
2012-01-22 - 2012-01-28,93
2012-01-29 - 2012-02-04,77
2012-02-05 - 2012-02-11,68
2012-02-12 - 2012-02-18,72
2012-02-19 - 2012-02-25,89
2012-02-26 - 2012-03-03,88
2012-03-04 - 2012-03-10,86
2012-03-11 - 2012-03-17,85
2012-03-18 - 2012-03-24,90
2012-03-25 - 2012-03-31,84
2012-04-01 - 2012-04-07,86
2012-04-08 - 2012-04-14,82
2012-04-15 - 2012-04-21,79
2012-04-22 - 2012-04-28,78
2012-04-29 - 2012-05-05,80
2012-05-06 - 2012-05-12,81
2012-05-13 - 2012-05-19,79
2012-05-20 - 2012-05-26,78
2012-05-27 - 2012-06-02,75
2012-06-03 - 2012-06-09,73
2012-06-10 - 2012-06-16,69
2012-06-17 - 2012-06-23,64
2012-06-24 - 2012-06-30,58
2012-07-01 - 2012-07-07,57
2012-07-08 - 2012-07-14,54
2012-07-15 - 2012-07-21,53
2012-07-22 - 2012-07-28,51
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,50
2012-08-12 - 2012-08-18,47
2012-08-19 - 2012-08-25,57
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,52
2012-09-09 - 2012-09-15,47
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,47
2012-10-07 - 2012-10-13,49
2012-10-14 - 2012-10-20,45
2012-10-21 - 2012-10-27,41
2012-10-28 - 2012-11-03,40
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,36
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,37
2012-12-02 - 2012-12-08,41
2012-12-09 - 2012-12-15,38
2012-12-16 - 2012-12-22,37
2012-12-23 - 2012-12-29,37
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,34
2013-01-20 - 2013-01-26,36
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,41
2013-02-10 - 2013-02-16,38
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,35
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,37
2013-03-17 - 2013-03-23,36
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,38
2013-04-07 - 2013-04-13,50
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,40
2013-05-05 - 2013-05-11,40
2013-05-12 - 2013-05-18,39
2013-05-19 - 2013-05-25,40
2013-05-26 - 2013-06-01,40
2013-06-02 - 2013-06-08,39
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,33
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,30
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,27
2013-08-11 - 2013-08-17,27
2013-08-18 - 2013-08-24,23
2013-08-25 - 2013-08-31,22
2013-09-01 - 2013-09-07,22
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,21
2013-09-22 - 2013-09-28,20
2013-09-29 - 2013-10-05,18
2013-10-06 - 2013-10-12,19
2013-10-13 - 2013-10-19,19
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,16
2013-11-10 - 2013-11-16,17
2013-11-17 - 2013-11-23,17
2013-11-24 - 2013-11-30,16
2013-12-01 - 2013-12-07,17
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,21
2013-12-22 - 2013-12-28,19
2013-12-29 - 2014-01-04,17
2014-01-05 - 2014-01-11,18
2014-01-12 - 2014-01-18,18
2014-01-19 - 2014-01-25,17
2014-01-26 - 2014-02-01,17
2014-02-02 - 2014-02-08,16
2014-02-09 - 2014-02-15,16
2014-02-16 - 2014-02-22,16
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,17
2014-03-09 - 2014-03-15,15
2014-03-16 - 2014-03-22,17
2014-03-23 - 2014-03-29,16
2014-03-30 - 2014-04-05,16
2014-04-06 - 2014-04-12,15
2014-04-13 - 2014-04-19,15
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,22
2014-05-18 - 2014-05-24,19
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,17
2014-06-08 - 2014-06-14,17
2014-06-15 - 2014-06-21,15
2014-06-22 - 2014-06-28,15
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,15
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,14
2014-08-17 - 2014-08-23,16
2014-08-24 - 2014-08-30,15
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,15
2014-09-14 - 2014-09-20,15
2014-09-21 - 2014-09-27,15
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,15
2014-10-12 - 2014-10-18,15
2014-10-19 - 2014-10-25,15
2014-10-26 - 2014-11-01,16
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,13
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,12
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,13
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,11
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,12
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,13
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,23
2015-03-01 - 2015-03-07,19
2015-03-08 - 2015-03-14,15
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,15
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,13
2015-04-26 - 2015-05-02,14
2015-05-03 - 2015-05-09,14
2015-05-10 - 2015-05-16,13
2015-05-17 - 2015-05-23,13
2015-05-24 - 2015-05-30,11
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,11
2015-06-14 - 2015-06-20,11
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,12
2015-07-05 - 2015-07-11,11
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,11


Top sub-regions for tyga
Sub-region,tyga
Arizona,100
New Mexico,88
California,84
Nevada,80
Rhode Island,77
Hawaii,69
Iowa,69
Michigan,67
Colorado,66
Delaware,65
North Carolina,65
Indiana,64
Ohio,64
South Dakota,62
Florida,61
Wisconsin,59
Illinois,59
Washington,59
South Carolina,59
Minnesota,59
West Virginia,58
Pennsylvania,58
Nebraska,58
Kansas,57
Louisiana,56
Texas,56
Oklahoma,55
Connecticut,55
Massachusetts,54
Kentucky,54
New York,53
Mississippi,52
Maryland,50
Georgia,50
North Dakota,50
Missouri,49
Oregon,49
Idaho,48
Alabama,48
New Hampshire,47
Arkansas,45
Tennessee,45
New Jersey,44
Maine,44
Montana,40
Wyoming,40
Utah,36
Vermont,35
Virginia,33
Alaska,31
District of Columbia,29


Top metros for tyga
Metro,tyga
Bakersfield CA,100
Yuma AZ-El Centro CA,81
Fresno-Visalia CA,77
Palm Springs CA,71
Yakima-Pasco-Richland-Kennewick WA,66
Phoenix AZ,63
Los Angeles CA,62
Tucson (Sierra Vista) AZ,59
Amarillo TX,58
Ft. Wayne IN,58
Sioux City IA,58
Las Vegas NV,56
Albuquerque-Santa Fe NM,55
Monterey-Salinas CA,55
Florence-Myrtle Beach SC,52
Chico-Redding CA,52
Sacramento-Stockton-Modesto CA,52
Odessa-Midland TX,51
Youngstown OH,51
Corpus Christi TX,50
Santa Barbara-Santa Maria-San Luis Obispo CA,50
Wichita-Hutchinson KS,49
Rockford IL,49
Providence RI-New Bedford MA,49
Greenville-New Bern-Washington NC,48
Honolulu HI,47
Davenport IA-Rock Island-Moline IL,47
Grand Rapids-Kalamazoo-Battle Creek MI,47
Biloxi-Gulfport MS,46
Colorado Springs-Pueblo CO,45
El Paso TX,45
Denver CO,44
San Diego CA,44
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,44
Erie PA,44
Reno NV,44
San Antonio TX,44
West Palm Beach-Ft. Pierce FL,44
Cleveland-Akron (Canton) OH,43
Lansing MI,43
Peoria-Bloomington IL,43
Tampa-St. Petersburg (Sarasota) FL,43
Harrisburg-Lancaster-Lebanon-York PA,42
Norfolk-Portsmouth-Newport News VA,42
Milwaukee WI,42
Abilene-Sweetwater TX,41
Raleigh-Durham (Fayetteville) NC,41
South Bend-Elkhart IN,41
Toledo OH,41
Tallahassee FL-Thomasville GA,41
Columbia-Jefferson City MO,41
Ft. Myers-Naples FL,40
Spokane WA,40
Beaumont-Port Arthur TX,39
Columbus GA,39
New Orleans LA,39
Boise ID,39
Flint-Saginaw-Bay City MI,39
Columbia SC,39
Evansville IN,39
Richmond-Petersburg VA,38
Omaha NE,38
Detroit MI,38
Des Moines-Ames IA,38
Lubbock TX,38
Sioux Falls(Mitchell) SD,38
Wilkes Barre-Scranton PA,38
Dayton OH,38
Charlotte NC,37
Albany GA,37
Champaign & Springfield-Decatur IL,37
Minneapolis-St. Paul MN,37
Seattle-Tacoma WA,36
Cincinnati OH,36
Houston TX,36
Philadelphia PA,36
Montgomery (Selma) AL,36
Memphis TN,36
Louisville KY,35
Columbus OH,35
Pittsburgh PA,35
Greensboro-High Point-Winston Salem NC,35
Hartford & New Haven CT,35
Eugene OR,35
Traverse City-Cadillac MI,35
Jacksonville FL,35
Topeka KS,35
Miami-Ft. Lauderdale FL,35
Springfield-Holyoke MA,35
Duluth MN-Superior WI,34
Augusta GA,34
Buffalo NY,34
Chicago IL,34
New York NY,34
Indianapolis IN,34
Charleston-Huntington WV,34
Oklahoma City OK,34
Chattanooga TN,34
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,34
Green Bay-Appleton WI,34
Harlingen-Weslaco-Brownsville-McAllen TX,34
Shreveport LA,33
Boston MA-Manchester NH,33
Macon GA,33
Waco-Temple-Bryan TX,33
Rochester MN-Mason City IA-Austin MN,33
Baton Rouge LA,33
Gainesville FL,32
Wilmington NC,32
Kansas City MO,32
Roanoke-Lynchburg VA,32
Savannah GA,31
Mobile AL-Pensacola (Ft. Walton Beach) FL,31
Lincoln & Hastings-Kearney NE,31
Lexington KY,31
Portland OR,31
Charlottesville VA,31
Orlando-Daytona Beach-Melbourne FL,31
Tyler-Longview(Lufkin & Nacogdoches) TX,31
Rochester NY,30
St. Louis MO,30
Syracuse NY,30
Greenville-Spartanburg SC-Asheville NC-Anderson SC,30
Fargo-Valley City ND,30
Madison WI,29
Baltimore MD,29
Atlanta GA,29
Charleston SC,29
La Crosse-Eau Claire WI,29
Nashville TN,28
Binghamton NY,28
Tri-Cities TN-VA,28
Lafayette LA,28
Dallas-Ft. Worth TX,28
Tulsa OK,28
Johnstown-Altoona PA,28
Little Rock-Pine Bluff AR,27
Albany-Schenectady-Troy NY,27
Huntsville-Decatur (Florence) AL,27
Ft. Smith-Fayetteville-Springdale-Rogers AR,26
Jackson MS,26
Portland-Auburn ME,26
Austin TX,25
Springfield MO,25
Salt Lake City UT,24
Birmingham AL,24
Burlington VT-Plattsburgh NY,24
Knoxville TN,24
San Francisco-Oakland-San Jose CA,23
Anchorage AK,23
Washington DC (Hagerstown MD),18
Utica NY,0
Bangor ME,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Columbus-Tupelo-West Point MS,0
Minot-Bismarck-Dickinson(Williston) ND,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for tyga
Town/City,tyga
Bakersfield,100
Long Beach,92
Fresno,80
Tucson,77
Phoenix,69
Las Vegas,68
Albuquerque,62
Los Angeles,58
Denver,52
San Antonio,49
San Diego,48
Philadelphia,45
San Jose,45
Portland,42
Houston,41



Top searches for tyga
tyga tyga,100
lil wayne,10
drake,10
faded,10
faded tyga,10
tyga chris brown,10
chris brown,10
rack city tyga,10
rack city,10
wiz khalifa,5
far away tyga,5
far away,5
nicki minaj,5
rack city lyrics,5
lap dance,5
tyga lap dance,5
tyga molly,5
tyga instrumental,5
big sean,5
2 chainz,5
tyga faded lyrics,0
tyga freestyle,0
rick ross,0
tyga well done,0
kanye west,0
ayy ladies tyga,0
tyga montana,0
future,0
tyga dope,0
heisman tyga,0
the motto,0
yg,0
the motto tyga,0
motto drake,0
trey songz,0
switch lanes tyga,0
tyga 2011,0
wale,0
mac miller,0
like me tyga,0
kid ink,0
kendrick lamar,0
the motto drake,0
love game tyga,0
hookah tyga,0
snapbacks back tyga,0
tyga maybe,0



Rising searches for tyga
chris brown,Breakout
drake,Breakout
faded,Breakout
faded tyga,Breakout
far away,Breakout
far away tyga,Breakout
lil wayne,Breakout
nicki minaj,Breakout
rack city,Breakout
rack city lyrics,Breakout



