YouTube Search interest: sade
United States; Jan 2008 - Jul 2015

Interest over time
Week,sade
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,24
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,18
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,24
2014-08-31 - 2014-09-06,19
2014-09-07 - 2014-09-13,23
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,22
2014-10-05 - 2014-10-11,21
2014-10-12 - 2014-10-18,25
2014-10-19 - 2014-10-25,23
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,23
2014-11-09 - 2014-11-15,20
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,20
2014-11-30 - 2014-12-06,20
2014-12-07 - 2014-12-13,23
2014-12-14 - 2014-12-20,18
2014-12-21 - 2014-12-27,20
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,24
2015-01-18 - 2015-01-24,24
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,21
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,21
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,22
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,19
2015-03-22 - 2015-03-28,24
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,21
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,23
2015-04-26 - 2015-05-02,22
2015-05-03 - 2015-05-09,22
2015-05-10 - 2015-05-16,22
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,21
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,24
2015-06-14 - 2015-06-20,24
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,20
2015-07-26 - 2015-08-01,19


Top sub-regions for sade
Sub-region,sade
District of Columbia,100
Georgia,84
Florida,80
California,78
New York,77
Maryland,76
Louisiana,71
Hawaii,71
Nevada,65
Texas,65
North Carolina,62
New Jersey,60
Illinois,60
Delaware,59
Mississippi,59
South Carolina,57
Alabama,57
Virginia,57
Arizona,56
Michigan,55
New Mexico,54
Pennsylvania,51
Rhode Island,51
Connecticut,49
Ohio,48
Massachusetts,48
Colorado,47
Tennessee,47
Washington,46
Missouri,45
Arkansas,41
Indiana,40
Oregon,39
Oklahoma,39
Minnesota,38
Vermont,37
Kentucky,35
Alaska,35
Kansas,33
Wisconsin,33
Nebraska,29
New Hampshire,28
Utah,28
West Virginia,26
Maine,26
Idaho,24
Iowa,22
Montana,0
North Dakota,0
South Dakota,0
Wyoming,0


Top metros for sade
Metro,sade
Miami-Ft. Lauderdale FL,100
Los Angeles CA,98
Atlanta GA,97
Baltimore MD,88
San Diego CA,87
West Palm Beach-Ft. Pierce FL,85
Honolulu HI,84
New York NY,84
Detroit MI,81
Orlando-Daytona Beach-Melbourne FL,78
Chicago IL,78
Las Vegas NV,75
Norfolk-Portsmouth-Newport News VA,74
Houston TX,72
Tampa-St. Petersburg (Sarasota) FL,72
Phoenix AZ,71
San Antonio TX,70
Raleigh-Durham (Fayetteville) NC,70
Philadelphia PA,69
Washington DC (Hagerstown MD),69
Charlotte NC,68
Austin TX,68
Dallas-Ft. Worth TX,66
San Francisco-Oakland-San Jose CA,64
Columbus OH,63
St. Louis MO,62
Cleveland-Akron (Canton) OH,60
Hartford & New Haven CT,59
Sacramento-Stockton-Modesto CA,56
Seattle-Tacoma WA,54
Denver CO,53
Boston MA-Manchester NH,51
Minneapolis-St. Paul MN,46
Portland OR,42
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for sade
Town/City,sade
Washington,100
New York,100
Detroit,99
Miami,98
Los Angeles,97
Atlanta,94
Baltimore,90
Chicago,81
Philadelphia,78
Houston,78
San Francisco,76
San Diego,74
Charlotte,74
Honolulu,73
Tampa,72



Top searches for sade
by your side,100
sade ordinary love,70
ordinary love,70
no ordinary love,65
sade smooth,65
smooth operator,60
smooth operator sade,55
sade video,55
sade soldier,50
soldier of love,50
sade live,35
kiss of life,30
cherish the day,25
sade songs,20
sade album,15
sade remix,15
sade sweetest taboos,15
de sade,10
paradise sade,10
sade playlist,10
lovers rock,10
sade lovers rock,10
sade babyfather,10
sade 2011,10
sade instrumental,10
sade best of,10
sade full album,10
sade miss you,5
anita baker,5
sade jay z,5
sade concert,5
sade mix,5
sade interview,5
pearls sade,5
jezebel sade,5
sade tattoo,5



Rising searches for sade
cherish the day,Breakout
kiss of life,Breakout
no ordinary love,Breakout
sade soldier,Breakout
sade songs,Breakout
smooth operator,Breakout
smooth operator sade,Breakout
soldier of love,Breakout
sade ordinary love,+850%
ordinary love,+750%



