YouTube Search interest: kirk franklin
United States; Jan 2008 - Jul 2015

Interest over time
Week,kirk franklin
2009-03-01 - 2009-03-07,40
2009-03-08 - 2009-03-14,44
2009-03-15 - 2009-03-21,42
2009-03-22 - 2009-03-28,45
2009-03-29 - 2009-04-04,43
2009-04-05 - 2009-04-11,46
2009-04-12 - 2009-04-18,46
2009-04-19 - 2009-04-25,44
2009-04-26 - 2009-05-02,40
2009-05-03 - 2009-05-09,37
2009-05-10 - 2009-05-16,42
2009-05-17 - 2009-05-23,39
2009-05-24 - 2009-05-30,37
2009-05-31 - 2009-06-06,39
2009-06-07 - 2009-06-13,39
2009-06-14 - 2009-06-20,35
2009-06-21 - 2009-06-27,34
2009-06-28 - 2009-07-04,32
2009-07-05 - 2009-07-11,30
2009-07-12 - 2009-07-18,34
2009-07-19 - 2009-07-25,35
2009-07-26 - 2009-08-01,40
2009-08-02 - 2009-08-08,35
2009-08-09 - 2009-08-15,40
2009-08-16 - 2009-08-22,38
2009-08-23 - 2009-08-29,39
2009-08-30 - 2009-09-05,35
2009-09-06 - 2009-09-12,40
2009-09-13 - 2009-09-19,34
2009-09-20 - 2009-09-26,45
2009-09-27 - 2009-10-03,41
2009-10-04 - 2009-10-10,40
2009-10-11 - 2009-10-17,39
2009-10-18 - 2009-10-24,43
2009-10-25 - 2009-10-31,40
2009-11-01 - 2009-11-07,36
2009-11-08 - 2009-11-14,44
2009-11-15 - 2009-11-21,42
2009-11-22 - 2009-11-28,40
2009-11-29 - 2009-12-05,39
2009-12-06 - 2009-12-12,50
2009-12-13 - 2009-12-19,46
2009-12-20 - 2009-12-26,44
2009-12-27 - 2010-01-02,31
2010-01-03 - 2010-01-09,42
2010-01-10 - 2010-01-16,46
2010-01-17 - 2010-01-23,46
2010-01-24 - 2010-01-30,55
2010-01-31 - 2010-02-06,54
2010-02-07 - 2010-02-13,54
2010-02-14 - 2010-02-20,56
2010-02-21 - 2010-02-27,52
2010-02-28 - 2010-03-06,51
2010-03-07 - 2010-03-13,52
2010-03-14 - 2010-03-20,50
2010-03-21 - 2010-03-27,54
2010-03-28 - 2010-04-03,48
2010-04-04 - 2010-04-10,47
2010-04-11 - 2010-04-17,49
2010-04-18 - 2010-04-24,50
2010-04-25 - 2010-05-01,43
2010-05-02 - 2010-05-08,47
2010-05-09 - 2010-05-15,43
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,43
2010-05-30 - 2010-06-05,36
2010-06-06 - 2010-06-12,36
2010-06-13 - 2010-06-19,38
2010-06-20 - 2010-06-26,37
2010-06-27 - 2010-07-03,41
2010-07-04 - 2010-07-10,38
2010-07-11 - 2010-07-17,41
2010-07-18 - 2010-07-24,44
2010-07-25 - 2010-07-31,38
2010-08-01 - 2010-08-07,42
2010-08-08 - 2010-08-14,40
2010-08-15 - 2010-08-21,39
2010-08-22 - 2010-08-28,42
2010-08-29 - 2010-09-04,38
2010-09-05 - 2010-09-11,40
2010-09-12 - 2010-09-18,44
2010-09-19 - 2010-09-25,46
2010-09-26 - 2010-10-02,43
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,38
2010-10-17 - 2010-10-23,40
2010-10-24 - 2010-10-30,43
2010-10-31 - 2010-11-06,43
2010-11-07 - 2010-11-13,43
2010-11-14 - 2010-11-20,42
2010-11-21 - 2010-11-27,36
2010-11-28 - 2010-12-04,42
2010-12-05 - 2010-12-11,43
2010-12-12 - 2010-12-18,45
2010-12-19 - 2010-12-25,42
2010-12-26 - 2011-01-01,33
2011-01-02 - 2011-01-08,43
2011-01-09 - 2011-01-15,45
2011-01-16 - 2011-01-22,52
2011-01-23 - 2011-01-29,66
2011-01-30 - 2011-02-05,64
2011-02-06 - 2011-02-12,60
2011-02-13 - 2011-02-19,66
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,71
2011-03-06 - 2011-03-12,73
2011-03-13 - 2011-03-19,72
2011-03-20 - 2011-03-26,82
2011-03-27 - 2011-04-02,93
2011-04-03 - 2011-04-09,95
2011-04-10 - 2011-04-16,93
2011-04-17 - 2011-04-23,97
2011-04-24 - 2011-04-30,89
2011-05-01 - 2011-05-07,84
2011-05-08 - 2011-05-14,85
2011-05-15 - 2011-05-21,94
2011-05-22 - 2011-05-28,100
2011-05-29 - 2011-06-04,90
2011-06-05 - 2011-06-11,86
2011-06-12 - 2011-06-18,90
2011-06-19 - 2011-06-25,82
2011-06-26 - 2011-07-02,78
2011-07-03 - 2011-07-09,73
2011-07-10 - 2011-07-16,82
2011-07-17 - 2011-07-23,83
2011-07-24 - 2011-07-30,82
2011-07-31 - 2011-08-06,81
2011-08-07 - 2011-08-13,75
2011-08-14 - 2011-08-20,78
2011-08-21 - 2011-08-27,80
2011-08-28 - 2011-09-03,78
2011-09-04 - 2011-09-10,82
2011-09-11 - 2011-09-17,81
2011-09-18 - 2011-09-24,81
2011-09-25 - 2011-10-01,80
2011-10-02 - 2011-10-08,82
2011-10-09 - 2011-10-15,77
2011-10-16 - 2011-10-22,65
2011-10-23 - 2011-10-29,69
2011-10-30 - 2011-11-05,65
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,73
2011-11-20 - 2011-11-26,71
2011-11-27 - 2011-12-03,66
2011-12-04 - 2011-12-10,68
2011-12-11 - 2011-12-17,72
2011-12-18 - 2011-12-24,69
2011-12-25 - 2011-12-31,59
2012-01-01 - 2012-01-07,62
2012-01-08 - 2012-01-14,64
2012-01-15 - 2012-01-21,61
2012-01-22 - 2012-01-28,62
2012-01-29 - 2012-02-04,65
2012-02-05 - 2012-02-11,59
2012-02-12 - 2012-02-18,60
2012-02-19 - 2012-02-25,59
2012-02-26 - 2012-03-03,61
2012-03-04 - 2012-03-10,63
2012-03-11 - 2012-03-17,54
2012-03-18 - 2012-03-24,62
2012-03-25 - 2012-03-31,65
2012-04-01 - 2012-04-07,65
2012-04-08 - 2012-04-14,66
2012-04-15 - 2012-04-21,59
2012-04-22 - 2012-04-28,55
2012-04-29 - 2012-05-05,59
2012-05-06 - 2012-05-12,53
2012-05-13 - 2012-05-19,53
2012-05-20 - 2012-05-26,52
2012-05-27 - 2012-06-02,52
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,51
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,49
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,53
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,55
2012-07-29 - 2012-08-04,57
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,50
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,51
2012-09-02 - 2012-09-08,51
2012-09-09 - 2012-09-15,51
2012-09-16 - 2012-09-22,47
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,49
2012-10-07 - 2012-10-13,47
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,47
2012-10-28 - 2012-11-03,44
2012-11-04 - 2012-11-10,44
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,45
2012-12-02 - 2012-12-08,47
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,41
2012-12-30 - 2013-01-05,38
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,43
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,45
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,39
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,43
2013-03-10 - 2013-03-16,41
2013-03-17 - 2013-03-23,45
2013-03-24 - 2013-03-30,49
2013-03-31 - 2013-04-06,41
2013-04-07 - 2013-04-13,38
2013-04-14 - 2013-04-20,38
2013-04-21 - 2013-04-27,40
2013-04-28 - 2013-05-04,42
2013-05-05 - 2013-05-11,37
2013-05-12 - 2013-05-18,36
2013-05-19 - 2013-05-25,39
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,34
2013-06-16 - 2013-06-22,33
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,33
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,32
2013-08-04 - 2013-08-10,33
2013-08-11 - 2013-08-17,34
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,35
2013-09-01 - 2013-09-07,31
2013-09-08 - 2013-09-14,32
2013-09-15 - 2013-09-21,36
2013-09-22 - 2013-09-28,38
2013-09-29 - 2013-10-05,34
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,36
2013-10-20 - 2013-10-26,32
2013-10-27 - 2013-11-02,33
2013-11-03 - 2013-11-09,35
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,34
2013-11-24 - 2013-11-30,32
2013-12-01 - 2013-12-07,35
2013-12-08 - 2013-12-14,40
2013-12-15 - 2013-12-21,34
2013-12-22 - 2013-12-28,32
2013-12-29 - 2014-01-04,25
2014-01-05 - 2014-01-11,29
2014-01-12 - 2014-01-18,34
2014-01-19 - 2014-01-25,31
2014-01-26 - 2014-02-01,31
2014-02-02 - 2014-02-08,29
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,32
2014-02-23 - 2014-03-01,32
2014-03-02 - 2014-03-08,29
2014-03-09 - 2014-03-15,28
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,30
2014-03-30 - 2014-04-05,30
2014-04-06 - 2014-04-12,36
2014-04-13 - 2014-04-19,36
2014-04-20 - 2014-04-26,35
2014-04-27 - 2014-05-03,29
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,28
2014-05-18 - 2014-05-24,30
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,28
2014-06-08 - 2014-06-14,26
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,26
2014-06-29 - 2014-07-05,23
2014-07-06 - 2014-07-12,23
2014-07-13 - 2014-07-19,28
2014-07-20 - 2014-07-26,27
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,25
2014-08-24 - 2014-08-30,27
2014-08-31 - 2014-09-06,25
2014-09-07 - 2014-09-13,25
2014-09-14 - 2014-09-20,26
2014-09-21 - 2014-09-27,24
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,28
2014-10-12 - 2014-10-18,26
2014-10-19 - 2014-10-25,26
2014-10-26 - 2014-11-01,25
2014-11-02 - 2014-11-08,30
2014-11-09 - 2014-11-15,26
2014-11-16 - 2014-11-22,26
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,30
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,29
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,21
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,27
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,25
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,26
2015-02-15 - 2015-02-21,19
2015-02-22 - 2015-02-28,23
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,28
2015-03-22 - 2015-03-28,27
2015-03-29 - 2015-04-04,26
2015-04-05 - 2015-04-11,30
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,24
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,23
2015-05-10 - 2015-05-16,24
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,23
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,21
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,20
2015-07-05 - 2015-07-11,18
2015-07-12 - 2015-07-18,22
2015-07-19 - 2015-07-25,23
2015-07-26 - 2015-08-01,25


Top sub-regions for kirk franklin
Sub-region,kirk franklin
Mississippi,100
Alabama,81
South Carolina,76
Louisiana,73
Georgia,73
North Carolina,66
Maryland,52
District of Columbia,51
Tennessee,50
Arkansas,45
Florida,45
Delaware,45
Texas,34
Missouri,31
Michigan,31
Ohio,30
Indiana,30
Oklahoma,29
Illinois,28
Virginia,28
Kentucky,27
New York,24
Pennsylvania,24
New Jersey,22
Connecticut,19
Kansas,17
Hawaii,16
West Virginia,16
Wisconsin,16
Massachusetts,15
Minnesota,13
Nevada,13
California,12
Colorado,12
Nebraska,11
Arizona,11
Rhode Island,11
Washington,11
Iowa,10
New Mexico,10
Oregon,6
Utah,4
Alaska,0
Idaho,0
Maine,0
Montana,0
North Dakota,0
New Hampshire,0
South Dakota,0
Vermont,0
Wyoming,0


Top metros for kirk franklin
Metro,kirk franklin
Montgomery (Selma) AL,100
Columbia SC,92
Florence-Myrtle Beach SC,89
Augusta GA,88
Tallahassee FL-Thomasville GA,87
Jackson MS,86
Macon GA,82
Memphis TN,81
Shreveport LA,78
Birmingham AL,76
Raleigh-Durham (Fayetteville) NC,69
Baton Rouge LA,65
Savannah GA,59
Norfolk-Portsmouth-Newport News VA,58
Greensboro-High Point-Winston Salem NC,57
Charleston SC,57
Atlanta GA,56
Huntsville-Decatur (Florence) AL,51
Little Rock-Pine Bluff AR,50
Charlotte NC,50
New Orleans LA,48
Jacksonville FL,47
Richmond-Petersburg VA,45
Mobile AL-Pensacola (Ft. Walton Beach) FL,43
Miami-Ft. Lauderdale FL,42
Baltimore MD,39
West Palm Beach-Ft. Pierce FL,39
Greenville-Spartanburg SC-Asheville NC-Anderson SC,38
Orlando-Daytona Beach-Melbourne FL,36
Nashville TN,35
St. Louis MO,35
Houston TX,33
Dallas-Ft. Worth TX,33
Tampa-St. Petersburg (Sarasota) FL,31
Detroit MI,29
Indianapolis IN,28
Philadelphia PA,27
Cleveland-Akron (Canton) OH,27
Louisville KY,26
Washington DC (Hagerstown MD),26
Columbus OH,25
Chicago IL,25
Cincinnati OH,25
Milwaukee WI,25
Kansas City MO,23
Oklahoma City OK,21
New York NY,20
Austin TX,17
San Antonio TX,16
Pittsburgh PA,14
Hartford & New Haven CT,14
Boston MA-Manchester NH,13
Sacramento-Stockton-Modesto CA,12
Minneapolis-St. Paul MN,12
Los Angeles CA,11
Phoenix AZ,10
Denver CO,10
Seattle-Tacoma WA,9
San Diego CA,9
San Francisco-Oakland-San Jose CA,8
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for kirk franklin
Town/City,kirk franklin
Montgomery,100
Birmingham,99
Jackson,92
Memphis,89
Columbia,87
Baton Rouge,78
Greensboro,73
Detroit,68
Baltimore,64
Charlotte,62
Jacksonville,61
Atlanta,61
New Orleans,56
Raleigh,51
Washington,49



Top searches for kirk franklin
smile,100
smile kirk franklin,100
kirk franklin lyrics,80
kirk franklin love,50
jesus,50
kirk franklin jesus,45
imagine me,40
i smile,40
mary mary,35
lean on me,35
gospel,35
behold the lamb,30
stomp kirk franklin,25
stomp,25
kirk franklin songs,25
marvin sapp,15
fred hammond,15
kirk franklin hosanna,15
hosanna,15
brighter day,15
yolanda adams,15
donnie mcclurkin,15
silver and gold,10
kirk franklin live,10
tye tribbett,10
praise dance,10
hezekiah walker,10
god in me,10
awesome god,10
gospel songs,10
kirk franklin fear,5
gospel music,5
kirk franklin hero,5
lamb of god,5
tamela mann,5
kirk franklin revolution,5
kirk franklin stand,5
donald lawrence,5
kirk franklin christmas,5
cece winans,5
mali music,5
hold me now,5
deitrick haddon,5
911 kirk franklin,5
joy kirk franklin,5
rance allen,5
smokie norful,5
kirk franklin always,5



Rising searches for kirk franklin
i smile,Breakout
smile,Breakout
smile kirk franklin,Breakout
kirk franklin lyrics,+1,900%
lean on me,+300%
kirk franklin jesus,+250%
jesus,+200%
kirk franklin love,+200%
imagine me,+160%
stomp,+150%



