YouTube Search interest: new hollow
United States; Jan 2008 - Jul 2015

Interest over time
Month,new hollow
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,19
2009-02,20
2009-03,20
2009-04,22
2009-05,23
2009-06,29
2009-07,24
2009-08,31
2009-09,34
2009-10,38
2009-11,17
2009-12,39
2010-01,25
2010-02,34
2010-03,23
2010-04,30
2010-05,29
2010-06,25
2010-07,30
2010-08,30
2010-09,29
2010-10,39
2010-11,100
2010-12,54
2011-01,54
2011-02,76
2011-03,75
2011-04,86
2011-05,76
2011-06,89
2011-07,83
2011-08,89
2011-09,77
2011-10,50
2011-11,47
2011-12,52
2012-01,40
2012-02,34
2012-03,41
2012-04,41
2012-05,36
2012-06,44
2012-07,47
2012-08,42
2012-09,46
2012-10,38
2012-11,26
2012-12,33
2013-01,36
2013-02,30
2013-03,33
2013-04,36
2013-05,34
2013-06,31
2013-07,36
2013-08,48
2013-09,39
2013-10,40
2013-11,35
2013-12,35
2014-01,43
2014-02,36
2014-03,39
2014-04,52
2014-05,61
2014-06,47
2014-07,47
2014-08,39
2014-09,27
2014-10,35
2014-11,26
2014-12,24
2015-01,33
2015-02,36
2015-03,26
2015-04,23
2015-05,27
2015-06,20
2015-07,22


Top sub-regions for new hollow
Sub-region,new hollow
Ohio,100
Pennsylvania,27
New Jersey,26
New York,22
Illinois,22
Virginia,21
Florida,20
Texas,20
California,16
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Massachusetts,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for new hollow
Town/City,new hollow
Columbus,100
New York,12



Top searches for new hollow
hollow da don,100
airplanes new hollow,60
boyfriend new hollow,55
new hollow sick,45



Rising searches for new hollow
airplanes new hollow,Breakout
boyfriend new hollow,Breakout
hollow da don,Breakout
hollow man,Breakout
sleepy hollow,Breakout



