YouTube Search interest: taylor swift
United States; Jan 2008 - Jul 2015

Interest over time
Week,taylor swift
2009-08-16 - 2009-08-22,20
2009-08-23 - 2009-08-29,18
2009-08-30 - 2009-09-05,18
2009-09-06 - 2009-09-12,18
2009-09-13 - 2009-09-19,100
2009-09-20 - 2009-09-26,31
2009-09-27 - 2009-10-03,22
2009-10-04 - 2009-10-10,21
2009-10-11 - 2009-10-17,21
2009-10-18 - 2009-10-24,18
2009-10-25 - 2009-10-31,23
2009-11-01 - 2009-11-07,25
2009-11-08 - 2009-11-14,38
2009-11-15 - 2009-11-21,26
2009-11-22 - 2009-11-28,27
2009-11-29 - 2009-12-05,22
2009-12-06 - 2009-12-12,20
2009-12-13 - 2009-12-19,22
2009-12-20 - 2009-12-26,22
2009-12-27 - 2010-01-02,22
2010-01-03 - 2010-01-09,19
2010-01-10 - 2010-01-16,17
2010-01-17 - 2010-01-23,18
2010-01-24 - 2010-01-30,17
2010-01-31 - 2010-02-06,25
2010-02-07 - 2010-02-13,18
2010-02-14 - 2010-02-20,18
2010-02-21 - 2010-02-27,16
2010-02-28 - 2010-03-06,15
2010-03-07 - 2010-03-13,14
2010-03-14 - 2010-03-20,15
2010-03-21 - 2010-03-27,14
2010-03-28 - 2010-04-03,14
2010-04-04 - 2010-04-10,13
2010-04-11 - 2010-04-17,12
2010-04-18 - 2010-04-24,13
2010-04-25 - 2010-05-01,12
2010-05-02 - 2010-05-08,12
2010-05-09 - 2010-05-15,11
2010-05-16 - 2010-05-22,11
2010-05-23 - 2010-05-29,11
2010-05-30 - 2010-06-05,11
2010-06-06 - 2010-06-12,10
2010-06-13 - 2010-06-19,10
2010-06-20 - 2010-06-26,10
2010-06-27 - 2010-07-03,9
2010-07-04 - 2010-07-10,9
2010-07-11 - 2010-07-17,9
2010-07-18 - 2010-07-24,9
2010-07-25 - 2010-07-31,9
2010-08-01 - 2010-08-07,13
2010-08-08 - 2010-08-14,14
2010-08-15 - 2010-08-21,13
2010-08-22 - 2010-08-28,16
2010-08-29 - 2010-09-04,19
2010-09-05 - 2010-09-11,17
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,15
2010-09-26 - 2010-10-02,14
2010-10-03 - 2010-10-09,17
2010-10-10 - 2010-10-16,18
2010-10-17 - 2010-10-23,20
2010-10-24 - 2010-10-30,28
2010-10-31 - 2010-11-06,24
2010-11-07 - 2010-11-13,22
2010-11-14 - 2010-11-20,18
2010-11-21 - 2010-11-27,21
2010-11-28 - 2010-12-04,18
2010-12-05 - 2010-12-11,19
2010-12-12 - 2010-12-18,19
2010-12-19 - 2010-12-25,18
2010-12-26 - 2011-01-01,18
2011-01-02 - 2011-01-08,19
2011-01-09 - 2011-01-15,21
2011-01-16 - 2011-01-22,19
2011-01-23 - 2011-01-29,18
2011-01-30 - 2011-02-05,18
2011-02-06 - 2011-02-12,17
2011-02-13 - 2011-02-19,16
2011-02-20 - 2011-02-26,16
2011-02-27 - 2011-03-05,14
2011-03-06 - 2011-03-12,13
2011-03-13 - 2011-03-19,13
2011-03-20 - 2011-03-26,13
2011-03-27 - 2011-04-02,13
2011-04-03 - 2011-04-09,14
2011-04-10 - 2011-04-16,13
2011-04-17 - 2011-04-23,13
2011-04-24 - 2011-04-30,13
2011-05-01 - 2011-05-07,14
2011-05-08 - 2011-05-14,16
2011-05-15 - 2011-05-21,16
2011-05-22 - 2011-05-28,17
2011-05-29 - 2011-06-04,17
2011-06-05 - 2011-06-11,17
2011-06-12 - 2011-06-18,16
2011-06-19 - 2011-06-25,16
2011-06-26 - 2011-07-02,15
2011-07-03 - 2011-07-09,14
2011-07-10 - 2011-07-16,14
2011-07-17 - 2011-07-23,13
2011-07-24 - 2011-07-30,13
2011-07-31 - 2011-08-06,13
2011-08-07 - 2011-08-13,15
2011-08-14 - 2011-08-20,15
2011-08-21 - 2011-08-27,14
2011-08-28 - 2011-09-03,14
2011-09-04 - 2011-09-10,12
2011-09-11 - 2011-09-17,12
2011-09-18 - 2011-09-24,12
2011-09-25 - 2011-10-01,12
2011-10-02 - 2011-10-08,13
2011-10-09 - 2011-10-15,13
2011-10-16 - 2011-10-22,13
2011-10-23 - 2011-10-29,12
2011-10-30 - 2011-11-05,12
2011-11-06 - 2011-11-12,15
2011-11-13 - 2011-11-19,14
2011-11-20 - 2011-11-26,17
2011-11-27 - 2011-12-03,15
2011-12-04 - 2011-12-10,15
2011-12-11 - 2011-12-17,16
2011-12-18 - 2011-12-24,16
2011-12-25 - 2011-12-31,15
2012-01-01 - 2012-01-07,13
2012-01-08 - 2012-01-14,13
2012-01-15 - 2012-01-21,13
2012-01-22 - 2012-01-28,12
2012-01-29 - 2012-02-04,12
2012-02-05 - 2012-02-11,12
2012-02-12 - 2012-02-18,18
2012-02-19 - 2012-02-25,16
2012-02-26 - 2012-03-03,14
2012-03-04 - 2012-03-10,13
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,16
2012-03-25 - 2012-03-31,16
2012-04-01 - 2012-04-07,16
2012-04-08 - 2012-04-14,15
2012-04-15 - 2012-04-21,14
2012-04-22 - 2012-04-28,13
2012-04-29 - 2012-05-05,14
2012-05-06 - 2012-05-12,13
2012-05-13 - 2012-05-19,13
2012-05-20 - 2012-05-26,13
2012-05-27 - 2012-06-02,12
2012-06-03 - 2012-06-09,13
2012-06-10 - 2012-06-16,11
2012-06-17 - 2012-06-23,11
2012-06-24 - 2012-06-30,11
2012-07-01 - 2012-07-07,11
2012-07-08 - 2012-07-14,10
2012-07-15 - 2012-07-21,10
2012-07-22 - 2012-07-28,10
2012-07-29 - 2012-08-04,10
2012-08-05 - 2012-08-11,10
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,21
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,29
2012-09-09 - 2012-09-15,28
2012-09-16 - 2012-09-22,20
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,28
2012-10-07 - 2012-10-13,30
2012-10-14 - 2012-10-20,29
2012-10-21 - 2012-10-27,45
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,30
2012-11-11 - 2012-11-17,27
2012-11-18 - 2012-11-24,28
2012-11-25 - 2012-12-01,23
2012-12-02 - 2012-12-08,25
2012-12-09 - 2012-12-15,29
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,27
2013-01-13 - 2013-01-19,26
2013-01-20 - 2013-01-26,24
2013-01-27 - 2013-02-02,21
2013-02-03 - 2013-02-09,20
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,20
2013-02-24 - 2013-03-02,28
2013-03-03 - 2013-03-09,23
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,19
2013-03-31 - 2013-04-06,17
2013-04-07 - 2013-04-13,17
2013-04-14 - 2013-04-20,15
2013-04-21 - 2013-04-27,16
2013-04-28 - 2013-05-04,16
2013-05-05 - 2013-05-11,15
2013-05-12 - 2013-05-18,14
2013-05-19 - 2013-05-25,16
2013-05-26 - 2013-06-01,15
2013-06-02 - 2013-06-08,18
2013-06-09 - 2013-06-15,15
2013-06-16 - 2013-06-22,13
2013-06-23 - 2013-06-29,12
2013-06-30 - 2013-07-06,12
2013-07-07 - 2013-07-13,12
2013-07-14 - 2013-07-20,11
2013-07-21 - 2013-07-27,10
2013-07-28 - 2013-08-03,11
2013-08-04 - 2013-08-10,10
2013-08-11 - 2013-08-17,10
2013-08-18 - 2013-08-24,10
2013-08-25 - 2013-08-31,14
2013-09-01 - 2013-09-07,10
2013-09-08 - 2013-09-14,10
2013-09-15 - 2013-09-21,9
2013-09-22 - 2013-09-28,9
2013-09-29 - 2013-10-05,9
2013-10-06 - 2013-10-12,9
2013-10-13 - 2013-10-19,9
2013-10-20 - 2013-10-26,9
2013-10-27 - 2013-11-02,9
2013-11-03 - 2013-11-09,10
2013-11-10 - 2013-11-16,9
2013-11-17 - 2013-11-23,9
2013-11-24 - 2013-11-30,9
2013-12-01 - 2013-12-07,8
2013-12-08 - 2013-12-14,8
2013-12-15 - 2013-12-21,7
2013-12-22 - 2013-12-28,8
2013-12-29 - 2014-01-04,7
2014-01-05 - 2014-01-11,6
2014-01-12 - 2014-01-18,6
2014-01-19 - 2014-01-25,6
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,6
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,5
2014-03-02 - 2014-03-08,6
2014-03-09 - 2014-03-15,5
2014-03-16 - 2014-03-22,5
2014-03-23 - 2014-03-29,5
2014-03-30 - 2014-04-05,5
2014-04-06 - 2014-04-12,5
2014-04-13 - 2014-04-19,5
2014-04-20 - 2014-04-26,5
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,5
2014-05-25 - 2014-05-31,4
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,4
2014-06-22 - 2014-06-28,4
2014-06-29 - 2014-07-05,4
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,4
2014-08-10 - 2014-08-16,4
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,22
2014-08-31 - 2014-09-06,15
2014-09-07 - 2014-09-13,16
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,14
2014-09-28 - 2014-10-04,12
2014-10-05 - 2014-10-11,12
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,17
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,27
2014-11-09 - 2014-11-15,45
2014-11-16 - 2014-11-22,37
2014-11-23 - 2014-11-29,37
2014-11-30 - 2014-12-06,31
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,27
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,20
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,20
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,13
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,10
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,33
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,17
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,14
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,12
2015-07-19 - 2015-07-25,12
2015-07-26 - 2015-08-01,11


Top sub-regions for taylor swift
Sub-region,taylor swift
South Dakota,100
Utah,97
Iowa,91
Idaho,91
Wisconsin,90
Ohio,90
Kentucky,90
Pennsylvania,90
Missouri,90
Nebraska,88
North Dakota,88
Minnesota,86
Maine,85
Massachusetts,85
Michigan,85
Indiana,84
New Hampshire,83
Kansas,81
Oklahoma,79
West Virginia,78
Montana,78
Texas,78
Wyoming,77
Arizona,76
Tennessee,76
North Carolina,76
Colorado,75
South Carolina,74
Rhode Island,73
Illinois,73
Vermont,72
New Jersey,72
Connecticut,72
Arkansas,71
Georgia,71
Alabama,70
Washington,69
New York,68
Florida,66
California,65
New Mexico,65
Maryland,63
Delaware,63
Nevada,62
Louisiana,61
Mississippi,61
Oregon,59
Virginia,58
District of Columbia,57
Alaska,57
Hawaii,55


Top metros for taylor swift
Metro,taylor swift
Mankato MN,100
Idaho Falls-Pocatello ID,100
Twin Falls ID,97
Sioux City IA,96
Sioux Falls(Mitchell) SD,95
Ottumwa IA-Kirksville MO,93
Fargo-Valley City ND,92
Salt Lake City UT,90
Grand Rapids-Kalamazoo-Battle Creek MI,89
St. Joseph MO,89
Lincoln & Hastings-Kearney NE,88
Terre Haute IN,88
Wilkes Barre-Scranton PA,88
Johnstown-Altoona PA,87
South Bend-Elkhart IN,87
Joplin MO-Pittsburg KS,87
Evansville IN,87
Rochester MN-Mason City IA-Austin MN,87
Flint-Saginaw-Bay City MI,87
Des Moines-Ames IA,86
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,85
Marquette MI,85
Lima OH,85
Grand Junction-Montrose CO,85
Charleston-Huntington WV,85
Portland-Auburn ME,84
Duluth MN-Superior WI,84
Erie PA,84
Jackson TN,83
La Crosse-Eau Claire WI,83
Cheyenne WY-Scottsbluff NE,83
Quincy IL-Hannibal MO-Keokuk IA,83
Youngstown OH,83
Minot-Bismarck-Dickinson(Williston) ND,83
Green Bay-Appleton WI,82
Lexington KY,82
Dayton OH,81
Louisville KY,81
Minneapolis-St. Paul MN,81
Boise ID,81
Traverse City-Cadillac MI,81
Topeka KS,81
Clarksburg-Weston WV,81
Boston MA-Manchester NH,81
Charlottesville VA,81
Detroit MI,81
Rapid City SD,80
Omaha NE,80
Davenport IA-Rock Island-Moline IL,80
Cincinnati OH,80
Harrisburg-Lancaster-Lebanon-York PA,80
Bowling Green KY,80
St. Louis MO,80
Kansas City MO,80
Pittsburgh PA,79
San Angelo TX,79
Cleveland-Akron (Canton) OH,79
Columbia-Jefferson City MO,79
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,79
Chattanooga TN,78
Tri-Cities TN-VA,78
Madison WI,78
Knoxville TN,78
Providence RI-New Bedford MA,78
Rockford IL,78
Elmira NY,78
Toledo OH,78
Watertown NY,77
Chico-Redding CA,77
Wichita-Hutchinson KS,77
Philadelphia PA,77
Sherman TX-Ada OK,76
Amarillo TX,76
Great Falls MT,76
Buffalo NY,76
Springfield MO,76
Harrisonburg VA,76
Laredo TX,76
Columbus OH,76
Wausau-Rhinelander WI,76
Albany-Schenectady-Troy NY,75
Corpus Christi TX,75
Utica NY,75
Tyler-Longview(Lufkin & Nacogdoches) TX,75
Peoria-Bloomington IL,74
Casper-Riverton WY,74
Spokane WA,74
Syracuse NY,74
Billings MT,74
Binghamton NY,74
Springfield-Holyoke MA,74
Colorado Springs-Pueblo CO,74
Ft. Wayne IN,74
Indianapolis IN,73
Wheeling WV-Steubenville OH,73
Dallas-Ft. Worth TX,73
Wilmington NC,73
Nashville TN,73
Yakima-Pasco-Richland-Kennewick WA,73
Phoenix AZ,73
Abilene-Sweetwater TX,72
Rochester NY,72
Bangor ME,72
Medford-Klamath Falls OR,72
Fresno-Visalia CA,72
Roanoke-Lynchburg VA,71
Denver CO,71
Charlotte NC,71
Missoula MT,71
Jonesboro AR,71
Little Rock-Pine Bluff AR,71
Lubbock TX,70
Bluefield-Beckley-Oak Hill WV,70
Tulsa OK,70
Bend OR,70
Champaign & Springfield-Decatur IL,70
Greenville-Spartanburg SC-Asheville NC-Anderson SC,70
Burlington VT-Plattsburgh NY,69
Milwaukee WI,69
Oklahoma City OK,69
Birmingham AL,69
Eugene OR,69
Butte-Bozeman MT,69
San Antonio TX,68
Alexandria LA,68
Hartford & New Haven CT,68
Chicago IL,68
Panama City FL,68
Lansing MI,68
Florence-Myrtle Beach SC,67
Parkersburg WV,67
Harlingen-Weslaco-Brownsville-McAllen TX,67
Lafayette LA,67
Lafayette IN,67
Seattle-Tacoma WA,66
Bakersfield CA,66
Raleigh-Durham (Fayetteville) NC,66
Huntsville-Decatur (Florence) AL,66
Sacramento-Stockton-Modesto CA,66
Odessa-Midland TX,66
Los Angeles CA,66
Charleston SC,65
Orlando-Daytona Beach-Melbourne FL,65
New York NY,65
Shreveport LA,65
Gainesville FL,65
Reno NV,65
Greensboro-High Point-Winston Salem NC,65
Beaumont-Port Arthur TX,65
Greenville-New Bern-Washington NC,65
Biloxi-Gulfport MS,64
Austin TX,64
Salisbury MD,64
Columbus GA,64
Lake Charles LA,64
Atlanta GA,63
Waco-Temple-Bryan TX,63
Dothan AL,63
Santa Barbara-Santa Maria-San Luis Obispo CA,63
Tucson (Sierra Vista) AZ,63
Ft. Smith-Fayetteville-Springdale-Rogers AR,62
Mobile AL-Pensacola (Ft. Walton Beach) FL,62
Jacksonville FL,62
Tampa-St. Petersburg (Sarasota) FL,62
Norfolk-Portsmouth-Newport News VA,62
Wichita Falls TX & Lawton OK,62
Macon GA,61
Columbia SC,60
Albany GA,60
Hattiesburg-Laurel MS,60
Anchorage AK,60
Memphis TN,59
Augusta GA,59
Baltimore MD,59
Jackson MS,59
Albuquerque-Santa Fe NM,59
Montgomery (Selma) AL,59
Richmond-Petersburg VA,58
Las Vegas NV,58
Eureka CA,58
Houston TX,58
New Orleans LA,57
San Diego CA,57
Portland OR,57
Ft. Myers-Naples FL,55
El Paso TX,55
Savannah GA,55
Yuma AZ-El Centro CA,55
Tallahassee FL-Thomasville GA,55
Palm Springs CA,54
Monterey-Salinas CA,54
Baton Rouge LA,54
Washington DC (Hagerstown MD),53
Honolulu HI,52
Columbus-Tupelo-West Point MS,52
West Palm Beach-Ft. Pierce FL,52
Monroe LA-El Dorado AR,47
Miami-Ft. Lauderdale FL,47
San Francisco-Oakland-San Jose CA,41
Presque Isle ME,0
Alpena MI,0
Zanesville OH,0
Victoria TX,0
Greenwood-Greenville MS,0
Meridian MS,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Helena MT,0
Glendive MT,0


Top cities for taylor swift
Town/City,taylor swift
St. Louis,100
Richardson,92
Phoenix,92
Minneapolis,90
San Antonio,88
Denver,88
Columbus,85
Boston,83
Atlanta,81
Houston,81
Seattle,80
Los Angeles,79
Dallas,79
Portland,77
Philadelphia,76



Top searches for taylor swift
taylor swift lyrics,100
trouble taylor swift,35
mean taylor swift,20
mean,20
taylor swift songs,15
mine taylor swift,15
justin bieber,15
mine,15
blank space,15
shake it off,15
red taylor swift,15
december taylor swift,15
red,15
katy perry,10
miley cyrus,10
22 taylor swift,10
safe and sound,10
back to december,10
taylor swift live,10
selena gomez,10
white horse,10
kanye taylor swift,10
our song,10
kanye west,10
taylor swift karaoke,10
love song,10
carrie underwood,10
rihanna,10
taylor swift style,10
beyonce,10
nicki minaj,5
fairytale taylor swift,5
speak now,5
ours,5
taylor swift ours,5
taylor swift cover,5
one direction,5
lady gaga,5
demi lovato,5
bruno mars,5
fifteen taylor swift,5
tim mcgraw,5
enchanted taylor swift,5
fearless taylor swift,5
taylor swift ellen,5
ellen,5
chris brown,5
bad blood,5
taylor swift crazier,5
eminem,5



Rising searches for taylor swift
blank space,Breakout
december taylor swift,Breakout
justin bieber,Breakout
katy perry,Breakout
mean,Breakout
mean taylor swift,Breakout
shake it off,Breakout
trouble taylor swift,Breakout
mine,+1,000%
mine taylor swift,+1,000%



