YouTube Search interest: foo fighters
United States; Jan 2008 - Jul 2015

Interest over time
Week,foo fighters
2009-08-02 - 2009-08-08,24
2009-08-09 - 2009-08-15,25
2009-08-16 - 2009-08-22,25
2009-08-23 - 2009-08-29,24
2009-08-30 - 2009-09-05,25
2009-09-06 - 2009-09-12,25
2009-09-13 - 2009-09-19,24
2009-09-20 - 2009-09-26,30
2009-09-27 - 2009-10-03,31
2009-10-04 - 2009-10-10,32
2009-10-11 - 2009-10-17,32
2009-10-18 - 2009-10-24,31
2009-10-25 - 2009-10-31,33
2009-11-01 - 2009-11-07,43
2009-11-08 - 2009-11-14,38
2009-11-15 - 2009-11-21,36
2009-11-22 - 2009-11-28,38
2009-11-29 - 2009-12-05,37
2009-12-06 - 2009-12-12,33
2009-12-13 - 2009-12-19,32
2009-12-20 - 2009-12-26,32
2009-12-27 - 2010-01-02,27
2010-01-03 - 2010-01-09,30
2010-01-10 - 2010-01-16,27
2010-01-17 - 2010-01-23,26
2010-01-24 - 2010-01-30,26
2010-01-31 - 2010-02-06,27
2010-02-07 - 2010-02-13,30
2010-02-14 - 2010-02-20,24
2010-02-21 - 2010-02-27,26
2010-02-28 - 2010-03-06,25
2010-03-07 - 2010-03-13,25
2010-03-14 - 2010-03-20,25
2010-03-21 - 2010-03-27,22
2010-03-28 - 2010-04-03,25
2010-04-04 - 2010-04-10,24
2010-04-11 - 2010-04-17,25
2010-04-18 - 2010-04-24,24
2010-04-25 - 2010-05-01,24
2010-05-02 - 2010-05-08,24
2010-05-09 - 2010-05-15,22
2010-05-16 - 2010-05-22,23
2010-05-23 - 2010-05-29,21
2010-05-30 - 2010-06-05,22
2010-06-06 - 2010-06-12,21
2010-06-13 - 2010-06-19,20
2010-06-20 - 2010-06-26,21
2010-06-27 - 2010-07-03,21
2010-07-04 - 2010-07-10,21
2010-07-11 - 2010-07-17,21
2010-07-18 - 2010-07-24,21
2010-07-25 - 2010-07-31,23
2010-08-01 - 2010-08-07,22
2010-08-08 - 2010-08-14,21
2010-08-15 - 2010-08-21,23
2010-08-22 - 2010-08-28,24
2010-08-29 - 2010-09-04,21
2010-09-05 - 2010-09-11,23
2010-09-12 - 2010-09-18,21
2010-09-19 - 2010-09-25,21
2010-09-26 - 2010-10-02,23
2010-10-03 - 2010-10-09,22
2010-10-10 - 2010-10-16,22
2010-10-17 - 2010-10-23,23
2010-10-24 - 2010-10-30,21
2010-10-31 - 2010-11-06,20
2010-11-07 - 2010-11-13,24
2010-11-14 - 2010-11-20,22
2010-11-21 - 2010-11-27,21
2010-11-28 - 2010-12-04,22
2010-12-05 - 2010-12-11,22
2010-12-12 - 2010-12-18,22
2010-12-19 - 2010-12-25,21
2010-12-26 - 2011-01-01,21
2011-01-02 - 2011-01-08,24
2011-01-09 - 2011-01-15,21
2011-01-16 - 2011-01-22,24
2011-01-23 - 2011-01-29,22
2011-01-30 - 2011-02-05,25
2011-02-06 - 2011-02-12,25
2011-02-13 - 2011-02-19,27
2011-02-20 - 2011-02-26,33
2011-02-27 - 2011-03-05,31
2011-03-06 - 2011-03-12,34
2011-03-13 - 2011-03-19,35
2011-03-20 - 2011-03-26,33
2011-03-27 - 2011-04-02,41
2011-04-03 - 2011-04-09,48
2011-04-10 - 2011-04-16,88
2011-04-17 - 2011-04-23,72
2011-04-24 - 2011-04-30,62
2011-05-01 - 2011-05-07,50
2011-05-08 - 2011-05-14,47
2011-05-15 - 2011-05-21,42
2011-05-22 - 2011-05-28,39
2011-05-29 - 2011-06-04,40
2011-06-05 - 2011-06-11,48
2011-06-12 - 2011-06-18,40
2011-06-19 - 2011-06-25,38
2011-06-26 - 2011-07-02,38
2011-07-03 - 2011-07-09,40
2011-07-10 - 2011-07-16,41
2011-07-17 - 2011-07-23,42
2011-07-24 - 2011-07-30,38
2011-07-31 - 2011-08-06,44
2011-08-07 - 2011-08-13,52
2011-08-14 - 2011-08-20,39
2011-08-21 - 2011-08-27,39
2011-08-28 - 2011-09-03,50
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,44
2011-09-18 - 2011-09-24,56
2011-09-25 - 2011-10-01,47
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,41
2011-10-16 - 2011-10-22,39
2011-10-23 - 2011-10-29,37
2011-10-30 - 2011-11-05,35
2011-11-06 - 2011-11-12,38
2011-11-13 - 2011-11-19,44
2011-11-20 - 2011-11-26,34
2011-11-27 - 2011-12-03,36
2011-12-04 - 2011-12-10,34
2011-12-11 - 2011-12-17,35
2011-12-18 - 2011-12-24,34
2011-12-25 - 2011-12-31,35
2012-01-01 - 2012-01-07,34
2012-01-08 - 2012-01-14,35
2012-01-15 - 2012-01-21,38
2012-01-22 - 2012-01-28,38
2012-01-29 - 2012-02-04,36
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,81
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,39
2012-03-04 - 2012-03-10,33
2012-03-11 - 2012-03-17,32
2012-03-18 - 2012-03-24,30
2012-03-25 - 2012-03-31,32
2012-04-01 - 2012-04-07,31
2012-04-08 - 2012-04-14,33
2012-04-15 - 2012-04-21,30
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,30
2012-05-06 - 2012-05-12,31
2012-05-13 - 2012-05-19,32
2012-05-20 - 2012-05-26,35
2012-05-27 - 2012-06-02,29
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,30
2012-06-17 - 2012-06-23,28
2012-06-24 - 2012-06-30,28
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,28
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,25
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,24
2012-08-26 - 2012-09-01,26
2012-09-02 - 2012-09-08,26
2012-09-09 - 2012-09-15,25
2012-09-16 - 2012-09-22,26
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,29
2012-10-07 - 2012-10-13,22
2012-10-14 - 2012-10-20,21
2012-10-21 - 2012-10-27,21
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,23
2012-11-11 - 2012-11-17,24
2012-11-18 - 2012-11-24,19
2012-11-25 - 2012-12-01,20
2012-12-02 - 2012-12-08,20
2012-12-09 - 2012-12-15,22
2012-12-16 - 2012-12-22,21
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,22
2013-01-13 - 2013-01-19,20
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,23
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,23
2013-02-17 - 2013-02-23,21
2013-02-24 - 2013-03-02,19
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,20
2013-04-07 - 2013-04-13,21
2013-04-14 - 2013-04-20,19
2013-04-21 - 2013-04-27,23
2013-04-28 - 2013-05-04,20
2013-05-05 - 2013-05-11,22
2013-05-12 - 2013-05-18,18
2013-05-19 - 2013-05-25,21
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,22
2013-06-09 - 2013-06-15,18
2013-06-16 - 2013-06-22,18
2013-06-23 - 2013-06-29,19
2013-06-30 - 2013-07-06,18
2013-07-07 - 2013-07-13,20
2013-07-14 - 2013-07-20,18
2013-07-21 - 2013-07-27,19
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,18
2013-08-11 - 2013-08-17,18
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,19
2013-09-01 - 2013-09-07,19
2013-09-08 - 2013-09-14,19
2013-09-15 - 2013-09-21,17
2013-09-22 - 2013-09-28,18
2013-09-29 - 2013-10-05,17
2013-10-06 - 2013-10-12,16
2013-10-13 - 2013-10-19,19
2013-10-20 - 2013-10-26,19
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,17
2013-11-24 - 2013-11-30,19
2013-12-01 - 2013-12-07,19
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,20
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,20
2014-01-26 - 2014-02-01,23
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,23
2014-02-16 - 2014-02-22,19
2014-02-23 - 2014-03-01,21
2014-03-02 - 2014-03-08,20
2014-03-09 - 2014-03-15,19
2014-03-16 - 2014-03-22,19
2014-03-23 - 2014-03-29,19
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,20
2014-04-13 - 2014-04-19,21
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,18
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,16
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,18
2014-06-08 - 2014-06-14,19
2014-06-15 - 2014-06-21,17
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,19
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,17
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,19
2014-08-03 - 2014-08-09,21
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,19
2014-08-31 - 2014-09-06,19
2014-09-07 - 2014-09-13,21
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,18
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,41
2014-10-26 - 2014-11-01,36
2014-11-02 - 2014-11-08,34
2014-11-09 - 2014-11-15,37
2014-11-16 - 2014-11-22,32
2014-11-23 - 2014-11-29,29
2014-11-30 - 2014-12-06,31
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,26
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,23
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,29
2015-01-18 - 2015-01-24,25
2015-01-25 - 2015-01-31,20
2015-02-01 - 2015-02-07,20
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,21
2015-02-22 - 2015-02-28,18
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,19
2015-03-15 - 2015-03-21,18
2015-03-22 - 2015-03-28,22
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,20
2015-04-12 - 2015-04-18,20
2015-04-19 - 2015-04-25,21
2015-04-26 - 2015-05-02,19
2015-05-03 - 2015-05-09,19
2015-05-10 - 2015-05-16,19
2015-05-17 - 2015-05-23,41
2015-05-24 - 2015-05-30,27
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,23
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,24
2015-07-26 - 2015-08-01,16


Top sub-regions for foo fighters
Sub-region,foo fighters
North Dakota,100
Pennsylvania,96
West Virginia,96
South Dakota,93
Wisconsin,91
Ohio,91
Oklahoma,90
Iowa,89
New Hampshire,89
Missouri,88
Indiana,88
Kentucky,85
Nebraska,83
Kansas,82
Maine,81
Montana,81
Minnesota,80
Massachusetts,80
Illinois,79
Tennessee,78
Michigan,78
New Jersey,76
Arkansas,74
Delaware,72
Idaho,72
Washington,71
California,71
New York,71
Alabama,71
Texas,70
Rhode Island,70
South Carolina,70
North Carolina,69
Arizona,69
Virginia,67
Colorado,67
New Mexico,67
Vermont,66
Connecticut,66
Wyoming,66
Maryland,65
Florida,64
Georgia,62
Louisiana,61
Oregon,61
Utah,61
Alaska,60
Mississippi,59
District of Columbia,59
Nevada,57
Hawaii,43


Top metros for foo fighters
Metro,foo fighters
Wilkes Barre-Scranton PA,100
Buffalo NY,94
Champaign & Springfield-Decatur IL,93
Pittsburgh PA,91
Kansas City MO,88
Roanoke-Lynchburg VA,84
Wichita-Hutchinson KS,83
Mobile AL-Pensacola (Ft. Walton Beach) FL,82
Cincinnati OH,81
Omaha NE,79
Minneapolis-St. Paul MN,78
Indianapolis IN,78
Philadelphia PA,78
Cleveland-Akron (Canton) OH,78
Grand Rapids-Kalamazoo-Battle Creek MI,77
Boston MA-Manchester NH,77
Louisville KY,76
St. Louis MO,75
Rochester NY,75
Syracuse NY,74
San Antonio TX,74
Flint-Saginaw-Bay City MI,74
Dayton OH,72
Milwaukee WI,71
Madison WI,71
Oklahoma City OK,71
Portland-Auburn ME,70
Providence RI-New Bedford MA,70
Birmingham AL,69
Tulsa OK,68
Harrisburg-Lancaster-Lebanon-York PA,68
Baltimore MD,68
Greenville-Spartanburg SC-Asheville NC-Anderson SC,66
Seattle-Tacoma WA,66
Albany-Schenectady-Troy NY,65
Columbus OH,65
Albuquerque-Santa Fe NM,64
Charlotte NC,63
Chicago IL,63
Los Angeles CA,63
Hartford & New Haven CT,63
Denver CO,62
San Diego CA,62
Houston TX,61
New York NY,61
Detroit MI,61
Nashville TN,60
Austin TX,60
Greensboro-High Point-Winston Salem NC,59
Phoenix AZ,58
Washington DC (Hagerstown MD),58
Tampa-St. Petersburg (Sarasota) FL,58
Atlanta GA,57
Dallas-Ft. Worth TX,57
Harlingen-Weslaco-Brownsville-McAllen TX,57
Raleigh-Durham (Fayetteville) NC,56
Norfolk-Portsmouth-Newport News VA,55
Portland OR,54
New Orleans LA,53
Salt Lake City UT,53
Fresno-Visalia CA,52
San Francisco-Oakland-San Jose CA,52
West Palm Beach-Ft. Pierce FL,51
Orlando-Daytona Beach-Melbourne FL,51
Sacramento-Stockton-Modesto CA,50
Las Vegas NV,41
Miami-Ft. Lauderdale FL,41
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for foo fighters
Town/City,foo fighters
Los Angeles,100
St. Louis,100
Columbus,95
Indianapolis,92
San Antonio,90
Minneapolis,90
Austin,89
Philadelphia,86
Irvine,86
Phoenix,85
Milpitas,83
Seattle,83
Richardson,81
San Diego,81
Houston,81



Top searches for foo fighters
the foo fighters,100
everlong foo fighters,45
everlong,45
pretender foo fighters,40
pretender,40
foo fighters lyrics,30
walk foo fighters,30
walk,30
foo fighters live,30
best of you,25
foo fighters hero,25
hero,25
my hero,20
the pretender,20
foo fighters acoustic,15
learn to fly,15
foo fighters rope,15
rope,15
times like these,10
nirvana,10
wheels foo fighters,10
all my life,10
foo fighters cover,10
these days,10
new foo fighters,10
let it die,5
everlong acoustic,5
monkey wrench,5
foo fighters album,5
dave grohl,5
foo fighters home,5
foo fighters wembley,5
foo fighters letterman,5
foo fighters nikki,5
foo fighters doa,5
foo fighters low,5
darling nikki,5
foo fighters interview,5
foo fighter,5



Rising searches for foo fighters
foo fighters rope,Breakout
rope,Breakout
walk,Breakout
walk foo fighters,Breakout
foo fighters lyrics,+2,550%
everlong foo fighters,+300%
everlong,+250%
best of you,+190%
learn to fly,+140%
foo fighters acoustic,+120%



