YouTube Search interest: rebecca black
United States; Jan 2008 - Jul 2015

Interest over time
Week,rebecca black
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,96
2011-03-20 - 2011-03-26,100
2011-03-27 - 2011-04-02,71
2011-04-03 - 2011-04-09,51
2011-04-10 - 2011-04-16,53
2011-04-17 - 2011-04-23,43
2011-04-24 - 2011-04-30,33
2011-05-01 - 2011-05-07,29
2011-05-08 - 2011-05-14,30
2011-05-15 - 2011-05-21,25
2011-05-22 - 2011-05-28,22
2011-05-29 - 2011-06-04,22
2011-06-05 - 2011-06-11,20
2011-06-12 - 2011-06-18,35
2011-06-19 - 2011-06-25,25
2011-06-26 - 2011-07-02,19
2011-07-03 - 2011-07-09,16
2011-07-10 - 2011-07-16,17
2011-07-17 - 2011-07-23,45
2011-07-24 - 2011-07-30,22
2011-07-31 - 2011-08-06,23
2011-08-07 - 2011-08-13,24
2011-08-14 - 2011-08-20,16
2011-08-21 - 2011-08-27,13
2011-08-28 - 2011-09-03,14
2011-09-04 - 2011-09-10,12
2011-09-11 - 2011-09-17,9
2011-09-18 - 2011-09-24,9
2011-09-25 - 2011-10-01,8
2011-10-02 - 2011-10-08,8
2011-10-09 - 2011-10-15,7
2011-10-16 - 2011-10-22,6
2011-10-23 - 2011-10-29,6
2011-10-30 - 2011-11-05,6
2011-11-06 - 2011-11-12,5
2011-11-13 - 2011-11-19,9
2011-11-20 - 2011-11-26,10
2011-11-27 - 2011-12-03,6
2011-12-04 - 2011-12-10,6
2011-12-11 - 2011-12-17,5
2011-12-18 - 2011-12-24,7
2011-12-25 - 2011-12-31,6
2012-01-01 - 2012-01-07,6
2012-01-08 - 2012-01-14,5
2012-01-15 - 2012-01-21,4
2012-01-22 - 2012-01-28,4
2012-01-29 - 2012-02-04,4
2012-02-05 - 2012-02-11,3
2012-02-12 - 2012-02-18,3
2012-02-19 - 2012-02-25,4
2012-02-26 - 2012-03-03,3
2012-03-04 - 2012-03-10,3
2012-03-11 - 2012-03-17,3
2012-03-18 - 2012-03-24,3
2012-03-25 - 2012-03-31,3
2012-04-01 - 2012-04-07,3
2012-04-08 - 2012-04-14,3
2012-04-15 - 2012-04-21,4
2012-04-22 - 2012-04-28,4
2012-04-29 - 2012-05-05,3
2012-05-06 - 2012-05-12,4
2012-05-13 - 2012-05-19,3
2012-05-20 - 2012-05-26,3
2012-05-27 - 2012-06-02,3
2012-06-03 - 2012-06-09,2
2012-06-10 - 2012-06-16,3
2012-06-17 - 2012-06-23,3
2012-06-24 - 2012-06-30,2
2012-07-01 - 2012-07-07,3
2012-07-08 - 2012-07-14,2
2012-07-15 - 2012-07-21,2
2012-07-22 - 2012-07-28,2
2012-07-29 - 2012-08-04,2
2012-08-05 - 2012-08-11,2
2012-08-12 - 2012-08-18,2
2012-08-19 - 2012-08-25,2
2012-08-26 - 2012-09-01,2
2012-09-02 - 2012-09-08,2
2012-09-09 - 2012-09-15,2
2012-09-16 - 2012-09-22,2
2012-09-23 - 2012-09-29,2
2012-09-30 - 2012-10-06,2
2012-10-07 - 2012-10-13,2
2012-10-14 - 2012-10-20,2
2012-10-21 - 2012-10-27,2
2012-10-28 - 2012-11-03,2
2012-11-04 - 2012-11-10,2
2012-11-11 - 2012-11-17,4
2012-11-18 - 2012-11-24,3
2012-11-25 - 2012-12-01,2
2012-12-02 - 2012-12-08,2
2012-12-09 - 2012-12-15,1
2012-12-16 - 2012-12-22,2
2012-12-23 - 2012-12-29,1
2012-12-30 - 2013-01-05,2
2013-01-06 - 2013-01-12,2
2013-01-13 - 2013-01-19,2
2013-01-20 - 2013-01-26,1
2013-01-27 - 2013-02-02,1
2013-02-03 - 2013-02-09,1
2013-02-10 - 2013-02-16,1
2013-02-17 - 2013-02-23,1
2013-02-24 - 2013-03-02,1
2013-03-03 - 2013-03-09,1
2013-03-10 - 2013-03-16,1
2013-03-17 - 2013-03-23,1
2013-03-24 - 2013-03-30,1
2013-03-31 - 2013-04-06,1
2013-04-07 - 2013-04-13,1
2013-04-14 - 2013-04-20,1
2013-04-21 - 2013-04-27,1
2013-04-28 - 2013-05-04,2
2013-05-05 - 2013-05-11,1
2013-05-12 - 2013-05-18,1
2013-05-19 - 2013-05-25,1
2013-05-26 - 2013-06-01,1
2013-06-02 - 2013-06-08,1
2013-06-09 - 2013-06-15,1
2013-06-16 - 2013-06-22,1
2013-06-23 - 2013-06-29,1
2013-06-30 - 2013-07-06,1
2013-07-07 - 2013-07-13,2
2013-07-14 - 2013-07-20,2
2013-07-21 - 2013-07-27,1
2013-07-28 - 2013-08-03,1
2013-08-04 - 2013-08-10,1
2013-08-11 - 2013-08-17,1
2013-08-18 - 2013-08-24,1
2013-08-25 - 2013-08-31,1
2013-09-01 - 2013-09-07,1
2013-09-08 - 2013-09-14,1
2013-09-15 - 2013-09-21,1
2013-09-22 - 2013-09-28,1
2013-09-29 - 2013-10-05,1
2013-10-06 - 2013-10-12,1
2013-10-13 - 2013-10-19,3
2013-10-20 - 2013-10-26,2
2013-10-27 - 2013-11-02,1
2013-11-03 - 2013-11-09,1
2013-11-10 - 2013-11-16,1
2013-11-17 - 2013-11-23,1
2013-11-24 - 2013-11-30,1
2013-12-01 - 2013-12-07,4
2013-12-08 - 2013-12-14,14
2013-12-15 - 2013-12-21,6
2013-12-22 - 2013-12-28,3
2013-12-29 - 2014-01-04,2
2014-01-05 - 2014-01-11,2
2014-01-12 - 2014-01-18,2
2014-01-19 - 2014-01-25,2
2014-01-26 - 2014-02-01,1
2014-02-02 - 2014-02-08,1
2014-02-09 - 2014-02-15,2
2014-02-16 - 2014-02-22,2
2014-02-23 - 2014-03-01,1
2014-03-02 - 2014-03-08,1
2014-03-09 - 2014-03-15,1
2014-03-16 - 2014-03-22,1
2014-03-23 - 2014-03-29,1
2014-03-30 - 2014-04-05,1
2014-04-06 - 2014-04-12,1
2014-04-13 - 2014-04-19,1
2014-04-20 - 2014-04-26,1
2014-04-27 - 2014-05-03,1
2014-05-04 - 2014-05-10,1
2014-05-11 - 2014-05-17,1
2014-05-18 - 2014-05-24,1
2014-05-25 - 2014-05-31,1
2014-06-01 - 2014-06-07,1
2014-06-08 - 2014-06-14,1
2014-06-15 - 2014-06-21,1
2014-06-22 - 2014-06-28,1
2014-06-29 - 2014-07-05,1
2014-07-06 - 2014-07-12,1
2014-07-13 - 2014-07-19,1
2014-07-20 - 2014-07-26,1
2014-07-27 - 2014-08-02,1
2014-08-03 - 2014-08-09,1
2014-08-10 - 2014-08-16,1
2014-08-17 - 2014-08-23,1
2014-08-24 - 2014-08-30,1
2014-08-31 - 2014-09-06,1
2014-09-07 - 2014-09-13,1
2014-09-14 - 2014-09-20,1
2014-09-21 - 2014-09-27,1
2014-09-28 - 2014-10-04,1
2014-10-05 - 2014-10-11,1
2014-10-12 - 2014-10-18,1
2014-10-19 - 2014-10-25,1
2014-10-26 - 2014-11-01,1
2014-11-02 - 2014-11-08,1
2014-11-09 - 2014-11-15,1
2014-11-16 - 2014-11-22,1
2014-11-23 - 2014-11-29,1
2014-11-30 - 2014-12-06,1
2014-12-07 - 2014-12-13,1
2014-12-14 - 2014-12-20,1
2014-12-21 - 2014-12-27,1
2014-12-28 - 2015-01-03,1
2015-01-04 - 2015-01-10,1
2015-01-11 - 2015-01-17,1
2015-01-18 - 2015-01-24,1
2015-01-25 - 2015-01-31,1
2015-02-01 - 2015-02-07,1
2015-02-08 - 2015-02-14,1
2015-02-15 - 2015-02-21,1
2015-02-22 - 2015-02-28,1
2015-03-01 - 2015-03-07,1
2015-03-08 - 2015-03-14,1
2015-03-15 - 2015-03-21,1
2015-03-22 - 2015-03-28,1
2015-03-29 - 2015-04-04,1
2015-04-05 - 2015-04-11,1
2015-04-12 - 2015-04-18,1
2015-04-19 - 2015-04-25,1
2015-04-26 - 2015-05-02,1
2015-05-03 - 2015-05-09,1
2015-05-10 - 2015-05-16,1
2015-05-17 - 2015-05-23,1
2015-05-24 - 2015-05-30,1
2015-05-31 - 2015-06-06,1
2015-06-07 - 2015-06-13,1
2015-06-14 - 2015-06-20,1
2015-06-21 - 2015-06-27,1
2015-06-28 - 2015-07-04,0
2015-07-05 - 2015-07-11,1
2015-07-12 - 2015-07-18,1
2015-07-19 - 2015-07-25,1
2015-07-26 - 2015-08-01,0


Top sub-regions for rebecca black
Sub-region,rebecca black
Utah,100
Iowa,98
Minnesota,92
North Dakota,92
Michigan,91
New Hampshire,90
Indiana,90
Wisconsin,89
Pennsylvania,89
Nebraska,88
Connecticut,87
Ohio,87
Massachusetts,86
Illinois,85
New Jersey,85
Idaho,85
Montana,83
Washington,83
South Dakota,82
Arizona,82
Maryland,81
Maine,79
Delaware,79
Kansas,79
California,77
Florida,77
Colorado,77
New York,76
Rhode Island,76
Hawaii,74
West Virginia,73
Tennessee,73
Texas,72
New Mexico,71
South Carolina,71
Missouri,70
Kentucky,70
Vermont,70
Nevada,70
Oregon,69
Oklahoma,69
North Carolina,68
Wyoming,67
Alabama,67
Georgia,66
Arkansas,64
Louisiana,60
Alaska,59
Virginia,51
Mississippi,49
District of Columbia,35


Top metros for rebecca black
Metro,rebecca black
Peoria-Bloomington IL,100
Salt Lake City UT,91
Sioux Falls(Mitchell) SD,91
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,90
Des Moines-Ames IA,90
Monterey-Salinas CA,85
Minneapolis-St. Paul MN,85
South Bend-Elkhart IN,85
Green Bay-Appleton WI,84
Grand Rapids-Kalamazoo-Battle Creek MI,81
Lansing MI,81
Harrisburg-Lancaster-Lebanon-York PA,80
Johnstown-Altoona PA,79
Pittsburgh PA,77
Milwaukee WI,77
Indianapolis IN,75
Seattle-Tacoma WA,75
Philadelphia PA,74
Hartford & New Haven CT,73
Detroit MI,73
Los Angeles CA,73
Madison WI,72
Cleveland-Akron (Canton) OH,72
Wilkes Barre-Scranton PA,71
Ft. Myers-Naples FL,71
Boston MA-Manchester NH,70
Wichita-Hutchinson KS,70
Knoxville TN,70
San Diego CA,69
Chicago IL,69
Phoenix AZ,69
Spokane WA,68
Buffalo NY,68
Boise ID,68
Toledo OH,68
Albany-Schenectady-Troy NY,68
Omaha NE,68
Nashville TN,68
Flint-Saginaw-Bay City MI,68
Mobile AL-Pensacola (Ft. Walton Beach) FL,68
Houston TX,68
Cincinnati OH,68
Kansas City MO,68
New York NY,67
Sacramento-Stockton-Modesto CA,67
Chattanooga TN,67
San Antonio TX,67
Colorado Springs-Pueblo CO,66
Tucson (Sierra Vista) AZ,66
Columbus OH,66
Richmond-Petersburg VA,66
Albuquerque-Santa Fe NM,65
Fresno-Visalia CA,65
Honolulu HI,65
Santa Barbara-Santa Maria-San Luis Obispo CA,65
Dayton OH,65
Denver CO,64
Providence RI-New Bedford MA,64
Baltimore MD,64
Birmingham AL,64
Syracuse NY,64
Portland-Auburn ME,63
Jacksonville FL,63
Charleston-Huntington WV,63
Tampa-St. Petersburg (Sarasota) FL,63
Las Vegas NV,63
Rochester NY,62
Springfield-Holyoke MA,62
West Palm Beach-Ft. Pierce FL,62
Roanoke-Lynchburg VA,62
Raleigh-Durham (Fayetteville) NC,61
Burlington VT-Plattsburgh NY,61
Charlotte NC,61
Austin TX,60
Norfolk-Portsmouth-Newport News VA,59
Miami-Ft. Lauderdale FL,59
Waco-Temple-Bryan TX,58
Atlanta GA,58
Louisville KY,58
Portland OR,58
Columbia SC,57
Orlando-Daytona Beach-Melbourne FL,56
Lexington KY,56
Greenville-Spartanburg SC-Asheville NC-Anderson SC,56
El Paso TX,55
St. Louis MO,55
Tulsa OK,55
Oklahoma City OK,54
Greensboro-High Point-Winston Salem NC,53
New Orleans LA,53
Dallas-Ft. Worth TX,52
Little Rock-Pine Bluff AR,51
Memphis TN,46
Harlingen-Weslaco-Brownsville-McAllen TX,46
San Francisco-Oakland-San Jose CA,42
Washington DC (Hagerstown MD),40
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for rebecca black
Town/City,rebecca black
San Jose,100
Las Vegas,100
Salt Lake City,96
Indianapolis,93
Portland,92
Columbus,92
Minneapolis,91
San Antonio,88
Houston,87
San Francisco,86
Austin,85
San Diego,82
Seattle,81
Los Angeles,78
Phoenix,78



Top searches for rebecca black
friday,100
friday black rebecca,100
black friday,100
rebecca friday,95
friday lyrics,10
rebecca black parody,5
my moment,5
friday song,5
rebecca black prom,5
rebecca black music,5
friday night,5
prom night,5
friday parody,5
its friday,5
rebecca black saturday,5
saturday,5
last friday night,5
rebecca black interview,5
rebecca black dub,5
my jeans,0
rebecca black cover,0
brocks dub,0
friday party,0
rebecca black live,0
friday remix,0
nigahiga rebecca black,0
glee friday,0
friday brocks dub,0
rebecca black dubstep,0
jenna rose,0
friday cover,0
kingsley rebecca black,0
kingsley,0
friday part 1,0
lol rebecca black,0
person of interest,0
tosh.0 rebecca black,0



Rising searches for rebecca black
black friday,Breakout
friday,Breakout
friday black rebecca,Breakout
friday lyrics,Breakout
friday night,Breakout
friday parody,Breakout
friday song,Breakout
my moment,Breakout
prom night,Breakout
rebecca black music,Breakout



