YouTube Search interest: brantley gilbert
United States; Jan 2008 - Jul 2015

Interest over time
Week,brantley gilbert
2009-03-22 - 2009-03-28,3
2009-03-29 - 2009-04-04,1
2009-04-05 - 2009-04-11,2
2009-04-12 - 2009-04-18,2
2009-04-19 - 2009-04-25,2
2009-04-26 - 2009-05-02,2
2009-05-03 - 2009-05-09,2
2009-05-10 - 2009-05-16,2
2009-05-17 - 2009-05-23,1
2009-05-24 - 2009-05-30,1
2009-05-31 - 2009-06-06,2
2009-06-07 - 2009-06-13,2
2009-06-14 - 2009-06-20,2
2009-06-21 - 2009-06-27,2
2009-06-28 - 2009-07-04,1
2009-07-05 - 2009-07-11,2
2009-07-12 - 2009-07-18,2
2009-07-19 - 2009-07-25,3
2009-07-26 - 2009-08-01,2
2009-08-02 - 2009-08-08,2
2009-08-09 - 2009-08-15,2
2009-08-16 - 2009-08-22,1
2009-08-23 - 2009-08-29,3
2009-08-30 - 2009-09-05,2
2009-09-06 - 2009-09-12,3
2009-09-13 - 2009-09-19,2
2009-09-20 - 2009-09-26,2
2009-09-27 - 2009-10-03,2
2009-10-04 - 2009-10-10,2
2009-10-11 - 2009-10-17,2
2009-10-18 - 2009-10-24,2
2009-10-25 - 2009-10-31,3
2009-11-01 - 2009-11-07,3
2009-11-08 - 2009-11-14,3
2009-11-15 - 2009-11-21,3
2009-11-22 - 2009-11-28,2
2009-11-29 - 2009-12-05,3
2009-12-06 - 2009-12-12,3
2009-12-13 - 2009-12-19,3
2009-12-20 - 2009-12-26,3
2009-12-27 - 2010-01-02,2
2010-01-03 - 2010-01-09,3
2010-01-10 - 2010-01-16,4
2010-01-17 - 2010-01-23,3
2010-01-24 - 2010-01-30,4
2010-01-31 - 2010-02-06,3
2010-02-07 - 2010-02-13,3
2010-02-14 - 2010-02-20,2
2010-02-21 - 2010-02-27,5
2010-02-28 - 2010-03-06,5
2010-03-07 - 2010-03-13,5
2010-03-14 - 2010-03-20,7
2010-03-21 - 2010-03-27,5
2010-03-28 - 2010-04-03,6
2010-04-04 - 2010-04-10,8
2010-04-11 - 2010-04-17,9
2010-04-18 - 2010-04-24,10
2010-04-25 - 2010-05-01,8
2010-05-02 - 2010-05-08,8
2010-05-09 - 2010-05-15,9
2010-05-16 - 2010-05-22,8
2010-05-23 - 2010-05-29,8
2010-05-30 - 2010-06-05,9
2010-06-06 - 2010-06-12,11
2010-06-13 - 2010-06-19,8
2010-06-20 - 2010-06-26,9
2010-06-27 - 2010-07-03,10
2010-07-04 - 2010-07-10,11
2010-07-11 - 2010-07-17,10
2010-07-18 - 2010-07-24,13
2010-07-25 - 2010-07-31,11
2010-08-01 - 2010-08-07,13
2010-08-08 - 2010-08-14,16
2010-08-15 - 2010-08-21,17
2010-08-22 - 2010-08-28,16
2010-08-29 - 2010-09-04,17
2010-09-05 - 2010-09-11,19
2010-09-12 - 2010-09-18,20
2010-09-19 - 2010-09-25,22
2010-09-26 - 2010-10-02,25
2010-10-03 - 2010-10-09,30
2010-10-10 - 2010-10-16,27
2010-10-17 - 2010-10-23,24
2010-10-24 - 2010-10-30,25
2010-10-31 - 2010-11-06,30
2010-11-07 - 2010-11-13,28
2010-11-14 - 2010-11-20,30
2010-11-21 - 2010-11-27,29
2010-11-28 - 2010-12-04,26
2010-12-05 - 2010-12-11,28
2010-12-12 - 2010-12-18,28
2010-12-19 - 2010-12-25,26
2010-12-26 - 2011-01-01,26
2011-01-02 - 2011-01-08,32
2011-01-09 - 2011-01-15,34
2011-01-16 - 2011-01-22,34
2011-01-23 - 2011-01-29,35
2011-01-30 - 2011-02-05,38
2011-02-06 - 2011-02-12,38
2011-02-13 - 2011-02-19,35
2011-02-20 - 2011-02-26,33
2011-02-27 - 2011-03-05,34
2011-03-06 - 2011-03-12,33
2011-03-13 - 2011-03-19,32
2011-03-20 - 2011-03-26,32
2011-03-27 - 2011-04-02,32
2011-04-03 - 2011-04-09,37
2011-04-10 - 2011-04-16,37
2011-04-17 - 2011-04-23,36
2011-04-24 - 2011-04-30,39
2011-05-01 - 2011-05-07,38
2011-05-08 - 2011-05-14,39
2011-05-15 - 2011-05-21,41
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,46
2011-06-05 - 2011-06-11,54
2011-06-12 - 2011-06-18,51
2011-06-19 - 2011-06-25,61
2011-06-26 - 2011-07-02,62
2011-07-03 - 2011-07-09,63
2011-07-10 - 2011-07-16,72
2011-07-17 - 2011-07-23,64
2011-07-24 - 2011-07-30,74
2011-07-31 - 2011-08-06,77
2011-08-07 - 2011-08-13,70
2011-08-14 - 2011-08-20,69
2011-08-21 - 2011-08-27,71
2011-08-28 - 2011-09-03,73
2011-09-04 - 2011-09-10,74
2011-09-11 - 2011-09-17,82
2011-09-18 - 2011-09-24,81
2011-09-25 - 2011-10-01,79
2011-10-02 - 2011-10-08,81
2011-10-09 - 2011-10-15,74
2011-10-16 - 2011-10-22,74
2011-10-23 - 2011-10-29,77
2011-10-30 - 2011-11-05,74
2011-11-06 - 2011-11-12,74
2011-11-13 - 2011-11-19,79
2011-11-20 - 2011-11-26,66
2011-11-27 - 2011-12-03,73
2011-12-04 - 2011-12-10,78
2011-12-11 - 2011-12-17,75
2011-12-18 - 2011-12-24,73
2011-12-25 - 2011-12-31,67
2012-01-01 - 2012-01-07,68
2012-01-08 - 2012-01-14,77
2012-01-15 - 2012-01-21,72
2012-01-22 - 2012-01-28,75
2012-01-29 - 2012-02-04,73
2012-02-05 - 2012-02-11,72
2012-02-12 - 2012-02-18,66
2012-02-19 - 2012-02-25,71
2012-02-26 - 2012-03-03,63
2012-03-04 - 2012-03-10,57
2012-03-11 - 2012-03-17,62
2012-03-18 - 2012-03-24,59
2012-03-25 - 2012-03-31,62
2012-04-01 - 2012-04-07,64
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,57
2012-04-22 - 2012-04-28,58
2012-04-29 - 2012-05-05,62
2012-05-06 - 2012-05-12,56
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,46
2012-06-10 - 2012-06-16,50
2012-06-17 - 2012-06-23,47
2012-06-24 - 2012-06-30,48
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,46
2012-07-15 - 2012-07-21,47
2012-07-22 - 2012-07-28,46
2012-07-29 - 2012-08-04,54
2012-08-05 - 2012-08-11,45
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,50
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,54
2012-09-09 - 2012-09-15,54
2012-09-16 - 2012-09-22,57
2012-09-23 - 2012-09-29,56
2012-09-30 - 2012-10-06,57
2012-10-07 - 2012-10-13,51
2012-10-14 - 2012-10-20,49
2012-10-21 - 2012-10-27,51
2012-10-28 - 2012-11-03,54
2012-11-04 - 2012-11-10,55
2012-11-11 - 2012-11-17,50
2012-11-18 - 2012-11-24,44
2012-11-25 - 2012-12-01,43
2012-12-02 - 2012-12-08,42
2012-12-09 - 2012-12-15,42
2012-12-16 - 2012-12-22,45
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,44
2013-01-06 - 2013-01-12,45
2013-01-13 - 2013-01-19,46
2013-01-20 - 2013-01-26,47
2013-01-27 - 2013-02-02,50
2013-02-03 - 2013-02-09,48
2013-02-10 - 2013-02-16,48
2013-02-17 - 2013-02-23,42
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,45
2013-03-10 - 2013-03-16,44
2013-03-17 - 2013-03-23,43
2013-03-24 - 2013-03-30,45
2013-03-31 - 2013-04-06,48
2013-04-07 - 2013-04-13,48
2013-04-14 - 2013-04-20,47
2013-04-21 - 2013-04-27,48
2013-04-28 - 2013-05-04,48
2013-05-05 - 2013-05-11,46
2013-05-12 - 2013-05-18,42
2013-05-19 - 2013-05-25,40
2013-05-26 - 2013-06-01,39
2013-06-02 - 2013-06-08,42
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,36
2013-06-30 - 2013-07-06,35
2013-07-07 - 2013-07-13,32
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,29
2013-07-28 - 2013-08-03,30
2013-08-04 - 2013-08-10,28
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,28
2013-08-25 - 2013-08-31,28
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,30
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,26
2013-09-29 - 2013-10-05,27
2013-10-06 - 2013-10-12,25
2013-10-13 - 2013-10-19,25
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,25
2013-11-03 - 2013-11-09,28
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,23
2013-11-24 - 2013-11-30,24
2013-12-01 - 2013-12-07,23
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,46
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,37
2014-01-05 - 2014-01-11,45
2014-01-12 - 2014-01-18,58
2014-01-19 - 2014-01-25,62
2014-01-26 - 2014-02-01,60
2014-02-02 - 2014-02-08,64
2014-02-09 - 2014-02-15,66
2014-02-16 - 2014-02-22,70
2014-02-23 - 2014-03-01,68
2014-03-02 - 2014-03-08,71
2014-03-09 - 2014-03-15,71
2014-03-16 - 2014-03-22,73
2014-03-23 - 2014-03-29,71
2014-03-30 - 2014-04-05,68
2014-04-06 - 2014-04-12,76
2014-04-13 - 2014-04-19,71
2014-04-20 - 2014-04-26,70
2014-04-27 - 2014-05-03,77
2014-05-04 - 2014-05-10,79
2014-05-11 - 2014-05-17,80
2014-05-18 - 2014-05-24,100
2014-05-25 - 2014-05-31,89
2014-06-01 - 2014-06-07,71
2014-06-08 - 2014-06-14,68
2014-06-15 - 2014-06-21,62
2014-06-22 - 2014-06-28,63
2014-06-29 - 2014-07-05,58
2014-07-06 - 2014-07-12,59
2014-07-13 - 2014-07-19,51
2014-07-20 - 2014-07-26,52
2014-07-27 - 2014-08-02,48
2014-08-03 - 2014-08-09,68
2014-08-10 - 2014-08-16,58
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,54
2014-08-31 - 2014-09-06,49
2014-09-07 - 2014-09-13,53
2014-09-14 - 2014-09-20,50
2014-09-21 - 2014-09-27,47
2014-09-28 - 2014-10-04,43
2014-10-05 - 2014-10-11,44
2014-10-12 - 2014-10-18,41
2014-10-19 - 2014-10-25,45
2014-10-26 - 2014-11-01,37
2014-11-02 - 2014-11-08,40
2014-11-09 - 2014-11-15,36
2014-11-16 - 2014-11-22,32
2014-11-23 - 2014-11-29,32
2014-11-30 - 2014-12-06,32
2014-12-07 - 2014-12-13,33
2014-12-14 - 2014-12-20,33
2014-12-21 - 2014-12-27,26
2014-12-28 - 2015-01-03,29
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,33
2015-01-18 - 2015-01-24,30
2015-01-25 - 2015-01-31,34
2015-02-01 - 2015-02-07,38
2015-02-08 - 2015-02-14,35
2015-02-15 - 2015-02-21,32
2015-02-22 - 2015-02-28,34
2015-03-01 - 2015-03-07,30
2015-03-08 - 2015-03-14,33
2015-03-15 - 2015-03-21,34
2015-03-22 - 2015-03-28,36
2015-03-29 - 2015-04-04,34
2015-04-05 - 2015-04-11,34
2015-04-12 - 2015-04-18,34
2015-04-19 - 2015-04-25,35
2015-04-26 - 2015-05-02,37
2015-05-03 - 2015-05-09,37
2015-05-10 - 2015-05-16,47
2015-05-17 - 2015-05-23,48
2015-05-24 - 2015-05-30,48
2015-05-31 - 2015-06-06,39
2015-06-07 - 2015-06-13,39
2015-06-14 - 2015-06-20,36
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,36
2015-07-05 - 2015-07-11,38
2015-07-12 - 2015-07-18,38
2015-07-19 - 2015-07-25,36
2015-07-26 - 2015-08-01,40


Top sub-regions for brantley gilbert
Sub-region,brantley gilbert
West Virginia,100
Kentucky,77
Alabama,55
Arkansas,53
South Carolina,48
Tennessee,47
Mississippi,44
Iowa,44
North Dakota,42
North Carolina,40
Georgia,40
Indiana,39
Nebraska,36
Ohio,36
Maine,36
South Dakota,35
Oklahoma,34
Kansas,32
Wisconsin,32
Vermont,32
Missouri,32
Montana,31
Wyoming,31
Louisiana,30
Pennsylvania,25
Michigan,24
Minnesota,22
New Hampshire,21
Idaho,20
Illinois,18
Delaware,17
Florida,17
New Mexico,16
Virginia,15
Colorado,14
Texas,14
Maryland,13
Oregon,11
Washington,11
Alaska,10
Connecticut,10
Utah,10
Rhode Island,9
Massachusetts,9
Arizona,9
New York,9
District of Columbia,7
New Jersey,6
Nevada,6
California,4
Hawaii,3


Top metros for brantley gilbert
Metro,brantley gilbert
Bluefield-Beckley-Oak Hill WV,100
Charleston-Huntington WV,82
Lexington KY,69
Albany GA,56
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,53
Tri-Cities TN-VA,50
Evansville IN,50
Knoxville TN,49
Chattanooga TN,48
Springfield MO,41
Savannah GA,41
Florence-Myrtle Beach SC,40
Macon GA,40
Huntsville-Decatur (Florence) AL,39
Greenville-Spartanburg SC-Asheville NC-Anderson SC,36
Lincoln & Hastings-Kearney NE,35
Greenville-New Bern-Washington NC,35
Roanoke-Lynchburg VA,35
Augusta GA,35
Birmingham AL,35
Little Rock-Pine Bluff AR,33
Peoria-Bloomington IL,33
La Crosse-Eau Claire WI,33
Davenport IA-Rock Island-Moline IL,32
Shreveport LA,31
Champaign & Springfield-Decatur IL,31
Wichita-Hutchinson KS,31
Johnstown-Altoona PA,31
Mobile AL-Pensacola (Ft. Walton Beach) FL,30
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,30
Nashville TN,29
Louisville KY,29
Dayton OH,28
Wilkes Barre-Scranton PA,28
Tallahassee FL-Thomasville GA,28
Sioux Falls(Mitchell) SD,27
Charlotte NC,27
Toledo OH,27
Greensboro-High Point-Winston Salem NC,26
Pittsburgh PA,25
Jacksonville FL,24
Des Moines-Ames IA,24
Columbia SC,23
Green Bay-Appleton WI,23
Cincinnati OH,23
Portland-Auburn ME,22
Tulsa OK,22
Flint-Saginaw-Bay City MI,22
Jackson MS,22
Columbus OH,21
Indianapolis IN,21
Burlington VT-Plattsburgh NY,21
Cleveland-Akron (Canton) OH,21
Omaha NE,20
Grand Rapids-Kalamazoo-Battle Creek MI,20
Raleigh-Durham (Fayetteville) NC,20
Atlanta GA,19
Harrisburg-Lancaster-Lebanon-York PA,19
Memphis TN,19
Oklahoma City OK,19
Madison WI,18
Syracuse NY,18
St. Louis MO,18
Albany-Schenectady-Troy NY,18
Kansas City MO,16
Richmond-Petersburg VA,16
Buffalo NY,14
Milwaukee WI,14
Norfolk-Portsmouth-Newport News VA,14
Minneapolis-St. Paul MN,14
Tampa-St. Petersburg (Sarasota) FL,12
Baltimore MD,10
Detroit MI,10
Salt Lake City UT,9
Orlando-Daytona Beach-Melbourne FL,9
Denver CO,8
Houston TX,8
Hartford & New Haven CT,7
San Antonio TX,7
Boston MA-Manchester NH,7
Dallas-Ft. Worth TX,7
Chicago IL,7
Phoenix AZ,6
Seattle-Tacoma WA,6
Philadelphia PA,6
Washington DC (Hagerstown MD),5
Sacramento-Stockton-Modesto CA,5
Portland OR,5
New York NY,3
Los Angeles CA,2
San Francisco-Oakland-San Jose CA,2
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Providence RI-New Bedford MA,0
Columbus GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Elmira NY,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for brantley gilbert
Town/City,brantley gilbert
Knoxville,100
Columbus,49
Louisville,47
Charlotte,42
Atlanta,31
Houston,22
Chicago,13



Top searches for brantley gilbert
brantley gilbert lyrics,100
country,85
bottoms up,65
jason aldean,45
luke bryan,30
dirt road anthem,30
promised brantley gilbert,25
colt ford,20
you promised,20
eric church,20
take it outside,20
hell on wheels,15
small town throwdown,15
more than miles,15
justin moore,15
florida georgia line,15
saving amy,15
fall into me,15
bottoms up lyrics,15
my kinda crazy,15
best of me,15
brantley gilbert live,10
kickin it,10
my kinda party,10
jake owen,10
country boy,10
grits,10
brantley gilbert grits,10
dierks bentley,5
lee brice,5
halfway to heaven,5
aaron lewis,5
brantley gilbert cover,5
eli young band,5
kip moore,5
thomas rhett,5
rodney atkins,5
randy houser,5



Rising searches for brantley gilbert
bottoms up,Breakout
brantley gilbert lyrics,Breakout
colt ford,Breakout
country,Breakout
dirt road anthem,Breakout
eric church,Breakout
hell on wheels,Breakout
jason aldean,Breakout
luke bryan,Breakout
more than miles,Breakout



