YouTube Search interest: pharrell
United States; Jan 2008 - Jul 2015

Interest over time
Week,pharrell
2009-09-13 - 2009-09-19,4
2009-09-20 - 2009-09-26,3
2009-09-27 - 2009-10-03,4
2009-10-04 - 2009-10-10,4
2009-10-11 - 2009-10-17,3
2009-10-18 - 2009-10-24,4
2009-10-25 - 2009-10-31,4
2009-11-01 - 2009-11-07,4
2009-11-08 - 2009-11-14,4
2009-11-15 - 2009-11-21,4
2009-11-22 - 2009-11-28,3
2009-11-29 - 2009-12-05,3
2009-12-06 - 2009-12-12,3
2009-12-13 - 2009-12-19,4
2009-12-20 - 2009-12-26,3
2009-12-27 - 2010-01-02,4
2010-01-03 - 2010-01-09,4
2010-01-10 - 2010-01-16,4
2010-01-17 - 2010-01-23,3
2010-01-24 - 2010-01-30,4
2010-01-31 - 2010-02-06,4
2010-02-07 - 2010-02-13,4
2010-02-14 - 2010-02-20,3
2010-02-21 - 2010-02-27,4
2010-02-28 - 2010-03-06,4
2010-03-07 - 2010-03-13,3
2010-03-14 - 2010-03-20,3
2010-03-21 - 2010-03-27,3
2010-03-28 - 2010-04-03,4
2010-04-04 - 2010-04-10,4
2010-04-11 - 2010-04-17,3
2010-04-18 - 2010-04-24,4
2010-04-25 - 2010-05-01,4
2010-05-02 - 2010-05-08,3
2010-05-09 - 2010-05-15,3
2010-05-16 - 2010-05-22,3
2010-05-23 - 2010-05-29,3
2010-05-30 - 2010-06-05,4
2010-06-06 - 2010-06-12,3
2010-06-13 - 2010-06-19,3
2010-06-20 - 2010-06-26,4
2010-06-27 - 2010-07-03,4
2010-07-04 - 2010-07-10,4
2010-07-11 - 2010-07-17,6
2010-07-18 - 2010-07-24,5
2010-07-25 - 2010-07-31,4
2010-08-01 - 2010-08-07,4
2010-08-08 - 2010-08-14,4
2010-08-15 - 2010-08-21,4
2010-08-22 - 2010-08-28,4
2010-08-29 - 2010-09-04,4
2010-09-05 - 2010-09-11,3
2010-09-12 - 2010-09-18,5
2010-09-19 - 2010-09-25,4
2010-09-26 - 2010-10-02,4
2010-10-03 - 2010-10-09,5
2010-10-10 - 2010-10-16,4
2010-10-17 - 2010-10-23,5
2010-10-24 - 2010-10-30,4
2010-10-31 - 2010-11-06,4
2010-11-07 - 2010-11-13,4
2010-11-14 - 2010-11-20,4
2010-11-21 - 2010-11-27,4
2010-11-28 - 2010-12-04,4
2010-12-05 - 2010-12-11,4
2010-12-12 - 2010-12-18,4
2010-12-19 - 2010-12-25,4
2010-12-26 - 2011-01-01,4
2011-01-02 - 2011-01-08,5
2011-01-09 - 2011-01-15,5
2011-01-16 - 2011-01-22,4
2011-01-23 - 2011-01-29,4
2011-01-30 - 2011-02-05,4
2011-02-06 - 2011-02-12,5
2011-02-13 - 2011-02-19,4
2011-02-20 - 2011-02-26,4
2011-02-27 - 2011-03-05,4
2011-03-06 - 2011-03-12,4
2011-03-13 - 2011-03-19,4
2011-03-20 - 2011-03-26,4
2011-03-27 - 2011-04-02,4
2011-04-03 - 2011-04-09,4
2011-04-10 - 2011-04-16,4
2011-04-17 - 2011-04-23,4
2011-04-24 - 2011-04-30,4
2011-05-01 - 2011-05-07,4
2011-05-08 - 2011-05-14,3
2011-05-15 - 2011-05-21,3
2011-05-22 - 2011-05-28,3
2011-05-29 - 2011-06-04,3
2011-06-05 - 2011-06-11,4
2011-06-12 - 2011-06-18,3
2011-06-19 - 2011-06-25,4
2011-06-26 - 2011-07-02,4
2011-07-03 - 2011-07-09,4
2011-07-10 - 2011-07-16,4
2011-07-17 - 2011-07-23,4
2011-07-24 - 2011-07-30,3
2011-07-31 - 2011-08-06,3
2011-08-07 - 2011-08-13,3
2011-08-14 - 2011-08-20,3
2011-08-21 - 2011-08-27,3
2011-08-28 - 2011-09-03,3
2011-09-04 - 2011-09-10,4
2011-09-11 - 2011-09-17,4
2011-09-18 - 2011-09-24,4
2011-09-25 - 2011-10-01,3
2011-10-02 - 2011-10-08,3
2011-10-09 - 2011-10-15,3
2011-10-16 - 2011-10-22,3
2011-10-23 - 2011-10-29,3
2011-10-30 - 2011-11-05,3
2011-11-06 - 2011-11-12,2
2011-11-13 - 2011-11-19,3
2011-11-20 - 2011-11-26,2
2011-11-27 - 2011-12-03,3
2011-12-04 - 2011-12-10,3
2011-12-11 - 2011-12-17,3
2011-12-18 - 2011-12-24,3
2011-12-25 - 2011-12-31,3
2012-01-01 - 2012-01-07,3
2012-01-08 - 2012-01-14,3
2012-01-15 - 2012-01-21,3
2012-01-22 - 2012-01-28,3
2012-01-29 - 2012-02-04,3
2012-02-05 - 2012-02-11,3
2012-02-12 - 2012-02-18,2
2012-02-19 - 2012-02-25,3
2012-02-26 - 2012-03-03,3
2012-03-04 - 2012-03-10,3
2012-03-11 - 2012-03-17,3
2012-03-18 - 2012-03-24,3
2012-03-25 - 2012-03-31,3
2012-04-01 - 2012-04-07,3
2012-04-08 - 2012-04-14,2
2012-04-15 - 2012-04-21,3
2012-04-22 - 2012-04-28,3
2012-04-29 - 2012-05-05,3
2012-05-06 - 2012-05-12,2
2012-05-13 - 2012-05-19,2
2012-05-20 - 2012-05-26,3
2012-05-27 - 2012-06-02,2
2012-06-03 - 2012-06-09,3
2012-06-10 - 2012-06-16,4
2012-06-17 - 2012-06-23,2
2012-06-24 - 2012-06-30,3
2012-07-01 - 2012-07-07,3
2012-07-08 - 2012-07-14,3
2012-07-15 - 2012-07-21,3
2012-07-22 - 2012-07-28,3
2012-07-29 - 2012-08-04,2
2012-08-05 - 2012-08-11,2
2012-08-12 - 2012-08-18,2
2012-08-19 - 2012-08-25,3
2012-08-26 - 2012-09-01,2
2012-09-02 - 2012-09-08,2
2012-09-09 - 2012-09-15,2
2012-09-16 - 2012-09-22,2
2012-09-23 - 2012-09-29,2
2012-09-30 - 2012-10-06,2
2012-10-07 - 2012-10-13,2
2012-10-14 - 2012-10-20,2
2012-10-21 - 2012-10-27,2
2012-10-28 - 2012-11-03,2
2012-11-04 - 2012-11-10,2
2012-11-11 - 2012-11-17,2
2012-11-18 - 2012-11-24,2
2012-11-25 - 2012-12-01,2
2012-12-02 - 2012-12-08,2
2012-12-09 - 2012-12-15,2
2012-12-16 - 2012-12-22,2
2012-12-23 - 2012-12-29,2
2012-12-30 - 2013-01-05,2
2013-01-06 - 2013-01-12,2
2013-01-13 - 2013-01-19,2
2013-01-20 - 2013-01-26,2
2013-01-27 - 2013-02-02,2
2013-02-03 - 2013-02-09,2
2013-02-10 - 2013-02-16,2
2013-02-17 - 2013-02-23,2
2013-02-24 - 2013-03-02,2
2013-03-03 - 2013-03-09,2
2013-03-10 - 2013-03-16,2
2013-03-17 - 2013-03-23,3
2013-03-24 - 2013-03-30,3
2013-03-31 - 2013-04-06,3
2013-04-07 - 2013-04-13,3
2013-04-14 - 2013-04-20,10
2013-04-21 - 2013-04-27,8
2013-04-28 - 2013-05-04,6
2013-05-05 - 2013-05-11,6
2013-05-12 - 2013-05-18,8
2013-05-19 - 2013-05-25,8
2013-05-26 - 2013-06-01,8
2013-06-02 - 2013-06-08,8
2013-06-09 - 2013-06-15,9
2013-06-16 - 2013-06-22,14
2013-06-23 - 2013-06-29,10
2013-06-30 - 2013-07-06,12
2013-07-07 - 2013-07-13,10
2013-07-14 - 2013-07-20,8
2013-07-21 - 2013-07-27,8
2013-07-28 - 2013-08-03,8
2013-08-04 - 2013-08-10,12
2013-08-11 - 2013-08-17,11
2013-08-18 - 2013-08-24,7
2013-08-25 - 2013-08-31,6
2013-09-01 - 2013-09-07,5
2013-09-08 - 2013-09-14,4
2013-09-15 - 2013-09-21,4
2013-09-22 - 2013-09-28,4
2013-09-29 - 2013-10-05,3
2013-10-06 - 2013-10-12,3
2013-10-13 - 2013-10-19,3
2013-10-20 - 2013-10-26,3
2013-10-27 - 2013-11-02,3
2013-11-03 - 2013-11-09,3
2013-11-10 - 2013-11-16,3
2013-11-17 - 2013-11-23,5
2013-11-24 - 2013-11-30,6
2013-12-01 - 2013-12-07,4
2013-12-08 - 2013-12-14,4
2013-12-15 - 2013-12-21,5
2013-12-22 - 2013-12-28,4
2013-12-29 - 2014-01-04,6
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,13
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,35
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,44
2014-02-16 - 2014-02-22,61
2014-02-23 - 2014-03-01,74
2014-03-02 - 2014-03-08,100
2014-03-09 - 2014-03-15,74
2014-03-16 - 2014-03-22,81
2014-03-23 - 2014-03-29,70
2014-03-30 - 2014-04-05,62
2014-04-06 - 2014-04-12,63
2014-04-13 - 2014-04-19,80
2014-04-20 - 2014-04-26,70
2014-04-27 - 2014-05-03,56
2014-05-04 - 2014-05-10,51
2014-05-11 - 2014-05-17,45
2014-05-18 - 2014-05-24,46
2014-05-25 - 2014-05-31,39
2014-06-01 - 2014-06-07,41
2014-06-08 - 2014-06-14,33
2014-06-15 - 2014-06-21,30
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,27
2014-07-06 - 2014-07-12,23
2014-07-13 - 2014-07-19,28
2014-07-20 - 2014-07-26,28
2014-07-27 - 2014-08-02,22
2014-08-03 - 2014-08-09,22
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,18
2014-08-31 - 2014-09-06,16
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,16
2014-10-19 - 2014-10-25,15
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,13
2014-11-09 - 2014-11-15,12
2014-11-16 - 2014-11-22,12
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,12
2014-12-07 - 2014-12-13,11
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,10
2015-01-04 - 2015-01-10,10
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,9
2015-01-25 - 2015-01-31,9
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,10
2015-02-22 - 2015-02-28,11
2015-03-01 - 2015-03-07,13
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,11
2015-03-22 - 2015-03-28,11
2015-03-29 - 2015-04-04,11
2015-04-05 - 2015-04-11,10
2015-04-12 - 2015-04-18,10
2015-04-19 - 2015-04-25,9
2015-04-26 - 2015-05-02,9
2015-05-03 - 2015-05-09,9
2015-05-10 - 2015-05-16,10
2015-05-17 - 2015-05-23,10
2015-05-24 - 2015-05-30,9
2015-05-31 - 2015-06-06,9
2015-06-07 - 2015-06-13,7
2015-06-14 - 2015-06-20,8
2015-06-21 - 2015-06-27,7
2015-06-28 - 2015-07-04,8
2015-07-05 - 2015-07-11,8
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,7
2015-07-26 - 2015-08-01,7


Top sub-regions for pharrell
Sub-region,pharrell
Maryland,100
New York,98
Delaware,94
North Carolina,93
South Carolina,91
Georgia,88
District of Columbia,85
Florida,83
California,80
Michigan,80
Pennsylvania,79
Arizona,79
New Jersey,79
Louisiana,77
Indiana,76
Ohio,74
Texas,74
Connecticut,74
Illinois,74
Iowa,74
Hawaii,73
Oregon,72
Alabama,72
Wisconsin,72
Rhode Island,71
Massachusetts,71
Nevada,71
Minnesota,70
Colorado,70
Missouri,69
Washington,69
Kentucky,69
Tennessee,67
Arkansas,67
Virginia,67
Vermont,67
Kansas,67
Maine,66
Oklahoma,65
New Mexico,65
Mississippi,64
Idaho,63
South Dakota,63
Nebraska,63
West Virginia,62
New Hampshire,62
Utah,60
Wyoming,60
Montana,59
Alaska,58
North Dakota,55


Top metros for pharrell
Metro,pharrell
Norfolk-Portsmouth-Newport News VA,100
Columbia SC,81
New York NY,79
Richmond-Petersburg VA,78
Raleigh-Durham (Fayetteville) NC,72
Greensboro-High Point-Winston Salem NC,69
Baltimore MD,68
Los Angeles CA,66
Miami-Ft. Lauderdale FL,66
Charlotte NC,65
Buffalo NY,63
Philadelphia PA,63
Memphis TN,63
West Palm Beach-Ft. Pierce FL,63
New Orleans LA,62
Harlingen-Weslaco-Brownsville-McAllen TX,62
Tucson (Sierra Vista) AZ,62
Cleveland-Akron (Canton) OH,62
Atlanta GA,61
Sacramento-Stockton-Modesto CA,60
Portland OR,60
Grand Rapids-Kalamazoo-Battle Creek MI,60
Las Vegas NV,60
Orlando-Daytona Beach-Melbourne FL,59
Phoenix AZ,59
San Diego CA,58
Honolulu HI,58
Detroit MI,58
Chicago IL,57
Greenville-Spartanburg SC-Asheville NC-Anderson SC,57
Syracuse NY,56
Seattle-Tacoma WA,56
Milwaukee WI,56
Cincinnati OH,56
Minneapolis-St. Paul MN,55
Harrisburg-Lancaster-Lebanon-York PA,55
Madison WI,55
Tampa-St. Petersburg (Sarasota) FL,55
Denver CO,55
Oklahoma City OK,55
Hartford & New Haven CT,55
Rochester NY,55
San Antonio TX,54
Providence RI-New Bedford MA,54
Washington DC (Hagerstown MD),54
Austin TX,54
Birmingham AL,54
Houston TX,53
Boston MA-Manchester NH,53
Albany-Schenectady-Troy NY,52
Jacksonville FL,52
Columbus OH,52
St. Louis MO,52
Pittsburgh PA,52
Dallas-Ft. Worth TX,51
Albuquerque-Santa Fe NM,51
Louisville KY,51
Indianapolis IN,49
Fresno-Visalia CA,49
Kansas City MO,49
Nashville TN,49
Salt Lake City UT,44
San Francisco-Oakland-San Jose CA,40
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for pharrell
Town/City,pharrell
New York,100
Philadelphia,76
Washington,73
Los Angeles,73
Charlotte,71
Houston,60
San Diego,60
Chicago,58
Atlanta,57
Boston,56
San Antonio,55
Austin,53
Irvine,53
San Francisco,50
Portland,49



Top searches for pharrell
happy pharrell,100
happy,100
pharrell williams,30
happy pharrell lyrics,20
happy pharrell williams,10
snoop dogg pharrell,10
snoop dogg,10
pharrell beautiful,10
frontin pharrell,10
jay z pharrell,5
happy song,5
pharrell daft punk,5
daft punk,5
get lucky pharrell,5
get lucky,5
girl pharrell,5
robin thicke,5
snoop dogg beautiful,5
blurred lines,5
pharell,5
despicable me pharrell,5
despicable me,5
pharrell instrumental,5
number one pharrell,0
number one,0
pharrel,0
happy by pharrell,0
pharrell interview,0
clipse,0
despicable me 2,0
swedish house mafia,0



Rising searches for pharrell
daft punk,Breakout
happy,Breakout
happy pharrell,Breakout
happy pharrell lyrics,Breakout
happy pharrell williams,Breakout
happy song,Breakout
pharrell daft punk,Breakout
pharrell williams,+250%
pharrell beautiful,+90%
frontin pharrell,+50%



