YouTube Search interest: theory of a deadman
United States; Jan 2008 - Jul 2015

Interest over time
Week,theory of a deadman
2010-10-17 - 2010-10-23,35
2010-10-24 - 2010-10-30,37
2010-10-31 - 2010-11-06,36
2010-11-07 - 2010-11-13,42
2010-11-14 - 2010-11-20,37
2010-11-21 - 2010-11-27,36
2010-11-28 - 2010-12-04,32
2010-12-05 - 2010-12-11,35
2010-12-12 - 2010-12-18,33
2010-12-19 - 2010-12-25,31
2010-12-26 - 2011-01-01,27
2011-01-02 - 2011-01-08,37
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,47
2011-01-23 - 2011-01-29,41
2011-01-30 - 2011-02-05,42
2011-02-06 - 2011-02-12,43
2011-02-13 - 2011-02-19,46
2011-02-20 - 2011-02-26,44
2011-02-27 - 2011-03-05,44
2011-03-06 - 2011-03-12,40
2011-03-13 - 2011-03-19,42
2011-03-20 - 2011-03-26,43
2011-03-27 - 2011-04-02,45
2011-04-03 - 2011-04-09,44
2011-04-10 - 2011-04-16,40
2011-04-17 - 2011-04-23,46
2011-04-24 - 2011-04-30,46
2011-05-01 - 2011-05-07,39
2011-05-08 - 2011-05-14,46
2011-05-15 - 2011-05-21,46
2011-05-22 - 2011-05-28,50
2011-05-29 - 2011-06-04,52
2011-06-05 - 2011-06-11,57
2011-06-12 - 2011-06-18,59
2011-06-19 - 2011-06-25,60
2011-06-26 - 2011-07-02,60
2011-07-03 - 2011-07-09,65
2011-07-10 - 2011-07-16,77
2011-07-17 - 2011-07-23,75
2011-07-24 - 2011-07-30,72
2011-07-31 - 2011-08-06,76
2011-08-07 - 2011-08-13,78
2011-08-14 - 2011-08-20,71
2011-08-21 - 2011-08-27,74
2011-08-28 - 2011-09-03,81
2011-09-04 - 2011-09-10,68
2011-09-11 - 2011-09-17,74
2011-09-18 - 2011-09-24,74
2011-09-25 - 2011-10-01,71
2011-10-02 - 2011-10-08,76
2011-10-09 - 2011-10-15,71
2011-10-16 - 2011-10-22,72
2011-10-23 - 2011-10-29,71
2011-10-30 - 2011-11-05,67
2011-11-06 - 2011-11-12,70
2011-11-13 - 2011-11-19,69
2011-11-20 - 2011-11-26,64
2011-11-27 - 2011-12-03,63
2011-12-04 - 2011-12-10,64
2011-12-11 - 2011-12-17,60
2011-12-18 - 2011-12-24,52
2011-12-25 - 2011-12-31,54
2012-01-01 - 2012-01-07,59
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,56
2012-01-22 - 2012-01-28,62
2012-01-29 - 2012-02-04,60
2012-02-05 - 2012-02-11,59
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,55
2012-02-26 - 2012-03-03,57
2012-03-04 - 2012-03-10,56
2012-03-11 - 2012-03-17,57
2012-03-18 - 2012-03-24,56
2012-03-25 - 2012-03-31,59
2012-04-01 - 2012-04-07,56
2012-04-08 - 2012-04-14,57
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,58
2012-04-29 - 2012-05-05,53
2012-05-06 - 2012-05-12,56
2012-05-13 - 2012-05-19,57
2012-05-20 - 2012-05-26,58
2012-05-27 - 2012-06-02,53
2012-06-03 - 2012-06-09,55
2012-06-10 - 2012-06-16,50
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,52
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,50
2012-07-15 - 2012-07-21,46
2012-07-22 - 2012-07-28,47
2012-07-29 - 2012-08-04,50
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,44
2012-08-19 - 2012-08-25,44
2012-08-26 - 2012-09-01,46
2012-09-02 - 2012-09-08,44
2012-09-09 - 2012-09-15,45
2012-09-16 - 2012-09-22,41
2012-09-23 - 2012-09-29,40
2012-09-30 - 2012-10-06,43
2012-10-07 - 2012-10-13,39
2012-10-14 - 2012-10-20,41
2012-10-21 - 2012-10-27,37
2012-10-28 - 2012-11-03,43
2012-11-04 - 2012-11-10,42
2012-11-11 - 2012-11-17,34
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,33
2012-12-02 - 2012-12-08,30
2012-12-09 - 2012-12-15,32
2012-12-16 - 2012-12-22,31
2012-12-23 - 2012-12-29,36
2012-12-30 - 2013-01-05,34
2013-01-06 - 2013-01-12,33
2013-01-13 - 2013-01-19,30
2013-01-20 - 2013-01-26,32
2013-01-27 - 2013-02-02,34
2013-02-03 - 2013-02-09,38
2013-02-10 - 2013-02-16,36
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,35
2013-03-03 - 2013-03-09,34
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,35
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,32
2013-04-07 - 2013-04-13,27
2013-04-14 - 2013-04-20,31
2013-04-21 - 2013-04-27,34
2013-04-28 - 2013-05-04,28
2013-05-05 - 2013-05-11,27
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,33
2013-06-09 - 2013-06-15,27
2013-06-16 - 2013-06-22,26
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,29
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,26
2013-08-04 - 2013-08-10,30
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,28
2013-08-25 - 2013-08-31,30
2013-09-01 - 2013-09-07,27
2013-09-08 - 2013-09-14,27
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,24
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,22
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,26
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,24
2013-12-08 - 2013-12-14,22
2013-12-15 - 2013-12-21,22
2013-12-22 - 2013-12-28,20
2013-12-29 - 2014-01-04,24
2014-01-05 - 2014-01-11,19
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,25
2014-01-26 - 2014-02-01,20
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,21
2014-02-16 - 2014-02-22,22
2014-02-23 - 2014-03-01,23
2014-03-02 - 2014-03-08,25
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,22
2014-03-30 - 2014-04-05,21
2014-04-06 - 2014-04-12,25
2014-04-13 - 2014-04-19,24
2014-04-20 - 2014-04-26,26
2014-04-27 - 2014-05-03,26
2014-05-04 - 2014-05-10,26
2014-05-11 - 2014-05-17,25
2014-05-18 - 2014-05-24,28
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,24
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,33
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,28
2014-07-20 - 2014-07-26,32
2014-07-27 - 2014-08-02,37
2014-08-03 - 2014-08-09,33
2014-08-10 - 2014-08-16,31
2014-08-17 - 2014-08-23,28
2014-08-24 - 2014-08-30,32
2014-08-31 - 2014-09-06,27
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,25
2014-09-21 - 2014-09-27,25
2014-09-28 - 2014-10-04,28
2014-10-05 - 2014-10-11,23
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,25
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,22
2014-11-09 - 2014-11-15,20
2014-11-16 - 2014-11-22,20
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,19
2014-12-07 - 2014-12-13,23
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,18
2015-01-04 - 2015-01-10,20
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,25
2015-02-01 - 2015-02-07,17
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,24
2015-03-08 - 2015-03-14,22
2015-03-15 - 2015-03-21,24
2015-03-22 - 2015-03-28,24
2015-03-29 - 2015-04-04,27
2015-04-05 - 2015-04-11,24
2015-04-12 - 2015-04-18,25
2015-04-19 - 2015-04-25,26
2015-04-26 - 2015-05-02,27
2015-05-03 - 2015-05-09,28
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,27
2015-05-31 - 2015-06-06,25
2015-06-07 - 2015-06-13,25
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,25
2015-07-26 - 2015-08-01,25


Top sub-regions for theory of a deadman
Sub-region,theory of a deadman
South Dakota,100
North Dakota,96
Maine,85
West Virginia,84
Iowa,83
Wyoming,79
Montana,73
Kentucky,72
Nebraska,64
Wisconsin,63
Missouri,61
Kansas,60
Michigan,57
Indiana,57
Ohio,53
Arkansas,53
Tennessee,52
Minnesota,50
Idaho,50
Alabama,48
Oklahoma,47
New Hampshire,43
Vermont,43
Mississippi,42
Pennsylvania,41
South Carolina,40
North Carolina,37
Alaska,37
Louisiana,33
Illinois,32
Georgia,32
Colorado,30
Washington,30
New Mexico,29
Utah,28
Texas,26
Arizona,23
Oregon,23
Virginia,22
Nevada,22
Delaware,22
Connecticut,22
Florida,21
Maryland,20
Rhode Island,20
Massachusetts,20
New York,19
District of Columbia,18
New Jersey,17
California,10
Hawaii,9


Top metros for theory of a deadman
Metro,theory of a deadman
Charleston-Huntington WV,100
Lexington KY,84
Green Bay-Appleton WI,76
Dayton OH,71
Wilkes Barre-Scranton PA,68
Omaha NE,65
Grand Rapids-Kalamazoo-Battle Creek MI,65
Kansas City MO,56
Harrisburg-Lancaster-Lebanon-York PA,56
Buffalo NY,51
Louisville KY,51
Nashville TN,49
Indianapolis IN,49
Pittsburgh PA,48
Cleveland-Akron (Canton) OH,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,47
Columbus OH,44
St. Louis MO,44
Minneapolis-St. Paul MN,42
Greensboro-High Point-Winston Salem NC,41
Cincinnati OH,41
Charlotte NC,36
Milwaukee WI,35
Detroit MI,35
Denver CO,31
Salt Lake City UT,30
Raleigh-Durham (Fayetteville) NC,29
Hartford & New Haven CT,26
Atlanta GA,25
Seattle-Tacoma WA,25
Chicago IL,24
Orlando-Daytona Beach-Melbourne FL,24
Boston MA-Manchester NH,23
Tampa-St. Petersburg (Sarasota) FL,22
Philadelphia PA,20
Phoenix AZ,20
Dallas-Ft. Worth TX,19
Houston TX,19
Sacramento-Stockton-Modesto CA,18
Washington DC (Hagerstown MD),18
Portland OR,18
New York NY,13
Los Angeles CA,7
San Francisco-Oakland-San Jose CA,7
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for theory of a deadman
Town/City,theory of a deadman
Kansas City,100
St. Louis,94
Herndon,89
Omaha,88
Columbus,85
Indianapolis,81
Ashburn,75
Oklahoma City,73
Minneapolis,65
Atlanta,59
Denver,53
Richardson,51
Orlando,49
Charlotte,49
Phoenix,48



Top searches for theory of a deadman
bad girlfriend,100
all or nothing,35
hate my life,35
low life,20
wait for me,20
bad girlfriend lyrics,20
santa monica,15
by the way,10
lowlife,10
hinder,10
so happy,5
saving abel,5
little smirk,5
my darkest days,5
addicted saving abel,0
black stone cherry,0
rev theory,0



Rising searches for theory of a deadman
all or nothing,Breakout
bad girlfriend,Breakout
bad girlfriend lyrics,Breakout
by the way,Breakout
hate my life,Breakout
low life,Breakout
lowlife,Breakout
santa monica,Breakout
wait for me,Breakout



