YouTube Search interest: young money
United States; Jan 2008 - Jul 2015

Interest over time
Week,young money
2012-07-08 - 2012-07-14,9
2012-07-15 - 2012-07-21,9
2012-07-22 - 2012-07-28,8
2012-07-29 - 2012-08-04,8
2012-08-05 - 2012-08-11,8
2012-08-12 - 2012-08-18,7
2012-08-19 - 2012-08-25,7
2012-08-26 - 2012-09-01,8
2012-09-02 - 2012-09-08,7
2012-09-09 - 2012-09-15,6
2012-09-16 - 2012-09-22,6
2012-09-23 - 2012-09-29,6
2012-09-30 - 2012-10-06,6
2012-10-07 - 2012-10-13,8
2012-10-14 - 2012-10-20,8
2012-10-21 - 2012-10-27,7
2012-10-28 - 2012-11-03,7
2012-11-04 - 2012-11-10,6
2012-11-11 - 2012-11-17,7
2012-11-18 - 2012-11-24,7
2012-11-25 - 2012-12-01,6
2012-12-02 - 2012-12-08,6
2012-12-09 - 2012-12-15,6
2012-12-16 - 2012-12-22,6
2012-12-23 - 2012-12-29,7
2012-12-30 - 2013-01-05,6
2013-01-06 - 2013-01-12,6
2013-01-13 - 2013-01-19,5
2013-01-20 - 2013-01-26,6
2013-01-27 - 2013-02-02,5
2013-02-03 - 2013-02-09,6
2013-02-10 - 2013-02-16,6
2013-02-17 - 2013-02-23,5
2013-02-24 - 2013-03-02,6
2013-03-03 - 2013-03-09,5
2013-03-10 - 2013-03-16,6
2013-03-17 - 2013-03-23,5
2013-03-24 - 2013-03-30,6
2013-03-31 - 2013-04-06,6
2013-04-07 - 2013-04-13,6
2013-04-14 - 2013-04-20,5
2013-04-21 - 2013-04-27,6
2013-04-28 - 2013-05-04,5
2013-05-05 - 2013-05-11,5
2013-05-12 - 2013-05-18,6
2013-05-19 - 2013-05-25,6
2013-05-26 - 2013-06-01,5
2013-06-02 - 2013-06-08,6
2013-06-09 - 2013-06-15,6
2013-06-16 - 2013-06-22,5
2013-06-23 - 2013-06-29,6
2013-06-30 - 2013-07-06,5
2013-07-07 - 2013-07-13,6
2013-07-14 - 2013-07-20,5
2013-07-21 - 2013-07-27,5
2013-07-28 - 2013-08-03,5
2013-08-04 - 2013-08-10,5
2013-08-11 - 2013-08-17,5
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,5
2013-09-01 - 2013-09-07,5
2013-09-08 - 2013-09-14,4
2013-09-15 - 2013-09-21,5
2013-09-22 - 2013-09-28,4
2013-09-29 - 2013-10-05,5
2013-10-06 - 2013-10-12,4
2013-10-13 - 2013-10-19,4
2013-10-20 - 2013-10-26,5
2013-10-27 - 2013-11-02,5
2013-11-03 - 2013-11-09,5
2013-11-10 - 2013-11-16,5
2013-11-17 - 2013-11-23,5
2013-11-24 - 2013-11-30,5
2013-12-01 - 2013-12-07,5
2013-12-08 - 2013-12-14,5
2013-12-15 - 2013-12-21,5
2013-12-22 - 2013-12-28,5
2013-12-29 - 2014-01-04,5
2014-01-05 - 2014-01-11,5
2014-01-12 - 2014-01-18,5
2014-01-19 - 2014-01-25,5
2014-01-26 - 2014-02-01,5
2014-02-02 - 2014-02-08,6
2014-02-09 - 2014-02-15,5
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,7
2014-03-09 - 2014-03-15,9
2014-03-16 - 2014-03-22,9
2014-03-23 - 2014-03-29,8
2014-03-30 - 2014-04-05,7
2014-04-06 - 2014-04-12,7
2014-04-13 - 2014-04-19,7
2014-04-20 - 2014-04-26,9
2014-04-27 - 2014-05-03,9
2014-05-04 - 2014-05-10,7
2014-05-11 - 2014-05-17,8
2014-05-18 - 2014-05-24,8
2014-05-25 - 2014-05-31,7
2014-06-01 - 2014-06-07,7
2014-06-08 - 2014-06-14,7
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,7
2014-06-29 - 2014-07-05,8
2014-07-06 - 2014-07-12,7
2014-07-13 - 2014-07-19,9
2014-07-20 - 2014-07-26,7
2014-07-27 - 2014-08-02,7
2014-08-03 - 2014-08-09,7
2014-08-10 - 2014-08-16,6
2014-08-17 - 2014-08-23,6
2014-08-24 - 2014-08-30,8
2014-08-31 - 2014-09-06,8
2014-09-07 - 2014-09-13,9
2014-09-14 - 2014-09-20,8
2014-09-21 - 2014-09-27,9
2014-09-28 - 2014-10-04,7
2014-10-05 - 2014-10-11,7
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,7
2014-10-26 - 2014-11-01,6
2014-11-02 - 2014-11-08,6
2014-11-09 - 2014-11-15,7
2014-11-16 - 2014-11-22,6
2014-11-23 - 2014-11-29,5
2014-11-30 - 2014-12-06,5
2014-12-07 - 2014-12-13,6
2014-12-14 - 2014-12-20,5
2014-12-21 - 2014-12-27,5
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,5
2015-01-18 - 2015-01-24,4
2015-01-25 - 2015-01-31,5
2015-02-01 - 2015-02-07,5
2015-02-08 - 2015-02-14,4
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,4
2015-03-01 - 2015-03-07,4
2015-03-08 - 2015-03-14,5
2015-03-15 - 2015-03-21,7
2015-03-22 - 2015-03-28,5
2015-03-29 - 2015-04-04,4
2015-04-05 - 2015-04-11,5
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,5
2015-04-26 - 2015-05-02,4
2015-05-03 - 2015-05-09,5
2015-05-10 - 2015-05-16,5
2015-05-17 - 2015-05-23,4
2015-05-24 - 2015-05-30,5
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,4
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,4
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,4
2015-07-19 - 2015-07-25,3
2015-07-26 - 2015-08-01,3


Top sub-regions for young money
Sub-region,young money
Louisiana,100
Mississippi,91
Georgia,85
District of Columbia,84
Alabama,77
South Carolina,73
North Carolina,70
Florida,68
Missouri,66
Maryland,62
Ohio,62
Michigan,62
Kentucky,62
Vermont,61
Tennessee,58
New York,58
Texas,57
Illinois,57
Pennsylvania,56
Rhode Island,56
Arkansas,56
Delaware,54
New Jersey,54
Indiana,54
Virginia,53
Massachusetts,51
Wisconsin,50
Connecticut,48
South Dakota,47
Kansas,46
Arizona,46
Minnesota,45
Oklahoma,44
Nevada,43
Iowa,42
New Mexico,41
West Virginia,40
Nebraska,40
California,39
Colorado,39
New Hampshire,38
Washington,37
Maine,36
North Dakota,36
Alaska,32
Wyoming,31
Hawaii,31
Montana,27
Oregon,24
Idaho,24
Utah,21


Top metros for young money
Metro,young money
New Orleans LA,100
Jackson MS,85
Baton Rouge LA,72
Columbia SC,71
Memphis TN,68
West Palm Beach-Ft. Pierce FL,68
Atlanta GA,64
Louisville KY,63
Raleigh-Durham (Fayetteville) NC,60
Birmingham AL,57
Savannah GA,56
Miami-Ft. Lauderdale FL,55
St. Louis MO,54
Greensboro-High Point-Winston Salem NC,54
Little Rock-Pine Bluff AR,53
Dallas-Ft. Worth TX,52
Philadelphia PA,52
Mobile AL-Pensacola (Ft. Walton Beach) FL,52
Richmond-Petersburg VA,50
Baltimore MD,50
Orlando-Daytona Beach-Melbourne FL,49
Burlington VT-Plattsburgh NY,49
Detroit MI,49
Norfolk-Portsmouth-Newport News VA,48
Tampa-St. Petersburg (Sarasota) FL,48
Cleveland-Akron (Canton) OH,47
Cincinnati OH,46
Charlotte NC,46
Greenville-Spartanburg SC-Asheville NC-Anderson SC,46
Chicago IL,46
Jacksonville FL,45
Kansas City MO,45
Toledo OH,44
New York NY,44
Washington DC (Hagerstown MD),44
Rochester NY,44
Grand Rapids-Kalamazoo-Battle Creek MI,44
Dayton OH,43
Columbus OH,42
Milwaukee WI,41
Houston TX,41
Boston MA-Manchester NH,39
Nashville TN,39
San Antonio TX,39
Providence RI-New Bedford MA,38
Indianapolis IN,38
Wilkes Barre-Scranton PA,37
Tucson (Sierra Vista) AZ,37
Pittsburgh PA,37
Phoenix AZ,37
Fresno-Visalia CA,37
Los Angeles CA,36
Syracuse NY,36
Albany-Schenectady-Troy NY,35
Oklahoma City OK,35
Buffalo NY,35
Madison WI,35
Sacramento-Stockton-Modesto CA,34
Hartford & New Haven CT,33
Las Vegas NV,33
Minneapolis-St. Paul MN,33
Albuquerque-Santa Fe NM,30
Denver CO,30
Seattle-Tacoma WA,29
Harrisburg-Lancaster-Lebanon-York PA,28
Austin TX,28
San Diego CA,25
Honolulu HI,25
San Francisco-Oakland-San Jose CA,21
Salt Lake City UT,20
Portland OR,19
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for young money
Town/City,young money
Delray Beach,100
New Orleans,84
Norfolk,67
Atlanta,66
Ashburn,60
Detroit,53
St. Louis,52
Reston,52
Herndon,52
Louisville,50
Miami,49
Washington,48
Richardson,47
Tampa,47
Cincinnati,45



Top searches for young money
lil wayne,100
bedrock young money,90
bedrock,90
young money lyrics,60
roger that,50
young jeezy,45
new young money,30
bed rock,20
bedrock lyrics,20
we are young,15
bedrock lil wayne,15
gucci mane,15
pass the dutch,15
young thug,15
tyga young money,15
young money instrumental,15
j money,10
young money cartoon,10
young money finale,10
finale,10
young forever,10
roger that video,10
good young money,10
everygirl young money,10
about the money,10
every girl,5
cash money,5
young money 2011,5
young dro,5
lil twist,5
steady mobbin,5
young buck,5
young money album,5
its young money,5
yung money,5
over drake,5
young la,5
young money salute,5



Rising searches for young money
bed rock,Breakout
bedrock,Breakout
bedrock lil wayne,Breakout
bedrock lyrics,Breakout
bedrock young money,Breakout
pass the dutch,Breakout
roger that,Breakout
we are young,Breakout
young money lyrics,Breakout
new young money,+150%



