YouTube Search interest: blake shelton
United States; Jan 2008 - Jul 2015

Interest over time
Week,blake shelton
2010-04-11 - 2010-04-17,10
2010-04-18 - 2010-04-24,12
2010-04-25 - 2010-05-01,11
2010-05-02 - 2010-05-08,11
2010-05-09 - 2010-05-15,13
2010-05-16 - 2010-05-22,11
2010-05-23 - 2010-05-29,10
2010-05-30 - 2010-06-05,11
2010-06-06 - 2010-06-12,12
2010-06-13 - 2010-06-19,13
2010-06-20 - 2010-06-26,11
2010-06-27 - 2010-07-03,12
2010-07-04 - 2010-07-10,12
2010-07-11 - 2010-07-17,13
2010-07-18 - 2010-07-24,13
2010-07-25 - 2010-07-31,12
2010-08-01 - 2010-08-07,12
2010-08-08 - 2010-08-14,15
2010-08-15 - 2010-08-21,13
2010-08-22 - 2010-08-28,13
2010-08-29 - 2010-09-04,14
2010-09-05 - 2010-09-11,13
2010-09-12 - 2010-09-18,13
2010-09-19 - 2010-09-25,11
2010-09-26 - 2010-10-02,14
2010-10-03 - 2010-10-09,17
2010-10-10 - 2010-10-16,16
2010-10-17 - 2010-10-23,19
2010-10-24 - 2010-10-30,17
2010-10-31 - 2010-11-06,17
2010-11-07 - 2010-11-13,27
2010-11-14 - 2010-11-20,22
2010-11-21 - 2010-11-27,22
2010-11-28 - 2010-12-04,23
2010-12-05 - 2010-12-11,26
2010-12-12 - 2010-12-18,22
2010-12-19 - 2010-12-25,22
2010-12-26 - 2011-01-01,21
2011-01-02 - 2011-01-08,27
2011-01-09 - 2011-01-15,27
2011-01-16 - 2011-01-22,23
2011-01-23 - 2011-01-29,27
2011-01-30 - 2011-02-05,27
2011-02-06 - 2011-02-12,26
2011-02-13 - 2011-02-19,29
2011-02-20 - 2011-02-26,25
2011-02-27 - 2011-03-05,25
2011-03-06 - 2011-03-12,25
2011-03-13 - 2011-03-19,23
2011-03-20 - 2011-03-26,23
2011-03-27 - 2011-04-02,24
2011-04-03 - 2011-04-09,57
2011-04-10 - 2011-04-16,50
2011-04-17 - 2011-04-23,46
2011-04-24 - 2011-04-30,57
2011-05-01 - 2011-05-07,67
2011-05-08 - 2011-05-14,70
2011-05-15 - 2011-05-21,74
2011-05-22 - 2011-05-28,71
2011-05-29 - 2011-06-04,70
2011-06-05 - 2011-06-11,83
2011-06-12 - 2011-06-18,78
2011-06-19 - 2011-06-25,88
2011-06-26 - 2011-07-02,95
2011-07-03 - 2011-07-09,80
2011-07-10 - 2011-07-16,92
2011-07-17 - 2011-07-23,82
2011-07-24 - 2011-07-30,87
2011-07-31 - 2011-08-06,86
2011-08-07 - 2011-08-13,83
2011-08-14 - 2011-08-20,81
2011-08-21 - 2011-08-27,80
2011-08-28 - 2011-09-03,82
2011-09-04 - 2011-09-10,82
2011-09-11 - 2011-09-17,88
2011-09-18 - 2011-09-24,81
2011-09-25 - 2011-10-01,77
2011-10-02 - 2011-10-08,86
2011-10-09 - 2011-10-15,93
2011-10-16 - 2011-10-22,92
2011-10-23 - 2011-10-29,85
2011-10-30 - 2011-11-05,81
2011-11-06 - 2011-11-12,94
2011-11-13 - 2011-11-19,86
2011-11-20 - 2011-11-26,72
2011-11-27 - 2011-12-03,64
2011-12-04 - 2011-12-10,61
2011-12-11 - 2011-12-17,54
2011-12-18 - 2011-12-24,53
2011-12-25 - 2011-12-31,49
2012-01-01 - 2012-01-07,50
2012-01-08 - 2012-01-14,50
2012-01-15 - 2012-01-21,50
2012-01-22 - 2012-01-28,50
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,80
2012-02-12 - 2012-02-18,72
2012-02-19 - 2012-02-25,63
2012-02-26 - 2012-03-03,70
2012-03-04 - 2012-03-10,72
2012-03-11 - 2012-03-17,63
2012-03-18 - 2012-03-24,63
2012-03-25 - 2012-03-31,62
2012-04-01 - 2012-04-07,69
2012-04-08 - 2012-04-14,62
2012-04-15 - 2012-04-21,60
2012-04-22 - 2012-04-28,56
2012-04-29 - 2012-05-05,59
2012-05-06 - 2012-05-12,63
2012-05-13 - 2012-05-19,55
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,49
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,49
2012-06-24 - 2012-06-30,51
2012-07-01 - 2012-07-07,47
2012-07-08 - 2012-07-14,46
2012-07-15 - 2012-07-21,45
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,43
2012-08-26 - 2012-09-01,43
2012-09-02 - 2012-09-08,44
2012-09-09 - 2012-09-15,44
2012-09-16 - 2012-09-22,45
2012-09-23 - 2012-09-29,46
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,40
2012-10-21 - 2012-10-27,36
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,51
2012-11-11 - 2012-11-17,45
2012-11-18 - 2012-11-24,52
2012-11-25 - 2012-12-01,51
2012-12-02 - 2012-12-08,60
2012-12-09 - 2012-12-15,49
2012-12-16 - 2012-12-22,49
2012-12-23 - 2012-12-29,41
2012-12-30 - 2013-01-05,38
2013-01-06 - 2013-01-12,52
2013-01-13 - 2013-01-19,57
2013-01-20 - 2013-01-26,60
2013-01-27 - 2013-02-02,65
2013-02-03 - 2013-02-09,68
2013-02-10 - 2013-02-16,70
2013-02-17 - 2013-02-23,65
2013-02-24 - 2013-03-02,71
2013-03-03 - 2013-03-09,72
2013-03-10 - 2013-03-16,69
2013-03-17 - 2013-03-23,66
2013-03-24 - 2013-03-30,93
2013-03-31 - 2013-04-06,88
2013-04-07 - 2013-04-13,100
2013-04-14 - 2013-04-20,80
2013-04-21 - 2013-04-27,86
2013-04-28 - 2013-05-04,75
2013-05-05 - 2013-05-11,80
2013-05-12 - 2013-05-18,70
2013-05-19 - 2013-05-25,69
2013-05-26 - 2013-06-01,84
2013-06-02 - 2013-06-08,74
2013-06-09 - 2013-06-15,62
2013-06-16 - 2013-06-22,68
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,54
2013-07-07 - 2013-07-13,50
2013-07-14 - 2013-07-20,45
2013-07-21 - 2013-07-27,47
2013-07-28 - 2013-08-03,50
2013-08-04 - 2013-08-10,50
2013-08-11 - 2013-08-17,56
2013-08-18 - 2013-08-24,52
2013-08-25 - 2013-08-31,49
2013-09-01 - 2013-09-07,51
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,50
2013-09-22 - 2013-09-28,56
2013-09-29 - 2013-10-05,57
2013-10-06 - 2013-10-12,57
2013-10-13 - 2013-10-19,52
2013-10-20 - 2013-10-26,53
2013-10-27 - 2013-11-02,52
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,56
2013-11-17 - 2013-11-23,48
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,46
2013-12-08 - 2013-12-14,43
2013-12-15 - 2013-12-21,41
2013-12-22 - 2013-12-28,37
2013-12-29 - 2014-01-04,34
2014-01-05 - 2014-01-11,38
2014-01-12 - 2014-01-18,37
2014-01-19 - 2014-01-25,36
2014-01-26 - 2014-02-01,41
2014-02-02 - 2014-02-08,39
2014-02-09 - 2014-02-15,40
2014-02-16 - 2014-02-22,40
2014-02-23 - 2014-03-01,45
2014-03-02 - 2014-03-08,46
2014-03-09 - 2014-03-15,38
2014-03-16 - 2014-03-22,44
2014-03-23 - 2014-03-29,46
2014-03-30 - 2014-04-05,49
2014-04-06 - 2014-04-12,69
2014-04-13 - 2014-04-19,47
2014-04-20 - 2014-04-26,44
2014-04-27 - 2014-05-03,47
2014-05-04 - 2014-05-10,47
2014-05-11 - 2014-05-17,47
2014-05-18 - 2014-05-24,52
2014-05-25 - 2014-05-31,46
2014-06-01 - 2014-06-07,46
2014-06-08 - 2014-06-14,42
2014-06-15 - 2014-06-21,42
2014-06-22 - 2014-06-28,42
2014-06-29 - 2014-07-05,39
2014-07-06 - 2014-07-12,41
2014-07-13 - 2014-07-19,34
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,32
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,30
2014-08-17 - 2014-08-23,38
2014-08-24 - 2014-08-30,35
2014-08-31 - 2014-09-06,44
2014-09-07 - 2014-09-13,40
2014-09-14 - 2014-09-20,59
2014-09-21 - 2014-09-27,51
2014-09-28 - 2014-10-04,56
2014-10-05 - 2014-10-11,50
2014-10-12 - 2014-10-18,49
2014-10-19 - 2014-10-25,46
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,59
2014-11-09 - 2014-11-15,46
2014-11-16 - 2014-11-22,41
2014-11-23 - 2014-11-29,35
2014-11-30 - 2014-12-06,38
2014-12-07 - 2014-12-13,44
2014-12-14 - 2014-12-20,44
2014-12-21 - 2014-12-27,40
2014-12-28 - 2015-01-03,34
2015-01-04 - 2015-01-10,35
2015-01-11 - 2015-01-17,35
2015-01-18 - 2015-01-24,38
2015-01-25 - 2015-01-31,54
2015-02-01 - 2015-02-07,50
2015-02-08 - 2015-02-14,43
2015-02-15 - 2015-02-21,32
2015-02-22 - 2015-02-28,36
2015-03-01 - 2015-03-07,40
2015-03-08 - 2015-03-14,40
2015-03-15 - 2015-03-21,34
2015-03-22 - 2015-03-28,37
2015-03-29 - 2015-04-04,37
2015-04-05 - 2015-04-11,35
2015-04-12 - 2015-04-18,35
2015-04-19 - 2015-04-25,43
2015-04-26 - 2015-05-02,45
2015-05-03 - 2015-05-09,42
2015-05-10 - 2015-05-16,48
2015-05-17 - 2015-05-23,44
2015-05-24 - 2015-05-30,40
2015-05-31 - 2015-06-06,39
2015-06-07 - 2015-06-13,38
2015-06-14 - 2015-06-20,38
2015-06-21 - 2015-06-27,38
2015-06-28 - 2015-07-04,35
2015-07-05 - 2015-07-11,37
2015-07-12 - 2015-07-18,34
2015-07-19 - 2015-07-25,45
2015-07-26 - 2015-08-01,33


Top sub-regions for blake shelton
Sub-region,blake shelton
West Virginia,100
Kentucky,81
North Dakota,71
Iowa,70
South Dakota,63
Montana,60
Indiana,58
Tennessee,57
Arkansas,56
Oklahoma,55
Ohio,53
Nebraska,53
Wyoming,51
Alabama,51
South Carolina,51
Wisconsin,50
Idaho,49
Maine,49
Kansas,48
Missouri,48
North Carolina,46
Mississippi,43
New Mexico,42
Minnesota,42
Vermont,41
Michigan,40
Louisiana,40
New Hampshire,36
Pennsylvania,35
Georgia,35
Texas,35
Colorado,32
Utah,32
Illinois,29
Delaware,28
Arizona,27
Florida,26
Washington,25
Oregon,23
Maryland,22
Alaska,22
Massachusetts,21
Connecticut,21
Virginia,20
Rhode Island,19
Nevada,19
New York,17
Hawaii,16
New Jersey,14
California,14
District of Columbia,12


Top metros for blake shelton
Metro,blake shelton
Bluefield-Beckley-Oak Hill WV,100
Charleston-Huntington WV,65
Lexington KY,61
Tri-Cities TN-VA,60
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,54
Sioux City IA,53
Erie PA,53
Fargo-Valley City ND,52
Davenport IA-Rock Island-Moline IL,49
Youngstown OH,48
Knoxville TN,47
Lincoln & Hastings-Kearney NE,47
Florence-Myrtle Beach SC,47
Sioux Falls(Mitchell) SD,47
Columbia-Jefferson City MO,46
Springfield MO,46
La Crosse-Eau Claire WI,46
Wichita-Hutchinson KS,44
Chattanooga TN,44
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,44
Wausau-Rhinelander WI,43
Evansville IN,43
Dayton OH,42
Ft. Wayne IN,41
Des Moines-Ames IA,41
Topeka KS,41
Johnstown-Altoona PA,41
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
Nashville TN,40
Peoria-Bloomington IL,40
Macon GA,39
Louisville KY,39
Roanoke-Lynchburg VA,39
Champaign & Springfield-Decatur IL,39
Little Rock-Pine Bluff AR,38
Toledo OH,38
Huntsville-Decatur (Florence) AL,36
Grand Rapids-Kalamazoo-Battle Creek MI,36
Flint-Saginaw-Bay City MI,35
Boise ID,34
Tulsa OK,34
Cincinnati OH,34
Greenville-New Bern-Washington NC,33
Shreveport LA,33
Oklahoma City OK,33
Columbus OH,33
Green Bay-Appleton WI,33
South Bend-Elkhart IN,33
Mobile AL-Pensacola (Ft. Walton Beach) FL,33
Savannah GA,33
Tyler-Longview(Lufkin & Nacogdoches) TX,33
Harrisburg-Lancaster-Lebanon-York PA,32
Gainesville FL,32
Indianapolis IN,32
Burlington VT-Plattsburgh NY,32
Birmingham AL,31
Pittsburgh PA,31
Greensboro-High Point-Winston Salem NC,30
Omaha NE,30
Spokane WA,30
Charleston SC,30
Cleveland-Akron (Canton) OH,29
Albuquerque-Santa Fe NM,29
Ft. Smith-Fayetteville-Springdale-Rogers AR,29
Charlotte NC,29
Portland-Auburn ME,29
Buffalo NY,29
Kansas City MO,28
Wilkes Barre-Scranton PA,28
Madison WI,28
St. Louis MO,28
Colorado Springs-Pueblo CO,27
Waco-Temple-Bryan TX,27
Jacksonville FL,26
Raleigh-Durham (Fayetteville) NC,25
Minneapolis-St. Paul MN,25
Columbia SC,24
Eugene OR,24
San Antonio TX,24
Albany-Schenectady-Troy NY,24
Memphis TN,24
Milwaukee WI,23
Ft. Myers-Naples FL,23
Baton Rouge LA,23
Syracuse NY,23
Salt Lake City UT,22
Tucson (Sierra Vista) AZ,20
Jackson MS,20
New Orleans LA,20
Denver CO,20
Fresno-Visalia CA,20
Atlanta GA,20
Tampa-St. Petersburg (Sarasota) FL,20
Houston TX,19
Richmond-Petersburg VA,19
Springfield-Holyoke MA,19
Norfolk-Portsmouth-Newport News VA,19
Rochester NY,19
Detroit MI,18
Austin TX,18
Harlingen-Weslaco-Brownsville-McAllen TX,17
Phoenix AZ,17
Baltimore MD,16
Dallas-Ft. Worth TX,16
Orlando-Daytona Beach-Melbourne FL,16
Sacramento-Stockton-Modesto CA,15
Boston MA-Manchester NH,15
Seattle-Tacoma WA,14
West Palm Beach-Ft. Pierce FL,14
Chicago IL,14
Hartford & New Haven CT,14
Providence RI-New Bedford MA,13
Philadelphia PA,13
Portland OR,12
Honolulu HI,11
Las Vegas NV,11
San Diego CA,9
Washington DC (Hagerstown MD),8
Los Angeles CA,8
Miami-Ft. Lauderdale FL,8
New York NY,8
San Francisco-Oakland-San Jose CA,4
Binghamton NY,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for blake shelton
Town/City,blake shelton
Louisville,100
Columbus,99
Indianapolis,97
San Antonio,85
Houston,68
Denver,64
St. Louis,61
Austin,56
Dallas,54
Phoenix,49
Atlanta,38
Seattle,38
Chicago,34
Los Angeles,23
New York,19



Top searches for blake shelton
blake shelton lyrics,100
honey bee,55
country,40
home blake shelton,25
miranda lambert,25
blake shelton austin,25
jason aldean,25
austin,25
luke bryan,25
blake shelton over,25
baby blake shelton,15
blake shelton songs,15
footloose,15
footloose blake shelton,15
christina aguilera,15
brad paisley,15
kenny chesney,15
tim mcgraw,15
drink on it,15
ol red,10
eric church,10
rascal flatts,10
old red,10
lady antebellum,10
blake shelton live,10
chris young,10
toby keith,10
florida georgia line,10
trace adkins,10
keith urban,10
some beach,10
zac brown band,10
george strait,10
jake owen,10
brantley gilbert,10
dierks bentley,5
country music,5
redneck blake shelton,5
redneck,5
billy currington,5
hillbilly bone,5
dirt road anthem,5
country songs,5
justin moore,5
chris young you,5
lee brice,5
boys round here,5
sangria blake shelton,5
hey blake shelton,5
hunter hayes,5



Rising searches for blake shelton
blake shelton lyrics,Breakout
blake shelton over,Breakout
blake shelton songs,Breakout
christina aguilera,Breakout
footloose,Breakout
footloose blake shelton,Breakout
home blake shelton,Breakout
honey bee,Breakout
luke bryan,Breakout
miranda lambert,Breakout



