YouTube Search interest: kid cudi
United States; Jan 2008 - Jul 2015

Interest over time
Week,kid cudi
2009-03-22 - 2009-03-28,35
2009-03-29 - 2009-04-04,29
2009-04-05 - 2009-04-11,39
2009-04-12 - 2009-04-18,40
2009-04-19 - 2009-04-25,39
2009-04-26 - 2009-05-02,40
2009-05-03 - 2009-05-09,40
2009-05-10 - 2009-05-16,36
2009-05-17 - 2009-05-23,34
2009-05-24 - 2009-05-30,30
2009-05-31 - 2009-06-06,29
2009-06-07 - 2009-06-13,28
2009-06-14 - 2009-06-20,25
2009-06-21 - 2009-06-27,23
2009-06-28 - 2009-07-04,23
2009-07-05 - 2009-07-11,20
2009-07-12 - 2009-07-18,22
2009-07-19 - 2009-07-25,27
2009-07-26 - 2009-08-01,27
2009-08-02 - 2009-08-08,26
2009-08-09 - 2009-08-15,22
2009-08-16 - 2009-08-22,24
2009-08-23 - 2009-08-29,23
2009-08-30 - 2009-09-05,25
2009-09-06 - 2009-09-12,32
2009-09-13 - 2009-09-19,46
2009-09-20 - 2009-09-26,39
2009-09-27 - 2009-10-03,36
2009-10-04 - 2009-10-10,31
2009-10-11 - 2009-10-17,29
2009-10-18 - 2009-10-24,30
2009-10-25 - 2009-10-31,31
2009-11-01 - 2009-11-07,30
2009-11-08 - 2009-11-14,27
2009-11-15 - 2009-11-21,28
2009-11-22 - 2009-11-28,26
2009-11-29 - 2009-12-05,30
2009-12-06 - 2009-12-12,34
2009-12-13 - 2009-12-19,38
2009-12-20 - 2009-12-26,32
2009-12-27 - 2010-01-02,30
2010-01-03 - 2010-01-09,33
2010-01-10 - 2010-01-16,34
2010-01-17 - 2010-01-23,35
2010-01-24 - 2010-01-30,39
2010-01-31 - 2010-02-06,41
2010-02-07 - 2010-02-13,39
2010-02-14 - 2010-02-20,40
2010-02-21 - 2010-02-27,44
2010-02-28 - 2010-03-06,43
2010-03-07 - 2010-03-13,45
2010-03-14 - 2010-03-20,43
2010-03-21 - 2010-03-27,47
2010-03-28 - 2010-04-03,50
2010-04-04 - 2010-04-10,47
2010-04-11 - 2010-04-17,52
2010-04-18 - 2010-04-24,52
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,48
2010-05-16 - 2010-05-22,46
2010-05-23 - 2010-05-29,44
2010-05-30 - 2010-06-05,44
2010-06-06 - 2010-06-12,42
2010-06-13 - 2010-06-19,44
2010-06-20 - 2010-06-26,42
2010-06-27 - 2010-07-03,42
2010-07-04 - 2010-07-10,42
2010-07-11 - 2010-07-17,42
2010-07-18 - 2010-07-24,43
2010-07-25 - 2010-07-31,54
2010-08-01 - 2010-08-07,45
2010-08-08 - 2010-08-14,43
2010-08-15 - 2010-08-21,49
2010-08-22 - 2010-08-28,52
2010-08-29 - 2010-09-04,55
2010-09-05 - 2010-09-11,59
2010-09-12 - 2010-09-18,67
2010-09-19 - 2010-09-25,69
2010-09-26 - 2010-10-02,65
2010-10-03 - 2010-10-09,66
2010-10-10 - 2010-10-16,80
2010-10-17 - 2010-10-23,67
2010-10-24 - 2010-10-30,73
2010-10-31 - 2010-11-06,85
2010-11-07 - 2010-11-13,100
2010-11-14 - 2010-11-20,90
2010-11-21 - 2010-11-27,76
2010-11-28 - 2010-12-04,79
2010-12-05 - 2010-12-11,72
2010-12-12 - 2010-12-18,69
2010-12-19 - 2010-12-25,67
2010-12-26 - 2011-01-01,59
2011-01-02 - 2011-01-08,71
2011-01-09 - 2011-01-15,71
2011-01-16 - 2011-01-22,70
2011-01-23 - 2011-01-29,69
2011-01-30 - 2011-02-05,71
2011-02-06 - 2011-02-12,64
2011-02-13 - 2011-02-19,62
2011-02-20 - 2011-02-26,67
2011-02-27 - 2011-03-05,67
2011-03-06 - 2011-03-12,65
2011-03-13 - 2011-03-19,58
2011-03-20 - 2011-03-26,57
2011-03-27 - 2011-04-02,59
2011-04-03 - 2011-04-09,62
2011-04-10 - 2011-04-16,59
2011-04-17 - 2011-04-23,60
2011-04-24 - 2011-04-30,53
2011-05-01 - 2011-05-07,52
2011-05-08 - 2011-05-14,50
2011-05-15 - 2011-05-21,49
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,51
2011-06-05 - 2011-06-11,49
2011-06-12 - 2011-06-18,45
2011-06-19 - 2011-06-25,50
2011-06-26 - 2011-07-02,48
2011-07-03 - 2011-07-09,46
2011-07-10 - 2011-07-16,49
2011-07-17 - 2011-07-23,47
2011-07-24 - 2011-07-30,46
2011-07-31 - 2011-08-06,42
2011-08-07 - 2011-08-13,45
2011-08-14 - 2011-08-20,47
2011-08-21 - 2011-08-27,46
2011-08-28 - 2011-09-03,44
2011-09-04 - 2011-09-10,47
2011-09-11 - 2011-09-17,46
2011-09-18 - 2011-09-24,44
2011-09-25 - 2011-10-01,44
2011-10-02 - 2011-10-08,42
2011-10-09 - 2011-10-15,42
2011-10-16 - 2011-10-22,43
2011-10-23 - 2011-10-29,43
2011-10-30 - 2011-11-05,46
2011-11-06 - 2011-11-12,39
2011-11-13 - 2011-11-19,39
2011-11-20 - 2011-11-26,38
2011-11-27 - 2011-12-03,37
2011-12-04 - 2011-12-10,38
2011-12-11 - 2011-12-17,38
2011-12-18 - 2011-12-24,35
2011-12-25 - 2011-12-31,42
2012-01-01 - 2012-01-07,37
2012-01-08 - 2012-01-14,36
2012-01-15 - 2012-01-21,38
2012-01-22 - 2012-01-28,36
2012-01-29 - 2012-02-04,40
2012-02-05 - 2012-02-11,35
2012-02-12 - 2012-02-18,36
2012-02-19 - 2012-02-25,41
2012-02-26 - 2012-03-03,49
2012-03-04 - 2012-03-10,47
2012-03-11 - 2012-03-17,44
2012-03-18 - 2012-03-24,41
2012-03-25 - 2012-03-31,38
2012-04-01 - 2012-04-07,37
2012-04-08 - 2012-04-14,35
2012-04-15 - 2012-04-21,35
2012-04-22 - 2012-04-28,34
2012-04-29 - 2012-05-05,33
2012-05-06 - 2012-05-12,31
2012-05-13 - 2012-05-19,30
2012-05-20 - 2012-05-26,29
2012-05-27 - 2012-06-02,28
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,29
2012-06-24 - 2012-06-30,29
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,29
2012-07-15 - 2012-07-21,31
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,29
2012-08-05 - 2012-08-11,28
2012-08-12 - 2012-08-18,40
2012-08-19 - 2012-08-25,36
2012-08-26 - 2012-09-01,37
2012-09-02 - 2012-09-08,36
2012-09-09 - 2012-09-15,36
2012-09-16 - 2012-09-22,35
2012-09-23 - 2012-09-29,36
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,35
2012-10-21 - 2012-10-27,33
2012-10-28 - 2012-11-03,32
2012-11-04 - 2012-11-10,41
2012-11-11 - 2012-11-17,37
2012-11-18 - 2012-11-24,33
2012-11-25 - 2012-12-01,30
2012-12-02 - 2012-12-08,31
2012-12-09 - 2012-12-15,29
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,32
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,28
2013-01-13 - 2013-01-19,28
2013-01-20 - 2013-01-26,27
2013-01-27 - 2013-02-02,28
2013-02-03 - 2013-02-09,26
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,24
2013-02-24 - 2013-03-02,29
2013-03-03 - 2013-03-09,34
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,30
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,35
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,44
2013-04-21 - 2013-04-27,39
2013-04-28 - 2013-05-04,30
2013-05-05 - 2013-05-11,30
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,25
2013-05-26 - 2013-06-01,24
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,22
2013-06-23 - 2013-06-29,21
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,19
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,18
2013-07-28 - 2013-08-03,18
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,19
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,18
2013-09-01 - 2013-09-07,20
2013-09-08 - 2013-09-14,21
2013-09-15 - 2013-09-21,19
2013-09-22 - 2013-09-28,19
2013-09-29 - 2013-10-05,18
2013-10-06 - 2013-10-12,19
2013-10-13 - 2013-10-19,19
2013-10-20 - 2013-10-26,19
2013-10-27 - 2013-11-02,19
2013-11-03 - 2013-11-09,18
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,16
2013-12-01 - 2013-12-07,17
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,19
2013-12-22 - 2013-12-28,16
2013-12-29 - 2014-01-04,15
2014-01-05 - 2014-01-11,15
2014-01-12 - 2014-01-18,17
2014-01-19 - 2014-01-25,16
2014-01-26 - 2014-02-01,16
2014-02-02 - 2014-02-08,16
2014-02-09 - 2014-02-15,17
2014-02-16 - 2014-02-22,17
2014-02-23 - 2014-03-01,31
2014-03-02 - 2014-03-08,23
2014-03-09 - 2014-03-15,20
2014-03-16 - 2014-03-22,20
2014-03-23 - 2014-03-29,18
2014-03-30 - 2014-04-05,16
2014-04-06 - 2014-04-12,17
2014-04-13 - 2014-04-19,17
2014-04-20 - 2014-04-26,16
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,14
2014-05-11 - 2014-05-17,14
2014-05-18 - 2014-05-24,14
2014-05-25 - 2014-05-31,13
2014-06-01 - 2014-06-07,13
2014-06-08 - 2014-06-14,13
2014-06-15 - 2014-06-21,12
2014-06-22 - 2014-06-28,12
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,12
2014-07-13 - 2014-07-19,11
2014-07-20 - 2014-07-26,11
2014-07-27 - 2014-08-02,12
2014-08-03 - 2014-08-09,12
2014-08-10 - 2014-08-16,11
2014-08-17 - 2014-08-23,12
2014-08-24 - 2014-08-30,12
2014-08-31 - 2014-09-06,13
2014-09-07 - 2014-09-13,13
2014-09-14 - 2014-09-20,13
2014-09-21 - 2014-09-27,14
2014-09-28 - 2014-10-04,14
2014-10-05 - 2014-10-11,13
2014-10-12 - 2014-10-18,13
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,12
2014-11-02 - 2014-11-08,13
2014-11-09 - 2014-11-15,13
2014-11-16 - 2014-11-22,12
2014-11-23 - 2014-11-29,11
2014-11-30 - 2014-12-06,11
2014-12-07 - 2014-12-13,12
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,10
2014-12-28 - 2015-01-03,10
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,11
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,11
2015-02-08 - 2015-02-14,11
2015-02-15 - 2015-02-21,10
2015-02-22 - 2015-02-28,11
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,13
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,11
2015-04-05 - 2015-04-11,11
2015-04-12 - 2015-04-18,11
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,10
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,10
2015-05-17 - 2015-05-23,10
2015-05-24 - 2015-05-30,10
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,9
2015-06-14 - 2015-06-20,9
2015-06-21 - 2015-06-27,9
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,10
2015-07-12 - 2015-07-18,9
2015-07-19 - 2015-07-25,8
2015-07-26 - 2015-08-01,8


Top sub-regions for kid cudi
Sub-region,kid cudi
South Dakota,100
North Dakota,96
Ohio,81
Montana,79
Wisconsin,79
Iowa,78
Arizona,76
Rhode Island,73
New Hampshire,72
Wyoming,71
Minnesota,71
Massachusetts,71
Michigan,70
Nebraska,70
Idaho,68
Maine,68
Pennsylvania,68
New Mexico,67
Illinois,66
Indiana,65
Texas,65
Vermont,64
Kansas,63
Connecticut,63
Missouri,62
California,61
Washington,61
Colorado,61
New Jersey,60
Utah,60
New York,59
Florida,59
Oregon,58
District of Columbia,58
Maryland,58
Nevada,57
Delaware,55
Kentucky,55
Alaska,54
North Carolina,53
West Virginia,52
Oklahoma,50
Georgia,50
South Carolina,49
Virginia,46
Tennessee,45
Arkansas,44
Hawaii,44
Louisiana,42
Mississippi,39
Alabama,38


Top metros for kid cudi
Metro,kid cudi
Minot-Bismarck-Dickinson(Williston) ND,100
Eugene OR,91
Duluth MN-Superior WI,90
Rapid City SD,89
Sioux City IA,87
Cleveland-Akron (Canton) OH,83
Yakima-Pasco-Richland-Kennewick WA,83
Sioux Falls(Mitchell) SD,80
Lansing MI,78
Missoula MT,78
Bakersfield CA,78
Rochester MN-Mason City IA-Austin MN,77
Medford-Klamath Falls OR,76
Fargo-Valley City ND,76
Lincoln & Hastings-Kearney NE,76
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,76
Toledo OH,76
Columbia-Jefferson City MO,74
Burlington VT-Plattsburgh NY,74
La Crosse-Eau Claire WI,73
Youngstown OH,73
Peoria-Bloomington IL,73
Albuquerque-Santa Fe NM,72
Boston MA-Manchester NH,72
Providence RI-New Bedford MA,71
Traverse City-Cadillac MI,71
Santa Barbara-Santa Maria-San Luis Obispo CA,70
Tucson (Sierra Vista) AZ,70
Phoenix AZ,69
Palm Springs CA,68
Spokane WA,68
Johnstown-Altoona PA,68
Madison WI,68
Green Bay-Appleton WI,68
Milwaukee WI,67
Portland-Auburn ME,67
Flint-Saginaw-Bay City MI,66
Wausau-Rhinelander WI,66
Bangor ME,66
Springfield-Holyoke MA,65
Syracuse NY,65
Boise ID,65
Des Moines-Ames IA,65
El Paso TX,64
Ft. Wayne IN,64
Chico-Redding CA,63
Wilkes Barre-Scranton PA,63
Topeka KS,63
Gainesville FL,62
Los Angeles CA,62
South Bend-Elkhart IN,62
Omaha NE,62
Cincinnati OH,62
Columbus OH,62
Monterey-Salinas CA,62
Albany-Schenectady-Troy NY,62
Kansas City MO,61
Indianapolis IN,61
Pittsburgh PA,61
Hartford & New Haven CT,60
Chicago IL,60
Minneapolis-St. Paul MN,60
Reno NV,60
Charleston-Huntington WV,60
Detroit MI,60
Grand Rapids-Kalamazoo-Battle Creek MI,60
Dayton OH,59
Rochester NY,59
Wichita-Hutchinson KS,59
Philadelphia PA,59
Salt Lake City UT,59
Rockford IL,59
Dallas-Ft. Worth TX,59
Greenville-New Bern-Washington NC,59
Harrisburg-Lancaster-Lebanon-York PA,58
Erie PA,58
Champaign & Springfield-Decatur IL,58
Waco-Temple-Bryan TX,58
Corpus Christi TX,57
San Antonio TX,57
Roanoke-Lynchburg VA,57
Denver CO,57
Ft. Smith-Fayetteville-Springdale-Rogers AR,55
Buffalo NY,55
Louisville KY,55
Colorado Springs-Pueblo CO,55
Fresno-Visalia CA,55
Tallahassee FL-Thomasville GA,54
St. Louis MO,54
San Diego CA,54
Seattle-Tacoma WA,54
Austin TX,53
Binghamton NY,53
Miami-Ft. Lauderdale FL,53
New York NY,53
Lubbock TX,52
Sacramento-Stockton-Modesto CA,52
Orlando-Daytona Beach-Melbourne FL,52
Charlottesville VA,52
Davenport IA-Rock Island-Moline IL,52
Wilmington NC,52
Las Vegas NV,51
Portland OR,50
Charlotte NC,50
Springfield MO,50
Ft. Myers-Naples FL,50
Atlanta GA,50
Richmond-Petersburg VA,49
Baltimore MD,49
Florence-Myrtle Beach SC,49
West Palm Beach-Ft. Pierce FL,48
Harlingen-Weslaco-Brownsville-McAllen TX,48
Houston TX,47
Tampa-St. Petersburg (Sarasota) FL,47
Raleigh-Durham (Fayetteville) NC,46
Oklahoma City OK,46
Norfolk-Portsmouth-Newport News VA,46
Anchorage AK,46
Lexington KY,45
Charleston SC,45
Tri-Cities TN-VA,44
Columbia SC,44
Jacksonville FL,43
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,43
Honolulu HI,43
New Orleans LA,43
Washington DC (Hagerstown MD),43
Evansville IN,42
Greensboro-High Point-Winston Salem NC,42
Nashville TN,42
Mobile AL-Pensacola (Ft. Walton Beach) FL,41
Augusta GA,41
Savannah GA,41
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
Tulsa OK,39
Birmingham AL,38
Baton Rouge LA,38
Tyler-Longview(Lufkin & Nacogdoches) TX,37
Chattanooga TN,36
Jackson MS,36
Knoxville TN,36
Macon GA,34
Memphis TN,34
Little Rock-Pine Bluff AR,34
San Francisco-Oakland-San Jose CA,33
Huntsville-Decatur (Florence) AL,32
Shreveport LA,32
Columbus GA,0
Albany GA,0
Utica NY,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for kid cudi
Town/City,kid cudi
Phoenix,100
Los Angeles,96
Columbus,91
San Antonio,85
Minneapolis,85
Denver,85
St. Louis,82
Las Vegas,82
Chicago,81
Richardson,80
Washington,80
Portland,80
Boston,79
Irvine,79
Miami,78



Top searches for kid cudi
cudi the kid,100
pursuit of happiness,65
day and night,25
lil wayne,25
erase me,25
kid cudi love,20
kid cudi remix,20
wiz khalifa,20
new kid cudi,20
drake,20
kanye west,20
kid cudi prayer,15
the prayer,15
kid cudi memories,10
memories,10
kid cudi freestyle,10
david guetta,5
kid cudi instrumental,5
mac miller,5
kid cudi marijuana,5
marijuana,5
day n night,5
kid cudi dubstep,5
mr rager,5
david guetta memories,5
kid cudi live,5
kid cudi zone,5
cudi zone,5
mojo so dope,5
make her say,5
wale,5
dat new new,5
kid cudi 2011,5
big sean,5
lupe fiasco,5
alive,5
alive kid cudi,5
kid cudi album,5
symphonies kid cudi,5
kid cudi girls,5
kid cudi cleveland,5
kid cudi rollin,5
cudderisback kid cudi,5
cudderisback,5
day n nite,5
kid cudi tree,5
maniac kid cudi,5
ghost kid cudi,5



Rising searches for kid cudi
cudi the kid,Breakout
day and night,Breakout
drake,Breakout
erase me,Breakout
kanye west,Breakout
kid cudi love,Breakout
kid cudi prayer,Breakout
kid cudi remix,Breakout
lil wayne,Breakout
new kid cudi,Breakout



