YouTube Search interest: miley cyrus
United States; Jan 2008 - Jul 2015

Interest over time
Week,miley cyrus
2014-01-26 - 2014-02-01,11
2014-02-02 - 2014-02-08,10
2014-02-09 - 2014-02-15,10
2014-02-16 - 2014-02-22,9
2014-02-23 - 2014-03-01,10
2014-03-02 - 2014-03-08,9
2014-03-09 - 2014-03-15,8
2014-03-16 - 2014-03-22,7
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,5
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,5
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,4
2014-06-22 - 2014-06-28,4
2014-06-29 - 2014-07-05,3
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,3
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,3
2014-08-03 - 2014-08-09,3
2014-08-10 - 2014-08-16,3
2014-08-17 - 2014-08-23,3
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,3
2014-09-07 - 2014-09-13,3
2014-09-14 - 2014-09-20,3
2014-09-21 - 2014-09-27,3
2014-09-28 - 2014-10-04,3
2014-10-05 - 2014-10-11,2
2014-10-12 - 2014-10-18,3
2014-10-19 - 2014-10-25,3
2014-10-26 - 2014-11-01,2
2014-11-02 - 2014-11-08,3
2014-11-09 - 2014-11-15,3
2014-11-16 - 2014-11-22,2
2014-11-23 - 2014-11-29,2
2014-11-30 - 2014-12-06,2
2014-12-07 - 2014-12-13,2
2014-12-14 - 2014-12-20,2
2014-12-21 - 2014-12-27,2
2014-12-28 - 2015-01-03,2
2015-01-04 - 2015-01-10,2
2015-01-11 - 2015-01-17,2
2015-01-18 - 2015-01-24,2
2015-01-25 - 2015-01-31,2
2015-02-01 - 2015-02-07,2
2015-02-08 - 2015-02-14,2
2015-02-15 - 2015-02-21,2
2015-02-22 - 2015-02-28,2
2015-03-01 - 2015-03-07,2
2015-03-08 - 2015-03-14,2
2015-03-15 - 2015-03-21,2
2015-03-22 - 2015-03-28,2
2015-03-29 - 2015-04-04,2
2015-04-05 - 2015-04-11,2
2015-04-12 - 2015-04-18,2
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,2
2015-05-03 - 2015-05-09,2
2015-05-10 - 2015-05-16,2
2015-05-17 - 2015-05-23,3
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,2
2015-06-07 - 2015-06-13,2
2015-06-14 - 2015-06-20,2
2015-06-21 - 2015-06-27,2
2015-06-28 - 2015-07-04,2
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,2
2015-07-19 - 2015-07-25,2
2015-07-26 - 2015-08-01,2


Top sub-regions for miley cyrus
Sub-region,miley cyrus
South Dakota,100
Kentucky,92
Ohio,92
Missouri,90
Iowa,87
North Dakota,86
Nebraska,85
Texas,84
Wisconsin,83
Michigan,83
Pennsylvania,82
West Virginia,81
Indiana,81
Tennessee,80
Minnesota,80
Louisiana,80
Florida,80
New Jersey,80
Mississippi,79
Arkansas,78
Georgia,78
Kansas,78
Connecticut,78
Alabama,78
New York,77
North Carolina,77
South Carolina,77
Massachusetts,77
Rhode Island,76
Oklahoma,76
Arizona,76
Maine,76
New Hampshire,75
Virginia,73
Utah,73
Idaho,72
Illinois,72
Wyoming,72
California,71
Colorado,71
District of Columbia,70
Montana,70
Nevada,69
Washington,67
New Mexico,66
Delaware,66
Hawaii,66
Maryland,66
Vermont,65
Alaska,62
Oregon,56


Top metros for miley cyrus
Metro,miley cyrus
Sioux Falls(Mitchell) SD,100
Lima OH,98
Sioux City IA,94
Jackson TN,93
La Crosse-Eau Claire WI,91
Bowling Green KY,90
Tri-Cities TN-VA,90
Kansas City MO,89
Rochester MN-Mason City IA-Austin MN,88
Flint-Saginaw-Bay City MI,87
Erie PA,86
Jackson MS,86
Clarksburg-Weston WV,86
Mankato MN,85
St. Louis MO,85
Louisville KY,85
Sherman TX-Ada OK,85
Lexington KY,84
Ft. Wayne IN,84
Duluth MN-Superior WI,84
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,83
Laredo TX,83
Watertown NY,83
Wilmington NC,82
Fargo-Valley City ND,82
Terre Haute IN,82
Cleveland-Akron (Canton) OH,82
Shreveport LA,82
Lafayette LA,81
Toledo OH,81
Rockford IL,81
Dallas-Ft. Worth TX,81
Wilkes Barre-Scranton PA,81
Bluefield-Beckley-Oak Hill WV,80
Joplin MO-Pittsburg KS,80
Evansville IN,80
Utica NY,80
Madison WI,80
Johnstown-Altoona PA,79
Odessa-Midland TX,79
Quincy IL-Hannibal MO-Keokuk IA,79
Cincinnati OH,78
Charleston-Huntington WV,78
Grand Rapids-Kalamazoo-Battle Creek MI,78
Binghamton NY,78
Minot-Bismarck-Dickinson(Williston) ND,78
Omaha NE,78
Philadelphia PA,77
Dayton OH,77
Lincoln & Hastings-Kearney NE,77
Davenport IA-Rock Island-Moline IL,77
Syracuse NY,77
Des Moines-Ames IA,76
Columbus OH,76
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,76
Tyler-Longview(Lufkin & Nacogdoches) TX,76
Providence RI-New Bedford MA,76
San Antonio TX,76
Wausau-Rhinelander WI,76
Detroit MI,76
Orlando-Daytona Beach-Melbourne FL,76
Youngstown OH,75
Chattanooga TN,75
Florence-Myrtle Beach SC,75
Portland-Auburn ME,75
Springfield MO,75
Corpus Christi TX,75
Harlingen-Weslaco-Brownsville-McAllen TX,75
Palm Springs CA,75
New Orleans LA,74
Minneapolis-St. Paul MN,74
Oklahoma City OK,74
Greenville-Spartanburg SC-Asheville NC-Anderson SC,74
Pittsburgh PA,74
Albany-Schenectady-Troy NY,74
Dothan AL,73
Knoxville TN,73
Marquette MI,73
Macon GA,73
Bakersfield CA,73
South Bend-Elkhart IN,73
Washington DC (Hagerstown MD),73
Wichita-Hutchinson KS,73
Charlotte NC,73
Huntsville-Decatur (Florence) AL,73
Biloxi-Gulfport MS,73
Atlanta GA,72
Rapid City SD,72
Green Bay-Appleton WI,72
Panama City FL,72
Amarillo TX,72
Rochester NY,72
Wichita Falls TX & Lawton OK,72
Little Rock-Pine Bluff AR,72
Idaho Falls-Pocatello ID,72
Indianapolis IN,72
Birmingham AL,71
Raleigh-Durham (Fayetteville) NC,71
Albany GA,71
Miami-Ft. Lauderdale FL,71
Spokane WA,71
Boston MA-Manchester NH,71
Traverse City-Cadillac MI,71
Hartford & New Haven CT,71
Bangor ME,71
Salt Lake City UT,71
Nashville TN,70
Charleston SC,70
Salisbury MD,70
Waco-Temple-Bryan TX,70
Harrisburg-Lancaster-Lebanon-York PA,70
Lake Charles LA,70
Columbia-Jefferson City MO,70
Anchorage AK,70
Los Angeles CA,70
Montgomery (Selma) AL,69
Baton Rouge LA,69
New York NY,69
Buffalo NY,69
Springfield-Holyoke MA,69
Cheyenne WY-Scottsbluff NE,69
Milwaukee WI,69
Reno NV,69
Baltimore MD,69
Phoenix AZ,69
Champaign & Springfield-Decatur IL,68
Greenville-New Bern-Washington NC,68
Augusta GA,68
Savannah GA,68
Lansing MI,68
Billings MT,68
Denver CO,68
El Paso TX,67
Tucson (Sierra Vista) AZ,66
Albuquerque-Santa Fe NM,66
Elmira NY,66
Abilene-Sweetwater TX,66
Greensboro-High Point-Winston Salem NC,66
Boise ID,66
Harrisonburg VA,66
Chicago IL,66
West Palm Beach-Ft. Pierce FL,66
Charlottesville VA,65
Tampa-St. Petersburg (Sarasota) FL,65
Ft. Smith-Fayetteville-Springdale-Rogers AR,65
Roanoke-Lynchburg VA,65
Tulsa OK,65
Columbia SC,65
Topeka KS,65
Seattle-Tacoma WA,65
Las Vegas NV,65
Peoria-Bloomington IL,64
Burlington VT-Plattsburgh NY,64
Yakima-Pasco-Richland-Kennewick WA,64
Fresno-Visalia CA,64
Ft. Myers-Naples FL,63
Memphis TN,63
Mobile AL-Pensacola (Ft. Walton Beach) FL,63
Sacramento-Stockton-Modesto CA,62
Houston TX,62
Columbus GA,62
Colorado Springs-Pueblo CO,62
Jacksonville FL,61
Honolulu HI,61
Missoula MT,61
Lubbock TX,61
Monroe LA-El Dorado AR,60
Columbus-Tupelo-West Point MS,60
Norfolk-Portsmouth-Newport News VA,60
San Diego CA,60
Gainesville FL,60
Medford-Klamath Falls OR,60
San Francisco-Oakland-San Jose CA,59
Lafayette IN,59
Beaumont-Port Arthur TX,59
Richmond-Petersburg VA,59
Austin TX,58
Chico-Redding CA,57
Monterey-Salinas CA,54
Yuma AZ-El Centro CA,54
Eugene OR,53
Santa Barbara-Santa Maria-San Luis Obispo CA,52
Portland OR,51
Tallahassee FL-Thomasville GA,50
Presque Isle ME,0
Wheeling WV-Steubenville OH,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Alexandria LA,0
Greenwood-Greenville MS,0
San Angelo TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Jonesboro AR,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for miley cyrus
Town/City,miley cyrus
Richardson,100
Reston,90
St. Louis,86
Herndon,84
Atlanta,78
Tampa,78
Orlando,78
Newark,77
Miami,76
Phoenix,76
Irvine,76
Los Angeles,74
Philadelphia,72
New York,68
Dallas,67



Top searches for miley cyrus
miley cyrus lyrics,100
wrecking ball,60
climb miley cyrus,35
the climb,35
music,30
vma miley cyrus,25
taylor swift,25
miley cyrus songs,25
justin bieber,25
selena gomez,25
vma 2013,20
7 things,20
hannah montana,20
miley cyrus 23,15
23,15
demi lovato,15
katy perry,15
twerking,10
twerking miley cyrus,10
miley cyrus live,10
lady gaga,10
i miss you,10
jonas brothers,10
see you again,10
rihanna,10
beyonce,10
miley cyrus stay,10
stay,10
goodbye,10
miley cyrus goodbye,10
britney spears,5
miley cyrus interview,5
miley cyrus parody,5
michael jackson,5
hoedown throwdown,5
kesha,5
butterfly miley cyrus,5
justin bieber baby,5
twerk miley cyrus,5
carrie underwood,5
avril lavigne,5
hannah montana songs,5
miley and mandy,5
vanessa hudgens,5
ariana grande,5
bangerz miley cyrus,5
mariah carey,5
butterfly fly away,5
cant be tamed,5
one time,5



Rising searches for miley cyrus
23,Breakout
7 things,Breakout
climb miley cyrus,Breakout
demi lovato,Breakout
justin bieber,Breakout
miley cyrus 23,Breakout
the climb,Breakout
vma 2013,Breakout
wrecking ball,Breakout
vma miley cyrus,+2,700%



