YouTube Search interest: casey james
United States; Jan 2008 - Jul 2015

Interest over time
Week,casey james
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,4
2010-02-07 - 2010-02-13,11
2010-02-14 - 2010-02-20,21
2010-02-21 - 2010-02-27,69
2010-02-28 - 2010-03-06,54
2010-03-07 - 2010-03-13,33
2010-03-14 - 2010-03-20,31
2010-03-21 - 2010-03-27,32
2010-03-28 - 2010-04-03,28
2010-04-04 - 2010-04-10,100
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,43
2010-04-25 - 2010-05-01,62
2010-05-02 - 2010-05-08,36
2010-05-09 - 2010-05-15,65
2010-05-16 - 2010-05-22,95
2010-05-23 - 2010-05-29,58
2010-05-30 - 2010-06-05,20
2010-06-06 - 2010-06-12,9
2010-06-13 - 2010-06-19,9
2010-06-20 - 2010-06-26,7
2010-06-27 - 2010-07-03,9
2010-07-04 - 2010-07-10,6
2010-07-11 - 2010-07-17,8
2010-07-18 - 2010-07-24,5
2010-07-25 - 2010-07-31,8
2010-08-01 - 2010-08-07,5
2010-08-08 - 2010-08-14,8
2010-08-15 - 2010-08-21,5
2010-08-22 - 2010-08-28,4
2010-08-29 - 2010-09-04,3
2010-09-05 - 2010-09-11,3
2010-09-12 - 2010-09-18,3
2010-09-19 - 2010-09-25,2
2010-09-26 - 2010-10-02,2
2010-10-03 - 2010-10-09,3
2010-10-10 - 2010-10-16,3
2010-10-17 - 2010-10-23,3
2010-10-24 - 2010-10-30,3
2010-10-31 - 2010-11-06,4
2010-11-07 - 2010-11-13,3
2010-11-14 - 2010-11-20,3
2010-11-21 - 2010-11-27,4
2010-11-28 - 2010-12-04,4
2010-12-05 - 2010-12-11,4
2010-12-12 - 2010-12-18,3
2010-12-19 - 2010-12-25,3
2010-12-26 - 2011-01-01,3
2011-01-02 - 2011-01-08,4
2011-01-09 - 2011-01-15,3
2011-01-16 - 2011-01-22,5
2011-01-23 - 2011-01-29,6
2011-01-30 - 2011-02-05,4
2011-02-06 - 2011-02-12,4
2011-02-13 - 2011-02-19,4
2011-02-20 - 2011-02-26,6
2011-02-27 - 2011-03-05,20
2011-03-06 - 2011-03-12,20
2011-03-13 - 2011-03-19,13
2011-03-20 - 2011-03-26,19
2011-03-27 - 2011-04-02,17
2011-04-03 - 2011-04-09,16
2011-04-10 - 2011-04-16,22
2011-04-17 - 2011-04-23,31
2011-04-24 - 2011-04-30,31
2011-05-01 - 2011-05-07,11
2011-05-08 - 2011-05-14,12
2011-05-15 - 2011-05-21,11
2011-05-22 - 2011-05-28,17
2011-05-29 - 2011-06-04,8
2011-06-05 - 2011-06-11,6
2011-06-12 - 2011-06-18,5
2011-06-19 - 2011-06-25,4
2011-06-26 - 2011-07-02,5
2011-07-03 - 2011-07-09,8
2011-07-10 - 2011-07-16,3
2011-07-17 - 2011-07-23,2
2011-07-24 - 2011-07-30,3
2011-07-31 - 2011-08-06,5
2011-08-07 - 2011-08-13,3
2011-08-14 - 2011-08-20,4
2011-08-21 - 2011-08-27,4
2011-08-28 - 2011-09-03,4
2011-09-04 - 2011-09-10,2
2011-09-11 - 2011-09-17,4
2011-09-18 - 2011-09-24,4
2011-09-25 - 2011-10-01,4
2011-10-02 - 2011-10-08,4
2011-10-09 - 2011-10-15,3
2011-10-16 - 2011-10-22,4
2011-10-23 - 2011-10-29,4
2011-10-30 - 2011-11-05,4
2011-11-06 - 2011-11-12,4
2011-11-13 - 2011-11-19,4
2011-11-20 - 2011-11-26,3
2011-11-27 - 2011-12-03,3
2011-12-04 - 2011-12-10,5
2011-12-11 - 2011-12-17,5
2011-12-18 - 2011-12-24,9
2011-12-25 - 2011-12-31,7
2012-01-01 - 2012-01-07,6
2012-01-08 - 2012-01-14,8
2012-01-15 - 2012-01-21,6
2012-01-22 - 2012-01-28,7
2012-01-29 - 2012-02-04,6
2012-02-05 - 2012-02-11,9
2012-02-12 - 2012-02-18,6
2012-02-19 - 2012-02-25,11
2012-02-26 - 2012-03-03,9
2012-03-04 - 2012-03-10,6
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,16
2012-03-25 - 2012-03-31,16
2012-04-01 - 2012-04-07,16
2012-04-08 - 2012-04-14,14
2012-04-15 - 2012-04-21,12
2012-04-22 - 2012-04-28,13
2012-04-29 - 2012-05-05,9
2012-05-06 - 2012-05-12,7
2012-05-13 - 2012-05-19,7
2012-05-20 - 2012-05-26,8
2012-05-27 - 2012-06-02,7
2012-06-03 - 2012-06-09,7
2012-06-10 - 2012-06-16,5
2012-06-17 - 2012-06-23,7
2012-06-24 - 2012-06-30,6
2012-07-01 - 2012-07-07,7
2012-07-08 - 2012-07-14,6
2012-07-15 - 2012-07-21,10
2012-07-22 - 2012-07-28,12
2012-07-29 - 2012-08-04,9
2012-08-05 - 2012-08-11,11
2012-08-12 - 2012-08-18,14
2012-08-19 - 2012-08-25,15
2012-08-26 - 2012-09-01,15
2012-09-02 - 2012-09-08,16
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,21
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,28
2012-10-14 - 2012-10-20,28
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,23
2012-11-04 - 2012-11-10,23
2012-11-11 - 2012-11-17,26
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,20
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,24
2012-12-16 - 2012-12-22,25
2012-12-23 - 2012-12-29,16
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,21
2013-01-13 - 2013-01-19,19
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,24
2013-02-03 - 2013-02-09,24
2013-02-10 - 2013-02-16,21
2013-02-17 - 2013-02-23,18
2013-02-24 - 2013-03-02,17
2013-03-03 - 2013-03-09,16
2013-03-10 - 2013-03-16,13
2013-03-17 - 2013-03-23,11
2013-03-24 - 2013-03-30,10
2013-03-31 - 2013-04-06,10
2013-04-07 - 2013-04-13,7
2013-04-14 - 2013-04-20,10
2013-04-21 - 2013-04-27,8
2013-04-28 - 2013-05-04,8
2013-05-05 - 2013-05-11,6
2013-05-12 - 2013-05-18,7
2013-05-19 - 2013-05-25,5
2013-05-26 - 2013-06-01,5
2013-06-02 - 2013-06-08,7
2013-06-09 - 2013-06-15,5
2013-06-16 - 2013-06-22,5
2013-06-23 - 2013-06-29,5
2013-06-30 - 2013-07-06,5
2013-07-07 - 2013-07-13,5
2013-07-14 - 2013-07-20,5
2013-07-21 - 2013-07-27,4
2013-07-28 - 2013-08-03,4
2013-08-04 - 2013-08-10,4
2013-08-11 - 2013-08-17,4
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,6
2013-09-01 - 2013-09-07,3
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,6
2013-09-22 - 2013-09-28,5
2013-09-29 - 2013-10-05,3
2013-10-06 - 2013-10-12,3
2013-10-13 - 2013-10-19,4
2013-10-20 - 2013-10-26,2
2013-10-27 - 2013-11-02,4
2013-11-03 - 2013-11-09,3
2013-11-10 - 2013-11-16,4
2013-11-17 - 2013-11-23,4
2013-11-24 - 2013-11-30,4
2013-12-01 - 2013-12-07,3
2013-12-08 - 2013-12-14,2
2013-12-15 - 2013-12-21,3
2013-12-22 - 2013-12-28,3
2013-12-29 - 2014-01-04,4
2014-01-05 - 2014-01-11,4
2014-01-12 - 2014-01-18,5
2014-01-19 - 2014-01-25,3
2014-01-26 - 2014-02-01,3
2014-02-02 - 2014-02-08,3
2014-02-09 - 2014-02-15,3
2014-02-16 - 2014-02-22,5
2014-02-23 - 2014-03-01,4
2014-03-02 - 2014-03-08,3
2014-03-09 - 2014-03-15,3
2014-03-16 - 2014-03-22,4
2014-03-23 - 2014-03-29,3
2014-03-30 - 2014-04-05,2
2014-04-06 - 2014-04-12,3
2014-04-13 - 2014-04-19,5
2014-04-20 - 2014-04-26,3
2014-04-27 - 2014-05-03,3
2014-05-04 - 2014-05-10,2
2014-05-11 - 2014-05-17,2
2014-05-18 - 2014-05-24,2
2014-05-25 - 2014-05-31,2
2014-06-01 - 2014-06-07,3
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,4
2014-06-22 - 2014-06-28,3
2014-06-29 - 2014-07-05,3
2014-07-06 - 2014-07-12,0
2014-07-13 - 2014-07-19,0
2014-07-20 - 2014-07-26,0
2014-07-27 - 2014-08-02,0
2014-08-03 - 2014-08-09,0
2014-08-10 - 2014-08-16,3
2014-08-17 - 2014-08-23,3
2014-08-24 - 2014-08-30,4
2014-08-31 - 2014-09-06,4
2014-09-07 - 2014-09-13,4
2014-09-14 - 2014-09-20,3
2014-09-21 - 2014-09-27,3
2014-09-28 - 2014-10-04,4
2014-10-05 - 2014-10-11,4
2014-10-12 - 2014-10-18,4
2014-10-19 - 2014-10-25,3
2014-10-26 - 2014-11-01,4
2014-11-02 - 2014-11-08,3
2014-11-09 - 2014-11-15,4
2014-11-16 - 2014-11-22,3
2014-11-23 - 2014-11-29,3
2014-11-30 - 2014-12-06,3
2014-12-07 - 2014-12-13,3
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,0
2015-01-11 - 2015-01-17,0
2015-01-18 - 2015-01-24,0
2015-01-25 - 2015-01-31,0
2015-02-01 - 2015-02-07,0
2015-02-08 - 2015-02-14,0
2015-02-15 - 2015-02-21,4
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,3
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,4
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,5
2015-05-17 - 2015-05-23,3
2015-05-24 - 2015-05-30,3
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,4
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,4
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,4
2015-07-19 - 2015-07-25,0
2015-07-26 - 2015-08-01,0


Top sub-regions for casey james
Sub-region,casey james
Kentucky,100
Iowa,92
Oklahoma,84
Wisconsin,82
Arkansas,80
Minnesota,79
Missouri,75
Alabama,75
Ohio,74
Indiana,73
South Carolina,67
Kansas,66
Tennessee,66
North Carolina,65
Texas,62
Illinois,61
Michigan,60
Pennsylvania,59
Georgia,58
Louisiana,54
Washington,51
Colorado,50
Connecticut,49
Massachusetts,47
Florida,41
Maryland,40
Virginia,40
New Jersey,38
New York,37
Oregon,35
Arizona,34
California,31
Alaska,0
District of Columbia,0
Delaware,0
Hawaii,0
Idaho,0
Maine,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Rhode Island,0
South Dakota,0
Utah,0
Vermont,0
West Virginia,0
Wyoming,0




Top cities for casey james
Town/City,casey james
Richardson,100
Dallas,91
San Antonio,85
Atlanta,84
Houston,74
Washington,71
Chicago,66
Los Angeles,56
New York,46



Top searches for casey james
casey james idol,100
american idol casey,95
casey abrams,40
james durbin,35
dont casey james,30
lee dewyze,20
casey james jealous,20
crystal bowersox,20
american idol 2010,20
jealous guy,20
casey james band,15
casey james audition,15
heaven casey james,10
casey jones,5
jacob lusk,5
siobhan magnus,5
paul mcdonald,5
casey james drive,5
michael lynche,5
aaron kelly,5
casey james studio,5
tim urban,5
casey james duet,5
james durbin audition,5
casey abrams audition,5
michael lynch,5



Rising searches for casey james
american idol 2010,Breakout
american idol casey,Breakout
casey abrams,Breakout
casey james audition,Breakout
casey james band,Breakout
casey james idol,Breakout
casey james jealous,Breakout
crystal bowersox,Breakout
dont casey james,Breakout
james durbin,Breakout



