YouTube Search interest: lupe fiasco
United States; Jan 2008 - Jul 2015

Interest over time
Week,lupe fiasco
2010-12-26 - 2011-01-01,15
2011-01-02 - 2011-01-08,20
2011-01-09 - 2011-01-15,22
2011-01-16 - 2011-01-22,26
2011-01-23 - 2011-01-29,29
2011-01-30 - 2011-02-05,49
2011-02-06 - 2011-02-12,53
2011-02-13 - 2011-02-19,58
2011-02-20 - 2011-02-26,66
2011-02-27 - 2011-03-05,78
2011-03-06 - 2011-03-12,100
2011-03-13 - 2011-03-19,86
2011-03-20 - 2011-03-26,74
2011-03-27 - 2011-04-02,81
2011-04-03 - 2011-04-09,85
2011-04-10 - 2011-04-16,86
2011-04-17 - 2011-04-23,81
2011-04-24 - 2011-04-30,85
2011-05-01 - 2011-05-07,86
2011-05-08 - 2011-05-14,90
2011-05-15 - 2011-05-21,87
2011-05-22 - 2011-05-28,84
2011-05-29 - 2011-06-04,88
2011-06-05 - 2011-06-11,99
2011-06-12 - 2011-06-18,84
2011-06-19 - 2011-06-25,77
2011-06-26 - 2011-07-02,72
2011-07-03 - 2011-07-09,69
2011-07-10 - 2011-07-16,66
2011-07-17 - 2011-07-23,59
2011-07-24 - 2011-07-30,58
2011-07-31 - 2011-08-06,51
2011-08-07 - 2011-08-13,49
2011-08-14 - 2011-08-20,46
2011-08-21 - 2011-08-27,44
2011-08-28 - 2011-09-03,41
2011-09-04 - 2011-09-10,38
2011-09-11 - 2011-09-17,37
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,31
2011-10-02 - 2011-10-08,29
2011-10-09 - 2011-10-15,28
2011-10-16 - 2011-10-22,27
2011-10-23 - 2011-10-29,26
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,21
2011-11-13 - 2011-11-19,20
2011-11-20 - 2011-11-26,20
2011-11-27 - 2011-12-03,23
2011-12-04 - 2011-12-10,22
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,19
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,17
2012-01-08 - 2012-01-14,17
2012-01-15 - 2012-01-21,18
2012-01-22 - 2012-01-28,17
2012-01-29 - 2012-02-04,18
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,17
2012-02-19 - 2012-02-25,15
2012-02-26 - 2012-03-03,14
2012-03-04 - 2012-03-10,14
2012-03-11 - 2012-03-17,14
2012-03-18 - 2012-03-24,15
2012-03-25 - 2012-03-31,15
2012-04-01 - 2012-04-07,14
2012-04-08 - 2012-04-14,14
2012-04-15 - 2012-04-21,14
2012-04-22 - 2012-04-28,13
2012-04-29 - 2012-05-05,12
2012-05-06 - 2012-05-12,13
2012-05-13 - 2012-05-19,12
2012-05-20 - 2012-05-26,19
2012-05-27 - 2012-06-02,15
2012-06-03 - 2012-06-09,14
2012-06-10 - 2012-06-16,13
2012-06-17 - 2012-06-23,12
2012-06-24 - 2012-06-30,18
2012-07-01 - 2012-07-07,15
2012-07-08 - 2012-07-14,13
2012-07-15 - 2012-07-21,14
2012-07-22 - 2012-07-28,16
2012-07-29 - 2012-08-04,13
2012-08-05 - 2012-08-11,13
2012-08-12 - 2012-08-18,17
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,18
2012-09-16 - 2012-09-22,20
2012-09-23 - 2012-09-29,28
2012-09-30 - 2012-10-06,23
2012-10-07 - 2012-10-13,19
2012-10-14 - 2012-10-20,16
2012-10-21 - 2012-10-27,15
2012-10-28 - 2012-11-03,15
2012-11-04 - 2012-11-10,15
2012-11-11 - 2012-11-17,16
2012-11-18 - 2012-11-24,16
2012-11-25 - 2012-12-01,15
2012-12-02 - 2012-12-08,15
2012-12-09 - 2012-12-15,16
2012-12-16 - 2012-12-22,15
2012-12-23 - 2012-12-29,15
2012-12-30 - 2013-01-05,15
2013-01-06 - 2013-01-12,17
2013-01-13 - 2013-01-19,16
2013-01-20 - 2013-01-26,25
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,19
2013-02-17 - 2013-02-23,17
2013-02-24 - 2013-03-02,20
2013-03-03 - 2013-03-09,20
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,20
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,18
2013-04-07 - 2013-04-13,19
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,19
2013-04-28 - 2013-05-04,17
2013-05-05 - 2013-05-11,16
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,15
2013-05-26 - 2013-06-01,14
2013-06-02 - 2013-06-08,15
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,11
2013-06-23 - 2013-06-29,10
2013-06-30 - 2013-07-06,11
2013-07-07 - 2013-07-13,11
2013-07-14 - 2013-07-20,11
2013-07-21 - 2013-07-27,9
2013-07-28 - 2013-08-03,10
2013-08-04 - 2013-08-10,10
2013-08-11 - 2013-08-17,18
2013-08-18 - 2013-08-24,14
2013-08-25 - 2013-08-31,9
2013-09-01 - 2013-09-07,10
2013-09-08 - 2013-09-14,10
2013-09-15 - 2013-09-21,9
2013-09-22 - 2013-09-28,10
2013-09-29 - 2013-10-05,8
2013-10-06 - 2013-10-12,9
2013-10-13 - 2013-10-19,14
2013-10-20 - 2013-10-26,11
2013-10-27 - 2013-11-02,11
2013-11-03 - 2013-11-09,11
2013-11-10 - 2013-11-16,13
2013-11-17 - 2013-11-23,12
2013-11-24 - 2013-11-30,11
2013-12-01 - 2013-12-07,13
2013-12-08 - 2013-12-14,13
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,11
2014-01-05 - 2014-01-11,11
2014-01-12 - 2014-01-18,11
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,10
2014-02-02 - 2014-02-08,10
2014-02-09 - 2014-02-15,9
2014-02-16 - 2014-02-22,8
2014-02-23 - 2014-03-01,9
2014-03-02 - 2014-03-08,10
2014-03-09 - 2014-03-15,9
2014-03-16 - 2014-03-22,8
2014-03-23 - 2014-03-29,7
2014-03-30 - 2014-04-05,9
2014-04-06 - 2014-04-12,8
2014-04-13 - 2014-04-19,8
2014-04-20 - 2014-04-26,8
2014-04-27 - 2014-05-03,7
2014-05-04 - 2014-05-10,7
2014-05-11 - 2014-05-17,7
2014-05-18 - 2014-05-24,8
2014-05-25 - 2014-05-31,7
2014-06-01 - 2014-06-07,9
2014-06-08 - 2014-06-14,9
2014-06-15 - 2014-06-21,7
2014-06-22 - 2014-06-28,8
2014-06-29 - 2014-07-05,7
2014-07-06 - 2014-07-12,7
2014-07-13 - 2014-07-19,7
2014-07-20 - 2014-07-26,7
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,6
2014-08-10 - 2014-08-16,6
2014-08-17 - 2014-08-23,7
2014-08-24 - 2014-08-30,7
2014-08-31 - 2014-09-06,7
2014-09-07 - 2014-09-13,8
2014-09-14 - 2014-09-20,8
2014-09-21 - 2014-09-27,7
2014-09-28 - 2014-10-04,7
2014-10-05 - 2014-10-11,6
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,7
2014-10-26 - 2014-11-01,6
2014-11-02 - 2014-11-08,7
2014-11-09 - 2014-11-15,7
2014-11-16 - 2014-11-22,5
2014-11-23 - 2014-11-29,6
2014-11-30 - 2014-12-06,6
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,8
2014-12-21 - 2014-12-27,5
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,8
2015-01-18 - 2015-01-24,12
2015-01-25 - 2015-01-31,12
2015-02-01 - 2015-02-07,8
2015-02-08 - 2015-02-14,9
2015-02-15 - 2015-02-21,7
2015-02-22 - 2015-02-28,7
2015-03-01 - 2015-03-07,7
2015-03-08 - 2015-03-14,6
2015-03-15 - 2015-03-21,6
2015-03-22 - 2015-03-28,6
2015-03-29 - 2015-04-04,6
2015-04-05 - 2015-04-11,7
2015-04-12 - 2015-04-18,6
2015-04-19 - 2015-04-25,6
2015-04-26 - 2015-05-02,7
2015-05-03 - 2015-05-09,6
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,5
2015-05-24 - 2015-05-30,5
2015-05-31 - 2015-06-06,5
2015-06-07 - 2015-06-13,5
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,5
2015-06-28 - 2015-07-04,5
2015-07-05 - 2015-07-11,5
2015-07-12 - 2015-07-18,4
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,4


Top sub-regions for lupe fiasco
Sub-region,lupe fiasco
Illinois,100
Rhode Island,93
Massachusetts,93
Wisconsin,89
Maryland,88
Michigan,87
Connecticut,84
Pennsylvania,82
New Hampshire,80
California,80
Iowa,79
New York,79
Delaware,78
Arizona,76
Indiana,76
Colorado,76
Minnesota,75
New Jersey,75
Ohio,75
District of Columbia,75
North Carolina,75
Florida,74
Georgia,73
North Dakota,71
South Carolina,70
South Dakota,70
New Mexico,68
Hawaii,68
Nebraska,68
Louisiana,67
Missouri,65
Washington,65
Texas,64
Maine,64
Nevada,62
Idaho,62
Kansas,61
Vermont,61
Kentucky,61
West Virginia,60
Alabama,60
Mississippi,60
Montana,59
Tennessee,58
Wyoming,57
Utah,57
Oregon,55
Oklahoma,52
Virginia,51
Arkansas,51
Alaska,48


Top metros for lupe fiasco
Metro,lupe fiasco
Chicago IL,100
Springfield-Holyoke MA,98
Peoria-Bloomington IL,94
Champaign & Springfield-Decatur IL,94
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,94
Dayton OH,93
Los Angeles CA,93
Milwaukee WI,93
Lansing MI,92
Hartford & New Haven CT,89
Philadelphia PA,88
Boston MA-Manchester NH,87
Providence RI-New Bedford MA,87
Baltimore MD,85
Grand Rapids-Kalamazoo-Battle Creek MI,84
Detroit MI,84
Norfolk-Portsmouth-Newport News VA,83
Santa Barbara-Santa Maria-San Luis Obispo CA,82
Greenville-New Bern-Washington NC,82
New York NY,82
Green Bay-Appleton WI,82
Richmond-Petersburg VA,80
Minneapolis-St. Paul MN,80
Fresno-Visalia CA,80
Wilkes Barre-Scranton PA,79
Sacramento-Stockton-Modesto CA,78
Columbia SC,78
Spokane WA,77
Tucson (Sierra Vista) AZ,76
Pittsburgh PA,76
Syracuse NY,76
Wichita-Hutchinson KS,76
West Palm Beach-Ft. Pierce FL,76
Cincinnati OH,74
Cleveland-Akron (Canton) OH,74
Phoenix AZ,74
Miami-Ft. Lauderdale FL,74
Colorado Springs-Pueblo CO,74
Albany-Schenectady-Troy NY,73
Atlanta GA,73
San Diego CA,73
Denver CO,72
Harrisburg-Lancaster-Lebanon-York PA,72
St. Louis MO,72
Tampa-St. Petersburg (Sarasota) FL,72
New Orleans LA,71
Ft. Myers-Naples FL,71
Raleigh-Durham (Fayetteville) NC,71
El Paso TX,70
Madison WI,70
Flint-Saginaw-Bay City MI,70
Orlando-Daytona Beach-Melbourne FL,69
Omaha NE,69
Portland-Auburn ME,68
Indianapolis IN,68
Des Moines-Ames IA,68
Buffalo NY,68
Toledo OH,68
San Antonio TX,68
Roanoke-Lynchburg VA,68
Greensboro-High Point-Winston Salem NC,67
Jackson MS,67
Columbus OH,67
Honolulu HI,66
Jacksonville FL,66
Charleston-Huntington WV,64
Houston TX,64
Austin TX,64
Albuquerque-Santa Fe NM,63
Kansas City MO,63
Charlotte NC,63
Washington DC (Hagerstown MD),62
Burlington VT-Plattsburgh NY,61
Seattle-Tacoma WA,61
Louisville KY,61
Las Vegas NV,61
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61
Memphis TN,61
Birmingham AL,61
Dallas-Ft. Worth TX,60
Rochester NY,59
Lexington KY,58
Portland OR,58
Waco-Temple-Bryan TX,58
Mobile AL-Pensacola (Ft. Walton Beach) FL,56
Salt Lake City UT,56
Nashville TN,53
Oklahoma City OK,50
San Francisco-Oakland-San Jose CA,48
Harlingen-Weslaco-Brownsville-McAllen TX,48
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for lupe fiasco
Town/City,lupe fiasco
Milwaukee,100
Chicago,88
Los Angeles,88
Philadelphia,84
Washington,77
New York,76
Boston,74
Minneapolis,74
Denver,74
Columbus,73
Las Vegas,71
San Diego,71
San Francisco,68
St. Louis,68
San Jose,67



Top searches for lupe fiasco
show goes on,100
superstar,25
lupe fiasco superstar,25
battle scars,25
kanye west,20
new lupe fiasco,15
kick push,15
lupe fiasco instrumental,10
lasers lupe fiasco,10
lasers,10
battle scars lyrics,10
lupe fiasco freestyle,5
lupe fiasco daydreamin,5
lupe fiasco live,5
lupe fiasco cool,5
lupe fiasco fire,5
roll up,5
daydream,5
daydream lupe fiasco,5
lupe fiasco sunshine,5
lupe fiasco interview,5
dumb it down,5
lupe fiasco fighters,5



Rising searches for lupe fiasco
battle scars,Breakout
lasers,Breakout
lasers lupe fiasco,Breakout
show goes on,Breakout
lupe fiasco instrumental,+200%
kick push,+60%



