YouTube Search interest: tiesto
United States; Jan 2008 - Jul 2015

Interest over time
Week,tiesto
2008-01-06 - 2008-01-12,44
2008-01-13 - 2008-01-19,47
2008-01-20 - 2008-01-26,45
2008-01-27 - 2008-02-02,43
2008-02-03 - 2008-02-09,45
2008-02-10 - 2008-02-16,45
2008-02-17 - 2008-02-23,40
2008-02-24 - 2008-03-01,38
2008-03-02 - 2008-03-08,44
2008-03-09 - 2008-03-15,43
2008-03-16 - 2008-03-22,41
2008-03-23 - 2008-03-29,45
2008-03-30 - 2008-04-05,44
2008-04-06 - 2008-04-12,43
2008-04-13 - 2008-04-19,40
2008-04-20 - 2008-04-26,45
2008-04-27 - 2008-05-03,45
2008-05-04 - 2008-05-10,45
2008-05-11 - 2008-05-17,47
2008-05-18 - 2008-05-24,48
2008-05-25 - 2008-05-31,55
2008-06-01 - 2008-06-07,51
2008-06-08 - 2008-06-14,57
2008-06-15 - 2008-06-21,61
2008-06-22 - 2008-06-28,60
2008-06-29 - 2008-07-05,60
2008-07-06 - 2008-07-12,60
2008-07-13 - 2008-07-19,62
2008-07-20 - 2008-07-26,59
2008-07-27 - 2008-08-02,57
2008-08-03 - 2008-08-09,59
2008-08-10 - 2008-08-16,60
2008-08-17 - 2008-08-23,61
2008-08-24 - 2008-08-30,62
2008-08-31 - 2008-09-06,66
2008-09-07 - 2008-09-13,62
2008-09-14 - 2008-09-20,65
2008-09-21 - 2008-09-27,56
2008-09-28 - 2008-10-04,60
2008-10-05 - 2008-10-11,56
2008-10-12 - 2008-10-18,56
2008-10-19 - 2008-10-25,53
2008-10-26 - 2008-11-01,64
2008-11-02 - 2008-11-08,56
2008-11-09 - 2008-11-15,58
2008-11-16 - 2008-11-22,62
2008-11-23 - 2008-11-29,59
2008-11-30 - 2008-12-06,62
2008-12-07 - 2008-12-13,70
2008-12-14 - 2008-12-20,68
2008-12-21 - 2008-12-27,62
2008-12-28 - 2009-01-03,66
2009-01-04 - 2009-01-10,66
2009-01-11 - 2009-01-17,60
2009-01-18 - 2009-01-24,59
2009-01-25 - 2009-01-31,59
2009-02-01 - 2009-02-07,61
2009-02-08 - 2009-02-14,63
2009-02-15 - 2009-02-21,57
2009-02-22 - 2009-02-28,64
2009-03-01 - 2009-03-07,59
2009-03-08 - 2009-03-14,57
2009-03-15 - 2009-03-21,60
2009-03-22 - 2009-03-28,62
2009-03-29 - 2009-04-04,62
2009-04-05 - 2009-04-11,60
2009-04-12 - 2009-04-18,57
2009-04-19 - 2009-04-25,58
2009-04-26 - 2009-05-02,56
2009-05-03 - 2009-05-09,56
2009-05-10 - 2009-05-16,58
2009-05-17 - 2009-05-23,60
2009-05-24 - 2009-05-30,60
2009-05-31 - 2009-06-06,57
2009-06-07 - 2009-06-13,61
2009-06-14 - 2009-06-20,55
2009-06-21 - 2009-06-27,56
2009-06-28 - 2009-07-04,53
2009-07-05 - 2009-07-11,53
2009-07-12 - 2009-07-18,52
2009-07-19 - 2009-07-25,56
2009-07-26 - 2009-08-01,58
2009-08-02 - 2009-08-08,54
2009-08-09 - 2009-08-15,56
2009-08-16 - 2009-08-22,60
2009-08-23 - 2009-08-29,56
2009-08-30 - 2009-09-05,72
2009-09-06 - 2009-09-12,67
2009-09-13 - 2009-09-19,65
2009-09-20 - 2009-09-26,69
2009-09-27 - 2009-10-03,79
2009-10-04 - 2009-10-10,91
2009-10-11 - 2009-10-17,93
2009-10-18 - 2009-10-24,94
2009-10-25 - 2009-10-31,90
2009-11-01 - 2009-11-07,88
2009-11-08 - 2009-11-14,89
2009-11-15 - 2009-11-21,88
2009-11-22 - 2009-11-28,95
2009-11-29 - 2009-12-05,93
2009-12-06 - 2009-12-12,87
2009-12-13 - 2009-12-19,86
2009-12-20 - 2009-12-26,81
2009-12-27 - 2010-01-02,82
2010-01-03 - 2010-01-09,77
2010-01-10 - 2010-01-16,87
2010-01-17 - 2010-01-23,90
2010-01-24 - 2010-01-30,88
2010-01-31 - 2010-02-06,91
2010-02-07 - 2010-02-13,82
2010-02-14 - 2010-02-20,81
2010-02-21 - 2010-02-27,85
2010-02-28 - 2010-03-06,87
2010-03-07 - 2010-03-13,84
2010-03-14 - 2010-03-20,87
2010-03-21 - 2010-03-27,88
2010-03-28 - 2010-04-03,88
2010-04-04 - 2010-04-10,88
2010-04-11 - 2010-04-17,87
2010-04-18 - 2010-04-24,96
2010-04-25 - 2010-05-01,82
