YouTube Search interest: kaskade
United States; Jan 2008 - Jul 2015

Interest over time
Week,kaskade
2011-03-06 - 2011-03-12,27
2011-03-13 - 2011-03-19,30
2011-03-20 - 2011-03-26,38
2011-03-27 - 2011-04-02,34
2011-04-03 - 2011-04-09,32
2011-04-10 - 2011-04-16,34
2011-04-17 - 2011-04-23,32
2011-04-24 - 2011-04-30,34
2011-05-01 - 2011-05-07,29
2011-05-08 - 2011-05-14,28
2011-05-15 - 2011-05-21,35
2011-05-22 - 2011-05-28,30
2011-05-29 - 2011-06-04,31
2011-06-05 - 2011-06-11,31
2011-06-12 - 2011-06-18,32
2011-06-19 - 2011-06-25,27
2011-06-26 - 2011-07-02,26
2011-07-03 - 2011-07-09,26
2011-07-10 - 2011-07-16,27
2011-07-17 - 2011-07-23,31
2011-07-24 - 2011-07-30,41
2011-07-31 - 2011-08-06,39
2011-08-07 - 2011-08-13,48
2011-08-14 - 2011-08-20,48
2011-08-21 - 2011-08-27,55
2011-08-28 - 2011-09-03,50
2011-09-04 - 2011-09-10,58
2011-09-11 - 2011-09-17,56
2011-09-18 - 2011-09-24,48
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,46
2011-10-16 - 2011-10-22,46
2011-10-23 - 2011-10-29,100
2011-10-30 - 2011-11-05,79
2011-11-06 - 2011-11-12,65
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,53
2011-11-27 - 2011-12-03,55
2011-12-04 - 2011-12-10,55
2011-12-11 - 2011-12-17,49
2011-12-18 - 2011-12-24,47
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,41
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,40
2012-01-22 - 2012-01-28,39
2012-01-29 - 2012-02-04,41
2012-02-05 - 2012-02-11,40
2012-02-12 - 2012-02-18,43
2012-02-19 - 2012-02-25,43
2012-02-26 - 2012-03-03,36
2012-03-04 - 2012-03-10,35
2012-03-11 - 2012-03-17,42
2012-03-18 - 2012-03-24,41
2012-03-25 - 2012-03-31,48
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,45
2012-04-15 - 2012-04-21,52
2012-04-22 - 2012-04-28,54
2012-04-29 - 2012-05-05,45
2012-05-06 - 2012-05-12,45
2012-05-13 - 2012-05-19,40
2012-05-20 - 2012-05-26,44
2012-05-27 - 2012-06-02,44
2012-06-03 - 2012-06-09,42
2012-06-10 - 2012-06-16,56
2012-06-17 - 2012-06-23,50
2012-06-24 - 2012-06-30,49
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,50
2012-07-15 - 2012-07-21,55
2012-07-22 - 2012-07-28,66
2012-07-29 - 2012-08-04,66
2012-08-05 - 2012-08-11,55
2012-08-12 - 2012-08-18,47
2012-08-19 - 2012-08-25,41
2012-08-26 - 2012-09-01,39
2012-09-02 - 2012-09-08,40
2012-09-09 - 2012-09-15,45
2012-09-16 - 2012-09-22,40
2012-09-23 - 2012-09-29,36
2012-09-30 - 2012-10-06,38
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,32
2012-10-21 - 2012-10-27,35
2012-10-28 - 2012-11-03,32
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,29
2012-11-25 - 2012-12-01,29
2012-12-02 - 2012-12-08,33
2012-12-09 - 2012-12-15,28
2012-12-16 - 2012-12-22,28
2012-12-23 - 2012-12-29,27
2012-12-30 - 2013-01-05,30
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,29
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,26
2013-02-03 - 2013-02-09,28
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,24
2013-02-24 - 2013-03-02,28
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,25
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,33
2013-04-07 - 2013-04-13,29
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,33
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,31
2013-05-12 - 2013-05-18,31
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,32
2013-06-02 - 2013-06-08,38
2013-06-09 - 2013-06-15,39
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,32
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,39
2013-07-14 - 2013-07-20,37
2013-07-21 - 2013-07-27,37
2013-07-28 - 2013-08-03,36
2013-08-04 - 2013-08-10,33
2013-08-11 - 2013-08-17,39
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,34
2013-09-01 - 2013-09-07,44
2013-09-08 - 2013-09-14,60
2013-09-15 - 2013-09-21,63
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,42
2013-10-06 - 2013-10-12,52
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,47
2013-10-27 - 2013-11-02,43
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,40
2013-11-17 - 2013-11-23,36
2013-11-24 - 2013-11-30,30
2013-12-01 - 2013-12-07,33
2013-12-08 - 2013-12-14,35
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,23
2013-12-29 - 2014-01-04,31
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,31
2014-01-19 - 2014-01-25,28
2014-01-26 - 2014-02-01,27
2014-02-02 - 2014-02-08,29
2014-02-09 - 2014-02-15,28
2014-02-16 - 2014-02-22,24
2014-02-23 - 2014-03-01,25
2014-03-02 - 2014-03-08,25
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,28
2014-03-30 - 2014-04-05,36
2014-04-06 - 2014-04-12,30
2014-04-13 - 2014-04-19,26
2014-04-20 - 2014-04-26,28
2014-04-27 - 2014-05-03,29
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,25
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,23
2014-06-01 - 2014-06-07,21
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,26
2014-06-22 - 2014-06-28,31
2014-06-29 - 2014-07-05,27
2014-07-06 - 2014-07-12,19
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,33
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,25
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,19
2014-08-24 - 2014-08-30,23
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,19
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,22
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,21
2014-10-12 - 2014-10-18,19
2014-10-19 - 2014-10-25,23
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,22
2014-11-09 - 2014-11-15,20
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,20
2014-12-07 - 2014-12-13,21
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,16
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,18
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,17
2015-01-25 - 2015-01-31,19
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,17
2015-02-15 - 2015-02-21,15
2015-02-22 - 2015-02-28,18
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,18
2015-03-22 - 2015-03-28,17
2015-03-29 - 2015-04-04,15
2015-04-05 - 2015-04-11,21
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,28
2015-04-26 - 2015-05-02,21
2015-05-03 - 2015-05-09,20
2015-05-10 - 2015-05-16,21
2015-05-17 - 2015-05-23,19
2015-05-24 - 2015-05-30,18
2015-05-31 - 2015-06-06,20
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,17
2015-06-21 - 2015-06-27,21
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,20


Top sub-regions for kaskade
Sub-region,kaskade
California,100
Nevada,68
Florida,61
Hawaii,60
New Mexico,58
Colorado,57
Washington,51
New York,49
Arizona,48
New Jersey,45
Utah,44
Texas,43
Connecticut,43
Illinois,42
Massachusetts,40
Rhode Island,39
Delaware,38
Maryland,36
District of Columbia,34
Vermont,32
Oregon,30
Pennsylvania,30
New Hampshire,29
Idaho,28
Michigan,27
Virginia,24
Wisconsin,24
Minnesota,22
North Carolina,22
Indiana,22
Georgia,21
West Virginia,21
Maine,19
Kansas,19
Missouri,19
Ohio,18
South Carolina,18
Oklahoma,18
Iowa,17
Louisiana,17
Arkansas,17
Nebraska,16
Tennessee,16
Alabama,14
Mississippi,13
Kentucky,11
Alaska,0
Montana,0
North Dakota,0
South Dakota,0
Wyoming,0


Top metros for kaskade
Metro,kaskade
El Paso TX,100
Los Angeles CA,81
San Diego CA,65
Miami-Ft. Lauderdale FL,58
Las Vegas NV,54
San Francisco-Oakland-San Jose CA,39
Denver CO,34
Sacramento-Stockton-Modesto CA,33
New York NY,32
Seattle-Tacoma WA,32
Phoenix AZ,32
Orlando-Daytona Beach-Melbourne FL,29
Chicago IL,29
Houston TX,25
Boston MA-Manchester NH,23
Dallas-Ft. Worth TX,23
Tampa-St. Petersburg (Sarasota) FL,22
Philadelphia PA,21
Washington DC (Hagerstown MD),17
Atlanta GA,13
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Detroit MI,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Minneapolis-St. Paul MN,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for kaskade
Town/City,kaskade
El Paso,100
Riverside,69
Los Angeles,66
Long Beach,63
San Diego,63
Hialeah,62
San Jose,59
San Francisco,55
Irvine,55
Miami,45
Las Vegas,43
Albuquerque,33
Honolulu,33
Denver,32
Seattle,30



Top searches for kaskade
kaskade remix,100
deadmau5 kaskade,65
deadmau5,60
kaskade eyes,60
move for me,40
kaskade remember,35
i remember kaskade,30
i remember,30
atmosphere kaskade,30
atmosphere,30
kaskade angel,30
4am kaskade,30
turn it down,30
4am,25
kaskade mix,25
raining kaskade,20
i remember deadmau5,20
kaskade live,20
dynasty kaskade,20
dynasty,20
dj kaskade,15
kaskade and deadmau5,15
ice kaskade,15
lessons in love,10
kaskade edc,10
all you kaskade,10
last chance kaskade,10
dada life,10
kaskade ultra,10
kaskade eyes remix,10
kaskade 4am remix,5
be still kaskade,5
be still,5
alesso,5
only you kaskade,5



Rising searches for kaskade
4am kaskade,Breakout
atmosphere,Breakout
atmosphere kaskade,Breakout
deadmau5,Breakout
deadmau5 kaskade,Breakout
i remember,Breakout
i remember kaskade,Breakout
kaskade angel,Breakout
kaskade eyes,Breakout
kaskade remember,Breakout



