YouTube Search interest: busta rhymes
United States; Jan 2008 - Jul 2015

Interest over time
Week,busta rhymes
2011-07-10 - 2011-07-16,62
2011-07-17 - 2011-07-23,57
2011-07-24 - 2011-07-30,56
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,56
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,56
2011-09-04 - 2011-09-10,52
2011-09-11 - 2011-09-17,48
2011-09-18 - 2011-09-24,47
2011-09-25 - 2011-10-01,48
2011-10-02 - 2011-10-08,50
2011-10-09 - 2011-10-15,64
2011-10-16 - 2011-10-22,53
2011-10-23 - 2011-10-29,55
2011-10-30 - 2011-11-05,60
2011-11-06 - 2011-11-12,51
2011-11-13 - 2011-11-19,60
2011-11-20 - 2011-11-26,61
2011-11-27 - 2011-12-03,65
2011-12-04 - 2011-12-10,63
2011-12-11 - 2011-12-17,62
2011-12-18 - 2011-12-24,60
2011-12-25 - 2011-12-31,58
2012-01-01 - 2012-01-07,51
2012-01-08 - 2012-01-14,46
2012-01-15 - 2012-01-21,49
2012-01-22 - 2012-01-28,49
2012-01-29 - 2012-02-04,74
2012-02-05 - 2012-02-11,62
2012-02-12 - 2012-02-18,69
2012-02-19 - 2012-02-25,77
2012-02-26 - 2012-03-03,63
2012-03-04 - 2012-03-10,60
2012-03-11 - 2012-03-17,59
2012-03-18 - 2012-03-24,57
2012-03-25 - 2012-03-31,49
2012-04-01 - 2012-04-07,49
2012-04-08 - 2012-04-14,45
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,44
2012-04-29 - 2012-05-05,38
2012-05-06 - 2012-05-12,37
2012-05-13 - 2012-05-19,38
2012-05-20 - 2012-05-26,40
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,39
2012-06-10 - 2012-06-16,38
2012-06-17 - 2012-06-23,37
2012-06-24 - 2012-06-30,38
2012-07-01 - 2012-07-07,41
2012-07-08 - 2012-07-14,38
2012-07-15 - 2012-07-21,38
2012-07-22 - 2012-07-28,41
2012-07-29 - 2012-08-04,38
2012-08-05 - 2012-08-11,34
2012-08-12 - 2012-08-18,35
2012-08-19 - 2012-08-25,41
2012-08-26 - 2012-09-01,42
2012-09-02 - 2012-09-08,38
2012-09-09 - 2012-09-15,36
2012-09-16 - 2012-09-22,33
2012-09-23 - 2012-09-29,30
2012-09-30 - 2012-10-06,30
2012-10-07 - 2012-10-13,33
2012-10-14 - 2012-10-20,33
2012-10-21 - 2012-10-27,29
2012-10-28 - 2012-11-03,28
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,29
2012-11-18 - 2012-11-24,25
2012-11-25 - 2012-12-01,26
2012-12-02 - 2012-12-08,28
2012-12-09 - 2012-12-15,26
2012-12-16 - 2012-12-22,28
2012-12-23 - 2012-12-29,29
2012-12-30 - 2013-01-05,28
2013-01-06 - 2013-01-12,27
2013-01-13 - 2013-01-19,28
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,30
2013-02-03 - 2013-02-09,25
2013-02-10 - 2013-02-16,27
2013-02-17 - 2013-02-23,24
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,24
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,25
2013-03-24 - 2013-03-30,21
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,23
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,20
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,26
2013-05-12 - 2013-05-18,27
2013-05-19 - 2013-05-25,25
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,31
2013-06-09 - 2013-06-15,34
2013-06-16 - 2013-06-22,48
2013-06-23 - 2013-06-29,44
2013-06-30 - 2013-07-06,41
2013-07-07 - 2013-07-13,39
2013-07-14 - 2013-07-20,32
2013-07-21 - 2013-07-27,59
2013-07-28 - 2013-08-03,53
2013-08-04 - 2013-08-10,49
2013-08-11 - 2013-08-17,45
2013-08-18 - 2013-08-24,44
2013-08-25 - 2013-08-31,46
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,35
2013-09-15 - 2013-09-21,34
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,30
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,28
2013-11-03 - 2013-11-09,31
2013-11-10 - 2013-11-16,34
2013-11-17 - 2013-11-23,35
2013-11-24 - 2013-11-30,42
2013-12-01 - 2013-12-07,39
2013-12-08 - 2013-12-14,39
2013-12-15 - 2013-12-21,36
2013-12-22 - 2013-12-28,33
2013-12-29 - 2014-01-04,32
2014-01-05 - 2014-01-11,32
2014-01-12 - 2014-01-18,31
2014-01-19 - 2014-01-25,30
2014-01-26 - 2014-02-01,29
2014-02-02 - 2014-02-08,28
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,25
2014-03-02 - 2014-03-08,24
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,28
2014-03-23 - 2014-03-29,24
2014-03-30 - 2014-04-05,21
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,24
2014-04-20 - 2014-04-26,24
2014-04-27 - 2014-05-03,24
2014-05-04 - 2014-05-10,23
2014-05-11 - 2014-05-17,23
2014-05-18 - 2014-05-24,23
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,22
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,23
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,55
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,27
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,26
2014-08-10 - 2014-08-16,23
2014-08-17 - 2014-08-23,23
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,22
2014-09-07 - 2014-09-13,20
2014-09-14 - 2014-09-20,22
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,22
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,20
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,20
2014-11-09 - 2014-11-15,18
2014-11-16 - 2014-11-22,18
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,21
2014-12-21 - 2014-12-27,17
2014-12-28 - 2015-01-03,18
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,18
2015-01-18 - 2015-01-24,16
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,17
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,17
2015-03-22 - 2015-03-28,17
2015-03-29 - 2015-04-04,20
2015-04-05 - 2015-04-11,16
2015-04-12 - 2015-04-18,14
2015-04-19 - 2015-04-25,15
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,16
2015-05-24 - 2015-05-30,14
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,13
2015-06-28 - 2015-07-04,16
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,15
2015-07-19 - 2015-07-25,14
2015-07-26 - 2015-08-01,13


Top sub-regions for busta rhymes
Sub-region,busta rhymes
New York,100
North Carolina,89
Connecticut,84
Rhode Island,83
South Carolina,82
Pennsylvania,82
Maryland,81
Georgia,80
New Jersey,79
Florida,78
Delaware,78
Ohio,75
Massachusetts,74
Maine,71
Mississippi,70
Indiana,70
Michigan,70
District of Columbia,69
Illinois,68
Alabama,68
Louisiana,66
Vermont,65
West Virginia,65
Arizona,64
New Mexico,64
Kentucky,63
Tennessee,62
Texas,61
New Hampshire,61
Missouri,60
Colorado,59
Wisconsin,59
Virginia,59
Montana,59
Nevada,59
Kansas,59
Arkansas,58
Oklahoma,57
Iowa,57
Minnesota,56
North Dakota,55
California,55
Nebraska,54
Washington,53
Hawaii,52
Wyoming,52
Alaska,52
Idaho,51
South Dakota,50
Oregon,45
Utah,42


Top metros for busta rhymes
Metro,busta rhymes
Norfolk-Portsmouth-Newport News VA,100
New York NY,92
Raleigh-Durham (Fayetteville) NC,89
Richmond-Petersburg VA,83
Columbia SC,82
Albany-Schenectady-Troy NY,81
El Paso TX,79
Wilkes Barre-Scranton PA,78
Baltimore MD,77
Providence RI-New Bedford MA,75
Hartford & New Haven CT,75
Philadelphia PA,73
Cleveland-Akron (Canton) OH,73
Miami-Ft. Lauderdale FL,72
Jacksonville FL,70
Buffalo NY,69
Pittsburgh PA,68
Orlando-Daytona Beach-Melbourne FL,68
Detroit MI,67
Greensboro-High Point-Winston Salem NC,67
Atlanta GA,66
Rochester NY,66
Charlotte NC,65
Harrisburg-Lancaster-Lebanon-York PA,63
Tampa-St. Petersburg (Sarasota) FL,63
Grand Rapids-Kalamazoo-Battle Creek MI,62
Tucson (Sierra Vista) AZ,62
Chicago IL,62
Columbus OH,62
Cincinnati OH,62
West Palm Beach-Ft. Pierce FL,61
Phoenix AZ,60
Albuquerque-Santa Fe NM,60
Birmingham AL,60
Boston MA-Manchester NH,59
Las Vegas NV,59
Memphis TN,59
Greenville-Spartanburg SC-Asheville NC-Anderson SC,59
Los Angeles CA,56
St. Louis MO,56
Denver CO,55
Louisville KY,55
New Orleans LA,54
Kansas City MO,54
Washington DC (Hagerstown MD),54
Houston TX,53
Honolulu HI,53
Minneapolis-St. Paul MN,53
Milwaukee WI,52
San Diego CA,52
Indianapolis IN,51
San Antonio TX,49
Seattle-Tacoma WA,49
Sacramento-Stockton-Modesto CA,49
Dallas-Ft. Worth TX,48
Austin TX,48
Nashville TN,44
Salt Lake City UT,38
Portland OR,37
San Francisco-Oakland-San Jose CA,33
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for busta rhymes
Town/City,busta rhymes
New York,100
Philadelphia,89
Baltimore,84
Newark,77
Charlotte,72
Washington,69
Chicago,68
Orlando,67
Columbus,66
Miami,66
Boston,65
Atlanta,64
Tampa,61
Las Vegas,60
Los Angeles,58



Top searches for busta rhymes
ft busta rhymes,100
busta rhymes remix,90
touch it,50
busta rhymes eminem,50
twerk,45
twerk it,45
break ya neck,40
new busta rhymes,35
twista,35
why stop now,30
arab money,25
busta rhymes instrumental,25
touch it remix,25
busta rhymes 2011,20
we made it,20
busta rhymes freestyle,20
yelawolf,15
dmx,15
fire busta rhymes,15
travis barker,10
ll cool j,10
missy elliot,10
method man,10
busta rhymes bass,10
busta rymes,10
busta rhymes 2012,10
dangerous busta rhymes,10
busta rhymes ghetto,10
busta rhymes cypher,5
busta rhymes conglomerate,5
ham busta rhymes,5
pass the courvoisier,5
busta rhymes 2010,5



Rising searches for busta rhymes
twerk,Breakout
twerk it,Breakout
twista,Breakout
break ya neck,+350%
ft busta rhymes,+300%
busta rhymes eminem,+200%
busta rhymes remix,+200%
new busta rhymes,+80%
touch it,+50%



