YouTube Search interest: lee brice
United States; Jan 2008 - Jul 2015

Interest over time
Week,lee brice
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,4
2009-09-27 - 2009-10-03,2
2009-10-04 - 2009-10-10,3
2009-10-11 - 2009-10-17,2
2009-10-18 - 2009-10-24,3
2009-10-25 - 2009-10-31,3
2009-11-01 - 2009-11-07,4
2009-11-08 - 2009-11-14,5
2009-11-15 - 2009-11-21,4
2009-11-22 - 2009-11-28,3
2009-11-29 - 2009-12-05,6
2009-12-06 - 2009-12-12,5
2009-12-13 - 2009-12-19,4
2009-12-20 - 2009-12-26,5
2009-12-27 - 2010-01-02,3
2010-01-03 - 2010-01-09,6
2010-01-10 - 2010-01-16,4
2010-01-17 - 2010-01-23,4
2010-01-24 - 2010-01-30,5
2010-01-31 - 2010-02-06,5
2010-02-07 - 2010-02-13,6
2010-02-14 - 2010-02-20,7
2010-02-21 - 2010-02-27,7
2010-02-28 - 2010-03-06,6
2010-03-07 - 2010-03-13,6
2010-03-14 - 2010-03-20,9
2010-03-21 - 2010-03-27,12
2010-03-28 - 2010-04-03,11
2010-04-04 - 2010-04-10,12
2010-04-11 - 2010-04-17,12
2010-04-18 - 2010-04-24,14
2010-04-25 - 2010-05-01,16
2010-05-02 - 2010-05-08,16
2010-05-09 - 2010-05-15,17
2010-05-16 - 2010-05-22,19
2010-05-23 - 2010-05-29,20
2010-05-30 - 2010-06-05,19
2010-06-06 - 2010-06-12,24
2010-06-13 - 2010-06-19,31
2010-06-20 - 2010-06-26,27
2010-06-27 - 2010-07-03,29
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,32
2010-07-18 - 2010-07-24,31
2010-07-25 - 2010-07-31,29
2010-08-01 - 2010-08-07,28
2010-08-08 - 2010-08-14,30
2010-08-15 - 2010-08-21,26
2010-08-22 - 2010-08-28,28
2010-08-29 - 2010-09-04,25
2010-09-05 - 2010-09-11,28
2010-09-12 - 2010-09-18,25
2010-09-19 - 2010-09-25,21
2010-09-26 - 2010-10-02,19
2010-10-03 - 2010-10-09,15
2010-10-10 - 2010-10-16,14
2010-10-17 - 2010-10-23,16
2010-10-24 - 2010-10-30,13
2010-10-31 - 2010-11-06,11
2010-11-07 - 2010-11-13,11
2010-11-14 - 2010-11-20,12
2010-11-21 - 2010-11-27,10
2010-11-28 - 2010-12-04,10
2010-12-05 - 2010-12-11,9
2010-12-12 - 2010-12-18,10
2010-12-19 - 2010-12-25,9
2010-12-26 - 2011-01-01,8
2011-01-02 - 2011-01-08,8
2011-01-09 - 2011-01-15,13
2011-01-16 - 2011-01-22,14
2011-01-23 - 2011-01-29,10
2011-01-30 - 2011-02-05,12
2011-02-06 - 2011-02-12,10
2011-02-13 - 2011-02-19,9
2011-02-20 - 2011-02-26,12
2011-02-27 - 2011-03-05,13
2011-03-06 - 2011-03-12,15
2011-03-13 - 2011-03-19,11
2011-03-20 - 2011-03-26,12
2011-03-27 - 2011-04-02,15
2011-04-03 - 2011-04-09,20
2011-04-10 - 2011-04-16,17
2011-04-17 - 2011-04-23,15
2011-04-24 - 2011-04-30,17
2011-05-01 - 2011-05-07,12
2011-05-08 - 2011-05-14,14
2011-05-15 - 2011-05-21,15
2011-05-22 - 2011-05-28,13
2011-05-29 - 2011-06-04,12
2011-06-05 - 2011-06-11,12
2011-06-12 - 2011-06-18,10
2011-06-19 - 2011-06-25,10
2011-06-26 - 2011-07-02,11
2011-07-03 - 2011-07-09,11
2011-07-10 - 2011-07-16,12
2011-07-17 - 2011-07-23,13
2011-07-24 - 2011-07-30,11
2011-07-31 - 2011-08-06,13
2011-08-07 - 2011-08-13,11
2011-08-14 - 2011-08-20,12
2011-08-21 - 2011-08-27,10
2011-08-28 - 2011-09-03,11
2011-09-04 - 2011-09-10,10
2011-09-11 - 2011-09-17,11
2011-09-18 - 2011-09-24,8
2011-09-25 - 2011-10-01,10
2011-10-02 - 2011-10-08,10
2011-10-09 - 2011-10-15,12
2011-10-16 - 2011-10-22,12
2011-10-23 - 2011-10-29,12
2011-10-30 - 2011-11-05,15
2011-11-06 - 2011-11-12,20
2011-11-13 - 2011-11-19,20
2011-11-20 - 2011-11-26,23
2011-11-27 - 2011-12-03,32
2011-12-04 - 2011-12-10,37
2011-12-11 - 2011-12-17,36
2011-12-18 - 2011-12-24,37
2011-12-25 - 2011-12-31,36
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,46
2012-01-15 - 2012-01-21,53
2012-01-22 - 2012-01-28,53
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,54
2012-02-12 - 2012-02-18,57
2012-02-19 - 2012-02-25,60
2012-02-26 - 2012-03-03,60
2012-03-04 - 2012-03-10,65
2012-03-11 - 2012-03-17,65
2012-03-18 - 2012-03-24,72
2012-03-25 - 2012-03-31,75
2012-04-01 - 2012-04-07,77
2012-04-08 - 2012-04-14,81
2012-04-15 - 2012-04-21,86
2012-04-22 - 2012-04-28,100
2012-04-29 - 2012-05-05,86
2012-05-06 - 2012-05-12,71
2012-05-13 - 2012-05-19,66
2012-05-20 - 2012-05-26,63
2012-05-27 - 2012-06-02,63
2012-06-03 - 2012-06-09,66
2012-06-10 - 2012-06-16,65
2012-06-17 - 2012-06-23,62
2012-06-24 - 2012-06-30,65
2012-07-01 - 2012-07-07,70
2012-07-08 - 2012-07-14,72
2012-07-15 - 2012-07-21,69
2012-07-22 - 2012-07-28,78
2012-07-29 - 2012-08-04,73
2012-08-05 - 2012-08-11,74
2012-08-12 - 2012-08-18,84
2012-08-19 - 2012-08-25,75
2012-08-26 - 2012-09-01,84
2012-09-02 - 2012-09-08,85
2012-09-09 - 2012-09-15,78
2012-09-16 - 2012-09-22,82
2012-09-23 - 2012-09-29,76
2012-09-30 - 2012-10-06,75
2012-10-07 - 2012-10-13,78
2012-10-14 - 2012-10-20,76
2012-10-21 - 2012-10-27,74
2012-10-28 - 2012-11-03,70
2012-11-04 - 2012-11-10,69
2012-11-11 - 2012-11-17,72
2012-11-18 - 2012-11-24,61
2012-11-25 - 2012-12-01,56
2012-12-02 - 2012-12-08,60
2012-12-09 - 2012-12-15,59
2012-12-16 - 2012-12-22,59
2012-12-23 - 2012-12-29,52
2012-12-30 - 2013-01-05,58
2013-01-06 - 2013-01-12,65
2013-01-13 - 2013-01-19,73
2013-01-20 - 2013-01-26,77
2013-01-27 - 2013-02-02,80
2013-02-03 - 2013-02-09,77
2013-02-10 - 2013-02-16,75
2013-02-17 - 2013-02-23,74
2013-02-24 - 2013-03-02,76
2013-03-03 - 2013-03-09,70
2013-03-10 - 2013-03-16,67
2013-03-17 - 2013-03-23,78
2013-03-24 - 2013-03-30,70
2013-03-31 - 2013-04-06,65
2013-04-07 - 2013-04-13,69
2013-04-14 - 2013-04-20,68
2013-04-21 - 2013-04-27,57
2013-04-28 - 2013-05-04,61
2013-05-05 - 2013-05-11,52
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,51
2013-05-26 - 2013-06-01,49
2013-06-02 - 2013-06-08,50
2013-06-09 - 2013-06-15,42
2013-06-16 - 2013-06-22,46
2013-06-23 - 2013-06-29,47
2013-06-30 - 2013-07-06,50
2013-07-07 - 2013-07-13,51
2013-07-14 - 2013-07-20,47
2013-07-21 - 2013-07-27,46
2013-07-28 - 2013-08-03,48
2013-08-04 - 2013-08-10,45
2013-08-11 - 2013-08-17,51
2013-08-18 - 2013-08-24,46
2013-08-25 - 2013-08-31,42
2013-09-01 - 2013-09-07,42
2013-09-08 - 2013-09-14,39
2013-09-15 - 2013-09-21,37
2013-09-22 - 2013-09-28,34
2013-09-29 - 2013-10-05,40
2013-10-06 - 2013-10-12,37
2013-10-13 - 2013-10-19,32
2013-10-20 - 2013-10-26,33
2013-10-27 - 2013-11-02,31
2013-11-03 - 2013-11-09,55
2013-11-10 - 2013-11-16,45
2013-11-17 - 2013-11-23,32
2013-11-24 - 2013-11-30,28
2013-12-01 - 2013-12-07,25
2013-12-08 - 2013-12-14,24
2013-12-15 - 2013-12-21,21
2013-12-22 - 2013-12-28,19
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,23
2014-01-12 - 2014-01-18,22
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,20
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,23
2014-02-16 - 2014-02-22,22
2014-02-23 - 2014-03-01,24
2014-03-02 - 2014-03-08,25
2014-03-09 - 2014-03-15,23
2014-03-16 - 2014-03-22,21
2014-03-23 - 2014-03-29,22
2014-03-30 - 2014-04-05,19
2014-04-06 - 2014-04-12,33
2014-04-13 - 2014-04-19,30
2014-04-20 - 2014-04-26,24
2014-04-27 - 2014-05-03,28
2014-05-04 - 2014-05-10,27
2014-05-11 - 2014-05-17,24
2014-05-18 - 2014-05-24,29
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,25
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,24
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,21
2014-07-13 - 2014-07-19,21
2014-07-20 - 2014-07-26,22
2014-07-27 - 2014-08-02,20
2014-08-03 - 2014-08-09,21
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,27
2014-08-24 - 2014-08-30,23
2014-08-31 - 2014-09-06,32
2014-09-07 - 2014-09-13,30
2014-09-14 - 2014-09-20,30
2014-09-21 - 2014-09-27,29
2014-09-28 - 2014-10-04,31
2014-10-05 - 2014-10-11,37
2014-10-12 - 2014-10-18,35
2014-10-19 - 2014-10-25,41
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,42
2014-11-09 - 2014-11-15,41
2014-11-16 - 2014-11-22,38
2014-11-23 - 2014-11-29,31
2014-11-30 - 2014-12-06,40
2014-12-07 - 2014-12-13,38
2014-12-14 - 2014-12-20,43
2014-12-21 - 2014-12-27,29
2014-12-28 - 2015-01-03,24
2015-01-04 - 2015-01-10,33
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,35
2015-01-25 - 2015-01-31,37
2015-02-01 - 2015-02-07,34
2015-02-08 - 2015-02-14,36
2015-02-15 - 2015-02-21,29
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,39
2015-03-08 - 2015-03-14,28
2015-03-15 - 2015-03-21,33
2015-03-22 - 2015-03-28,33
2015-03-29 - 2015-04-04,34
2015-04-05 - 2015-04-11,32
2015-04-12 - 2015-04-18,33
2015-04-19 - 2015-04-25,40
2015-04-26 - 2015-05-02,32
2015-05-03 - 2015-05-09,34
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,24
2015-05-31 - 2015-06-06,25
2015-06-07 - 2015-06-13,20
2015-06-14 - 2015-06-20,23
2015-06-21 - 2015-06-27,21
2015-06-28 - 2015-07-04,23
2015-07-05 - 2015-07-11,17
2015-07-12 - 2015-07-18,22
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,21


Top sub-regions for lee brice
Sub-region,lee brice
West Virginia,100
North Dakota,99
Iowa,98
South Dakota,90
Kentucky,84
Nebraska,83
Montana,76
South Carolina,75
Maine,71
Wisconsin,71
Indiana,69
Wyoming,69
Ohio,67
Idaho,64
Kansas,64
Vermont,63
Minnesota,62
Tennessee,58
Missouri,58
Michigan,57
New Hampshire,55
Arkansas,55
Alabama,55
North Carolina,54
Oklahoma,52
Pennsylvania,45
New Mexico,43
Mississippi,41
Georgia,41
Utah,41
Colorado,39
Louisiana,38
Delaware,38
Illinois,37
Texas,34
Massachusetts,33
Arizona,33
Florida,31
Alaska,30
Oregon,29
Washington,29
Rhode Island,29
Maryland,29
Connecticut,26
Virginia,24
New York,22
Nevada,19
New Jersey,18
California,14
District of Columbia,13
Hawaii,12


Top metros for lee brice
Metro,lee brice
Charleston-Huntington WV,100
Lexington KY,79
Grand Rapids-Kalamazoo-Battle Creek MI,67
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61
Columbus OH,48
Nashville TN,47
Cincinnati OH,46
Cleveland-Akron (Canton) OH,46
Charlotte NC,45
St. Louis MO,44
Minneapolis-St. Paul MN,43
Indianapolis IN,43
Pittsburgh PA,40
Kansas City MO,38
Raleigh-Durham (Fayetteville) NC,36
Denver CO,31
Salt Lake City UT,31
Boston MA-Manchester NH,30
Detroit MI,29
Atlanta GA,28
Tampa-St. Petersburg (Sarasota) FL,26
Orlando-Daytona Beach-Melbourne FL,23
Phoenix AZ,23
Houston TX,22
Portland OR,21
Sacramento-Stockton-Modesto CA,21
Philadelphia PA,21
Chicago IL,21
Dallas-Ft. Worth TX,20
Seattle-Tacoma WA,17
Washington DC (Hagerstown MD),13
Los Angeles CA,10
New York NY,9
San Francisco-Oakland-San Jose CA,5
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for lee brice
Town/City,lee brice
Cincinnati,100
Columbus,92
San Antonio,80
Denver,66
Minneapolis,59
Houston,51
Phoenix,48
Dallas,46
Atlanta,37
Chicago,33
Los Angeles,15
New York,14



Top searches for lee brice
lee brice lyrics,100
woman like you,80
crazy lee brice,70
love like crazy,60
drinking class,20
parking lot party,20
lee brice songs,10
she aint right,5
lee brice beer,5
kip moore,5
springsteen eric church,5
randy houser,5
easton corbin,5
cowboys and angels,5



Rising searches for lee brice
crazy lee brice,Breakout
drinking class,Breakout
lee brice lyrics,Breakout
love like crazy,Breakout
parking lot party,Breakout
woman like you,Breakout



