YouTube Search interest: keyshia cole
United States; Jan 2008 - Jul 2015

Interest over time
Week,keyshia cole
2008-01-06 - 2008-01-12,49
2008-01-13 - 2008-01-19,42
2008-01-20 - 2008-01-26,59
2008-01-27 - 2008-02-02,52
2008-02-03 - 2008-02-09,44
2008-02-10 - 2008-02-16,41
2008-02-17 - 2008-02-23,34
2008-02-24 - 2008-03-01,36
2008-03-02 - 2008-03-08,35
2008-03-09 - 2008-03-15,33
2008-03-16 - 2008-03-22,36
2008-03-23 - 2008-03-29,46
2008-03-30 - 2008-04-05,46
2008-04-06 - 2008-04-12,43
2008-04-13 - 2008-04-19,43
2008-04-20 - 2008-04-26,49
2008-04-27 - 2008-05-03,43
2008-05-04 - 2008-05-10,51
2008-05-11 - 2008-05-17,46
2008-05-18 - 2008-05-24,50
2008-05-25 - 2008-05-31,40
2008-06-01 - 2008-06-07,46
2008-06-08 - 2008-06-14,53
2008-06-15 - 2008-06-21,56
2008-06-22 - 2008-06-28,59
2008-06-29 - 2008-07-05,50
2008-07-06 - 2008-07-12,50
2008-07-13 - 2008-07-19,50
2008-07-20 - 2008-07-26,54
2008-07-27 - 2008-08-02,50
2008-08-03 - 2008-08-09,41
2008-08-10 - 2008-08-16,43
2008-08-17 - 2008-08-23,37
2008-08-24 - 2008-08-30,37
2008-08-31 - 2008-09-06,39
2008-09-07 - 2008-09-13,39
2008-09-14 - 2008-09-20,36
2008-09-21 - 2008-09-27,37
2008-09-28 - 2008-10-04,36
2008-10-05 - 2008-10-11,36
2008-10-12 - 2008-10-18,37
2008-10-19 - 2008-10-25,36
2008-10-26 - 2008-11-01,38
2008-11-02 - 2008-11-08,46
2008-11-09 - 2008-11-15,53
2008-11-16 - 2008-11-22,55
2008-11-23 - 2008-11-29,63
2008-11-30 - 2008-12-06,57
2008-12-07 - 2008-12-13,75
2008-12-14 - 2008-12-20,88
2008-12-21 - 2008-12-27,93
2008-12-28 - 2009-01-03,92
2009-01-04 - 2009-01-10,82
2009-01-11 - 2009-01-17,78
2009-01-18 - 2009-01-24,79
2009-01-25 - 2009-01-31,78
2009-02-01 - 2009-02-07,78
2009-02-08 - 2009-02-14,76
2009-02-15 - 2009-02-21,71
2009-02-22 - 2009-02-28,69
2009-03-01 - 2009-03-07,71
2009-03-08 - 2009-03-14,73
2009-03-15 - 2009-03-21,64
2009-03-22 - 2009-03-28,67
2009-03-29 - 2009-04-04,55
2009-04-05 - 2009-04-11,58
2009-04-12 - 2009-04-18,48
2009-04-19 - 2009-04-25,50
2009-04-26 - 2009-05-02,52
2009-05-03 - 2009-05-09,75
