YouTube Search interest: kendrick lamar
United States; Jan 2008 - Jul 2015

Interest over time
Week,kendrick lamar
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,1
2011-01-09 - 2011-01-15,1
2011-01-16 - 2011-01-22,1
2011-01-23 - 2011-01-29,1
2011-01-30 - 2011-02-05,1
2011-02-06 - 2011-02-12,1
2011-02-13 - 2011-02-19,1
2011-02-20 - 2011-02-26,1
2011-02-27 - 2011-03-05,1
2011-03-06 - 2011-03-12,1
2011-03-13 - 2011-03-19,1
2011-03-20 - 2011-03-26,1
2011-03-27 - 2011-04-02,1
2011-04-03 - 2011-04-09,1
2011-04-10 - 2011-04-16,1
2011-04-17 - 2011-04-23,1
2011-04-24 - 2011-04-30,1
2011-05-01 - 2011-05-07,1
2011-05-08 - 2011-05-14,1
2011-05-15 - 2011-05-21,1
2011-05-22 - 2011-05-28,1
2011-05-29 - 2011-06-04,2
2011-06-05 - 2011-06-11,1
2011-06-12 - 2011-06-18,1
2011-06-19 - 2011-06-25,2
2011-06-26 - 2011-07-02,2
2011-07-03 - 2011-07-09,3
2011-07-10 - 2011-07-16,3
2011-07-17 - 2011-07-23,3
2011-07-24 - 2011-07-30,3
2011-07-31 - 2011-08-06,3
2011-08-07 - 2011-08-13,2
2011-08-14 - 2011-08-20,3
2011-08-21 - 2011-08-27,5
2011-08-28 - 2011-09-03,4
2011-09-04 - 2011-09-10,4
2011-09-11 - 2011-09-17,4
2011-09-18 - 2011-09-24,4
2011-09-25 - 2011-10-01,4
2011-10-02 - 2011-10-08,4
2011-10-09 - 2011-10-15,5
2011-10-16 - 2011-10-22,5
2011-10-23 - 2011-10-29,5
2011-10-30 - 2011-11-05,4
2011-11-06 - 2011-11-12,4
2011-11-13 - 2011-11-19,4
2011-11-20 - 2011-11-26,5
2011-11-27 - 2011-12-03,5
2011-12-04 - 2011-12-10,4
2011-12-11 - 2011-12-17,5
2011-12-18 - 2011-12-24,5
2011-12-25 - 2011-12-31,5
2012-01-01 - 2012-01-07,5
2012-01-08 - 2012-01-14,5
2012-01-15 - 2012-01-21,5
2012-01-22 - 2012-01-28,5
2012-01-29 - 2012-02-04,6
2012-02-05 - 2012-02-11,6
2012-02-12 - 2012-02-18,6
2012-02-19 - 2012-02-25,7
2012-02-26 - 2012-03-03,6
2012-03-04 - 2012-03-10,6
2012-03-11 - 2012-03-17,6
2012-03-18 - 2012-03-24,7
2012-03-25 - 2012-03-31,8
2012-04-01 - 2012-04-07,11
2012-04-08 - 2012-04-14,9
2012-04-15 - 2012-04-21,9
2012-04-22 - 2012-04-28,9
2012-04-29 - 2012-05-05,9
2012-05-06 - 2012-05-12,10
2012-05-13 - 2012-05-19,11
2012-05-20 - 2012-05-26,12
2012-05-27 - 2012-06-02,11
2012-06-03 - 2012-06-09,11
2012-06-10 - 2012-06-16,12
2012-06-17 - 2012-06-23,11
2012-06-24 - 2012-06-30,11
2012-07-01 - 2012-07-07,10
2012-07-08 - 2012-07-14,11
2012-07-15 - 2012-07-21,15
2012-07-22 - 2012-07-28,14
2012-07-29 - 2012-08-04,16
2012-08-05 - 2012-08-11,21
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,22
2012-08-26 - 2012-09-01,22
2012-09-02 - 2012-09-08,21
2012-09-09 - 2012-09-15,21
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,26
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,31
2012-10-14 - 2012-10-20,42
2012-10-21 - 2012-10-27,67
2012-10-28 - 2012-11-03,60
2012-11-04 - 2012-11-10,55
2012-11-11 - 2012-11-17,57
2012-11-18 - 2012-11-24,54
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,52
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,51
2012-12-23 - 2012-12-29,53
2012-12-30 - 2013-01-05,52
2013-01-06 - 2013-01-12,50
2013-01-13 - 2013-01-19,51
2013-01-20 - 2013-01-26,49
2013-01-27 - 2013-02-02,60
2013-02-03 - 2013-02-09,49
2013-02-10 - 2013-02-16,44
2013-02-17 - 2013-02-23,45
2013-02-24 - 2013-03-02,48
2013-03-03 - 2013-03-09,44
2013-03-10 - 2013-03-16,43
2013-03-17 - 2013-03-23,44
2013-03-24 - 2013-03-30,44
2013-03-31 - 2013-04-06,39
2013-04-07 - 2013-04-13,38
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,39
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,35
2013-05-12 - 2013-05-18,37
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,35
2013-06-09 - 2013-06-15,31
2013-06-16 - 2013-06-22,27
2013-06-23 - 2013-06-29,25
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,24
2013-08-04 - 2013-08-10,24
2013-08-11 - 2013-08-17,100
2013-08-18 - 2013-08-24,51
2013-08-25 - 2013-08-31,45
2013-09-01 - 2013-09-07,43
2013-09-08 - 2013-09-14,40
2013-09-15 - 2013-09-21,35
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,35
2013-10-06 - 2013-10-12,34
2013-10-13 - 2013-10-19,43
2013-10-20 - 2013-10-26,37
2013-10-27 - 2013-11-02,37
2013-11-03 - 2013-11-09,36
2013-11-10 - 2013-11-16,34
2013-11-17 - 2013-11-23,32
2013-11-24 - 2013-11-30,31
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,32
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,26
2013-12-29 - 2014-01-04,24
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,24
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,58
2014-02-02 - 2014-02-08,34
2014-02-09 - 2014-02-15,29
2014-02-16 - 2014-02-22,28
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,26
2014-03-09 - 2014-03-15,27
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,22
2014-03-30 - 2014-04-05,22
2014-04-06 - 2014-04-12,22
2014-04-13 - 2014-04-19,22
2014-04-20 - 2014-04-26,22
2014-04-27 - 2014-05-03,20
2014-05-04 - 2014-05-10,21
2014-05-11 - 2014-05-17,19
2014-05-18 - 2014-05-24,18
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,18
2014-06-08 - 2014-06-14,15
2014-06-15 - 2014-06-21,16
2014-06-22 - 2014-06-28,15
2014-06-29 - 2014-07-05,15
2014-07-06 - 2014-07-12,15
2014-07-13 - 2014-07-19,14
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,13
2014-08-03 - 2014-08-09,14
2014-08-10 - 2014-08-16,13
2014-08-17 - 2014-08-23,13
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,16
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,16
2014-09-21 - 2014-09-27,26
2014-09-28 - 2014-10-04,21
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,18
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,23
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,17
2014-11-30 - 2014-12-06,16
2014-12-07 - 2014-12-13,17
2014-12-14 - 2014-12-20,19
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,12
2015-01-04 - 2015-01-10,14
2015-01-11 - 2015-01-17,14
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,13
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,13
2015-03-01 - 2015-03-07,14
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,36
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,26
2015-04-05 - 2015-04-11,24
2015-04-12 - 2015-04-18,22
2015-04-19 - 2015-04-25,20
2015-04-26 - 2015-05-02,20
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,17
2015-05-17 - 2015-05-23,21
2015-05-24 - 2015-05-30,19
2015-05-31 - 2015-06-06,18
2015-06-07 - 2015-06-13,17
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,14
2015-06-28 - 2015-07-04,24
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,17
2015-07-19 - 2015-07-25,17
2015-07-26 - 2015-08-01,15


Top sub-regions for kendrick lamar
Sub-region,kendrick lamar
Arizona,100
Maryland,98
North Carolina,97
Rhode Island,95
Delaware,94
California,94
New Mexico,92
Georgia,88
Louisiana,86
South Carolina,85
Florida,84
New York,83
Nevada,82
Michigan,82
Ohio,80
Pennsylvania,80
Texas,78
Massachusetts,78
Indiana,78
Illinois,76
Mississippi,75
Connecticut,75
Alabama,75
Iowa,74
South Dakota,73
Wisconsin,71
New Jersey,71
Tennessee,70
Colorado,70
Nebraska,69
Minnesota,67
Kansas,66
New Hampshire,66
Kentucky,64
Washington,64
Oklahoma,64
Missouri,63
North Dakota,62
Arkansas,62
Maine,61
Montana,60
Oregon,60
West Virginia,59
Vermont,59
Hawaii,57
Idaho,53
District of Columbia,49
Virginia,49
Wyoming,46
Utah,46
Alaska,43


Top metros for kendrick lamar
Metro,kendrick lamar
Los Angeles CA,100
Tallahassee FL-Thomasville GA,100
Greenville-New Bern-Washington NC,97
Norfolk-Portsmouth-Newport News VA,93
Columbus GA,91
Bakersfield CA,88
Santa Barbara-Santa Maria-San Luis Obispo CA,87
Macon GA,82
Charleston SC,81
Florence-Myrtle Beach SC,81
Columbia SC,81
Palm Springs CA,81
Albuquerque-Santa Fe NM,81
Tucson (Sierra Vista) AZ,80
Richmond-Petersburg VA,78
Raleigh-Durham (Fayetteville) NC,77
Houston TX,77
Columbia-Jefferson City MO,76
San Diego CA,76
Memphis TN,75
Phoenix AZ,75
Providence RI-New Bedford MA,74
Lafayette LA,74
Baton Rouge LA,74
Baltimore MD,73
Augusta GA,73
Savannah GA,73
Yakima-Pasco-Richland-Kennewick WA,72
Monterey-Salinas CA,70
Milwaukee WI,70
Fresno-Visalia CA,70
New Orleans LA,70
Springfield-Holyoke MA,70
Lansing MI,69
Waco-Temple-Bryan TX,69
Las Vegas NV,69
Montgomery (Selma) AL,69
Peoria-Bloomington IL,68
Charlotte NC,67
New York NY,66
Detroit MI,65
Miami-Ft. Lauderdale FL,65
San Antonio TX,65
Atlanta GA,65
Greensboro-High Point-Winston Salem NC,65
West Palm Beach-Ft. Pierce FL,65
Wilmington NC,65
Philadelphia PA,65
Eugene OR,64
Wichita-Hutchinson KS,64
Roanoke-Lynchburg VA,63
Chicago IL,63
Indianapolis IN,63
Pittsburgh PA,63
Chico-Redding CA,62
Cleveland-Akron (Canton) OH,62
Sacramento-Stockton-Modesto CA,62
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61
Austin TX,61
Ft. Myers-Naples FL,61
El Paso TX,61
Flint-Saginaw-Bay City MI,61
Buffalo NY,60
Reno NV,60
Dayton OH,60
Davenport IA-Rock Island-Moline IL,60
Columbus OH,59
Ft. Wayne IN,59
Jacksonville FL,59
Gainesville FL,59
Grand Rapids-Kalamazoo-Battle Creek MI,59
Colorado Springs-Pueblo CO,59
Cincinnati OH,59
Tampa-St. Petersburg (Sarasota) FL,58
Birmingham AL,58
Chattanooga TN,58
Omaha NE,58
Little Rock-Pine Bluff AR,58
Hartford & New Haven CT,57
Toledo OH,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,57
Denver CO,56
Spokane WA,56
South Bend-Elkhart IN,56
Boston MA-Manchester NH,56
Albany-Schenectady-Troy NY,56
Nashville TN,55
Oklahoma City OK,54
Sioux Falls(Mitchell) SD,54
Kansas City MO,54
Johnstown-Altoona PA,54
Tulsa OK,53
Shreveport LA,53
Syracuse NY,53
Champaign & Springfield-Decatur IL,52
Orlando-Daytona Beach-Melbourne FL,52
Des Moines-Ames IA,52
Louisville KY,52
Burlington VT-Plattsburgh NY,51
Lincoln & Hastings-Kearney NE,51
Dallas-Ft. Worth TX,51
Greenville-Spartanburg SC-Asheville NC-Anderson SC,50
Harrisburg-Lancaster-Lebanon-York PA,50
Minneapolis-St. Paul MN,49
Tyler-Longview(Lufkin & Nacogdoches) TX,48
Huntsville-Decatur (Florence) AL,48
Seattle-Tacoma WA,48
Honolulu HI,48
Rochester NY,47
Ft. Smith-Fayetteville-Springdale-Rogers AR,47
Madison WI,47
Lexington KY,46
Wilkes Barre-Scranton PA,46
Boise ID,46
St. Louis MO,45
Portland-Auburn ME,45
Knoxville TN,44
Portland OR,43
Harlingen-Weslaco-Brownsville-McAllen TX,42
La Crosse-Eau Claire WI,41
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,41
Springfield MO,40
Green Bay-Appleton WI,40
Jackson MS,39
Charleston-Huntington WV,38
Washington DC (Hagerstown MD),38
Salt Lake City UT,37
San Francisco-Oakland-San Jose CA,35
Binghamton NY,0
Erie PA,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for kendrick lamar
Town/City,kendrick lamar
Long Beach,100
Tucson,60
Baltimore,59
New York,59
Los Angeles,59
Philadelphia,58
Albuquerque,56
Houston,55
Charlotte,54
San Antonio,53
San Diego,50
San Jose,48
Phoenix,47
Las Vegas,46
Austin,43



Top searches for kendrick lamar
swimming pools,100
drake kendrick lamar,55
drake,55
kendrick lamar i,55
poetic justice,45
kendrick lamar freestyle,45
maad city,35
money trees,30
control kendrick lamar,25
backseat kendrick lamar,25
asap rocky,25
adhd kendrick lamar,25
wiz khalifa,25
kendrick lamar recipe,20
kendrick lamar instrumental,20
the recipe,20
j cole,20
kendrick lamar 2013,15
big sean,15
2 chainz,15
schoolboy q,15
meek mill,15
future,15
kendrick lamar album,15
tyga,15
rick ross,10
kendrick lamar live,10
kendrick lamar rigamortis,10
chief keef,10
wale,10
mac miller,10
cypher kendrick lamar,10
kendrick lamar drank,10
drank,10
juicy j,10
frank ocean,10
the weeknd,5
kendrick lamar diss,5
french montana,5
kendrick lamar interview,5
yg,5
kendrick lamar detox,5
kendrick lamar real,5
childish gambino,5
ab soul,5



Rising searches for kendrick lamar
adhd kendrick lamar,Breakout
asap rocky,Breakout
backseat kendrick lamar,Breakout
control kendrick lamar,Breakout
drake,Breakout
drake kendrick lamar,Breakout
kendrick lamar freestyle,Breakout
kendrick lamar i,Breakout
maad city,Breakout
money trees,Breakout



