YouTube Search interest: 2 chainz
United States; Jan 2008 - Jul 2015

Interest over time
Week,2 chainz
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,0
2010-12-05 - 2010-12-11,0
2010-12-12 - 2010-12-18,0
2010-12-19 - 2010-12-25,0
2010-12-26 - 2011-01-01,0
2011-01-02 - 2011-01-08,0
2011-01-09 - 2011-01-15,0
2011-01-16 - 2011-01-22,0
2011-01-23 - 2011-01-29,0
2011-01-30 - 2011-02-05,0
2011-02-06 - 2011-02-12,0
2011-02-13 - 2011-02-19,0
2011-02-20 - 2011-02-26,0
2011-02-27 - 2011-03-05,0
2011-03-06 - 2011-03-12,0
2011-03-13 - 2011-03-19,0
2011-03-20 - 2011-03-26,0
2011-03-27 - 2011-04-02,0
2011-04-03 - 2011-04-09,0
2011-04-10 - 2011-04-16,0
2011-04-17 - 2011-04-23,0
2011-04-24 - 2011-04-30,0
2011-05-01 - 2011-05-07,0
2011-05-08 - 2011-05-14,0
2011-05-15 - 2011-05-21,0
2011-05-22 - 2011-05-28,0
2011-05-29 - 2011-06-04,0
2011-06-05 - 2011-06-11,0
2011-06-12 - 2011-06-18,0
2011-06-19 - 2011-06-25,0
2011-06-26 - 2011-07-02,0
2011-07-03 - 2011-07-09,0
2011-07-10 - 2011-07-16,0
2011-07-17 - 2011-07-23,0
2011-07-24 - 2011-07-30,0
2011-07-31 - 2011-08-06,0
2011-08-07 - 2011-08-13,1
2011-08-14 - 2011-08-20,1
2011-08-21 - 2011-08-27,1
2011-08-28 - 2011-09-03,1
2011-09-04 - 2011-09-10,1
2011-09-11 - 2011-09-17,1
2011-09-18 - 2011-09-24,1
2011-09-25 - 2011-10-01,2
2011-10-02 - 2011-10-08,2
2011-10-09 - 2011-10-15,3
2011-10-16 - 2011-10-22,3
2011-10-23 - 2011-10-29,5
2011-10-30 - 2011-11-05,7
2011-11-06 - 2011-11-12,7
2011-11-13 - 2011-11-19,7
2011-11-20 - 2011-11-26,7
2011-11-27 - 2011-12-03,8
2011-12-04 - 2011-12-10,8
2011-12-11 - 2011-12-17,9
2011-12-18 - 2011-12-24,10
2011-12-25 - 2011-12-31,10
2012-01-01 - 2012-01-07,13
2012-01-08 - 2012-01-14,13
2012-01-15 - 2012-01-21,14
2012-01-22 - 2012-01-28,13
2012-01-29 - 2012-02-04,15
2012-02-05 - 2012-02-11,16
2012-02-12 - 2012-02-18,14
2012-02-19 - 2012-02-25,15
2012-02-26 - 2012-03-03,15
2012-03-04 - 2012-03-10,16
2012-03-11 - 2012-03-17,18
2012-03-18 - 2012-03-24,20
2012-03-25 - 2012-03-31,19
2012-04-01 - 2012-04-07,25
2012-04-08 - 2012-04-14,35
2012-04-15 - 2012-04-21,37
2012-04-22 - 2012-04-28,35
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,54
2012-05-13 - 2012-05-19,52
2012-05-20 - 2012-05-26,59
2012-05-27 - 2012-06-02,58
2012-06-03 - 2012-06-09,50
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,62
2012-06-24 - 2012-06-30,60
2012-07-01 - 2012-07-07,56
2012-07-08 - 2012-07-14,51
2012-07-15 - 2012-07-21,57
2012-07-22 - 2012-07-28,59
2012-07-29 - 2012-08-04,54
2012-08-05 - 2012-08-11,57
2012-08-12 - 2012-08-18,78
2012-08-19 - 2012-08-25,75
2012-08-26 - 2012-09-01,83
2012-09-02 - 2012-09-08,100
2012-09-09 - 2012-09-15,94
2012-09-16 - 2012-09-22,89
2012-09-23 - 2012-09-29,86
2012-09-30 - 2012-10-06,92
2012-10-07 - 2012-10-13,93
2012-10-14 - 2012-10-20,92
2012-10-21 - 2012-10-27,85
2012-10-28 - 2012-11-03,81
2012-11-04 - 2012-11-10,76
2012-11-11 - 2012-11-17,72
2012-11-18 - 2012-11-24,71
2012-11-25 - 2012-12-01,69
2012-12-02 - 2012-12-08,66
2012-12-09 - 2012-12-15,66
2012-12-16 - 2012-12-22,77
2012-12-23 - 2012-12-29,75
2012-12-30 - 2013-01-05,63
2013-01-06 - 2013-01-12,64
2013-01-13 - 2013-01-19,63
2013-01-20 - 2013-01-26,58
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,51
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,44
2013-02-24 - 2013-03-02,41
2013-03-03 - 2013-03-09,40
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,39
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,30
2013-04-21 - 2013-04-27,29
2013-04-28 - 2013-05-04,29
2013-05-05 - 2013-05-11,29
2013-05-12 - 2013-05-18,30
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,32
2013-06-09 - 2013-06-15,31
2013-06-16 - 2013-06-22,29
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,38
2013-07-07 - 2013-07-13,35
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,32
2013-07-28 - 2013-08-03,38
2013-08-04 - 2013-08-10,38
2013-08-11 - 2013-08-17,31
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,36
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,45
2013-09-15 - 2013-09-21,38
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,32
2013-10-13 - 2013-10-19,36
2013-10-20 - 2013-10-26,31
2013-10-27 - 2013-11-02,29
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,28
2013-11-17 - 2013-11-23,27
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,27
2013-12-08 - 2013-12-14,25
2013-12-15 - 2013-12-21,25
2013-12-22 - 2013-12-28,24
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,21
2014-01-12 - 2014-01-18,22
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,20
2014-02-02 - 2014-02-08,19
2014-02-09 - 2014-02-15,19
2014-02-16 - 2014-02-22,18
2014-02-23 - 2014-03-01,18
2014-03-02 - 2014-03-08,17
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,15
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,15
2014-04-13 - 2014-04-19,14
2014-04-20 - 2014-04-26,14
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,17
2014-05-11 - 2014-05-17,18
2014-05-18 - 2014-05-24,17
2014-05-25 - 2014-05-31,16
2014-06-01 - 2014-06-07,15
2014-06-08 - 2014-06-14,13
2014-06-15 - 2014-06-21,12
2014-06-22 - 2014-06-28,12
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,10
2014-07-13 - 2014-07-19,10
2014-07-20 - 2014-07-26,11
2014-07-27 - 2014-08-02,11
2014-08-03 - 2014-08-09,9
2014-08-10 - 2014-08-16,9
2014-08-17 - 2014-08-23,9
2014-08-24 - 2014-08-30,9
2014-08-31 - 2014-09-06,9
2014-09-07 - 2014-09-13,9
2014-09-14 - 2014-09-20,9
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,9
2014-10-05 - 2014-10-11,10
2014-10-12 - 2014-10-18,9
2014-10-19 - 2014-10-25,11
2014-10-26 - 2014-11-01,10
2014-11-02 - 2014-11-08,10
2014-11-09 - 2014-11-15,9
2014-11-16 - 2014-11-22,10
2014-11-23 - 2014-11-29,8
2014-11-30 - 2014-12-06,8
2014-12-07 - 2014-12-13,9
2014-12-14 - 2014-12-20,8
2014-12-21 - 2014-12-27,8
2014-12-28 - 2015-01-03,7
2015-01-04 - 2015-01-10,7
2015-01-11 - 2015-01-17,15
2015-01-18 - 2015-01-24,11
2015-01-25 - 2015-01-31,9
2015-02-01 - 2015-02-07,8
2015-02-08 - 2015-02-14,7
2015-02-15 - 2015-02-21,8
2015-02-22 - 2015-02-28,7
2015-03-01 - 2015-03-07,8
2015-03-08 - 2015-03-14,8
2015-03-15 - 2015-03-21,7
2015-03-22 - 2015-03-28,8
2015-03-29 - 2015-04-04,7
2015-04-05 - 2015-04-11,7
2015-04-12 - 2015-04-18,7
2015-04-19 - 2015-04-25,7
2015-04-26 - 2015-05-02,8
2015-05-03 - 2015-05-09,7
2015-05-10 - 2015-05-16,6
2015-05-17 - 2015-05-23,7
2015-05-24 - 2015-05-30,6
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,6
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,6
2015-07-12 - 2015-07-18,5
2015-07-19 - 2015-07-25,6
2015-07-26 - 2015-08-01,5


Top sub-regions for 2 chainz
Sub-region,2 chainz
Mississippi,100
Alabama,94
South Carolina,89
Georgia,82
North Carolina,81
Maryland,65
Ohio,64
Tennessee,61
Arkansas,61
Florida,60
Indiana,59
Louisiana,58
Michigan,57
Kentucky,55
Delaware,55
Illinois,52
West Virginia,50
Texas,50
Rhode Island,47
Missouri,46
Oklahoma,46
Pennsylvania,44
Iowa,44
Wisconsin,44
New Mexico,41
Arizona,40
New York,39
Minnesota,37
Kansas,37
Massachusetts,36
Nebraska,36
Connecticut,35
New Jersey,35
Nevada,34
District of Columbia,34
California,31
Colorado,31
North Dakota,30
South Dakota,30
Virginia,29
Washington,26
New Hampshire,26
Maine,25
Montana,23
Vermont,22
Hawaii,22
Alaska,21
Oregon,20
Wyoming,20
Idaho,18
Utah,16


Top metros for 2 chainz
Metro,2 chainz
Greenwood-Greenville MS,100
Albany GA,71
Montgomery (Selma) AL,57
Columbus GA,55
Florence-Myrtle Beach SC,49
Columbus-Tupelo-West Point MS,49
Augusta GA,46
Macon GA,46
Tallahassee FL-Thomasville GA,43
Columbia SC,41
Memphis TN,40
Birmingham AL,39
Biloxi-Gulfport MS,39
Savannah GA,38
Salisbury MD,36
Jackson MS,35
Mobile AL-Pensacola (Ft. Walton Beach) FL,35
Charleston SC,35
Raleigh-Durham (Fayetteville) NC,33
Shreveport LA,33
Norfolk-Portsmouth-Newport News VA,33
Little Rock-Pine Bluff AR,32
Greenville-New Bern-Washington NC,32
Greensboro-High Point-Winston Salem NC,32
Huntsville-Decatur (Florence) AL,31
Rockford IL,31
Charlotte NC,30
Atlanta GA,30
Cleveland-Akron (Canton) OH,30
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,29
Ft. Wayne IN,29
Wilmington NC,29
Jacksonville FL,28
Richmond-Petersburg VA,28
Lansing MI,28
Greenville-Spartanburg SC-Asheville NC-Anderson SC,28
Dayton OH,27
Ft. Myers-Naples FL,27
Columbia-Jefferson City MO,27
Tampa-St. Petersburg (Sarasota) FL,27
Tyler-Longview(Lufkin & Nacogdoches) TX,26
Detroit MI,26
Baton Rouge LA,26
Baltimore MD,26
Cincinnati OH,26
Davenport IA-Rock Island-Moline IL,25
Toledo OH,25
Youngstown OH,25
Louisville KY,25
Milwaukee WI,25
Flint-Saginaw-Bay City MI,25
Nashville TN,25
Chattanooga TN,24
Miami-Ft. Lauderdale FL,24
Champaign & Springfield-Decatur IL,24
South Bend-Elkhart IN,24
Waco-Temple-Bryan TX,23
Chicago IL,23
Peoria-Bloomington IL,23
Roanoke-Lynchburg VA,23
Evansville IN,23
West Palm Beach-Ft. Pierce FL,23
Indianapolis IN,22
New Orleans LA,22
Houston TX,22
Grand Rapids-Kalamazoo-Battle Creek MI,22
Pittsburgh PA,22
Orlando-Daytona Beach-Melbourne FL,22
Buffalo NY,21
St. Louis MO,21
Columbus OH,21
Knoxville TN,20
Dallas-Ft. Worth TX,20
Bakersfield CA,20
San Antonio TX,20
Wichita-Hutchinson KS,20
Charleston-Huntington WV,20
Gainesville FL,20
Oklahoma City OK,19
Omaha NE,19
Providence RI-New Bedford MA,19
Philadelphia PA,19
Lexington KY,18
Des Moines-Ames IA,18
Tucson (Sierra Vista) AZ,17
Phoenix AZ,17
Albuquerque-Santa Fe NM,17
Kansas City MO,17
Tulsa OK,17
Fresno-Visalia CA,17
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,17
Minneapolis-St. Paul MN,16
Rochester NY,16
Hartford & New Haven CT,16
Springfield-Holyoke MA,16
Harrisburg-Lancaster-Lebanon-York PA,16
El Paso TX,16
New York NY,16
Sacramento-Stockton-Modesto CA,16
Los Angeles CA,15
Austin TX,15
Albany-Schenectady-Troy NY,15
Colorado Springs-Pueblo CO,15
Madison WI,15
Boston MA-Manchester NH,15
Las Vegas NV,15
Denver CO,14
Syracuse NY,14
Green Bay-Appleton WI,14
Santa Barbara-Santa Maria-San Luis Obispo CA,12
Washington DC (Hagerstown MD),12
Wilkes Barre-Scranton PA,12
Harlingen-Weslaco-Brownsville-McAllen TX,12
San Diego CA,12
Burlington VT-Plattsburgh NY,12
Seattle-Tacoma WA,11
Portland-Auburn ME,10
Spokane WA,10
Honolulu HI,10
Portland OR,8
San Francisco-Oakland-San Jose CA,8
Salt Lake City UT,7
Binghamton NY,0
Erie PA,0
Utica NY,0
Tri-Cities TN-VA,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Johnstown-Altoona PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Topeka KS,0
Dothan AL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for 2 chainz
Town/City,2 chainz
Fayetteville,100
Memphis,71
Detroit,70
Baltimore,61
Milwaukee,57
Jacksonville,52
Charlotte,52
Indianapolis,50
Philadelphia,43
Houston,41
Columbus,40
Chicago,38
San Antonio,37
Dallas,35
Atlanta,30



Top searches for 2 chainz
2 chainz birthday,100
birthday song,85
no lie,80
drake 2 chainz,80
drake,75
lil wayne,75
different 2 chainz,50
future,45
wiz khalifa,40
riot 2 chainz,35
tyga,35
kanye west,35
big sean,35
rick ross,30
2 chainz crack,25
2 chainz 2012,25
kendrick lamar,25
headband,25
2 chainz mercy,25
meek mill,25
mercy,25
2 chainz instrumental,20
juicy j,20
drake no lie,20
chief keef,20
gucci mane,20
young jeezy,15
kanye west mercy,15
french montana,15
2 chainz 2013,15
wale,15
asap rocky,15
yo gotti,15
2 chainz ko,10
yuck,10
2 chainz yuck,10
2 chainz freestyle,10
no worries,10
waka flocka,10
2chainz,10
2 chains,10
drake all me,10
pop that,10
mgk,5
2 chainz rip,5
love sosa,5
i dont like,5



Rising searches for 2 chainz
2 chainz birthday,Breakout
big sean,Breakout
birthday song,Breakout
different 2 chainz,Breakout
drake,Breakout
drake 2 chainz,Breakout
future,Breakout
kanye west,Breakout
lil wayne,Breakout
no lie,Breakout



