YouTube Search interest: van halen
United States; Jan 2008 - Jul 2015

Interest over time
Week,van halen
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,21
2012-08-12 - 2012-08-18,25
2012-08-19 - 2012-08-25,23
2012-08-26 - 2012-09-01,24
2012-09-02 - 2012-09-08,23
2012-09-09 - 2012-09-15,23
2012-09-16 - 2012-09-22,24
2012-09-23 - 2012-09-29,20
2012-09-30 - 2012-10-06,22
2012-10-07 - 2012-10-13,23
2012-10-14 - 2012-10-20,23
2012-10-21 - 2012-10-27,24
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,21
2012-11-11 - 2012-11-17,22
2012-11-18 - 2012-11-24,23
2012-11-25 - 2012-12-01,21
2012-12-02 - 2012-12-08,22
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,21
2012-12-30 - 2013-01-05,21
2013-01-06 - 2013-01-12,21
2013-01-13 - 2013-01-19,21
2013-01-20 - 2013-01-26,21
2013-01-27 - 2013-02-02,24
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,22
2013-02-24 - 2013-03-02,22
2013-03-03 - 2013-03-09,23
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,23
2013-03-24 - 2013-03-30,24
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,24
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,25
2013-04-28 - 2013-05-04,26
2013-05-05 - 2013-05-11,22
2013-05-12 - 2013-05-18,24
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,29
2013-06-02 - 2013-06-08,26
2013-06-09 - 2013-06-15,25
2013-06-16 - 2013-06-22,23
2013-06-23 - 2013-06-29,25
2013-06-30 - 2013-07-06,23
2013-07-07 - 2013-07-13,24
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,24
2013-07-28 - 2013-08-03,23
2013-08-04 - 2013-08-10,23
2013-08-11 - 2013-08-17,24
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,23
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,23
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,22
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,23
2013-10-27 - 2013-11-02,24
2013-11-03 - 2013-11-09,26
2013-11-10 - 2013-11-16,23
2013-11-17 - 2013-11-23,23
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,25
2013-12-15 - 2013-12-21,24
2013-12-22 - 2013-12-28,22
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,26
2014-01-19 - 2014-01-25,22
2014-01-26 - 2014-02-01,24
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,23
2014-02-16 - 2014-02-22,25
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,24
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,23
2014-03-23 - 2014-03-29,25
2014-03-30 - 2014-04-05,25
2014-04-06 - 2014-04-12,25
2014-04-13 - 2014-04-19,25
2014-04-20 - 2014-04-26,22
2014-04-27 - 2014-05-03,21
2014-05-04 - 2014-05-10,21
2014-05-11 - 2014-05-17,20
2014-05-18 - 2014-05-24,20
2014-05-25 - 2014-05-31,19
2014-06-01 - 2014-06-07,23
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,23
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,26
2014-07-06 - 2014-07-12,21
2014-07-13 - 2014-07-19,22
2014-07-20 - 2014-07-26,24
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,23
2014-08-24 - 2014-08-30,25
2014-08-31 - 2014-09-06,20
2014-09-07 - 2014-09-13,21
2014-09-14 - 2014-09-20,24
2014-09-21 - 2014-09-27,21
2014-09-28 - 2014-10-04,21
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,22
2014-10-19 - 2014-10-25,20
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,20
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,19
2014-11-23 - 2014-11-29,18
2014-11-30 - 2014-12-06,19
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,20
2014-12-28 - 2015-01-03,21
2015-01-04 - 2015-01-10,20
2015-01-11 - 2015-01-17,24
2015-01-18 - 2015-01-24,23
2015-01-25 - 2015-01-31,22
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,24
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,24
2015-03-01 - 2015-03-07,26
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,26
2015-03-22 - 2015-03-28,31
2015-03-29 - 2015-04-04,73
2015-04-05 - 2015-04-11,40
2015-04-12 - 2015-04-18,29
2015-04-19 - 2015-04-25,27
2015-04-26 - 2015-05-02,23
2015-05-03 - 2015-05-09,24
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,41
2015-05-24 - 2015-05-30,25
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,23
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,27
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,32
2015-07-12 - 2015-07-18,28
2015-07-19 - 2015-07-25,27
2015-07-26 - 2015-08-01,27


Top sub-regions for van halen
Sub-region,van halen
Ohio,100
Maine,98
Kentucky,98
New Hampshire,98
Indiana,97
Missouri,96
West Virginia,94
Michigan,93
Pennsylvania,92
Oklahoma,92
Wisconsin,90
Montana,90
New Mexico,89
North Dakota,89
Rhode Island,89
Tennessee,89
South Dakota,88
Nebraska,87
Minnesota,87
Massachusetts,86
Connecticut,85
Iowa,85
Kansas,83
Colorado,83
North Carolina,80
Arkansas,80
Wyoming,78
Arizona,77
Washington,77
Texas,77
Delaware,77
Vermont,76
Idaho,75
New Jersey,74
South Carolina,74
Illinois,74
Alabama,74
Florida,71
New York,71
Utah,71
Nevada,71
Oregon,68
Mississippi,67
Georgia,67
California,65
Louisiana,64
Virginia,64
Alaska,63
Maryland,61
District of Columbia,57
Hawaii,45


Top metros for van halen
Metro,van halen
Toledo OH,100
Wilkes Barre-Scranton PA,98
Portland-Auburn ME,95
Albuquerque-Santa Fe NM,94
Pittsburgh PA,94
Cincinnati OH,92
Louisville KY,91
Albany-Schenectady-Troy NY,90
Dayton OH,90
Cleveland-Akron (Canton) OH,88
St. Louis MO,87
Flint-Saginaw-Bay City MI,87
Charlotte NC,86
Boston MA-Manchester NH,86
Hartford & New Haven CT,86
Greenville-Spartanburg SC-Asheville NC-Anderson SC,85
Madison WI,84
Oklahoma City OK,84
Columbus OH,82
Providence RI-New Bedford MA,81
Tulsa OK,81
Rochester NY,80
Kansas City MO,79
Phoenix AZ,78
Lexington KY,77
Grand Rapids-Kalamazoo-Battle Creek MI,77
Philadelphia PA,77
Syracuse NY,77
Detroit MI,77
Omaha NE,77
Indianapolis IN,75
Minneapolis-St. Paul MN,74
Buffalo NY,74
Tampa-St. Petersburg (Sarasota) FL,73
Greensboro-High Point-Winston Salem NC,73
Nashville TN,72
Denver CO,72
Seattle-Tacoma WA,72
Milwaukee WI,71
Jacksonville FL,71
San Antonio TX,71
Memphis TN,70
Dallas-Ft. Worth TX,67
Birmingham AL,67
Harrisburg-Lancaster-Lebanon-York PA,67
Salt Lake City UT,65
Las Vegas NV,65
New Orleans LA,65
Norfolk-Portsmouth-Newport News VA,64
Austin TX,64
Los Angeles CA,63
Baltimore MD,63
Houston TX,62
Orlando-Daytona Beach-Melbourne FL,62
Chicago IL,62
San Diego CA,61
Atlanta GA,60
Portland OR,59
Raleigh-Durham (Fayetteville) NC,59
Sacramento-Stockton-Modesto CA,59
New York NY,58
Washington DC (Hagerstown MD),54
West Palm Beach-Ft. Pierce FL,50
San Francisco-Oakland-San Jose CA,44
Miami-Ft. Lauderdale FL,44
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for van halen
Town/City,van halen
St. Louis,100
Louisville,97
Columbus,89
Phoenix,83
San Antonio,82
Portland,81
Denver,81
Tampa,80
Minneapolis,80
Richardson,80
Austin,78
Atlanta,77
Boston,77
Los Angeles,77
Seattle,76



Top searches for van halen
van halen jump,100
jump,100
van halen live,95
eddie van halen,90
eruption,80
eruption van halen,80
hot for teacher,70
van halen guitar,65
panama,65
panama van halen,65
van halen solo,55
van halen dreams,45
right now,45
van halen cover,30
unchained van halen,30
unchained,30
van halen album,25
tattoo van halen,20
van halen 2012,20
david lee roth,20
new van halen,20
sammy hagar,20
guitar solo,15
def leppard,15
motley crue,15
van halen lesson,15
ice cream man,15
van halen interview,15
5150 van halen,15
van halen 2,15
5150,15
pretty woman,10
dream van halen,10
1984 van halen,10
van halen 3,10
poundcake van halen,10
poundcake,10
alex van halen,10
zz top,10
van halen 1,10



Rising searches for van halen
hot for teacher,+350%
right now,+250%
van halen cover,+200%
van halen dreams,+200%
panama,+170%
panama van halen,+150%
unchained,+120%
unchained van halen,+100%
van halen jump,+90%
jump,+80%



