YouTube Search interest: enya
United States; Jan 2008 - Jul 2015

Interest over time
Week,enya
2012-12-09 - 2012-12-15,38
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,31
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,31
2013-01-20 - 2013-01-26,30
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,31
2013-02-10 - 2013-02-16,27
2013-02-17 - 2013-02-23,26
2013-02-24 - 2013-03-02,31
2013-03-03 - 2013-03-09,30
2013-03-10 - 2013-03-16,29
2013-03-17 - 2013-03-23,31
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,28
2013-04-21 - 2013-04-27,30
2013-04-28 - 2013-05-04,28
2013-05-05 - 2013-05-11,27
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,31
2013-05-26 - 2013-06-01,25
2013-06-02 - 2013-06-08,30
2013-06-09 - 2013-06-15,26
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,26
2013-06-30 - 2013-07-06,25
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,28
2013-08-04 - 2013-08-10,28
2013-08-11 - 2013-08-17,25
2013-08-18 - 2013-08-24,31
2013-08-25 - 2013-08-31,27
2013-09-01 - 2013-09-07,31
2013-09-08 - 2013-09-14,33
2013-09-15 - 2013-09-21,33
2013-09-22 - 2013-09-28,30
2013-09-29 - 2013-10-05,30
2013-10-06 - 2013-10-12,31
2013-10-13 - 2013-10-19,31
2013-10-20 - 2013-10-26,35
2013-10-27 - 2013-11-02,31
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,52
2013-11-17 - 2013-11-23,100
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,49
2013-12-08 - 2013-12-14,45
2013-12-15 - 2013-12-21,52
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,34
2014-01-05 - 2014-01-11,37
2014-01-12 - 2014-01-18,36
2014-01-19 - 2014-01-25,32
2014-01-26 - 2014-02-01,38
2014-02-02 - 2014-02-08,35
2014-02-09 - 2014-02-15,36
2014-02-16 - 2014-02-22,30
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,39
2014-03-09 - 2014-03-15,36
2014-03-16 - 2014-03-22,34
2014-03-23 - 2014-03-29,34
2014-03-30 - 2014-04-05,34
2014-04-06 - 2014-04-12,30
2014-04-13 - 2014-04-19,37
2014-04-20 - 2014-04-26,30
2014-04-27 - 2014-05-03,27
2014-05-04 - 2014-05-10,31
2014-05-11 - 2014-05-17,28
2014-05-18 - 2014-05-24,28
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,30
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,27
2014-06-22 - 2014-06-28,31
2014-06-29 - 2014-07-05,32
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,27
2014-07-27 - 2014-08-02,28
2014-08-03 - 2014-08-09,26
2014-08-10 - 2014-08-16,27
2014-08-17 - 2014-08-23,34
2014-08-24 - 2014-08-30,30
2014-08-31 - 2014-09-06,41
2014-09-07 - 2014-09-13,38
2014-09-14 - 2014-09-20,35
2014-09-21 - 2014-09-27,37
2014-09-28 - 2014-10-04,36
2014-10-05 - 2014-10-11,33
2014-10-12 - 2014-10-18,34
2014-10-19 - 2014-10-25,33
2014-10-26 - 2014-11-01,28
2014-11-02 - 2014-11-08,30
2014-11-09 - 2014-11-15,31
2014-11-16 - 2014-11-22,30
2014-11-23 - 2014-11-29,31
2014-11-30 - 2014-12-06,31
2014-12-07 - 2014-12-13,34
2014-12-14 - 2014-12-20,35
2014-12-21 - 2014-12-27,29
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,29
2015-01-25 - 2015-01-31,31
2015-02-01 - 2015-02-07,28
2015-02-08 - 2015-02-14,31
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,28
2015-03-08 - 2015-03-14,30
2015-03-15 - 2015-03-21,36
2015-03-22 - 2015-03-28,35
2015-03-29 - 2015-04-04,27
2015-04-05 - 2015-04-11,34
2015-04-12 - 2015-04-18,28
2015-04-19 - 2015-04-25,34
2015-04-26 - 2015-05-02,36
2015-05-03 - 2015-05-09,29
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,33
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,31
2015-06-14 - 2015-06-20,30
2015-06-21 - 2015-06-27,28
2015-06-28 - 2015-07-04,27
2015-07-05 - 2015-07-11,26
2015-07-12 - 2015-07-18,29
2015-07-19 - 2015-07-25,31
2015-07-26 - 2015-08-01,26


Top sub-regions for enya
Sub-region,enya
Utah,100
Idaho,84
Montana,79
Wyoming,72
Colorado,62
North Dakota,61
Virginia,59
Washington,58
Minnesota,58
Oregon,58
Alaska,57
Arizona,56
Nebraska,54
South Dakota,54
Wisconsin,54
Florida,53
Maine,53
New Hampshire,52
Oklahoma,52
New Mexico,51
Kansas,51
Texas,50
California,50
Missouri,50
Iowa,49
Vermont,48
Indiana,48
District of Columbia,47
Michigan,47
Ohio,47
Massachusetts,47
New York,46
Arkansas,46
Pennsylvania,46
Illinois,46
Nevada,45
Kentucky,44
Georgia,44
Connecticut,43
West Virginia,42
North Carolina,42
Tennessee,42
Alabama,40
South Carolina,40
Rhode Island,40
Maryland,39
Delaware,39
Hawaii,39
New Jersey,38
Mississippi,35
Louisiana,34


Top metros for enya
Metro,enya
Salt Lake City UT,100
Phoenix AZ,62
Denver CO,59
Washington DC (Hagerstown MD),53
Minneapolis-St. Paul MN,52
Portland OR,52
Miami-Ft. Lauderdale FL,51
San Francisco-Oakland-San Jose CA,51
Orlando-Daytona Beach-Melbourne FL,47
Indianapolis IN,46
Kansas City MO,46
Seattle-Tacoma WA,46
Tampa-St. Petersburg (Sarasota) FL,45
Boston MA-Manchester NH,44
Atlanta GA,43
St. Louis MO,42
San Diego CA,41
Detroit MI,41
Sacramento-Stockton-Modesto CA,41
Houston TX,40
Chicago IL,40
Hartford & New Haven CT,39
Dallas-Ft. Worth TX,39
Cleveland-Akron (Canton) OH,38
Los Angeles CA,38
New York NY,36
Baltimore MD,36
Philadelphia PA,33
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Charlotte NC,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Raleigh-Durham (Fayetteville) NC,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for enya
Town/City,enya
Salt Lake City,100
Milpitas,83
Sterling,82
Portland,74
Denver,64
Phoenix,61
Seattle,60
Minneapolis,60
Miami,59
Austin,58
Orlando,55
Richardson,54
San Diego,53
Atlanta,53
Washington,52



Top searches for enya
enya time,100
only time,95
enya only time,95
may it be,30
orinoco flow,25
enya music,25
orinoco flow enya,25
caribbean blue enya,20
caribbean blue,20
sail away enya,20
sail away,20
enya songs,15
wild child,10
wild child enya,10
enigma,10
enya enigma,10
enya rain,10
enya remix,10
enya album,10
enya live,10
enya adiemus,10
gladiator,10
adiemus,10
enya playlist,10
enya gladiator,5
enya best,5
boadicea enya,5
watermark enya,5
enya christmas,5
celtic woman,5
enya best of,5
enya river,5
enya anywhere is,5
enya full album,5
enya only if,5
one time enya,5
enya angels,5
enya emmanuel,5
exile enya,5
enya celts,0
enya dubstep,0
enya china roses,0
enya amarantine,0
enya mix,0
enya river sings,0
enya ebudae,0



Rising searches for enya
caribbean blue,Breakout
caribbean blue enya,Breakout
wild child,Breakout
orinoco flow enya,+550%
enya only time,+500%
only time,+500%
orinoco flow,+450%
enya time,+400%
may it be,+300%
sail away,+250%



