YouTube Search interest: t-pain
United States; Jan 2008 - Jul 2015

Interest over time
Week,t-pain
2012-03-11 - 2012-03-17,15
2012-03-18 - 2012-03-24,16
2012-03-25 - 2012-03-31,17
2012-04-01 - 2012-04-07,16
2012-04-08 - 2012-04-14,17
2012-04-15 - 2012-04-21,14
2012-04-22 - 2012-04-28,16
2012-04-29 - 2012-05-05,15
2012-05-06 - 2012-05-12,15
2012-05-13 - 2012-05-19,14
2012-05-20 - 2012-05-26,15
2012-05-27 - 2012-06-02,15
2012-06-03 - 2012-06-09,14
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,13
2012-06-24 - 2012-06-30,14
2012-07-01 - 2012-07-07,14
2012-07-08 - 2012-07-14,14
2012-07-15 - 2012-07-21,12
2012-07-22 - 2012-07-28,11
2012-07-29 - 2012-08-04,12
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,11
2012-08-19 - 2012-08-25,13
2012-08-26 - 2012-09-01,11
2012-09-02 - 2012-09-08,11
2012-09-09 - 2012-09-15,11
2012-09-16 - 2012-09-22,10
2012-09-23 - 2012-09-29,10
2012-09-30 - 2012-10-06,10
2012-10-07 - 2012-10-13,10
2012-10-14 - 2012-10-20,9
2012-10-21 - 2012-10-27,9
2012-10-28 - 2012-11-03,10
2012-11-04 - 2012-11-10,9
2012-11-11 - 2012-11-17,8
2012-11-18 - 2012-11-24,9
2012-11-25 - 2012-12-01,7
2012-12-02 - 2012-12-08,8
2012-12-09 - 2012-12-15,8
2012-12-16 - 2012-12-22,8
2012-12-23 - 2012-12-29,8
2012-12-30 - 2013-01-05,7
2013-01-06 - 2013-01-12,6
2013-01-13 - 2013-01-19,7
2013-01-20 - 2013-01-26,7
2013-01-27 - 2013-02-02,8
2013-02-03 - 2013-02-09,6
2013-02-10 - 2013-02-16,7
2013-02-17 - 2013-02-23,7
2013-02-24 - 2013-03-02,7
2013-03-03 - 2013-03-09,6
2013-03-10 - 2013-03-16,7
2013-03-17 - 2013-03-23,6
2013-03-24 - 2013-03-30,7
2013-03-31 - 2013-04-06,7
2013-04-07 - 2013-04-13,6
2013-04-14 - 2013-04-20,6
2013-04-21 - 2013-04-27,6
2013-04-28 - 2013-05-04,5
2013-05-05 - 2013-05-11,6
2013-05-12 - 2013-05-18,6
2013-05-19 - 2013-05-25,5
2013-05-26 - 2013-06-01,5
2013-06-02 - 2013-06-08,5
2013-06-09 - 2013-06-15,5
2013-06-16 - 2013-06-22,4
2013-06-23 - 2013-06-29,5
2013-06-30 - 2013-07-06,5
2013-07-07 - 2013-07-13,5
2013-07-14 - 2013-07-20,5
2013-07-21 - 2013-07-27,4
2013-07-28 - 2013-08-03,5
2013-08-04 - 2013-08-10,5
2013-08-11 - 2013-08-17,6
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,5
2013-09-01 - 2013-09-07,5
2013-09-08 - 2013-09-14,5
2013-09-15 - 2013-09-21,5
2013-09-22 - 2013-09-28,5
2013-09-29 - 2013-10-05,5
2013-10-06 - 2013-10-12,5
2013-10-13 - 2013-10-19,4
2013-10-20 - 2013-10-26,5
2013-10-27 - 2013-11-02,5
2013-11-03 - 2013-11-09,5
2013-11-10 - 2013-11-16,6
2013-11-17 - 2013-11-23,6
2013-11-24 - 2013-11-30,6
2013-12-01 - 2013-12-07,6
2013-12-08 - 2013-12-14,6
2013-12-15 - 2013-12-21,6
2013-12-22 - 2013-12-28,5
2013-12-29 - 2014-01-04,7
2014-01-05 - 2014-01-11,6
2014-01-12 - 2014-01-18,6
2014-01-19 - 2014-01-25,6
2014-01-26 - 2014-02-01,6
2014-02-02 - 2014-02-08,5
2014-02-09 - 2014-02-15,6
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,5
2014-03-02 - 2014-03-08,5
2014-03-09 - 2014-03-15,5
2014-03-16 - 2014-03-22,4
2014-03-23 - 2014-03-29,4
2014-03-30 - 2014-04-05,4
2014-04-06 - 2014-04-12,5
2014-04-13 - 2014-04-19,4
2014-04-20 - 2014-04-26,4
2014-04-27 - 2014-05-03,4
2014-05-04 - 2014-05-10,4
2014-05-11 - 2014-05-17,4
2014-05-18 - 2014-05-24,4
2014-05-25 - 2014-05-31,4
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,3
2014-06-15 - 2014-06-21,3
2014-06-22 - 2014-06-28,3
2014-06-29 - 2014-07-05,4
2014-07-06 - 2014-07-12,3
2014-07-13 - 2014-07-19,3
2014-07-20 - 2014-07-26,3
2014-07-27 - 2014-08-02,3
2014-08-03 - 2014-08-09,3
2014-08-10 - 2014-08-16,2
2014-08-17 - 2014-08-23,3
2014-08-24 - 2014-08-30,3
2014-08-31 - 2014-09-06,3
2014-09-07 - 2014-09-13,3
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,4
2014-09-28 - 2014-10-04,3
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,3
2014-10-19 - 2014-10-25,3
2014-10-26 - 2014-11-01,9
2014-11-02 - 2014-11-08,7
2014-11-09 - 2014-11-15,5
2014-11-16 - 2014-11-22,3
2014-11-23 - 2014-11-29,3
2014-11-30 - 2014-12-06,4
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,3
2014-12-21 - 2014-12-27,3
2014-12-28 - 2015-01-03,3
2015-01-04 - 2015-01-10,3
2015-01-11 - 2015-01-17,3
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,3
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,3
2015-02-15 - 2015-02-21,3
2015-02-22 - 2015-02-28,3
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,3
2015-03-15 - 2015-03-21,3
2015-03-22 - 2015-03-28,3
2015-03-29 - 2015-04-04,3
2015-04-05 - 2015-04-11,3
2015-04-12 - 2015-04-18,3
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,2
2015-05-17 - 2015-05-23,2
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,2
2015-06-07 - 2015-06-13,2
2015-06-14 - 2015-06-20,3
2015-06-21 - 2015-06-27,2
2015-06-28 - 2015-07-04,2
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,2
2015-07-19 - 2015-07-25,3
2015-07-26 - 2015-08-01,2


Top sub-regions for t-pain
Sub-region,t-pain
Alabama,100
Mississippi,99
Georgia,94
South Carolina,91
Florida,88
North Carolina,87
Missouri,87
Louisiana,86
South Dakota,86
District of Columbia,86
Indiana,84
Wisconsin,84
Michigan,82
Kentucky,82
Ohio,80
Nebraska,80
Arkansas,80
Kansas,76
North Dakota,75
Texas,74
Illinois,74
Oklahoma,74
Iowa,72
Tennessee,72
Minnesota,72
Pennsylvania,71
Hawaii,68
Virginia,67
Delaware,67
West Virginia,66
Rhode Island,65
Wyoming,65
Maryland,64
Massachusetts,64
Colorado,64
Arizona,64
New York,64
New Jersey,64
Washington,60
Alaska,59
California,59
Connecticut,58
New Mexico,58
New Hampshire,57
Montana,57
Maine,56
Utah,55
Idaho,53
Nevada,52
Vermont,44
Oregon,40


Top metros for t-pain
Metro,t-pain
Montgomery (Selma) AL,100
Jackson MS,94
Tallahassee FL-Thomasville GA,81
Shreveport LA,76
Savannah GA,71
Little Rock-Pine Bluff AR,70
Birmingham AL,70
Louisville KY,70
Raleigh-Durham (Fayetteville) NC,68
Columbia SC,68
Toledo OH,68
Atlanta GA,67
Sioux Falls(Mitchell) SD,67
Miami-Ft. Lauderdale FL,66
Jacksonville FL,66
St. Louis MO,65
Huntsville-Decatur (Florence) AL,64
Mobile AL-Pensacola (Ft. Walton Beach) FL,64
Kansas City MO,63
Memphis TN,63
Oklahoma City OK,62
Lexington KY,62
Wichita-Hutchinson KS,61
Greensboro-High Point-Winston Salem NC,61
Milwaukee WI,61
New Orleans LA,61
Indianapolis IN,61
Tampa-St. Petersburg (Sarasota) FL,60
Baton Rouge LA,60
West Palm Beach-Ft. Pierce FL,60
Des Moines-Ames IA,59
Detroit MI,59
Grand Rapids-Kalamazoo-Battle Creek MI,58
Charlotte NC,58
Minneapolis-St. Paul MN,57
Dallas-Ft. Worth TX,57
Cleveland-Akron (Canton) OH,57
Columbus OH,57
Flint-Saginaw-Bay City MI,55
Green Bay-Appleton WI,55
Chicago IL,53
Orlando-Daytona Beach-Melbourne FL,53
Madison WI,53
Philadelphia PA,53
Baltimore MD,52
Waco-Temple-Bryan TX,51
Washington DC (Hagerstown MD),51
Providence RI-New Bedford MA,51
Omaha NE,50
Dayton OH,50
Greenville-Spartanburg SC-Asheville NC-Anderson SC,48
Boston MA-Manchester NH,48
Nashville TN,48
Honolulu HI,48
Cincinnati OH,48
Phoenix AZ,48
Albany-Schenectady-Troy NY,48
Houston TX,47
Rochester NY,47
Pittsburgh PA,47
Fresno-Visalia CA,46
Hartford & New Haven CT,46
Albuquerque-Santa Fe NM,46
Seattle-Tacoma WA,46
Denver CO,46
New York NY,45
Portland-Auburn ME,45
Harrisburg-Lancaster-Lebanon-York PA,45
San Antonio TX,44
Richmond-Petersburg VA,44
Norfolk-Portsmouth-Newport News VA,44
Tucson (Sierra Vista) AZ,43
Buffalo NY,43
Syracuse NY,43
Sacramento-Stockton-Modesto CA,42
Los Angeles CA,41
Salt Lake City UT,40
Austin TX,39
San Francisco-Oakland-San Jose CA,38
Wilkes Barre-Scranton PA,38
Harlingen-Weslaco-Brownsville-McAllen TX,38
Las Vegas NV,37
San Diego CA,34
Portland OR,30
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for t-pain
Town/City,t-pain
Jackson,100
Atlanta,90
Richardson,90
Miami,84
Reston,84
Tampa,84
Orlando,81
St. Louis,81
Herndon,75
Indianapolis,69
Louisville,69
Pleasanton,67
Jacksonville,66
Washington,64
Columbus,60



Top searches for t-pain
best love song,100
chris brown,80
t-pain lil wayne,80
freeze t-pain,45
freeze,40
akon,35
taylor swift t-pain,35
t pain,30
new t-pain,30
bartender,30
bartender t-pain,30
t-pain low,25
ludacris,20
t-pain church,20
shawty,15
cant believe it,10
t-pain 2011,10
t-pain rap song,10
imaginate,10
tpain,10
t-pain 2010,5
t-pain im sprung,5
akon and t-pain,5
im sprung,5
low flo rida,5
on a boat,5
get low,5
lil mama,5
t-pain 2009,5
say it t-pain,5



Rising searches for t-pain
best love song,Breakout
freeze,Breakout
freeze t-pain,Breakout
taylor swift t-pain,+1,900%
ludacris,+350%
t-pain lil wayne,+200%
t pain,+90%
new t-pain,+70%
t-pain church,+50%
bartender,+40%



