YouTube Search interest: tim mcgraw
United States; Jan 2008 - Jul 2015

Interest over time
Week,tim mcgraw
2012-04-29 - 2012-05-05,54
2012-05-06 - 2012-05-12,53
2012-05-13 - 2012-05-19,52
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,51
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,50
2012-07-08 - 2012-07-14,53
2012-07-15 - 2012-07-21,53
2012-07-22 - 2012-07-28,52
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,49
2012-08-19 - 2012-08-25,47
2012-08-26 - 2012-09-01,48
2012-09-02 - 2012-09-08,48
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,48
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,50
2012-10-07 - 2012-10-13,43
2012-10-14 - 2012-10-20,43
2012-10-21 - 2012-10-27,39
2012-10-28 - 2012-11-03,46
2012-11-04 - 2012-11-10,45
2012-11-11 - 2012-11-17,42
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,37
2012-12-09 - 2012-12-15,40
2012-12-16 - 2012-12-22,38
2012-12-23 - 2012-12-29,37
2012-12-30 - 2013-01-05,39
2013-01-06 - 2013-01-12,37
2013-01-13 - 2013-01-19,39
2013-01-20 - 2013-01-26,39
2013-01-27 - 2013-02-02,42
2013-02-03 - 2013-02-09,52
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,41
2013-02-24 - 2013-03-02,42
2013-03-03 - 2013-03-09,39
2013-03-10 - 2013-03-16,39
2013-03-17 - 2013-03-23,38
2013-03-24 - 2013-03-30,39
2013-03-31 - 2013-04-06,36
2013-04-07 - 2013-04-13,41
2013-04-14 - 2013-04-20,37
2013-04-21 - 2013-04-27,36
2013-04-28 - 2013-05-04,35
2013-05-05 - 2013-05-11,41
2013-05-12 - 2013-05-18,39
2013-05-19 - 2013-05-25,43
2013-05-26 - 2013-06-01,39
2013-06-02 - 2013-06-08,37
2013-06-09 - 2013-06-15,34
2013-06-16 - 2013-06-22,32
2013-06-23 - 2013-06-29,30
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,38
2013-08-04 - 2013-08-10,33
2013-08-11 - 2013-08-17,39
2013-08-18 - 2013-08-24,36
2013-08-25 - 2013-08-31,36
2013-09-01 - 2013-09-07,35
2013-09-08 - 2013-09-14,34
2013-09-15 - 2013-09-21,34
2013-09-22 - 2013-09-28,33
2013-09-29 - 2013-10-05,33
2013-10-06 - 2013-10-12,30
2013-10-13 - 2013-10-19,29
2013-10-20 - 2013-10-26,29
2013-10-27 - 2013-11-02,28
2013-11-03 - 2013-11-09,34
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,30
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,26
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,24
2013-12-22 - 2013-12-28,21
2013-12-29 - 2014-01-04,21
2014-01-05 - 2014-01-11,23
2014-01-12 - 2014-01-18,24
2014-01-19 - 2014-01-25,24
2014-01-26 - 2014-02-01,28
2014-02-02 - 2014-02-08,27
2014-02-09 - 2014-02-15,27
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,27
2014-03-02 - 2014-03-08,28
2014-03-09 - 2014-03-15,28
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,30
2014-03-30 - 2014-04-05,26
2014-04-06 - 2014-04-12,32
2014-04-13 - 2014-04-19,31
2014-04-20 - 2014-04-26,26
2014-04-27 - 2014-05-03,25
2014-05-04 - 2014-05-10,25
2014-05-11 - 2014-05-17,25
2014-05-18 - 2014-05-24,29
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,24
2014-06-08 - 2014-06-14,25
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,22
2014-07-06 - 2014-07-12,20
2014-07-13 - 2014-07-19,29
2014-07-20 - 2014-07-26,26
2014-07-27 - 2014-08-02,23
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,19
2014-09-07 - 2014-09-13,23
2014-09-14 - 2014-09-20,36
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,26
2014-10-12 - 2014-10-18,23
2014-10-19 - 2014-10-25,26
2014-10-26 - 2014-11-01,25
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,30
2014-11-16 - 2014-11-22,26
2014-11-23 - 2014-11-29,26
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,25
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,21
2015-01-04 - 2015-01-10,25
2015-01-11 - 2015-01-17,25
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,21
2015-02-08 - 2015-02-14,22
2015-02-15 - 2015-02-21,21
2015-02-22 - 2015-02-28,28
2015-03-01 - 2015-03-07,23
2015-03-08 - 2015-03-14,23
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,23
2015-03-29 - 2015-04-04,20
2015-04-05 - 2015-04-11,22
2015-04-12 - 2015-04-18,20
2015-04-19 - 2015-04-25,25
2015-04-26 - 2015-05-02,24
2015-05-03 - 2015-05-09,23
2015-05-10 - 2015-05-16,25
2015-05-17 - 2015-05-23,23
2015-05-24 - 2015-05-30,22
2015-05-31 - 2015-06-06,21
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,21
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,18
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,22


Top sub-regions for tim mcgraw
Sub-region,tim mcgraw
West Virginia,100
Kentucky,87
South Dakota,84
North Dakota,82
Iowa,75
Maine,73
Montana,70
Nebraska,69
Wyoming,69
Ohio,68
Indiana,65
Missouri,65
Tennessee,65
Wisconsin,62
Kansas,61
Idaho,60
Arkansas,59
South Carolina,59
Vermont,58
Alabama,58
Oklahoma,58
North Carolina,58
New Mexico,56
Michigan,54
Minnesota,51
Utah,50
New Hampshire,50
Louisiana,50
Mississippi,49
Pennsylvania,47
Colorado,46
Georgia,46
Texas,45
Arizona,41
Florida,38
Delaware,36
Washington,35
Illinois,35
Massachusetts,34
Alaska,34
Oregon,33
Connecticut,31
Virginia,31
Rhode Island,30
Maryland,30
Nevada,29
District of Columbia,27
New York,25
New Jersey,23
California,20
Hawaii,20


Top metros for tim mcgraw
Metro,tim mcgraw
Charleston-Huntington WV,100
Bangor ME,95
Sioux Falls(Mitchell) SD,93
Lexington KY,89
Tri-Cities TN-VA,86
Sioux City IA,84
Fargo-Valley City ND,84
Knoxville TN,83
Lincoln & Hastings-Kearney NE,80
Wausau-Rhinelander WI,80
Springfield MO,78
Evansville IN,78
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,78
La Crosse-Eau Claire WI,76
Flint-Saginaw-Bay City MI,76
Green Bay-Appleton WI,74
Louisville KY,74
Dayton OH,74
Youngstown OH,73
Davenport IA-Rock Island-Moline IL,73
Des Moines-Ames IA,70
Charlottesville VA,69
Florence-Myrtle Beach SC,69
Nashville TN,66
Wichita-Hutchinson KS,66
Toledo OH,66
Huntsville-Decatur (Florence) AL,66
Corpus Christi TX,65
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,65
Cincinnati OH,64
Burlington VT-Plattsburgh NY,63
Omaha NE,63
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63
Portland-Auburn ME,63
Greenville-New Bern-Washington NC,62
Roanoke-Lynchburg VA,62
Cleveland-Akron (Canton) OH,61
Johnstown-Altoona PA,61
Albuquerque-Santa Fe NM,61
Lafayette LA,61
Kansas City MO,60
Peoria-Bloomington IL,60
Chattanooga TN,60
Macon GA,60
Savannah GA,60
Boise ID,60
Columbus OH,59
Pittsburgh PA,59
Wilkes Barre-Scranton PA,59
Indianapolis IN,58
Grand Rapids-Kalamazoo-Battle Creek MI,58
Ft. Wayne IN,58
Lansing MI,56
Spokane WA,56
Champaign & Springfield-Decatur IL,56
Shreveport LA,55
Birmingham AL,55
Waco-Temple-Bryan TX,54
Little Rock-Pine Bluff AR,54
Charlotte NC,54
Mobile AL-Pensacola (Ft. Walton Beach) FL,53
St. Louis MO,53
Charleston SC,52
Ft. Smith-Fayetteville-Springdale-Rogers AR,52
Tyler-Longview(Lufkin & Nacogdoches) TX,51
Tallahassee FL-Thomasville GA,51
San Antonio TX,50
Syracuse NY,50
Colorado Springs-Pueblo CO,50
Raleigh-Durham (Fayetteville) NC,50
Albany-Schenectady-Troy NY,50
Harrisburg-Lancaster-Lebanon-York PA,49
Salt Lake City UT,49
South Bend-Elkhart IN,49
Columbia SC,48
Greensboro-High Point-Winston Salem NC,48
Buffalo NY,47
Tulsa OK,47
Oklahoma City OK,46
Denver CO,46
Jacksonville FL,45
Richmond-Petersburg VA,45
Minneapolis-St. Paul MN,44
Eugene OR,43
Tampa-St. Petersburg (Sarasota) FL,42
Madison WI,42
Jackson MS,42
Memphis TN,42
Springfield-Holyoke MA,41
Atlanta GA,41
Phoenix AZ,41
Baton Rouge LA,41
Austin TX,41
New Orleans LA,40
Dallas-Ft. Worth TX,40
Rochester NY,39
Milwaukee WI,39
Detroit MI,39
Ft. Myers-Naples FL,39
Tucson (Sierra Vista) AZ,38
Orlando-Daytona Beach-Melbourne FL,38
Houston TX,38
Fresno-Visalia CA,37
Norfolk-Portsmouth-Newport News VA,36
El Paso TX,36
Harlingen-Weslaco-Brownsville-McAllen TX,35
West Palm Beach-Ft. Pierce FL,34
Baltimore MD,34
Boston MA-Manchester NH,34
Hartford & New Haven CT,32
Seattle-Tacoma WA,31
Providence RI-New Bedford MA,31
Philadelphia PA,31
Sacramento-Stockton-Modesto CA,30
Chicago IL,28
Portland OR,28
Washington DC (Hagerstown MD),23
Las Vegas NV,22
San Diego CA,21
Honolulu HI,20
Los Angeles CA,17
Miami-Ft. Lauderdale FL,16
New York NY,16
San Francisco-Oakland-San Jose CA,11
Binghamton NY,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for tim mcgraw
Town/City,tim mcgraw
Louisville,100
Columbus,82
Indianapolis,82
San Antonio,81
St. Louis,80
Denver,65
Atlanta,62
Houston,61
Tampa,61
Phoenix,60
Dallas,59
Minneapolis,57
Richardson,56
Austin,54
Portland,50



Top searches for tim mcgraw
tim mcgraw lyrics,100
taylor swift,60
faith hill,50
tim mcgraw live,40
nelly,35
tim mcgraw nelly,35
over and over,30
best friend,30
country,25
my best friend,25
kenny chesney,25
tim mcgraw songs,20
i need you,20
its your love,20
jason aldean,20
brad paisley,15
rascal flatts,15
carrie underwood,15
luke bryan,15
george strait,15
blake shelton,10
toby keith,10
truck yeah,10
keith urban,10
garth brooks,10
lady antebellum,10
alan jackson,10
miranda lambert,5
eric church,5
country music,5
my little girl,5
indian outlaw,5
country songs,5
zac brown band,5
florida georgia line,5
still tim mcgraw,5
billy currington,5
sugarland,5
dierks bentley,5
trace adkins,5
everywhere tim mcgraw,5
brooks and dunn,5
josh turner,5
jake owen,5
scotty mccreery,5
lee brice,5
shania twain,5
rodney atkins,5
darius rucker,5



Rising searches for tim mcgraw
luke bryan,Breakout
tim mcgraw lyrics,+1,350%
jason aldean,+900%
over and over,+450%
its your love,+400%
tim mcgraw live,+300%
best friend,+200%
my best friend,+170%
nelly,+120%
tim mcgraw nelly,+110%



