YouTube Search interest: michael jackson
United States; Jan 2008 - Jul 2015

Interest over time
Week,michael jackson
2010-02-28 - 2010-03-06,10
2010-03-07 - 2010-03-13,9
2010-03-14 - 2010-03-20,10
2010-03-21 - 2010-03-27,9
2010-03-28 - 2010-04-03,8
2010-04-04 - 2010-04-10,8
2010-04-11 - 2010-04-17,8
2010-04-18 - 2010-04-24,8
2010-04-25 - 2010-05-01,8
2010-05-02 - 2010-05-08,8
2010-05-09 - 2010-05-15,8
2010-05-16 - 2010-05-22,7
2010-05-23 - 2010-05-29,8
2010-05-30 - 2010-06-05,8
2010-06-06 - 2010-06-12,7
2010-06-13 - 2010-06-19,7
2010-06-20 - 2010-06-26,11
2010-06-27 - 2010-07-03,13
2010-07-04 - 2010-07-10,9
2010-07-11 - 2010-07-17,8
2010-07-18 - 2010-07-24,7
2010-07-25 - 2010-07-31,7
2010-08-01 - 2010-08-07,7
2010-08-08 - 2010-08-14,6
2010-08-15 - 2010-08-21,6
2010-08-22 - 2010-08-28,6
2010-08-29 - 2010-09-04,6
2010-09-05 - 2010-09-11,6
2010-09-12 - 2010-09-18,6
2010-09-19 - 2010-09-25,6
2010-09-26 - 2010-10-02,6
2010-10-03 - 2010-10-09,6
2010-10-10 - 2010-10-16,6
2010-10-17 - 2010-10-23,6
2010-10-24 - 2010-10-30,6
2010-10-31 - 2010-11-06,6
2010-11-07 - 2010-11-13,6
2010-11-14 - 2010-11-20,7
2010-11-21 - 2010-11-27,7
2010-11-28 - 2010-12-04,7
2010-12-05 - 2010-12-11,8
2010-12-12 - 2010-12-18,8
2010-12-19 - 2010-12-25,8
2010-12-26 - 2011-01-01,8
2011-01-02 - 2011-01-08,7
2011-01-09 - 2011-01-15,7
2011-01-16 - 2011-01-22,7
2011-01-23 - 2011-01-29,7
2011-01-30 - 2011-02-05,8
2011-02-06 - 2011-02-12,8
2011-02-13 - 2011-02-19,7
2011-02-20 - 2011-02-26,7
2011-02-27 - 2011-03-05,6
2011-03-06 - 2011-03-12,7
2011-03-13 - 2011-03-19,7
2011-03-20 - 2011-03-26,6
2011-03-27 - 2011-04-02,7
2011-04-03 - 2011-04-09,6
2011-04-10 - 2011-04-16,7
2011-04-17 - 2011-04-23,6
2011-04-24 - 2011-04-30,6
2011-05-01 - 2011-05-07,6
2011-05-08 - 2011-05-14,6
2011-05-15 - 2011-05-21,6
2011-05-22 - 2011-05-28,6
2011-05-29 - 2011-06-04,6
2011-06-05 - 2011-06-11,6
2011-06-12 - 2011-06-18,6
2011-06-19 - 2011-06-25,6
2011-06-26 - 2011-07-02,7
2011-07-03 - 2011-07-09,6
2011-07-10 - 2011-07-16,6
2011-07-17 - 2011-07-23,5
2011-07-24 - 2011-07-30,6
2011-07-31 - 2011-08-06,6
2011-08-07 - 2011-08-13,5
2011-08-14 - 2011-08-20,5
2011-08-21 - 2011-08-27,5
2011-08-28 - 2011-09-03,5
2011-09-04 - 2011-09-10,5
2011-09-11 - 2011-09-17,5
2011-09-18 - 2011-09-24,5
2011-09-25 - 2011-10-01,5
2011-10-02 - 2011-10-08,5
2011-10-09 - 2011-10-15,5
2011-10-16 - 2011-10-22,5
2011-10-23 - 2011-10-29,6
2011-10-30 - 2011-11-05,6
2011-11-06 - 2011-11-12,5
2011-11-13 - 2011-11-19,5
2011-11-20 - 2011-11-26,5
2011-11-27 - 2011-12-03,5
2011-12-04 - 2011-12-10,4
2011-12-11 - 2011-12-17,4
2011-12-18 - 2011-12-24,4
2011-12-25 - 2011-12-31,5
2012-01-01 - 2012-01-07,4
2012-01-08 - 2012-01-14,4
2012-01-15 - 2012-01-21,4
2012-01-22 - 2012-01-28,4
2012-01-29 - 2012-02-04,5
2012-02-05 - 2012-02-11,5
2012-02-12 - 2012-02-18,5
2012-02-19 - 2012-02-25,4
2012-02-26 - 2012-03-03,4
2012-03-04 - 2012-03-10,4
2012-03-11 - 2012-03-17,4
2012-03-18 - 2012-03-24,4
2012-03-25 - 2012-03-31,4
2012-04-01 - 2012-04-07,4
2012-04-08 - 2012-04-14,4
2012-04-15 - 2012-04-21,4
2012-04-22 - 2012-04-28,4
2012-04-29 - 2012-05-05,4
2012-05-06 - 2012-05-12,4
2012-05-13 - 2012-05-19,4
2012-05-20 - 2012-05-26,4
2012-05-27 - 2012-06-02,4
2012-06-03 - 2012-06-09,4
2012-06-10 - 2012-06-16,4
2012-06-17 - 2012-06-23,4
2012-06-24 - 2012-06-30,5
2012-07-01 - 2012-07-07,4
2012-07-08 - 2012-07-14,4
2012-07-15 - 2012-07-21,4
2012-07-22 - 2012-07-28,4
2012-07-29 - 2012-08-04,4
2012-08-05 - 2012-08-11,4
2012-08-12 - 2012-08-18,3
2012-08-19 - 2012-08-25,4
2012-08-26 - 2012-09-01,4
2012-09-02 - 2012-09-08,3
2012-09-09 - 2012-09-15,3
2012-09-16 - 2012-09-22,4
2012-09-23 - 2012-09-29,4
2012-09-30 - 2012-10-06,3
2012-10-07 - 2012-10-13,3
2012-10-14 - 2012-10-20,4
2012-10-21 - 2012-10-27,4
2012-10-28 - 2012-11-03,4
2012-11-04 - 2012-11-10,3
2012-11-11 - 2012-11-17,3
2012-11-18 - 2012-11-24,4
2012-11-25 - 2012-12-01,4
2012-12-02 - 2012-12-08,3
2012-12-09 - 2012-12-15,3
2012-12-16 - 2012-12-22,3
2012-12-23 - 2012-12-29,3
2012-12-30 - 2013-01-05,3
2013-01-06 - 2013-01-12,3
2013-01-13 - 2013-01-19,3
2013-01-20 - 2013-01-26,3
2013-01-27 - 2013-02-02,3
2013-02-03 - 2013-02-09,3
2013-02-10 - 2013-02-16,3
2013-02-17 - 2013-02-23,3
2013-02-24 - 2013-03-02,3
2013-03-03 - 2013-03-09,3
2013-03-10 - 2013-03-16,3
2013-03-17 - 2013-03-23,3
2013-03-24 - 2013-03-30,3
2013-03-31 - 2013-04-06,3
2013-04-07 - 2013-04-13,3
2013-04-14 - 2013-04-20,3
2013-04-21 - 2013-04-27,3
2013-04-28 - 2013-05-04,3
2013-05-05 - 2013-05-11,3
2013-05-12 - 2013-05-18,4
2013-05-19 - 2013-05-25,3
2013-05-26 - 2013-06-01,3
2013-06-02 - 2013-06-08,3
2013-06-09 - 2013-06-15,3
2013-06-16 - 2013-06-22,3
2013-06-23 - 2013-06-29,3
2013-06-30 - 2013-07-06,3
2013-07-07 - 2013-07-13,3
2013-07-14 - 2013-07-20,3
2013-07-21 - 2013-07-27,3
2013-07-28 - 2013-08-03,3
2013-08-04 - 2013-08-10,3
2013-08-11 - 2013-08-17,3
2013-08-18 - 2013-08-24,3
2013-08-25 - 2013-08-31,3
2013-09-01 - 2013-09-07,3
2013-09-08 - 2013-09-14,3
2013-09-15 - 2013-09-21,3
2013-09-22 - 2013-09-28,3
2013-09-29 - 2013-10-05,3
2013-10-06 - 2013-10-12,3
2013-10-13 - 2013-10-19,3
2013-10-20 - 2013-10-26,5
2013-10-27 - 2013-11-02,6
2013-11-03 - 2013-11-09,3
2013-11-10 - 2013-11-16,3
2013-11-17 - 2013-11-23,3
2013-11-24 - 2013-11-30,3
2013-12-01 - 2013-12-07,3
2013-12-08 - 2013-12-14,3
2013-12-15 - 2013-12-21,2
2013-12-22 - 2013-12-28,2
2013-12-29 - 2014-01-04,3
2014-01-05 - 2014-01-11,2
2014-01-12 - 2014-01-18,3
2014-01-19 - 2014-01-25,3
2014-01-26 - 2014-02-01,2
2014-02-02 - 2014-02-08,3
2014-02-09 - 2014-02-15,3
2014-02-16 - 2014-02-22,3
2014-02-23 - 2014-03-01,3
2014-03-02 - 2014-03-08,2
2014-03-09 - 2014-03-15,3
2014-03-16 - 2014-03-22,2
2014-03-23 - 2014-03-29,3
2014-03-30 - 2014-04-05,3
2014-04-06 - 2014-04-12,3
2014-04-13 - 2014-04-19,3
2014-04-20 - 2014-04-26,3
2014-04-27 - 2014-05-03,3
2014-05-04 - 2014-05-10,4
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,12
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,5
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,4
2014-06-22 - 2014-06-28,5
2014-06-29 - 2014-07-05,4
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,3
2014-07-27 - 2014-08-02,3
2014-08-03 - 2014-08-09,3
2014-08-10 - 2014-08-16,3
2014-08-17 - 2014-08-23,3
2014-08-24 - 2014-08-30,3
2014-08-31 - 2014-09-06,3
2014-09-07 - 2014-09-13,3
2014-09-14 - 2014-09-20,3
2014-09-21 - 2014-09-27,3
2014-09-28 - 2014-10-04,3
2014-10-05 - 2014-10-11,3
2014-10-12 - 2014-10-18,3
2014-10-19 - 2014-10-25,3
2014-10-26 - 2014-11-01,4
2014-11-02 - 2014-11-08,3
2014-11-09 - 2014-11-15,2
2014-11-16 - 2014-11-22,3
2014-11-23 - 2014-11-29,2
2014-11-30 - 2014-12-06,2
2014-12-07 - 2014-12-13,2
2014-12-14 - 2014-12-20,2
2014-12-21 - 2014-12-27,2
2014-12-28 - 2015-01-03,2
2015-01-04 - 2015-01-10,2
2015-01-11 - 2015-01-17,2
2015-01-18 - 2015-01-24,2
2015-01-25 - 2015-01-31,2
2015-02-01 - 2015-02-07,2
2015-02-08 - 2015-02-14,2
2015-02-15 - 2015-02-21,2
2015-02-22 - 2015-02-28,2
2015-03-01 - 2015-03-07,3
2015-03-08 - 2015-03-14,2
2015-03-15 - 2015-03-21,2
2015-03-22 - 2015-03-28,2
2015-03-29 - 2015-04-04,2
2015-04-05 - 2015-04-11,2
2015-04-12 - 2015-04-18,2
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,3
2015-05-03 - 2015-05-09,3
2015-05-10 - 2015-05-16,2
2015-05-17 - 2015-05-23,3
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,3
2015-06-07 - 2015-06-13,2
2015-06-14 - 2015-06-20,2
2015-06-21 - 2015-06-27,3
2015-06-28 - 2015-07-04,3
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,2
2015-07-19 - 2015-07-25,2
2015-07-26 - 2015-08-01,2


Top sub-regions for michael jackson
Sub-region,michael jackson
Virginia,100
District of Columbia,87
Mississippi,85
Louisiana,85
Georgia,80
California,78
Texas,78
New York,77
Florida,72
Alabama,72
South Carolina,71
North Carolina,71
Missouri,69
Tennessee,67
Maryland,67
New Jersey,67
Ohio,67
Arkansas,66
Kentucky,66
Pennsylvania,65
Michigan,64
Indiana,62
Nevada,61
Illinois,60
Oklahoma,60
Arizona,59
Massachusetts,59
Connecticut,59
Rhode Island,57
Kansas,56
Delaware,56
Hawaii,56
Wisconsin,55
Colorado,55
Minnesota,54
Nebraska,52
New Mexico,52
Washington,52
South Dakota,51
West Virginia,51
Utah,50
Iowa,47
Idaho,45
Maine,45
Alaska,45
Wyoming,45
North Dakota,44
Montana,43
Oregon,42
New Hampshire,41
Vermont,40


Top metros for michael jackson
Metro,michael jackson
Jackson MS,100
Greenwood-Greenville MS,98
Washington DC (Hagerstown MD),94
San Francisco-Oakland-San Jose CA,89
Albany GA,85
Lafayette LA,84
Baton Rouge LA,83
Lake Charles LA,83
Memphis TN,82
Shreveport LA,81
New Orleans LA,81
Montgomery (Selma) AL,80
Miami-Ft. Lauderdale FL,79
New York NY,79
Atlanta GA,79
Augusta GA,78
Dallas-Ft. Worth TX,78
Laredo TX,77
Beaumont-Port Arthur TX,75
Birmingham AL,75
Louisville KY,74
Los Angeles CA,74
Jackson TN,73
St. Louis MO,73
Jonesboro AR,72
Raleigh-Durham (Fayetteville) NC,72
Little Rock-Pine Bluff AR,72
Philadelphia PA,71
West Palm Beach-Ft. Pierce FL,71
Houston TX,70
Macon GA,70
Tyler-Longview(Lufkin & Nacogdoches) TX,69
Columbia SC,69
Biloxi-Gulfport MS,69
Savannah GA,68
Columbus OH,68
Orlando-Daytona Beach-Melbourne FL,67
Jacksonville FL,67
Norfolk-Portsmouth-Newport News VA,67
Bowling Green KY,67
Florence-Myrtle Beach SC,67
Corpus Christi TX,66
Kansas City MO,66
Charlotte NC,66
El Paso TX,66
Palm Springs CA,66
Youngstown OH,66
Cleveland-Akron (Canton) OH,65
San Antonio TX,65
Monroe LA-El Dorado AR,65
Baltimore MD,65
Greensboro-High Point-Winston Salem NC,64
Dothan AL,64
Toledo OH,64
Amarillo TX,63
Wilmington NC,63
Greenville-Spartanburg SC-Asheville NC-Anderson SC,63
Indianapolis IN,63
Lubbock TX,63
Detroit MI,62
Columbus GA,62
Odessa-Midland TX,62
Boston MA-Manchester NH,62
Las Vegas NV,62
Greenville-New Bern-Washington NC,62
Columbus-Tupelo-West Point MS,62
Tampa-St. Petersburg (Sarasota) FL,62
Ft. Smith-Fayetteville-Springdale-Rogers AR,61
Chicago IL,61
Dayton OH,61
Tallahassee FL-Thomasville GA,60
Joplin MO-Pittsburg KS,60
Bakersfield CA,60
Huntsville-Decatur (Florence) AL,60
Charleston SC,59
Flint-Saginaw-Bay City MI,59
Rochester NY,59
Cincinnati OH,58
Richmond-Petersburg VA,58
Sacramento-Stockton-Modesto CA,58
Tri-Cities TN-VA,58
San Diego CA,58
South Bend-Elkhart IN,57
Phoenix AZ,57
Oklahoma City OK,57
Fresno-Visalia CA,57
Lexington KY,57
Evansville IN,56
Milwaukee WI,56
Colorado Springs-Pueblo CO,56
Nashville TN,56
Hartford & New Haven CT,56
Honolulu HI,55
Cheyenne WY-Scottsbluff NE,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,55
Salisbury MD,55
Panama City FL,55
Omaha NE,55
Grand Rapids-Kalamazoo-Battle Creek MI,54
Harlingen-Weslaco-Brownsville-McAllen TX,54
Providence RI-New Bedford MA,53
Austin TX,53
Minneapolis-St. Paul MN,53
Chattanooga TN,53
Wichita-Hutchinson KS,53
Tucson (Sierra Vista) AZ,53
Seattle-Tacoma WA,53
Wilkes Barre-Scranton PA,52
Ft. Wayne IN,52
Salt Lake City UT,51
Abilene-Sweetwater TX,51
Denver CO,51
Harrisburg-Lancaster-Lebanon-York PA,51
Anchorage AK,51
Boise ID,51
Lincoln & Hastings-Kearney NE,51
La Crosse-Eau Claire WI,50
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,50
Sioux City IA,50
Waco-Temple-Bryan TX,50
Monterey-Salinas CA,50
Columbia-Jefferson City MO,50
Albany-Schenectady-Troy NY,50
Champaign & Springfield-Decatur IL,49
Ft. Myers-Naples FL,49
Syracuse NY,49
Albuquerque-Santa Fe NM,49
Roanoke-Lynchburg VA,49
Madison WI,49
Buffalo NY,49
Charleston-Huntington WV,48
Terre Haute IN,48
Portland-Auburn ME,48
Charlottesville VA,48
Rochester MN-Mason City IA-Austin MN,48
Sioux Falls(Mitchell) SD,48
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,47
Erie PA,47
Binghamton NY,47
Santa Barbara-Santa Maria-San Luis Obispo CA,47
Springfield MO,47
Davenport IA-Rock Island-Moline IL,47
Lansing MI,47
Harrisonburg VA,47
Reno NV,47
Rockford IL,46
Pittsburgh PA,46
Tulsa OK,46
Knoxville TN,46
Chico-Redding CA,46
Johnstown-Altoona PA,46
Medford-Klamath Falls OR,46
Minot-Bismarck-Dickinson(Williston) ND,45
Green Bay-Appleton WI,45
Des Moines-Ames IA,45
Yakima-Pasco-Richland-Kennewick WA,45
Wichita Falls TX & Lawton OK,45
Gainesville FL,45
Idaho Falls-Pocatello ID,45
Traverse City-Cadillac MI,44
Springfield-Holyoke MA,43
Duluth MN-Superior WI,43
Utica NY,43
Topeka KS,42
Spokane WA,42
Burlington VT-Plattsburgh NY,41
Peoria-Bloomington IL,41
Wausau-Rhinelander WI,40
Eugene OR,40
Fargo-Valley City ND,39
Bangor ME,39
Portland OR,38
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Alexandria LA,0
Sherman TX-Ada OK,0
San Angelo TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for michael jackson
Town/City,michael jackson
Milpitas,100
Sterling,99
Richardson,74
Miami,70
Reston,70
Atlanta,70
Herndon,68
Irvine,65
New Orleans,63
Orlando,62
St. Louis,62
Washington,61
New York,61
Detroit,59
Los Angeles,58



Top searches for michael jackson
michael jackson lyrics,100
thriller,100
michael jackson thriller,95
billie jean,70
beat it,70
smooth criminal,55
michael jackson dance,55
bad michael jackson,45
bad,40
michael jackson live,40
jackson 5,35
michael jackson songs,30
ghost,30
michael jackson ghost,30
chris brown,25
moonwalk,25
moonwalk michael jackson,25
micheal jackson,25
michael jackson dancing,25
black or white,20
akon,20
justin bieber,20
human nature,20
michael jackson tribute,20
michael jackson remix,15
janet jackson,15
beyonce,15
pyt michael jackson,15
pyt,15
remember the time,15
this is it,15
michael jackson videos,15
michael jackson interview,15
usher,15
scream michael jackson,15
thriller lyrics,10
lady gaga,10
miley cyrus,10
abc michael jackson,10
dangerous michael jackson,10
dangerous,10
thriller dance,10
prince,10
billie jean lyrics,10
britney spears,10
ben michael jackson,10
thriller music video,10
family guy,10
michael jackson dead,10
heal the world,10



Rising searches for michael jackson
justin bieber,Breakout
michael jackson lyrics,+1,900%
michael jackson tribute,+500%
akon,+350%
michael jackson ghost,+200%
ghost,+190%
black or white,+180%
pyt michael jackson,+180%
michael jackson songs,+170%
human nature,+140%



