YouTube Search interest: beyonce
United States; Jan 2008 - Jul 2015

Interest over time
Week,beyonce
2012-06-24 - 2012-06-30,22
2012-07-01 - 2012-07-07,24
2012-07-08 - 2012-07-14,23
2012-07-15 - 2012-07-21,23
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,20
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,22
2012-08-26 - 2012-09-01,21
2012-09-02 - 2012-09-08,22
2012-09-09 - 2012-09-15,22
2012-09-16 - 2012-09-22,21
2012-09-23 - 2012-09-29,22
2012-09-30 - 2012-10-06,21
2012-10-07 - 2012-10-13,22
2012-10-14 - 2012-10-20,20
2012-10-21 - 2012-10-27,19
2012-10-28 - 2012-11-03,20
2012-11-04 - 2012-11-10,20
2012-11-11 - 2012-11-17,21
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,18
2012-12-02 - 2012-12-08,18
2012-12-09 - 2012-12-15,17
2012-12-16 - 2012-12-22,18
2012-12-23 - 2012-12-29,18
2012-12-30 - 2013-01-05,18
2013-01-06 - 2013-01-12,17
2013-01-13 - 2013-01-19,18
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,24
2013-02-03 - 2013-02-09,69
2013-02-10 - 2013-02-16,28
2013-02-17 - 2013-02-23,29
2013-02-24 - 2013-03-02,23
2013-03-03 - 2013-03-09,22
2013-03-10 - 2013-03-16,21
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,24
2013-03-31 - 2013-04-06,23
2013-04-07 - 2013-04-13,22
2013-04-14 - 2013-04-20,32
2013-04-21 - 2013-04-27,33
2013-04-28 - 2013-05-04,29
2013-05-05 - 2013-05-11,27
2013-05-12 - 2013-05-18,26
2013-05-19 - 2013-05-25,26
2013-05-26 - 2013-06-01,28
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,21
2013-06-16 - 2013-06-22,21
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,22
2013-07-07 - 2013-07-13,21
2013-07-14 - 2013-07-20,20
2013-07-21 - 2013-07-27,21
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,19
2013-08-11 - 2013-08-17,18
2013-08-18 - 2013-08-24,18
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,18
2013-09-08 - 2013-09-14,17
2013-09-15 - 2013-09-21,18
2013-09-22 - 2013-09-28,16
2013-09-29 - 2013-10-05,17
2013-10-06 - 2013-10-12,16
2013-10-13 - 2013-10-19,16
2013-10-20 - 2013-10-26,16
2013-10-27 - 2013-11-02,16
2013-11-03 - 2013-11-09,16
2013-11-10 - 2013-11-16,17
2013-11-17 - 2013-11-23,16
2013-11-24 - 2013-11-30,16
2013-12-01 - 2013-12-07,17
2013-12-08 - 2013-12-14,37
2013-12-15 - 2013-12-21,70
2013-12-22 - 2013-12-28,55
2013-12-29 - 2014-01-04,50
2014-01-05 - 2014-01-11,47
2014-01-12 - 2014-01-18,46
2014-01-19 - 2014-01-25,43
2014-01-26 - 2014-02-01,77
2014-02-02 - 2014-02-08,49
2014-02-09 - 2014-02-15,43
2014-02-16 - 2014-02-22,44
2014-02-23 - 2014-03-01,46
2014-03-02 - 2014-03-08,43
2014-03-09 - 2014-03-15,41
2014-03-16 - 2014-03-22,37
2014-03-23 - 2014-03-29,33
2014-03-30 - 2014-04-05,31
2014-04-06 - 2014-04-12,29
2014-04-13 - 2014-04-19,30
2014-04-20 - 2014-04-26,29
2014-04-27 - 2014-05-03,31
2014-05-04 - 2014-05-10,29
2014-05-11 - 2014-05-17,31
2014-05-18 - 2014-05-24,31
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,24
2014-06-08 - 2014-06-14,21
2014-06-15 - 2014-06-21,21
2014-06-22 - 2014-06-28,22
2014-06-29 - 2014-07-05,23
2014-07-06 - 2014-07-12,20
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,21
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,20
2014-08-24 - 2014-08-30,45
2014-08-31 - 2014-09-06,27
2014-09-07 - 2014-09-13,23
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,24
2014-09-28 - 2014-10-04,22
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,20
2014-10-26 - 2014-11-01,19
2014-11-02 - 2014-11-08,20
2014-11-09 - 2014-11-15,20
2014-11-16 - 2014-11-22,22
2014-11-23 - 2014-11-29,32
2014-11-30 - 2014-12-06,25
2014-12-07 - 2014-12-13,28
2014-12-14 - 2014-12-20,25
2014-12-21 - 2014-12-27,23
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,22
2015-01-25 - 2015-01-31,21
2015-02-01 - 2015-02-07,26
2015-02-08 - 2015-02-14,34
2015-02-15 - 2015-02-21,26
2015-02-22 - 2015-02-28,22
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,19
2015-03-15 - 2015-03-21,18
2015-03-22 - 2015-03-28,17
2015-03-29 - 2015-04-04,18
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,16
2015-04-19 - 2015-04-25,16
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,17
2015-05-10 - 2015-05-16,16
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,19
2015-05-31 - 2015-06-06,17
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,15
2015-06-21 - 2015-06-27,14
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,13
2015-07-12 - 2015-07-18,13
2015-07-19 - 2015-07-25,13
2015-07-26 - 2015-08-01,13


Top sub-regions for beyonce
Sub-region,beyonce
Mississippi,100
Louisiana,95
Georgia,91
Maryland,84
District of Columbia,81
Alabama,77
North Carolina,76
South Carolina,75
New York,74
Delaware,68
Florida,67
Pennsylvania,65
New Jersey,64
Tennessee,60
Virginia,59
Texas,59
Michigan,57
Illinois,56
Arkansas,56
Ohio,56
Missouri,53
Massachusetts,52
Connecticut,52
Hawaii,50
Rhode Island,50
California,50
Indiana,49
Kentucky,47
Wisconsin,43
Oklahoma,41
Arizona,41
Nevada,41
Minnesota,39
Washington,36
Kansas,36
Nebraska,35
New Mexico,35
Colorado,35
Iowa,34
Vermont,34
West Virginia,33
South Dakota,32
Alaska,31
Maine,30
New Hampshire,30
Utah,29
North Dakota,28
Oregon,27
Montana,25
Wyoming,25
Idaho,24


Top metros for beyonce
Metro,beyonce
Greenwood-Greenville MS,100
Montgomery (Selma) AL,70
Memphis TN,68
Jackson MS,68
Baton Rouge LA,67
Meridian MS,67
Albany GA,65
Monroe LA-El Dorado AR,61
Columbus-Tupelo-West Point MS,60
Hattiesburg-Laurel MS,60
New Orleans LA,59
Macon GA,59
Augusta GA,59
Tallahassee FL-Thomasville GA,58
Columbia SC,57
Baltimore MD,55
Atlanta GA,54
Columbus GA,54
Shreveport LA,54
Florence-Myrtle Beach SC,54
Norfolk-Portsmouth-Newport News VA,53
Birmingham AL,52
Lafayette LA,52
Raleigh-Durham (Fayetteville) NC,50
Lake Charles LA,49
Alexandria LA,48
Richmond-Petersburg VA,47
Philadelphia PA,47
Washington DC (Hagerstown MD),47
Charleston SC,47
Beaumont-Port Arthur TX,47
Savannah GA,46
New York NY,46
Little Rock-Pine Bluff AR,45
Jonesboro AR,45
Greensboro-High Point-Winston Salem NC,45
Houston TX,44
Miami-Ft. Lauderdale FL,42
Salisbury MD,42
Jacksonville FL,42
Dothan AL,41
Charlotte NC,41
Greenville-New Bern-Washington NC,41
Detroit MI,40
Mobile AL-Pensacola (Ft. Walton Beach) FL,39
Biloxi-Gulfport MS,39
West Palm Beach-Ft. Pierce FL,39
St. Louis MO,38
Orlando-Daytona Beach-Melbourne FL,38
Los Angeles CA,37
Chicago IL,37
Indianapolis IN,36
Wilmington NC,36
Jackson TN,36
Gainesville FL,35
Greenville-Spartanburg SC-Asheville NC-Anderson SC,34
Tampa-St. Petersburg (Sarasota) FL,34
Milwaukee WI,34
Cleveland-Akron (Canton) OH,34
Dallas-Ft. Worth TX,34
Youngstown OH,33
Tyler-Longview(Lufkin & Nacogdoches) TX,33
Hartford & New Haven CT,33
Honolulu HI,33
Waco-Temple-Bryan TX,33
Cincinnati OH,33
Huntsville-Decatur (Florence) AL,33
Dayton OH,32
Springfield-Holyoke MA,32
Columbus OH,32
Louisville KY,32
Kansas City MO,32
Rochester NY,32
Charlottesville VA,32
Boston MA-Manchester NH,31
Harrisonburg VA,30
Lubbock TX,30
Syracuse NY,30
Nashville TN,30
Buffalo NY,30
Toledo OH,30
San Antonio TX,30
Providence RI-New Bedford MA,30
Ft. Myers-Naples FL,30
Lansing MI,30
Abilene-Sweetwater TX,30
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,29
Lima OH,29
Panama City FL,29
Bakersfield CA,29
Roanoke-Lynchburg VA,29
Austin TX,29
Pittsburgh PA,29
Champaign & Springfield-Decatur IL,29
Las Vegas NV,29
Palm Springs CA,28
Fresno-Visalia CA,28
Utica NY,28
San Diego CA,28
Grand Rapids-Kalamazoo-Battle Creek MI,28
Chattanooga TN,28
Harrisburg-Lancaster-Lebanon-York PA,28
Watertown NY,28
San Francisco-Oakland-San Jose CA,28
Flint-Saginaw-Bay City MI,28
Columbia-Jefferson City MO,28
Albany-Schenectady-Troy NY,28
Oklahoma City OK,27
Laredo TX,27
Odessa-Midland TX,27
Sacramento-Stockton-Modesto CA,27
Minneapolis-St. Paul MN,27
Wichita Falls TX & Lawton OK,27
Tucson (Sierra Vista) AZ,27
Erie PA,26
Lexington KY,26
Phoenix AZ,26
Corpus Christi TX,26
Ft. Wayne IN,26
Wilkes Barre-Scranton PA,26
El Paso TX,26
Rockford IL,25
South Bend-Elkhart IN,25
Seattle-Tacoma WA,25
Evansville IN,25
Bowling Green KY,25
Terre Haute IN,25
Binghamton NY,24
Harlingen-Weslaco-Brownsville-McAllen TX,24
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,24
Peoria-Bloomington IL,24
Madison WI,24
Amarillo TX,24
Denver CO,24
Yuma AZ-El Centro CA,24
Topeka KS,24
Sherman TX-Ada OK,24
Albuquerque-Santa Fe NM,24
Santa Barbara-Santa Maria-San Luis Obispo CA,24
Omaha NE,24
Davenport IA-Rock Island-Moline IL,23
Burlington VT-Plattsburgh NY,23
Rochester MN-Mason City IA-Austin MN,23
Monterey-Salinas CA,23
Des Moines-Ames IA,23
Lafayette IN,22
Johnstown-Altoona PA,22
Ft. Smith-Fayetteville-Springdale-Rogers AR,22
Joplin MO-Pittsburg KS,22
Knoxville TN,22
Wichita-Hutchinson KS,22
Tulsa OK,22
Charleston-Huntington WV,22
Mankato MN,21
Anchorage AK,21
Cheyenne WY-Scottsbluff NE,21
Yakima-Pasco-Richland-Kennewick WA,21
Reno NV,21
Tri-Cities TN-VA,21
Clarksburg-Weston WV,21
Bluefield-Beckley-Oak Hill WV,21
Lincoln & Hastings-Kearney NE,21
Grand Junction-Montrose CO,21
Portland-Auburn ME,21
Colorado Springs-Pueblo CO,20
Sioux Falls(Mitchell) SD,20
La Crosse-Eau Claire WI,20
Fargo-Valley City ND,20
Bangor ME,20
Duluth MN-Superior WI,20
Marquette MI,20
Green Bay-Appleton WI,20
Sioux City IA,20
Springfield MO,20
Chico-Redding CA,20
Salt Lake City UT,19
Traverse City-Cadillac MI,19
Eugene OR,18
Rapid City SD,18
Minot-Bismarck-Dickinson(Williston) ND,18
Spokane WA,18
Portland OR,17
Wausau-Rhinelander WI,17
Boise ID,16
Medford-Klamath Falls OR,15
Idaho Falls-Pocatello ID,15
Missoula MT,13
Presque Isle ME,0
Wheeling WV-Steubenville OH,0
Elmira NY,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
San Angelo TX,0
Quincy IL-Hannibal MO-Keokuk IA,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Twin Falls ID,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for beyonce
Town/City,beyonce
Baltimore,100
Philadelphia,98
Memphis,97
New Orleans,96
Jackson,91
Detroit,89
Atlanta,85
New York,81
Washington,77
Charlotte,70
Houston,65
Newark,64
Chicago,63
Miami,63
Indianapolis,60



Top searches for beyonce
beyonce single ladies,100
single ladies,95
halo,85
halo beyonce,85
rihanna,75
lady gaga,60
beyonce live,60
lady gaga beyonce,55
love on top,55
nicki minaj,55
chris brown,50
drake,50
baby beyonce,45
drake beyonce,45
beyonce party,45
drunk in love,45
beyonce countdown,40
lil wayne,40
sweet dreams,40
jay z,40
beyonce sweet dreams,40
diva beyonce,35
diva,35
shakira,30
listen beyonce,25
taylor swift,25
ciara,25
justin bieber,25
ego beyonce,25
usher,25
kanye west,25
crazy in love,20
irreplaceable beyonce,20
justin timberlake,20
beyonce flawless,20
mariah carey,20
beyonce partition,20
video phone,20
lady gaga telephone,20
video phone beyonce,20
1 1 beyonce,20
alicia keys,20
beyonce halo lyrics,20
britney spears,20
trey songz,15
beyonce album,15
miley cyrus,15
bruno mars,15
girls love beyonce,15
keri hilson,15



Rising searches for beyonce
beyonce countdown,Breakout
beyonce single ladies,Breakout
drake,Breakout
drake beyonce,Breakout
drunk in love,Breakout
halo,Breakout
halo beyonce,Breakout
lady gaga,Breakout
lady gaga beyonce,Breakout
love on top,Breakout



