YouTube Search interest: bow wow
United States; Jan 2008 - Jul 2015

Interest over time
Week,bow wow
2009-02-15 - 2009-02-21,42
2009-02-22 - 2009-02-28,52
2009-03-01 - 2009-03-07,54
2009-03-08 - 2009-03-14,56
2009-03-15 - 2009-03-21,56
2009-03-22 - 2009-03-28,57
2009-03-29 - 2009-04-04,60
2009-04-05 - 2009-04-11,59
2009-04-12 - 2009-04-18,51
2009-04-19 - 2009-04-25,45
2009-04-26 - 2009-05-02,39
2009-05-03 - 2009-05-09,34
2009-05-10 - 2009-05-16,36
2009-05-17 - 2009-05-23,33
2009-05-24 - 2009-05-30,32
2009-05-31 - 2009-06-06,32
2009-06-07 - 2009-06-13,30
2009-06-14 - 2009-06-20,28
2009-06-21 - 2009-06-27,31
2009-06-28 - 2009-07-04,29
2009-07-05 - 2009-07-11,26
2009-07-12 - 2009-07-18,29
2009-07-19 - 2009-07-25,27
2009-07-26 - 2009-08-01,27
2009-08-02 - 2009-08-08,28
2009-08-09 - 2009-08-15,26
2009-08-16 - 2009-08-22,30
2009-08-23 - 2009-08-29,30
2009-08-30 - 2009-09-05,29
2009-09-06 - 2009-09-12,27
2009-09-13 - 2009-09-19,24
2009-09-20 - 2009-09-26,26
2009-09-27 - 2009-10-03,24
2009-10-04 - 2009-10-10,25
2009-10-11 - 2009-10-17,23
2009-10-18 - 2009-10-24,23
2009-10-25 - 2009-10-31,24
2009-11-01 - 2009-11-07,24
2009-11-08 - 2009-11-14,23
2009-11-15 - 2009-11-21,22
2009-11-22 - 2009-11-28,23
2009-11-29 - 2009-12-05,23
2009-12-06 - 2009-12-12,25
2009-12-13 - 2009-12-19,25
2009-12-20 - 2009-12-26,23
2009-12-27 - 2010-01-02,25
2010-01-03 - 2010-01-09,24
2010-01-10 - 2010-01-16,23
2010-01-17 - 2010-01-23,21
2010-01-24 - 2010-01-30,23
2010-01-31 - 2010-02-06,22
2010-02-07 - 2010-02-13,21
2010-02-14 - 2010-02-20,23
2010-02-21 - 2010-02-27,22
2010-02-28 - 2010-03-06,22
2010-03-07 - 2010-03-13,21
2010-03-14 - 2010-03-20,23
2010-03-21 - 2010-03-27,24
2010-03-28 - 2010-04-03,26
2010-04-04 - 2010-04-10,27
2010-04-11 - 2010-04-17,23
2010-04-18 - 2010-04-24,24
2010-04-25 - 2010-05-01,23
2010-05-02 - 2010-05-08,24
2010-05-09 - 2010-05-15,23
2010-05-16 - 2010-05-22,25
2010-05-23 - 2010-05-29,25
2010-05-30 - 2010-06-05,25
2010-06-06 - 2010-06-12,28
2010-06-13 - 2010-06-19,24
2010-06-20 - 2010-06-26,25
2010-06-27 - 2010-07-03,24
2010-07-04 - 2010-07-10,25
2010-07-11 - 2010-07-17,25
2010-07-18 - 2010-07-24,27
2010-07-25 - 2010-07-31,35
2010-08-01 - 2010-08-07,33
2010-08-08 - 2010-08-14,34
2010-08-15 - 2010-08-21,35
2010-08-22 - 2010-08-28,36
2010-08-29 - 2010-09-04,36
2010-09-05 - 2010-09-11,31
2010-09-12 - 2010-09-18,28
2010-09-19 - 2010-09-25,26
2010-09-26 - 2010-10-02,27
2010-10-03 - 2010-10-09,29
2010-10-10 - 2010-10-16,27
2010-10-17 - 2010-10-23,27
2010-10-24 - 2010-10-30,25
2010-10-31 - 2010-11-06,38
2010-11-07 - 2010-11-13,31
2010-11-14 - 2010-11-20,32
2010-11-21 - 2010-11-27,34
2010-11-28 - 2010-12-04,32
2010-12-05 - 2010-12-11,31
2010-12-12 - 2010-12-18,31
2010-12-19 - 2010-12-25,31
2010-12-26 - 2011-01-01,32
2011-01-02 - 2011-01-08,39
2011-01-09 - 2011-01-15,36
2011-01-16 - 2011-01-22,34
2011-01-23 - 2011-01-29,38
2011-01-30 - 2011-02-05,45
2011-02-06 - 2011-02-12,41
2011-02-13 - 2011-02-19,42
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,80
2011-03-06 - 2011-03-12,82
2011-03-13 - 2011-03-19,82
2011-03-20 - 2011-03-26,84
2011-03-27 - 2011-04-02,88
2011-04-03 - 2011-04-09,90
2011-04-10 - 2011-04-16,91
2011-04-17 - 2011-04-23,100
2011-04-24 - 2011-04-30,96
2011-05-01 - 2011-05-07,91
2011-05-08 - 2011-05-14,88
2011-05-15 - 2011-05-21,85
2011-05-22 - 2011-05-28,75
2011-05-29 - 2011-06-04,66
2011-06-05 - 2011-06-11,60
2011-06-12 - 2011-06-18,54
2011-06-19 - 2011-06-25,52
2011-06-26 - 2011-07-02,49
2011-07-03 - 2011-07-09,48
2011-07-10 - 2011-07-16,48
2011-07-17 - 2011-07-23,44
2011-07-24 - 2011-07-30,42
2011-07-31 - 2011-08-06,39
2011-08-07 - 2011-08-13,38
2011-08-14 - 2011-08-20,40
2011-08-21 - 2011-08-27,39
2011-08-28 - 2011-09-03,33
2011-09-04 - 2011-09-10,33
2011-09-11 - 2011-09-17,34
2011-09-18 - 2011-09-24,33
2011-09-25 - 2011-10-01,34
2011-10-02 - 2011-10-08,33
2011-10-09 - 2011-10-15,35
2011-10-16 - 2011-10-22,34
2011-10-23 - 2011-10-29,36
2011-10-30 - 2011-11-05,36
2011-11-06 - 2011-11-12,32
2011-11-13 - 2011-11-19,29
2011-11-20 - 2011-11-26,31
2011-11-27 - 2011-12-03,31
2011-12-04 - 2011-12-10,29
2011-12-11 - 2011-12-17,33
2011-12-18 - 2011-12-24,29
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,28
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,35
2012-01-29 - 2012-02-04,36
2012-02-05 - 2012-02-11,33
2012-02-12 - 2012-02-18,30
2012-02-19 - 2012-02-25,30
2012-02-26 - 2012-03-03,27
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,27
2012-03-18 - 2012-03-24,25
2012-03-25 - 2012-03-31,24
2012-04-01 - 2012-04-07,24
2012-04-08 - 2012-04-14,23
2012-04-15 - 2012-04-21,20
2012-04-22 - 2012-04-28,22
2012-04-29 - 2012-05-05,22
2012-05-06 - 2012-05-12,20
2012-05-13 - 2012-05-19,21
2012-05-20 - 2012-05-26,21
2012-05-27 - 2012-06-02,23
2012-06-03 - 2012-06-09,23
2012-06-10 - 2012-06-16,23
2012-06-17 - 2012-06-23,21
2012-06-24 - 2012-06-30,23
2012-07-01 - 2012-07-07,24
2012-07-08 - 2012-07-14,24
2012-07-15 - 2012-07-21,26
2012-07-22 - 2012-07-28,24
2012-07-29 - 2012-08-04,24
2012-08-05 - 2012-08-11,22
2012-08-12 - 2012-08-18,20
2012-08-19 - 2012-08-25,20
2012-08-26 - 2012-09-01,21
2012-09-02 - 2012-09-08,19
2012-09-09 - 2012-09-15,17
2012-09-16 - 2012-09-22,19
2012-09-23 - 2012-09-29,18
2012-09-30 - 2012-10-06,17
2012-10-07 - 2012-10-13,17
2012-10-14 - 2012-10-20,16
2012-10-21 - 2012-10-27,16
2012-10-28 - 2012-11-03,14
2012-11-04 - 2012-11-10,16
2012-11-11 - 2012-11-17,15
2012-11-18 - 2012-11-24,13
2012-11-25 - 2012-12-01,15
2012-12-02 - 2012-12-08,13
2012-12-09 - 2012-12-15,13
2012-12-16 - 2012-12-22,13
2012-12-23 - 2012-12-29,12
2012-12-30 - 2013-01-05,12
2013-01-06 - 2013-01-12,11
2013-01-13 - 2013-01-19,14
2013-01-20 - 2013-01-26,11
2013-01-27 - 2013-02-02,12
2013-02-03 - 2013-02-09,12
2013-02-10 - 2013-02-16,12
2013-02-17 - 2013-02-23,13
2013-02-24 - 2013-03-02,12
2013-03-03 - 2013-03-09,14
2013-03-10 - 2013-03-16,14
2013-03-17 - 2013-03-23,13
2013-03-24 - 2013-03-30,11
2013-03-31 - 2013-04-06,9
2013-04-07 - 2013-04-13,11
2013-04-14 - 2013-04-20,10
2013-04-21 - 2013-04-27,11
2013-04-28 - 2013-05-04,10
2013-05-05 - 2013-05-11,11
2013-05-12 - 2013-05-18,9
2013-05-19 - 2013-05-25,11
2013-05-26 - 2013-06-01,11
2013-06-02 - 2013-06-08,11
2013-06-09 - 2013-06-15,9
2013-06-16 - 2013-06-22,8
2013-06-23 - 2013-06-29,10
2013-06-30 - 2013-07-06,10
2013-07-07 - 2013-07-13,9
2013-07-14 - 2013-07-20,10
2013-07-21 - 2013-07-27,9
2013-07-28 - 2013-08-03,16
2013-08-04 - 2013-08-10,11
2013-08-11 - 2013-08-17,10
2013-08-18 - 2013-08-24,9
2013-08-25 - 2013-08-31,7
2013-09-01 - 2013-09-07,9
2013-09-08 - 2013-09-14,8
2013-09-15 - 2013-09-21,8
2013-09-22 - 2013-09-28,8
2013-09-29 - 2013-10-05,8
2013-10-06 - 2013-10-12,11
2013-10-13 - 2013-10-19,9
2013-10-20 - 2013-10-26,9
2013-10-27 - 2013-11-02,9
2013-11-03 - 2013-11-09,8
2013-11-10 - 2013-11-16,9
2013-11-17 - 2013-11-23,9
2013-11-24 - 2013-11-30,8
2013-12-01 - 2013-12-07,7
2013-12-08 - 2013-12-14,8
2013-12-15 - 2013-12-21,7
2013-12-22 - 2013-12-28,7
2013-12-29 - 2014-01-04,9
2014-01-05 - 2014-01-11,8
2014-01-12 - 2014-01-18,8
2014-01-19 - 2014-01-25,7
2014-01-26 - 2014-02-01,7
2014-02-02 - 2014-02-08,7
2014-02-09 - 2014-02-15,8
2014-02-16 - 2014-02-22,7
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,7
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,7
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,7
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,6
2014-04-27 - 2014-05-03,7
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,6
2014-05-18 - 2014-05-24,6
2014-05-25 - 2014-05-31,6
2014-06-01 - 2014-06-07,6
2014-06-08 - 2014-06-14,5
2014-06-15 - 2014-06-21,6
2014-06-22 - 2014-06-28,5
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,6
2014-07-13 - 2014-07-19,5
2014-07-20 - 2014-07-26,6
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,6
2014-08-10 - 2014-08-16,5
2014-08-17 - 2014-08-23,5
2014-08-24 - 2014-08-30,5
2014-08-31 - 2014-09-06,6
2014-09-07 - 2014-09-13,4
2014-09-14 - 2014-09-20,4
2014-09-21 - 2014-09-27,7
2014-09-28 - 2014-10-04,5
2014-10-05 - 2014-10-11,6
2014-10-12 - 2014-10-18,5
2014-10-19 - 2014-10-25,5
2014-10-26 - 2014-11-01,5
2014-11-02 - 2014-11-08,5
2014-11-09 - 2014-11-15,5
2014-11-16 - 2014-11-22,5
2014-11-23 - 2014-11-29,4
2014-11-30 - 2014-12-06,5
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,5
2014-12-21 - 2014-12-27,4
2014-12-28 - 2015-01-03,5
2015-01-04 - 2015-01-10,4
2015-01-11 - 2015-01-17,4
2015-01-18 - 2015-01-24,5
2015-01-25 - 2015-01-31,4
2015-02-01 - 2015-02-07,5
2015-02-08 - 2015-02-14,5
2015-02-15 - 2015-02-21,5
2015-02-22 - 2015-02-28,5
2015-03-01 - 2015-03-07,4
2015-03-08 - 2015-03-14,4
2015-03-15 - 2015-03-21,4
2015-03-22 - 2015-03-28,4
2015-03-29 - 2015-04-04,4
2015-04-05 - 2015-04-11,5
2015-04-12 - 2015-04-18,5
2015-04-19 - 2015-04-25,5
2015-04-26 - 2015-05-02,5
2015-05-03 - 2015-05-09,5
2015-05-10 - 2015-05-16,5
2015-05-17 - 2015-05-23,4
2015-05-24 - 2015-05-30,4
2015-05-31 - 2015-06-06,4
2015-06-07 - 2015-06-13,3
2015-06-14 - 2015-06-20,4
2015-06-21 - 2015-06-27,5
2015-06-28 - 2015-07-04,4
2015-07-05 - 2015-07-11,4
2015-07-12 - 2015-07-18,4
2015-07-19 - 2015-07-25,4
2015-07-26 - 2015-08-01,6


Top sub-regions for bow wow
Sub-region,bow wow
Mississippi,100
Louisiana,88
South Carolina,84
North Carolina,82
Alabama,81
Georgia,80
Michigan,80
Kentucky,78
Indiana,77
Ohio,77
Tennessee,73
Maryland,71
West Virginia,71
Missouri,70
District of Columbia,70
Florida,67
Arkansas,67
Delaware,66
Pennsylvania,64
Oklahoma,63
Kansas,63
Texas,63
Illinois,62
New York,62
Wisconsin,62
Nebraska,62
New Mexico,62
South Dakota,61
Iowa,60
Arizona,59
Hawaii,59
Nevada,59
Rhode Island,58
Colorado,58
North Dakota,58
Minnesota,57
New Jersey,55
California,54
Virginia,53
Connecticut,53
Wyoming,51
Massachusetts,50
Washington,46
Maine,45
Montana,44
New Hampshire,43
Idaho,39
Vermont,38
Oregon,38
Alaska,37
Utah,34


Top metros for bow wow
Metro,bow wow
Jackson MS,100
Montgomery (Selma) AL,98
Augusta GA,97
Florence-Myrtle Beach SC,97
Shreveport LA,92
Columbia SC,91
Macon GA,90
New Orleans LA,89
Raleigh-Durham (Fayetteville) NC,88
Evansville IN,82
Lansing MI,81
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,80
Detroit MI,80
Ft. Wayne IN,80
Lafayette LA,79
Tallahassee FL-Thomasville GA,78
Indianapolis IN,77
Charleston-Huntington WV,77
Atlanta GA,75
Louisville KY,74
Lincoln & Hastings-Kearney NE,74
Baton Rouge LA,73
Birmingham AL,73
Fresno-Visalia CA,73
Grand Rapids-Kalamazoo-Battle Creek MI,73
Champaign & Springfield-Decatur IL,72
Savannah GA,72
Charleston SC,72
Memphis TN,72
Toledo OH,71
Little Rock-Pine Bluff AR,71
Columbus OH,71
Richmond-Petersburg VA,70
Cleveland-Akron (Canton) OH,69
Bakersfield CA,69
Greenville-New Bern-Washington NC,69
Norfolk-Portsmouth-Newport News VA,68
Wichita-Hutchinson KS,68
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,68
Chattanooga TN,67
Jacksonville FL,67
Greensboro-High Point-Winston Salem NC,67
Philadelphia PA,67
Huntsville-Decatur (Florence) AL,66
Mobile AL-Pensacola (Ft. Walton Beach) FL,65
St. Louis MO,64
Knoxville TN,64
Lexington KY,63
Sacramento-Stockton-Modesto CA,63
Flint-Saginaw-Bay City MI,63
Charlotte NC,63
Dayton OH,61
Miami-Ft. Lauderdale FL,61
Baltimore MD,61
Colorado Springs-Pueblo CO,60
Las Vegas NV,60
South Bend-Elkhart IN,60
Greenville-Spartanburg SC-Asheville NC-Anderson SC,60
West Palm Beach-Ft. Pierce FL,60
Kansas City MO,59
Orlando-Daytona Beach-Melbourne FL,59
Cincinnati OH,58
Waco-Temple-Bryan TX,58
Oklahoma City OK,58
Albuquerque-Santa Fe NM,56
Tampa-St. Petersburg (Sarasota) FL,56
New York NY,56
Tucson (Sierra Vista) AZ,56
Dallas-Ft. Worth TX,56
Washington DC (Hagerstown MD),55
Houston TX,55
Pittsburgh PA,55
Honolulu HI,55
Chicago IL,54
San Antonio TX,54
Syracuse NY,54
Providence RI-New Bedford MA,53
Ft. Myers-Naples FL,53
Denver CO,53
Milwaukee WI,52
Albany-Schenectady-Troy NY,52
Tulsa OK,52
Green Bay-Appleton WI,52
Omaha NE,52
Los Angeles CA,52
Minneapolis-St. Paul MN,52
Des Moines-Ames IA,52
Buffalo NY,52
Phoenix AZ,50
Rochester NY,50
Roanoke-Lynchburg VA,50
Hartford & New Haven CT,50
Nashville TN,48
Wilkes Barre-Scranton PA,48
Madison WI,47
Boston MA-Manchester NH,46
El Paso TX,46
Harrisburg-Lancaster-Lebanon-York PA,46
Portland-Auburn ME,46
Springfield-Holyoke MA,46
San Diego CA,44
Burlington VT-Plattsburgh NY,43
Harlingen-Weslaco-Brownsville-McAllen TX,41
Spokane WA,40
Seattle-Tacoma WA,40
Austin TX,38
San Francisco-Oakland-San Jose CA,36
Portland OR,35
Salt Lake City UT,33
Binghamton NY,0
Erie PA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for bow wow
Town/City,bow wow
Jackson,100
Detroit,99
Atlanta,85
Indianapolis,81
Philadelphia,81
Reston,79
Richardson,75
Columbus,74
St. Louis,73
Charlotte,69
Las Vegas,67
Miami,67
Washington,66
Tampa,62
Phoenix,61



Top searches for bow wow
lil bow wow,100
mike posner,80
lil wayne,55
chris brown,50
like you,25
soulja boy,25
ciara,20
new bow wow,20
omarion,15
bow wow omarion,15
girlfriend,15
bow wow girlfriend,15
bow wow freestyle,10
basketball bow wow,10
basketball,10
sweat bow wow,10
marco polo,10
romeo,10
bow wow instrumental,10
bow wow 2011,10
better bow wow,10
lil twist,5
shorty like mine,5
lil romeo,5
fresh azimiz,5
bow wow 2010,5
bowwow,5
bow wow 2012,5
bow wow interview,5



Rising searches for bow wow
mike posner,Breakout
sweat bow wow,Breakout
like you,+190%
lil wayne,+180%
basketball,+90%
basketball bow wow,+80%
lil bow wow,+60%
new bow wow,+60%
bow wow freestyle,+40%



