YouTube Search interest: ariana grande
United States; Jan 2008 - Jul 2015

Interest over time
Week,ariana grande
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,1
2010-07-25 - 2010-07-31,1
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,1
2010-08-15 - 2010-08-21,1
2010-08-22 - 2010-08-28,1
2010-08-29 - 2010-09-04,1
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,0
2010-10-31 - 2010-11-06,0
2010-11-07 - 2010-11-13,0
2010-11-14 - 2010-11-20,0
2010-11-21 - 2010-11-27,0
2010-11-28 - 2010-12-04,2
2010-12-05 - 2010-12-11,1
2010-12-12 - 2010-12-18,1
2010-12-19 - 2010-12-25,1
2010-12-26 - 2011-01-01,1
2011-01-02 - 2011-01-08,1
2011-01-09 - 2011-01-15,1
2011-01-16 - 2011-01-22,1
2011-01-23 - 2011-01-29,1
2011-01-30 - 2011-02-05,2
2011-02-06 - 2011-02-12,2
2011-02-13 - 2011-02-19,2
2011-02-20 - 2011-02-26,2
2011-02-27 - 2011-03-05,2
2011-03-06 - 2011-03-12,2
2011-03-13 - 2011-03-19,2
2011-03-20 - 2011-03-26,2
2011-03-27 - 2011-04-02,2
2011-04-03 - 2011-04-09,2
2011-04-10 - 2011-04-16,2
2011-04-17 - 2011-04-23,2
2011-04-24 - 2011-04-30,2
2011-05-01 - 2011-05-07,2
2011-05-08 - 2011-05-14,3
2011-05-15 - 2011-05-21,2
2011-05-22 - 2011-05-28,3
2011-05-29 - 2011-06-04,3
2011-06-05 - 2011-06-11,3
2011-06-12 - 2011-06-18,6
2011-06-19 - 2011-06-25,6
2011-06-26 - 2011-07-02,7
2011-07-03 - 2011-07-09,6
2011-07-10 - 2011-07-16,7
2011-07-17 - 2011-07-23,6
2011-07-24 - 2011-07-30,7
2011-07-31 - 2011-08-06,9
2011-08-07 - 2011-08-13,9
2011-08-14 - 2011-08-20,8
2011-08-21 - 2011-08-27,8
2011-08-28 - 2011-09-03,8
2011-09-04 - 2011-09-10,7
2011-09-11 - 2011-09-17,6
2011-09-18 - 2011-09-24,6
2011-09-25 - 2011-10-01,6
2011-10-02 - 2011-10-08,6
2011-10-09 - 2011-10-15,7
2011-10-16 - 2011-10-22,6
2011-10-23 - 2011-10-29,6
2011-10-30 - 2011-11-05,6
2011-11-06 - 2011-11-12,6
2011-11-13 - 2011-11-19,5
2011-11-20 - 2011-11-26,6
2011-11-27 - 2011-12-03,6
2011-12-04 - 2011-12-10,6
2011-12-11 - 2011-12-17,7
2011-12-18 - 2011-12-24,7
2011-12-25 - 2011-12-31,7
2012-01-01 - 2012-01-07,5
2012-01-08 - 2012-01-14,4
2012-01-15 - 2012-01-21,5
2012-01-22 - 2012-01-28,5
2012-01-29 - 2012-02-04,4
2012-02-05 - 2012-02-11,4
2012-02-12 - 2012-02-18,5
2012-02-19 - 2012-02-25,6
2012-02-26 - 2012-03-03,6
2012-03-04 - 2012-03-10,5
2012-03-11 - 2012-03-17,5
2012-03-18 - 2012-03-24,5
2012-03-25 - 2012-03-31,6
2012-04-01 - 2012-04-07,6
2012-04-08 - 2012-04-14,5
2012-04-15 - 2012-04-21,5
2012-04-22 - 2012-04-28,5
2012-04-29 - 2012-05-05,5
2012-05-06 - 2012-05-12,6
2012-05-13 - 2012-05-19,6
2012-05-20 - 2012-05-26,7
2012-05-27 - 2012-06-02,7
2012-06-03 - 2012-06-09,7
2012-06-10 - 2012-06-16,8
2012-06-17 - 2012-06-23,7
2012-06-24 - 2012-06-30,8
2012-07-01 - 2012-07-07,10
2012-07-08 - 2012-07-14,9
2012-07-15 - 2012-07-21,9
2012-07-22 - 2012-07-28,11
2012-07-29 - 2012-08-04,13
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,12
2012-08-19 - 2012-08-25,10
2012-08-26 - 2012-09-01,9
2012-09-02 - 2012-09-08,9
2012-09-09 - 2012-09-15,8
2012-09-16 - 2012-09-22,7
2012-09-23 - 2012-09-29,6
2012-09-30 - 2012-10-06,6
2012-10-07 - 2012-10-13,6
2012-10-14 - 2012-10-20,6
2012-10-21 - 2012-10-27,6
2012-10-28 - 2012-11-03,5
2012-11-04 - 2012-11-10,5
2012-11-11 - 2012-11-17,6
2012-11-18 - 2012-11-24,6
2012-11-25 - 2012-12-01,5
2012-12-02 - 2012-12-08,4
2012-12-09 - 2012-12-15,4
2012-12-16 - 2012-12-22,4
2012-12-23 - 2012-12-29,5
2012-12-30 - 2013-01-05,6
2013-01-06 - 2013-01-12,5
2013-01-13 - 2013-01-19,5
2013-01-20 - 2013-01-26,5
2013-01-27 - 2013-02-02,5
2013-02-03 - 2013-02-09,5
2013-02-10 - 2013-02-16,4
2013-02-17 - 2013-02-23,4
2013-02-24 - 2013-03-02,3
2013-03-03 - 2013-03-09,4
2013-03-10 - 2013-03-16,4
2013-03-17 - 2013-03-23,5
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,27
2013-04-14 - 2013-04-20,25
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,34
2013-05-05 - 2013-05-11,36
2013-05-12 - 2013-05-18,38
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,41
2013-06-02 - 2013-06-08,41
2013-06-09 - 2013-06-15,41
2013-06-16 - 2013-06-22,40
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,35
2013-07-07 - 2013-07-13,36
2013-07-14 - 2013-07-20,35
2013-07-21 - 2013-07-27,46
2013-07-28 - 2013-08-03,38
2013-08-04 - 2013-08-10,39
2013-08-11 - 2013-08-17,37
2013-08-18 - 2013-08-24,47
2013-08-25 - 2013-08-31,41
2013-09-01 - 2013-09-07,50
2013-09-08 - 2013-09-14,54
2013-09-15 - 2013-09-21,44
2013-09-22 - 2013-09-28,39
2013-09-29 - 2013-10-05,37
2013-10-06 - 2013-10-12,35
2013-10-13 - 2013-10-19,32
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,31
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,27
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,46
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,31
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,26
2013-12-29 - 2014-01-04,25
2014-01-05 - 2014-01-11,22
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,19
2014-01-26 - 2014-02-01,22
2014-02-02 - 2014-02-08,17
2014-02-09 - 2014-02-15,17
2014-02-16 - 2014-02-22,16
2014-02-23 - 2014-03-01,17
2014-03-02 - 2014-03-08,16
2014-03-09 - 2014-03-15,16
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,15
2014-03-30 - 2014-04-05,14
2014-04-06 - 2014-04-12,14
2014-04-13 - 2014-04-19,15
2014-04-20 - 2014-04-26,18
2014-04-27 - 2014-05-03,64
2014-05-04 - 2014-05-10,67
2014-05-11 - 2014-05-17,67
2014-05-18 - 2014-05-24,78
2014-05-25 - 2014-05-31,84
2014-06-01 - 2014-06-07,72
2014-06-08 - 2014-06-14,60
2014-06-15 - 2014-06-21,50
2014-06-22 - 2014-06-28,52
2014-06-29 - 2014-07-05,64
2014-07-06 - 2014-07-12,59
2014-07-13 - 2014-07-19,53
2014-07-20 - 2014-07-26,51
2014-07-27 - 2014-08-02,60
2014-08-03 - 2014-08-09,57
2014-08-10 - 2014-08-16,79
2014-08-17 - 2014-08-23,75
2014-08-24 - 2014-08-30,100
2014-08-31 - 2014-09-06,75
2014-09-07 - 2014-09-13,65
2014-09-14 - 2014-09-20,60
2014-09-21 - 2014-09-27,57
2014-09-28 - 2014-10-04,50
2014-10-05 - 2014-10-11,46
2014-10-12 - 2014-10-18,43
2014-10-19 - 2014-10-25,45
2014-10-26 - 2014-11-01,44
2014-11-02 - 2014-11-08,61
2014-11-09 - 2014-11-15,51
2014-11-16 - 2014-11-22,45
2014-11-23 - 2014-11-29,58
2014-11-30 - 2014-12-06,54
2014-12-07 - 2014-12-13,52
2014-12-14 - 2014-12-20,54
2014-12-21 - 2014-12-27,52
2014-12-28 - 2015-01-03,42
2015-01-04 - 2015-01-10,34
2015-01-11 - 2015-01-17,33
2015-01-18 - 2015-01-24,31
2015-01-25 - 2015-01-31,26
2015-02-01 - 2015-02-07,27
2015-02-08 - 2015-02-14,33
2015-02-15 - 2015-02-21,41
2015-02-22 - 2015-02-28,35
2015-03-01 - 2015-03-07,34
2015-03-08 - 2015-03-14,30
2015-03-15 - 2015-03-21,31
2015-03-22 - 2015-03-28,39
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,34
2015-04-12 - 2015-04-18,33
2015-04-19 - 2015-04-25,30
2015-04-26 - 2015-05-02,26
2015-05-03 - 2015-05-09,27
2015-05-10 - 2015-05-16,29
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,25
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,23
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,20
2015-06-28 - 2015-07-04,20
2015-07-05 - 2015-07-11,29
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,18


Top sub-regions for ariana grande
Sub-region,ariana grande
Hawaii,100
New Jersey,84
Delaware,83
New York,81
Arizona,80
Nevada,78
California,77
Maryland,77
Florida,76
Rhode Island,76
Pennsylvania,74
New Mexico,72
Massachusetts,70
North Carolina,70
Connecticut,68
Texas,68
Michigan,67
Wisconsin,67
Ohio,67
Iowa,66
South Carolina,66
Indiana,66
Georgia,62
Louisiana,62
Nebraska,62
Kansas,61
Illinois,61
Colorado,59
Alabama,58
Minnesota,58
Kentucky,58
Washington,57
West Virginia,57
Utah,57
Tennessee,57
South Dakota,56
Oklahoma,56
Idaho,56
Maine,55
New Hampshire,55
Arkansas,54
Missouri,53
North Dakota,51
Mississippi,51
Oregon,48
Montana,47
Vermont,44
Wyoming,42
Virginia,41
Alaska,39
District of Columbia,29


Top metros for ariana grande
Metro,ariana grande
Harlingen-Weslaco-Brownsville-McAllen TX,100
Honolulu HI,98
Fresno-Visalia CA,94
Bakersfield CA,92
New York NY,88
Ft. Myers-Naples FL,82
Providence RI-New Bedford MA,81
Los Angeles CA,81
Sioux City IA,79
Las Vegas NV,78
Sacramento-Stockton-Modesto CA,78
Monterey-Salinas CA,77
Phoenix AZ,76
Philadelphia PA,75
San Diego CA,74
Cincinnati OH,73
Tucson (Sierra Vista) AZ,73
Tulsa OK,73
Davenport IA-Rock Island-Moline IL,73
Tampa-St. Petersburg (Sarasota) FL,73
Buffalo NY,71
West Palm Beach-Ft. Pierce FL,71
San Antonio TX,70
Greenville-Spartanburg SC-Asheville NC-Anderson SC,70
Charlotte NC,70
Youngstown OH,70
Houston TX,69
Flint-Saginaw-Bay City MI,69
Greenville-New Bern-Washington NC,69
Milwaukee WI,69
Baton Rouge LA,69
Miami-Ft. Lauderdale FL,69
Lafayette LA,69
Norfolk-Portsmouth-Newport News VA,68
Orlando-Daytona Beach-Melbourne FL,68
Greensboro-High Point-Winston Salem NC,68
Harrisburg-Lancaster-Lebanon-York PA,68
Boston MA-Manchester NH,68
Detroit MI,68
Florence-Myrtle Beach SC,67
El Paso TX,67
Grand Rapids-Kalamazoo-Battle Creek MI,67
Albuquerque-Santa Fe NM,67
Waco-Temple-Bryan TX,66
Syracuse NY,66
Indianapolis IN,66
Cleveland-Akron (Canton) OH,66
Palm Springs CA,65
Raleigh-Durham (Fayetteville) NC,65
Green Bay-Appleton WI,64
Albany-Schenectady-Troy NY,64
Columbus GA,64
New Orleans LA,64
Wichita-Hutchinson KS,63
Omaha NE,63
Savannah GA,63
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,63
Baltimore MD,62
Hartford & New Haven CT,62
Wilkes Barre-Scranton PA,62
Colorado Springs-Pueblo CO,62
Richmond-Petersburg VA,62
Dayton OH,62
Peoria-Bloomington IL,61
Yakima-Pasco-Richland-Kennewick WA,61
Pittsburgh PA,61
Jacksonville FL,61
Charleston SC,61
Ft. Wayne IN,60
Minneapolis-St. Paul MN,60
Corpus Christi TX,60
Columbia SC,60
Santa Barbara-Santa Maria-San Luis Obispo CA,60
Atlanta GA,60
Chattanooga TN,59
South Bend-Elkhart IN,59
Toledo OH,58
Des Moines-Ames IA,58
Denver CO,58
Springfield-Holyoke MA,58
Huntsville-Decatur (Florence) AL,58
Salt Lake City UT,57
Tallahassee FL-Thomasville GA,57
Reno NV,57
Lincoln & Hastings-Kearney NE,57
Seattle-Tacoma WA,56
Augusta GA,56
Macon GA,56
Mobile AL-Pensacola (Ft. Walton Beach) FL,56
Burlington VT-Plattsburgh NY,56
Lansing MI,56
Kansas City MO,56
Champaign & Springfield-Decatur IL,56
Boise ID,55
Charleston-Huntington WV,55
Columbus OH,55
Madison WI,55
Roanoke-Lynchburg VA,55
Knoxville TN,54
Chicago IL,54
Johnstown-Altoona PA,54
Nashville TN,54
Ft. Smith-Fayetteville-Springdale-Rogers AR,54
Lexington KY,54
La Crosse-Eau Claire WI,53
Austin TX,53
Portland-Auburn ME,53
Spokane WA,52
Louisville KY,51
Little Rock-Pine Bluff AR,51
Dallas-Ft. Worth TX,50
Memphis TN,50
St. Louis MO,50
Portland OR,50
Birmingham AL,49
Tyler-Longview(Lufkin & Nacogdoches) TX,49
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,48
Rochester NY,47
Oklahoma City OK,46
San Francisco-Oakland-San Jose CA,46
Shreveport LA,46
Eugene OR,45
Springfield MO,45
Sioux Falls(Mitchell) SD,43
Washington DC (Hagerstown MD),39
Binghamton NY,0
Erie PA,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for ariana grande
Town/City,ariana grande
San Jose,100
New York,96
Tucson,85
Honolulu,81
Philadelphia,75
San Antonio,73
San Diego,72
Houston,69
Los Angeles,66
Phoenix,63
Las Vegas,61
Denver,56
Boston,55
Chicago,45
San Francisco,44



Top searches for ariana grande
ariana grande lyrics,100
the way,85
problem ariana grande,70
problem,65
mac miller,60
break free,25
love me harder,20
bang bang,15
baby i,15
ariana grande live,15
iggy azalea,15
ariana grande songs,15
selena gomez,10
ariana grande cover,10
ariana grande singing,10
ariana grande grenade,10
demi lovato,10
grenade,10
victorious,10
fancy,10
fancy iggy azalea,5
ariana grande interview,5
ariana grande album,5
victoria justice,5
ariana grande emotions,5
piano ariana grande,5
fifth harmony,5
cher lloyd,5
ariana grande makeup,5
elizabeth gillies,5
ariana grande impressions,5
ariana grande acoustic,5
becky g,5
ariana grande boyfriend,5
nicki minaj anaconda,5
austin mahone,5
meghan trainor,0
last christmas,0
blank space,0
ariana grande vevo,0



Rising searches for ariana grande
ariana grande live,Breakout
ariana grande lyrics,Breakout
baby i,Breakout
bang bang,Breakout
break free,Breakout
iggy azalea,Breakout
love me harder,Breakout
mac miller,Breakout
problem,Breakout
problem ariana grande,Breakout



