YouTube Search interest: birdman
United States; Jan 2008 - Jul 2015

Interest over time
Week,birdman
2014-05-25 - 2014-05-31,17
2014-06-01 - 2014-06-07,16
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,21
2014-07-06 - 2014-07-12,18
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,18
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,22
2014-08-10 - 2014-08-16,20
2014-08-17 - 2014-08-23,18
2014-08-24 - 2014-08-30,20
2014-08-31 - 2014-09-06,19
2014-09-07 - 2014-09-13,14
2014-09-14 - 2014-09-20,15
2014-09-21 - 2014-09-27,16
2014-09-28 - 2014-10-04,18
2014-10-05 - 2014-10-11,19
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,31
2014-10-26 - 2014-11-01,26
2014-11-02 - 2014-11-08,26
2014-11-09 - 2014-11-15,28
2014-11-16 - 2014-11-22,25
2014-11-23 - 2014-11-29,23
2014-11-30 - 2014-12-06,20
2014-12-07 - 2014-12-13,28
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,27
2015-01-04 - 2015-01-10,32
2015-01-11 - 2015-01-17,55
2015-01-18 - 2015-01-24,40
2015-01-25 - 2015-01-31,41
2015-02-01 - 2015-02-07,35
2015-02-08 - 2015-02-14,34
2015-02-15 - 2015-02-21,36
2015-02-22 - 2015-02-28,100
2015-03-01 - 2015-03-07,35
2015-03-08 - 2015-03-14,25
2015-03-15 - 2015-03-21,21
2015-03-22 - 2015-03-28,22
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,19
2015-04-12 - 2015-04-18,17
2015-04-19 - 2015-04-25,16
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,15
2015-05-10 - 2015-05-16,14
2015-05-17 - 2015-05-23,15
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,15
2015-06-07 - 2015-06-13,15
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,13
2015-07-12 - 2015-07-18,25
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,20


Top sub-regions for birdman
Sub-region,birdman
Louisiana,100
Mississippi,85
Alabama,67
Georgia,67
South Carolina,64
Florida,62
District of Columbia,61
Maryland,56
North Carolina,54
Michigan,54
Texas,54
Tennessee,51
New York,48
Ohio,48
Arkansas,48
Kentucky,48
Missouri,47
Illinois,46
Indiana,46
Pennsylvania,42
New Jersey,42
Delaware,41
Wisconsin,41
Massachusetts,40
New Mexico,39
Vermont,39
Oklahoma,39
Connecticut,38
Virginia,37
Arizona,37
Rhode Island,37
West Virginia,36
Colorado,35
Kansas,35
Minnesota,34
Nevada,33
California,33
South Dakota,32
Iowa,32
Nebraska,32
North Dakota,31
New Hampshire,31
Washington,30
Maine,30
Wyoming,28
Alaska,28
Hawaii,25
Montana,24
Idaho,24
Oregon,23
Utah,21


Top metros for birdman
Metro,birdman
New Orleans LA,100
Baton Rouge LA,90
Jackson MS,89
Columbia SC,73
Memphis TN,67
Mobile AL-Pensacola (Ft. Walton Beach) FL,63
Miami-Ft. Lauderdale FL,62
Birmingham AL,60
West Palm Beach-Ft. Pierce FL,54
Jacksonville FL,53
Raleigh-Durham (Fayetteville) NC,53
Atlanta GA,53
Detroit MI,52
San Antonio TX,51
Orlando-Daytona Beach-Melbourne FL,51
Houston TX,50
Baltimore MD,50
Greensboro-High Point-Winston Salem NC,49
Norfolk-Portsmouth-Newport News VA,48
Richmond-Petersburg VA,48
Philadelphia PA,48
Columbus OH,46
Dallas-Ft. Worth TX,46
Tampa-St. Petersburg (Sarasota) FL,45
Louisville KY,45
Cleveland-Akron (Canton) OH,44
Greenville-Spartanburg SC-Asheville NC-Anderson SC,44
St. Louis MO,44
Chicago IL,42
Charlotte NC,42
New York NY,42
Albany-Schenectady-Troy NY,41
Oklahoma City OK,41
Washington DC (Hagerstown MD),41
Milwaukee WI,39
Indianapolis IN,38
Cincinnati OH,38
Kansas City MO,38
Boston MA-Manchester NH,38
Nashville TN,37
Austin TX,36
Denver CO,35
Providence RI-New Bedford MA,34
Pittsburgh PA,33
Hartford & New Haven CT,32
Los Angeles CA,32
Phoenix AZ,30
Minneapolis-St. Paul MN,30
Sacramento-Stockton-Modesto CA,28
Las Vegas NV,28
San Diego CA,27
Seattle-Tacoma WA,26
Portland OR,22
San Francisco-Oakland-San Jose CA,21
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for birdman
Town/City,birdman
New Orleans,100
Jackson,74
Memphis,72
Detroit,66
Miami,61
Baltimore,61
Atlanta,60
Houston,51
Reston,51
St. Louis,51
Orlando,50
Tampa,50
Washington,50
Richardson,50
Dallas,48



Top searches for birdman
lil wayne,100
lil wayne birdman,100
the birdman,40
drake birdman,30
birdman money,30
tapout,15
tapout birdman,15
fire flame birdman,15
fire flame,15
new birdman,10
birdman loyalty,5
birdman cartoon,5
birdman ft drake,5
4 my town,5
i run this,5
birdman trailer,5
lil wayne cartoon,5
birdman pop bottles,5
pop bottles,5
birdman 2011,5
birdman 100 million,5
100 million,5
i get money,5
birdman interview,5
harvey birdman,5
birdman always strapped,5
money to blow,5
birdman 2010,5
always strapped,5
y u mad,5
bird man,5
birdman 2012,0
birdman 2013,0



Rising searches for birdman
drake birdman,Breakout
fire flame,Breakout
fire flame birdman,Breakout
tapout,Breakout
tapout birdman,Breakout
birdman money,+400%
rick ross,+200%
the birdman,+110%
new birdman,+90%
lil wayne birdman,+80%



