YouTube Search interest: jennifer lopez
United States; Jan 2008 - Jul 2015

Interest over time
Week,jennifer lopez
2015-01-04 - 2015-01-10,11
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,10
2015-02-01 - 2015-02-07,8
2015-02-08 - 2015-02-14,8
2015-02-15 - 2015-02-21,8
2015-02-22 - 2015-02-28,8
2015-03-01 - 2015-03-07,7
2015-03-08 - 2015-03-14,7
2015-03-15 - 2015-03-21,9
2015-03-22 - 2015-03-28,10
2015-03-29 - 2015-04-04,9
2015-04-05 - 2015-04-11,9
2015-04-12 - 2015-04-18,8
2015-04-19 - 2015-04-25,8
2015-04-26 - 2015-05-02,16
2015-05-03 - 2015-05-09,10
2015-05-10 - 2015-05-16,9
2015-05-17 - 2015-05-23,9
2015-05-24 - 2015-05-30,8
2015-05-31 - 2015-06-06,8
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,8
2015-06-21 - 2015-06-27,7
2015-06-28 - 2015-07-04,8
2015-07-05 - 2015-07-11,6
2015-07-12 - 2015-07-18,7
2015-07-19 - 2015-07-25,6
2015-07-26 - 2015-08-01,8


Top sub-regions for jennifer lopez
Sub-region,jennifer lopez
Florida,100
New York,100
New Jersey,89
New Mexico,81
California,81
Texas,81
Connecticut,76
Rhode Island,75
Illinois,74
Arizona,74
Massachusetts,74
Nevada,72
Pennsylvania,64
Maryland,63
North Carolina,61
Georgia,59
Utah,58
Colorado,58
Delaware,58
Wisconsin,57
Michigan,55
District of Columbia,55
Hawaii,55
Minnesota,55
Iowa,55
Virginia,54
Oregon,54
New Hampshire,54
Louisiana,54
Indiana,54
South Dakota,53
Ohio,53
Kansas,52
North Dakota,52
South Carolina,52
West Virginia,51
Maine,51
Washington,51
Idaho,50
Nebraska,50
Oklahoma,49
Kentucky,49
Arkansas,48
Missouri,48
Montana,48
Tennessee,48
Wyoming,47
Alabama,47
Mississippi,45
Alaska,42
Vermont,42


Top metros for jennifer lopez
Metro,jennifer lopez
Miami-Ft. Lauderdale FL,100
Harlingen-Weslaco-Brownsville-McAllen TX,92
El Paso TX,91
New York NY,80
Ft. Myers-Naples FL,71
San Antonio TX,68
Los Angeles CA,68
West Palm Beach-Ft. Pierce FL,68
Bakersfield CA,66
San Diego CA,62
Albuquerque-Santa Fe NM,62
Providence RI-New Bedford MA,62
Fresno-Visalia CA,61
Tampa-St. Petersburg (Sarasota) FL,61
Chicago IL,61
Orlando-Daytona Beach-Melbourne FL,61
Monterey-Salinas CA,60
Hartford & New Haven CT,60
Las Vegas NV,59
Tucson (Sierra Vista) AZ,58
Santa Barbara-Santa Maria-San Luis Obispo CA,57
Boston MA-Manchester NH,57
Houston TX,56
Phoenix AZ,55
Reno NV,55
Sacramento-Stockton-Modesto CA,53
Wichita-Hutchinson KS,52
South Bend-Elkhart IN,51
Philadelphia PA,51
Springfield-Holyoke MA,51
Dallas-Ft. Worth TX,50
Wilkes Barre-Scranton PA,49
Buffalo NY,49
Green Bay-Appleton WI,47
Raleigh-Durham (Fayetteville) NC,47
Portland OR,47
Denver CO,46
Salt Lake City UT,46
Washington DC (Hagerstown MD),46
Detroit MI,46
Milwaukee WI,46
Dayton OH,45
Atlanta GA,45
Charlotte NC,45
Austin TX,45
Portland-Auburn ME,44
Norfolk-Portsmouth-Newport News VA,44
Boise ID,44
New Orleans LA,44
Syracuse NY,44
Harrisburg-Lancaster-Lebanon-York PA,43
Greensboro-High Point-Winston Salem NC,43
Honolulu HI,43
Jacksonville FL,42
Minneapolis-St. Paul MN,42
Spokane WA,42
Columbia SC,42
Colorado Springs-Pueblo CO,42
Waco-Temple-Bryan TX,42
San Francisco-Oakland-San Jose CA,42
Grand Rapids-Kalamazoo-Battle Creek MI,41
Columbus OH,41
Louisville KY,41
Omaha NE,41
Albany-Schenectady-Troy NY,40
Tulsa OK,40
Toledo OH,40
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,40
Richmond-Petersburg VA,40
Indianapolis IN,40
Cincinnati OH,40
Cleveland-Akron (Canton) OH,39
Seattle-Tacoma WA,39
Kansas City MO,39
Lexington KY,38
Baltimore MD,38
Greenville-Spartanburg SC-Asheville NC-Anderson SC,38
Pittsburgh PA,38
Rochester NY,37
Burlington VT-Plattsburgh NY,36
Nashville TN,35
St. Louis MO,35
Flint-Saginaw-Bay City MI,35
Oklahoma City OK,34
Memphis TN,34
Des Moines-Ames IA,33
Mobile AL-Pensacola (Ft. Walton Beach) FL,33
Birmingham AL,33
Madison WI,32
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for jennifer lopez
Town/City,jennifer lopez
Hialeah,100
New York,46
Miami,43
San Antonio,39
Los Angeles,37
Houston,35
Las Vegas,34
Albuquerque,34
Chicago,31
Phoenix,30
Orlando,30
San Diego,29
Philadelphia,27
San Jose,27
Dallas,26



Top searches for jennifer lopez
floor jennifer lopez,100
on the floor,100
jennifer lopez lyrics,55
jennifer lopez pitbull,40
pitbull,40
dance again,25
im into you,20
jennifer lopez papi,15
papi,15
jennifer lopez live,15
jennifer lopez songs,10
shakira,10
britney spears,10
all i have,10
booty jennifer lopez,5
ll cool j,5
ja rule,5
jennifer lopez dancing,5
iggy azalea,5
wisin y yandel,5
jlo,5
jenifer lopez,5
mark anthony,5
marc anthony,5
jennifer lopez ama,5
j lo,5
jennifer lopez interview,5
jennifer hudson,0
jennifer lopez louboutins,0



Rising searches for jennifer lopez
dance again,Breakout
floor jennifer lopez,Breakout
im into you,Breakout
jennifer lopez papi,Breakout
jennifer lopez pitbull,Breakout
on the floor,Breakout
papi,Breakout
pitbull,Breakout
jennifer lopez lyrics,+3,600%
jennifer lopez live,+60%



