YouTube Search interest: three days grace
United States; Jan 2008 - Jul 2015

Interest over time
Week,three days grace
2011-05-15 - 2011-05-21,75
2011-05-22 - 2011-05-28,70
2011-05-29 - 2011-06-04,70
2011-06-05 - 2011-06-11,75
2011-06-12 - 2011-06-18,76
2011-06-19 - 2011-06-25,69
2011-06-26 - 2011-07-02,70
2011-07-03 - 2011-07-09,71
2011-07-10 - 2011-07-16,75
2011-07-17 - 2011-07-23,71
2011-07-24 - 2011-07-30,75
2011-07-31 - 2011-08-06,78
2011-08-07 - 2011-08-13,71
2011-08-14 - 2011-08-20,71
2011-08-21 - 2011-08-27,73
2011-08-28 - 2011-09-03,69
2011-09-04 - 2011-09-10,70
2011-09-11 - 2011-09-17,68
2011-09-18 - 2011-09-24,71
2011-09-25 - 2011-10-01,71
2011-10-02 - 2011-10-08,68
2011-10-09 - 2011-10-15,63
2011-10-16 - 2011-10-22,61
2011-10-23 - 2011-10-29,62
2011-10-30 - 2011-11-05,60
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,57
2011-11-20 - 2011-11-26,56
2011-11-27 - 2011-12-03,60
2011-12-04 - 2011-12-10,58
2011-12-11 - 2011-12-17,56
2011-12-18 - 2011-12-24,54
2011-12-25 - 2011-12-31,53
2012-01-01 - 2012-01-07,53
2012-01-08 - 2012-01-14,53
2012-01-15 - 2012-01-21,52
2012-01-22 - 2012-01-28,52
2012-01-29 - 2012-02-04,53
2012-02-05 - 2012-02-11,51
2012-02-12 - 2012-02-18,46
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,50
2012-03-04 - 2012-03-10,50
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,50
2012-03-25 - 2012-03-31,47
2012-04-01 - 2012-04-07,50
2012-04-08 - 2012-04-14,48
2012-04-15 - 2012-04-21,49
2012-04-22 - 2012-04-28,46
2012-04-29 - 2012-05-05,48
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,48
2012-05-20 - 2012-05-26,49
2012-05-27 - 2012-06-02,48
2012-06-03 - 2012-06-09,51
2012-06-10 - 2012-06-16,51
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,47
2012-07-01 - 2012-07-07,46
2012-07-08 - 2012-07-14,47
2012-07-15 - 2012-07-21,44
2012-07-22 - 2012-07-28,43
2012-07-29 - 2012-08-04,43
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,55
2012-08-19 - 2012-08-25,55
2012-08-26 - 2012-09-01,55
2012-09-02 - 2012-09-08,55
2012-09-09 - 2012-09-15,53
2012-09-16 - 2012-09-22,52
2012-09-23 - 2012-09-29,55
2012-09-30 - 2012-10-06,73
2012-10-07 - 2012-10-13,73
2012-10-14 - 2012-10-20,63
2012-10-21 - 2012-10-27,55
2012-10-28 - 2012-11-03,59
2012-11-04 - 2012-11-10,56
2012-11-11 - 2012-11-17,56
2012-11-18 - 2012-11-24,52
2012-11-25 - 2012-12-01,53
2012-12-02 - 2012-12-08,49
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,55
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,48
2013-01-06 - 2013-01-12,53
2013-01-13 - 2013-01-19,57
2013-01-20 - 2013-01-26,52
2013-01-27 - 2013-02-02,53
2013-02-03 - 2013-02-09,50
2013-02-10 - 2013-02-16,51
2013-02-17 - 2013-02-23,50
2013-02-24 - 2013-03-02,49
2013-03-03 - 2013-03-09,51
2013-03-10 - 2013-03-16,52
2013-03-17 - 2013-03-23,52
2013-03-24 - 2013-03-30,51
2013-03-31 - 2013-04-06,51
2013-04-07 - 2013-04-13,51
2013-04-14 - 2013-04-20,50
2013-04-21 - 2013-04-27,52
2013-04-28 - 2013-05-04,47
2013-05-05 - 2013-05-11,50
2013-05-12 - 2013-05-18,51
2013-05-19 - 2013-05-25,49
2013-05-26 - 2013-06-01,47
2013-06-02 - 2013-06-08,46
2013-06-09 - 2013-06-15,43
2013-06-16 - 2013-06-22,40
2013-06-23 - 2013-06-29,44
2013-06-30 - 2013-07-06,46
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,42
2013-07-21 - 2013-07-27,40
2013-07-28 - 2013-08-03,41
2013-08-04 - 2013-08-10,40
2013-08-11 - 2013-08-17,42
2013-08-18 - 2013-08-24,41
2013-08-25 - 2013-08-31,37
2013-09-01 - 2013-09-07,39
2013-09-08 - 2013-09-14,42
2013-09-15 - 2013-09-21,41
2013-09-22 - 2013-09-28,40
2013-09-29 - 2013-10-05,44
2013-10-06 - 2013-10-12,40
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,38
2013-10-27 - 2013-11-02,40
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,37
2013-11-17 - 2013-11-23,39
2013-11-24 - 2013-11-30,35
2013-12-01 - 2013-12-07,36
2013-12-08 - 2013-12-14,36
2013-12-15 - 2013-12-21,38
2013-12-22 - 2013-12-28,35
2013-12-29 - 2014-01-04,31
2014-01-05 - 2014-01-11,31
2014-01-12 - 2014-01-18,36
2014-01-19 - 2014-01-25,35
2014-01-26 - 2014-02-01,34
2014-02-02 - 2014-02-08,35
2014-02-09 - 2014-02-15,32
2014-02-16 - 2014-02-22,33
2014-02-23 - 2014-03-01,34
2014-03-02 - 2014-03-08,35
2014-03-09 - 2014-03-15,34
2014-03-16 - 2014-03-22,31
2014-03-23 - 2014-03-29,33
2014-03-30 - 2014-04-05,44
2014-04-06 - 2014-04-12,37
2014-04-13 - 2014-04-19,35
2014-04-20 - 2014-04-26,37
2014-04-27 - 2014-05-03,39
2014-05-04 - 2014-05-10,36
2014-05-11 - 2014-05-17,35
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,33
2014-06-01 - 2014-06-07,36
2014-06-08 - 2014-06-14,36
2014-06-15 - 2014-06-21,35
2014-06-22 - 2014-06-28,35
2014-06-29 - 2014-07-05,34
2014-07-06 - 2014-07-12,39
2014-07-13 - 2014-07-19,33
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,33
2014-08-03 - 2014-08-09,30
2014-08-10 - 2014-08-16,33
2014-08-17 - 2014-08-23,28
2014-08-24 - 2014-08-30,31
2014-08-31 - 2014-09-06,30
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,33
2014-09-21 - 2014-09-27,32
2014-09-28 - 2014-10-04,37
2014-10-05 - 2014-10-11,33
2014-10-12 - 2014-10-18,31
2014-10-19 - 2014-10-25,37
2014-10-26 - 2014-11-01,34
2014-11-02 - 2014-11-08,36
2014-11-09 - 2014-11-15,37
2014-11-16 - 2014-11-22,30
2014-11-23 - 2014-11-29,31
2014-11-30 - 2014-12-06,30
2014-12-07 - 2014-12-13,35
2014-12-14 - 2014-12-20,34
2014-12-21 - 2014-12-27,33
2014-12-28 - 2015-01-03,29
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,32
2015-01-18 - 2015-01-24,33
2015-01-25 - 2015-01-31,35
2015-02-01 - 2015-02-07,32
2015-02-08 - 2015-02-14,34
2015-02-15 - 2015-02-21,33
2015-02-22 - 2015-02-28,35
2015-03-01 - 2015-03-07,30
2015-03-08 - 2015-03-14,33
2015-03-15 - 2015-03-21,32
2015-03-22 - 2015-03-28,35
2015-03-29 - 2015-04-04,51
2015-04-05 - 2015-04-11,46
2015-04-12 - 2015-04-18,37
2015-04-19 - 2015-04-25,39
2015-04-26 - 2015-05-02,38
2015-05-03 - 2015-05-09,37
2015-05-10 - 2015-05-16,37
2015-05-17 - 2015-05-23,39
2015-05-24 - 2015-05-30,40
2015-05-31 - 2015-06-06,33
2015-06-07 - 2015-06-13,32
2015-06-14 - 2015-06-20,31
2015-06-21 - 2015-06-27,28
2015-06-28 - 2015-07-04,30
2015-07-05 - 2015-07-11,28
2015-07-12 - 2015-07-18,28
2015-07-19 - 2015-07-25,32
2015-07-26 - 2015-08-01,25


Top sub-regions for three days grace
Sub-region,three days grace
South Dakota,100
Wyoming,94
Iowa,91
Maine,90
West Virginia,87
North Dakota,85
Missouri,84
Kentucky,83
Indiana,83
Montana,81
Oklahoma,80
Kansas,79
Ohio,78
Idaho,78
Arkansas,76
Nebraska,73
Wisconsin,73
Michigan,71
Tennessee,68
Pennsylvania,64
New Mexico,64
New Hampshire,62
Colorado,61
Alabama,60
Alaska,60
Louisiana,59
South Carolina,59
Vermont,59
North Carolina,58
Minnesota,58
Texas,57
Utah,56
Mississippi,54
Arizona,54
Washington,51
Florida,51
Georgia,50
Illinois,50
Nevada,49
Oregon,46
Connecticut,43
Virginia,42
Delaware,41
Massachusetts,41
Rhode Island,40
Maryland,39
New York,39
New Jersey,38
District of Columbia,35
California,33
Hawaii,20


Top metros for three days grace
Metro,three days grace
Minot-Bismarck-Dickinson(Williston) ND,100
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,81
Wausau-Rhinelander WI,81
Flint-Saginaw-Bay City MI,79
Youngstown OH,78
Springfield MO,76
Wilkes Barre-Scranton PA,75
Sioux Falls(Mitchell) SD,73
Portland-Auburn ME,72
Davenport IA-Rock Island-Moline IL,71
La Crosse-Eau Claire WI,69
Topeka KS,69
Kansas City MO,69
Peoria-Bloomington IL,68
Ft. Wayne IN,68
Tri-Cities TN-VA,68
Charleston-Huntington WV,67
Des Moines-Ames IA,66
Dayton OH,65
Wichita-Hutchinson KS,63
Little Rock-Pine Bluff AR,63
Louisville KY,62
Johnstown-Altoona PA,62
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,61
Spokane WA,61
Lexington KY,61
Green Bay-Appleton WI,60
Syracuse NY,60
Cincinnati OH,60
St. Louis MO,59
Boise ID,59
Chattanooga TN,59
Huntsville-Decatur (Florence) AL,59
South Bend-Elkhart IN,58
Fargo-Valley City ND,58
Anchorage AK,57
Colorado Springs-Pueblo CO,57
Tulsa OK,57
Reno NV,56
Grand Rapids-Kalamazoo-Battle Creek MI,56
Indianapolis IN,56
Omaha NE,56
Greenville-Spartanburg SC-Asheville NC-Anderson SC,55
Cleveland-Akron (Canton) OH,55
Oklahoma City OK,55
Mobile AL-Pensacola (Ft. Walton Beach) FL,55
Champaign & Springfield-Decatur IL,54
Columbus OH,54
Harrisburg-Lancaster-Lebanon-York PA,53
Knoxville TN,52
Toledo OH,52
Lincoln & Hastings-Kearney NE,52
Lansing MI,51
Buffalo NY,51
Albany-Schenectady-Troy NY,50
Pittsburgh PA,50
Greensboro-High Point-Winston Salem NC,49
Birmingham AL,48
Tampa-St. Petersburg (Sarasota) FL,48
Eugene OR,47
San Antonio TX,47
Ft. Smith-Fayetteville-Springdale-Rogers AR,47
Madison WI,46
Nashville TN,46
New Orleans LA,46
Shreveport LA,46
Jacksonville FL,46
Burlington VT-Plattsburgh NY,45
Salt Lake City UT,44
Detroit MI,44
Minneapolis-St. Paul MN,43
Charlotte NC,43
Denver CO,43
Albuquerque-Santa Fe NM,42
Milwaukee WI,42
Rochester NY,41
Waco-Temple-Bryan TX,41
Ft. Myers-Naples FL,41
Roanoke-Lynchburg VA,40
El Paso TX,40
Dallas-Ft. Worth TX,40
Tucson (Sierra Vista) AZ,39
Norfolk-Portsmouth-Newport News VA,39
Phoenix AZ,39
Columbia SC,39
Orlando-Daytona Beach-Melbourne FL,39
Houston TX,38
Raleigh-Durham (Fayetteville) NC,37
Jackson MS,37
Springfield-Holyoke MA,36
Richmond-Petersburg VA,36
Fresno-Visalia CA,36
Sacramento-Stockton-Modesto CA,36
Hartford & New Haven CT,36
Las Vegas NV,35
Philadelphia PA,35
Memphis TN,35
Seattle-Tacoma WA,34
Boston MA-Manchester NH,34
West Palm Beach-Ft. Pierce FL,33
Harlingen-Weslaco-Brownsville-McAllen TX,33
Baltimore MD,32
Providence RI-New Bedford MA,32
Atlanta GA,32
Chicago IL,32
Portland OR,32
Washington DC (Hagerstown MD),30
Los Angeles CA,26
Austin TX,25
Miami-Ft. Lauderdale FL,25
San Diego CA,25
New York NY,24
San Francisco-Oakland-San Jose CA,18
Honolulu HI,17
Binghamton NY,0
Macon GA,0
Savannah GA,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for three days grace
Town/City,three days grace
St. Louis,100
Indianapolis,92
Oklahoma City,91
Herndon,87
Louisville,87
Richardson,83
Columbus,81
Phoenix,75
Tampa,74
San Antonio,74
Denver,72
Orlando,72
Reston,70
Atlanta,66
Houston,64



Top searches for three days grace
pain,100
never too late,90
riot,75
break,70
i hate you,45
breaking benjamin,40
lost in you,35
so cold,35
linkin park,35
three day grace,30
3 days grace,30
time of dying,30
world so cold,30
skillet,25
good life,25
over and over,25
just like you,20
gone forever,20
seether,20
papa roach,20
three doors down,20
the good life,20
never to late,20
disturbed,15
last to know,15
avenged sevenfold,15
shinedown,15
get out alive,15
let it die,10
3 doors down,10
rise against,10
hinder,10
skillet monster,10
last resort,10
godsmack,5
trapt,5
chevelle,5
on my own,5
headstrong,5
diary of jane,5
crossfade,5
apocalyptica,5



Rising searches for three days grace
good life,Breakout
lost in you,Breakout
world so cold,Breakout
break,+2,750%
so cold,+900%
skillet,+400%
time of dying,+160%
i hate you,+130%
never too late,+130%
over and over,+70%



