YouTube Search interest: katy perry
United States; Jan 2008 - Jul 2015

Interest over time
Week,katy perry
2009-03-22 - 2009-03-28,20
2009-03-29 - 2009-04-04,10
2009-04-05 - 2009-04-11,15
2009-04-12 - 2009-04-18,14
2009-04-19 - 2009-04-25,14
2009-04-26 - 2009-05-02,14
2009-05-03 - 2009-05-09,13
2009-05-10 - 2009-05-16,15
2009-05-17 - 2009-05-23,16
2009-05-24 - 2009-05-30,15
2009-05-31 - 2009-06-06,16
2009-06-07 - 2009-06-13,16
2009-06-14 - 2009-06-20,16
2009-06-21 - 2009-06-27,14
2009-06-28 - 2009-07-04,13
2009-07-05 - 2009-07-11,11
2009-07-12 - 2009-07-18,12
2009-07-19 - 2009-07-25,12
2009-07-26 - 2009-08-01,12
2009-08-02 - 2009-08-08,11
2009-08-09 - 2009-08-15,11
2009-08-16 - 2009-08-22,10
2009-08-23 - 2009-08-29,8
2009-08-30 - 2009-09-05,9
2009-09-06 - 2009-09-12,8
2009-09-13 - 2009-09-19,10
2009-09-20 - 2009-09-26,10
2009-09-27 - 2009-10-03,9
2009-10-04 - 2009-10-10,8
2009-10-11 - 2009-10-17,7
2009-10-18 - 2009-10-24,7
2009-10-25 - 2009-10-31,8
2009-11-01 - 2009-11-07,8
2009-11-08 - 2009-11-14,8
2009-11-15 - 2009-11-21,8
2009-11-22 - 2009-11-28,7
2009-11-29 - 2009-12-05,8
2009-12-06 - 2009-12-12,7
2009-12-13 - 2009-12-19,7
2009-12-20 - 2009-12-26,8
2009-12-27 - 2010-01-02,9
2010-01-03 - 2010-01-09,8
2010-01-10 - 2010-01-16,8
2010-01-17 - 2010-01-23,9
2010-01-24 - 2010-01-30,12
2010-01-31 - 2010-02-06,10
2010-02-07 - 2010-02-13,9
2010-02-14 - 2010-02-20,9
2010-02-21 - 2010-02-27,9
2010-02-28 - 2010-03-06,9
2010-03-07 - 2010-03-13,8
2010-03-14 - 2010-03-20,8
2010-03-21 - 2010-03-27,9
2010-03-28 - 2010-04-03,10
2010-04-04 - 2010-04-10,9
2010-04-11 - 2010-04-17,10
2010-04-18 - 2010-04-24,10
2010-04-25 - 2010-05-01,10
2010-05-02 - 2010-05-08,10
2010-05-09 - 2010-05-15,17
2010-05-16 - 2010-05-22,21
2010-05-23 - 2010-05-29,26
2010-05-30 - 2010-06-05,27
2010-06-06 - 2010-06-12,46
2010-06-13 - 2010-06-19,66
2010-06-20 - 2010-06-26,73
2010-06-27 - 2010-07-03,63
2010-07-04 - 2010-07-10,62
2010-07-11 - 2010-07-17,60
2010-07-18 - 2010-07-24,58
2010-07-25 - 2010-07-31,66
2010-08-01 - 2010-08-07,68
2010-08-08 - 2010-08-14,72
2010-08-15 - 2010-08-21,71
2010-08-22 - 2010-08-28,84
2010-08-29 - 2010-09-04,80
2010-09-05 - 2010-09-11,71
2010-09-12 - 2010-09-18,68
2010-09-19 - 2010-09-25,80
2010-09-26 - 2010-10-02,73
2010-10-03 - 2010-10-09,55
2010-10-10 - 2010-10-16,52
2010-10-17 - 2010-10-23,52
2010-10-24 - 2010-10-30,56
2010-10-31 - 2010-11-06,78
2010-11-07 - 2010-11-13,77
2010-11-14 - 2010-11-20,70
2010-11-21 - 2010-11-27,76
2010-11-28 - 2010-12-04,68
2010-12-05 - 2010-12-11,73
2010-12-12 - 2010-12-18,72
2010-12-19 - 2010-12-25,83
2010-12-26 - 2011-01-01,78
2011-01-02 - 2011-01-08,65
2011-01-09 - 2011-01-15,60
2011-01-16 - 2011-01-22,55
2011-01-23 - 2011-01-29,54
2011-01-30 - 2011-02-05,50
2011-02-06 - 2011-02-12,54
2011-02-13 - 2011-02-19,58
2011-02-20 - 2011-02-26,54
2011-02-27 - 2011-03-05,54
2011-03-06 - 2011-03-12,59
2011-03-13 - 2011-03-19,68
2011-03-20 - 2011-03-26,69
2011-03-27 - 2011-04-02,90
2011-04-03 - 2011-04-09,90
2011-04-10 - 2011-04-16,71
2011-04-17 - 2011-04-23,68
2011-04-24 - 2011-04-30,63
2011-05-01 - 2011-05-07,63
2011-05-08 - 2011-05-14,56
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,48
2011-05-29 - 2011-06-04,51
2011-06-05 - 2011-06-11,57
2011-06-12 - 2011-06-18,100
2011-06-19 - 2011-06-25,85
2011-06-26 - 2011-07-02,74
2011-07-03 - 2011-07-09,73
2011-07-10 - 2011-07-16,66
2011-07-17 - 2011-07-23,61
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,60
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,54
2011-08-21 - 2011-08-27,47
2011-08-28 - 2011-09-03,52
2011-09-04 - 2011-09-10,42
2011-09-11 - 2011-09-17,35
2011-09-18 - 2011-09-24,36
2011-09-25 - 2011-10-01,32
2011-10-02 - 2011-10-08,31
2011-10-09 - 2011-10-15,31
2011-10-16 - 2011-10-22,30
2011-10-23 - 2011-10-29,31
2011-10-30 - 2011-11-05,35
2011-11-06 - 2011-11-12,46
2011-11-13 - 2011-11-19,54
2011-11-20 - 2011-11-26,55
2011-11-27 - 2011-12-03,46
2011-12-04 - 2011-12-10,42
2011-12-11 - 2011-12-17,46
2011-12-18 - 2011-12-24,45
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,40
2012-01-08 - 2012-01-14,38
2012-01-15 - 2012-01-21,37
2012-01-22 - 2012-01-28,34
2012-01-29 - 2012-02-04,32
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,44
2012-02-19 - 2012-02-25,37
2012-02-26 - 2012-03-03,34
2012-03-04 - 2012-03-10,34
2012-03-11 - 2012-03-17,35
2012-03-18 - 2012-03-24,53
2012-03-25 - 2012-03-31,55
2012-04-01 - 2012-04-07,45
2012-04-08 - 2012-04-14,36
2012-04-15 - 2012-04-21,30
2012-04-22 - 2012-04-28,29
2012-04-29 - 2012-05-05,27
2012-05-06 - 2012-05-12,26
2012-05-13 - 2012-05-19,26
2012-05-20 - 2012-05-26,36
2012-05-27 - 2012-06-02,34
2012-06-03 - 2012-06-09,37
2012-06-10 - 2012-06-16,44
2012-06-17 - 2012-06-23,63
2012-06-24 - 2012-06-30,64
2012-07-01 - 2012-07-07,67
2012-07-08 - 2012-07-14,63
2012-07-15 - 2012-07-21,54
2012-07-22 - 2012-07-28,48
2012-07-29 - 2012-08-04,43
2012-08-05 - 2012-08-11,40
2012-08-12 - 2012-08-18,37
2012-08-19 - 2012-08-25,32
2012-08-26 - 2012-09-01,31
2012-09-02 - 2012-09-08,31
2012-09-09 - 2012-09-15,27
2012-09-16 - 2012-09-22,26
2012-09-23 - 2012-09-29,26
2012-09-30 - 2012-10-06,25
2012-10-07 - 2012-10-13,23
2012-10-14 - 2012-10-20,24
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,20
2012-11-04 - 2012-11-10,21
2012-11-11 - 2012-11-17,20
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,17
2012-12-02 - 2012-12-08,17
2012-12-09 - 2012-12-15,16
2012-12-16 - 2012-12-22,16
2012-12-23 - 2012-12-29,17
2012-12-30 - 2013-01-05,16
2013-01-06 - 2013-01-12,15
2013-01-13 - 2013-01-19,15
2013-01-20 - 2013-01-26,15
2013-01-27 - 2013-02-02,14
2013-02-03 - 2013-02-09,14
2013-02-10 - 2013-02-16,16
2013-02-17 - 2013-02-23,14
2013-02-24 - 2013-03-02,13
2013-03-03 - 2013-03-09,13
2013-03-10 - 2013-03-16,13
2013-03-17 - 2013-03-23,13
2013-03-24 - 2013-03-30,14
2013-03-31 - 2013-04-06,13
2013-04-07 - 2013-04-13,12
2013-04-14 - 2013-04-20,12
2013-04-21 - 2013-04-27,12
2013-04-28 - 2013-05-04,12
2013-05-05 - 2013-05-11,12
2013-05-12 - 2013-05-18,12
2013-05-19 - 2013-05-25,12
2013-05-26 - 2013-06-01,12
2013-06-02 - 2013-06-08,12
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,12
2013-06-23 - 2013-06-29,13
2013-06-30 - 2013-07-06,14
2013-07-07 - 2013-07-13,13
2013-07-14 - 2013-07-20,13
2013-07-21 - 2013-07-27,11
2013-07-28 - 2013-08-03,12
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,43
2013-08-18 - 2013-08-24,41
2013-08-25 - 2013-08-31,51
2013-09-01 - 2013-09-07,57
2013-09-08 - 2013-09-14,63
2013-09-15 - 2013-09-21,54
2013-09-22 - 2013-09-28,51
2013-09-29 - 2013-10-05,49
2013-10-06 - 2013-10-12,45
2013-10-13 - 2013-10-19,47
2013-10-20 - 2013-10-26,52
2013-10-27 - 2013-11-02,47
2013-11-03 - 2013-11-09,44
2013-11-10 - 2013-11-16,44
2013-11-17 - 2013-11-23,48
2013-11-24 - 2013-11-30,50
2013-12-01 - 2013-12-07,41
2013-12-08 - 2013-12-14,38
2013-12-15 - 2013-12-21,46
2013-12-22 - 2013-12-28,47
2013-12-29 - 2014-01-04,43
2014-01-05 - 2014-01-11,45
2014-01-12 - 2014-01-18,50
2014-01-19 - 2014-01-25,51
2014-01-26 - 2014-02-01,74
2014-02-02 - 2014-02-08,56
2014-02-09 - 2014-02-15,52
2014-02-16 - 2014-02-22,61
2014-02-23 - 2014-03-01,71
2014-03-02 - 2014-03-08,54
2014-03-09 - 2014-03-15,48
2014-03-16 - 2014-03-22,46
2014-03-23 - 2014-03-29,43
2014-03-30 - 2014-04-05,37
2014-04-06 - 2014-04-12,39
2014-04-13 - 2014-04-19,38
2014-04-20 - 2014-04-26,42
2014-04-27 - 2014-05-03,41
2014-05-04 - 2014-05-10,37
2014-05-11 - 2014-05-17,36
2014-05-18 - 2014-05-24,38
2014-05-25 - 2014-05-31,35
2014-06-01 - 2014-06-07,32
2014-06-08 - 2014-06-14,30
2014-06-15 - 2014-06-21,29
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,28
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,23
2014-07-20 - 2014-07-26,21
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,29
2014-08-10 - 2014-08-16,25
2014-08-17 - 2014-08-23,25
2014-08-24 - 2014-08-30,23
2014-08-31 - 2014-09-06,23
2014-09-07 - 2014-09-13,22
2014-09-14 - 2014-09-20,21
2014-09-21 - 2014-09-27,20
2014-09-28 - 2014-10-04,20
2014-10-05 - 2014-10-11,21
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,17
2014-10-26 - 2014-11-01,16
2014-11-02 - 2014-11-08,16
2014-11-09 - 2014-11-15,16
2014-11-16 - 2014-11-22,14
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,12
2014-12-07 - 2014-12-13,12
2014-12-14 - 2014-12-20,12
2014-12-21 - 2014-12-27,14
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,13
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,15
2015-02-01 - 2015-02-07,65
2015-02-08 - 2015-02-14,26
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,15
2015-03-08 - 2015-03-14,14
2015-03-15 - 2015-03-21,13
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,13
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,12
2015-04-26 - 2015-05-02,11
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,12
2015-05-24 - 2015-05-30,13
2015-05-31 - 2015-06-06,12
2015-06-07 - 2015-06-13,12
2015-06-14 - 2015-06-20,11
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,12
2015-07-05 - 2015-07-11,11
2015-07-12 - 2015-07-18,11
2015-07-19 - 2015-07-25,10
2015-07-26 - 2015-08-01,10


Top sub-regions for katy perry
Sub-region,katy perry
South Dakota,100
Utah,99
Iowa,94
Idaho,92
North Dakota,91
Wyoming,91
Arizona,89
Montana,88
Indiana,88
Ohio,88
Wisconsin,87
Missouri,86
Nebraska,85
Colorado,85
Pennsylvania,84
New Mexico,84
Minnesota,83
Kansas,83
Michigan,83
Texas,82
California,81
Kentucky,81
Oklahoma,81
Nevada,79
West Virginia,79
Illinois,78
Florida,75
New York,75
Maine,75
New Jersey,75
New Hampshire,74
North Carolina,73
Arkansas,73
Massachusetts,72
Washington,72
Hawaii,72
Connecticut,72
South Carolina,72
Tennessee,71
Rhode Island,71
Georgia,70
Alaska,69
Maryland,69
Delaware,69
Alabama,67
Mississippi,67
Louisiana,67
Vermont,66
Oregon,66
Virginia,64
District of Columbia,56


Top metros for katy perry
Metro,katy perry
Great Falls MT,100
Twin Falls ID,83
Sioux City IA,81
Rapid City SD,80
Salt Lake City UT,77
Sioux Falls(Mitchell) SD,75
Davenport IA-Rock Island-Moline IL,74
Minot-Bismarck-Dickinson(Williston) ND,74
Amarillo TX,73
Laredo TX,72
Dayton OH,72
Lima OH,72
Idaho Falls-Pocatello ID,72
El Paso TX,71
Missoula MT,71
Rochester MN-Mason City IA-Austin MN,71
Watertown NY,70
Erie PA,70
Odessa-Midland TX,70
Wichita-Hutchinson KS,70
Traverse City-Cadillac MI,69
Abilene-Sweetwater TX,69
Bakersfield CA,69
Boise ID,69
Denver CO,69
Fargo-Valley City ND,69
Wheeling WV-Steubenville OH,68
Green Bay-Appleton WI,68
Harlingen-Weslaco-Brownsville-McAllen TX,67
Mankato MN,67
Lincoln & Hastings-Kearney NE,67
Fresno-Visalia CA,67
Rockford IL,67
Cheyenne WY-Scottsbluff NE,66
Minneapolis-St. Paul MN,66
Yakima-Pasco-Richland-Kennewick WA,66
Reno NV,66
Billings MT,65
Charleston-Huntington WV,65
Yuma AZ-El Centro CA,65
Wilkes Barre-Scranton PA,65
Springfield MO,65
Flint-Saginaw-Bay City MI,65
South Bend-Elkhart IN,65
Topeka KS,65
Johnstown-Altoona PA,65
Albuquerque-Santa Fe NM,65
Palm Springs CA,64
Grand Junction-Montrose CO,64
Phoenix AZ,64
Los Angeles CA,64
Ft. Wayne IN,64
Chico-Redding CA,63
Elmira NY,63
Quincy IL-Hannibal MO-Keokuk IA,63
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,63
Wausau-Rhinelander WI,63
Cleveland-Akron (Canton) OH,63
Tucson (Sierra Vista) AZ,63
Cincinnati OH,63
Marquette MI,63
Youngstown OH,63
San Antonio TX,62
Des Moines-Ames IA,62
Santa Barbara-Santa Maria-San Luis Obispo CA,62
Pittsburgh PA,62
Butte-Bozeman MT,62
Bluefield-Beckley-Oak Hill WV,62
La Crosse-Eau Claire WI,61
Grand Rapids-Kalamazoo-Battle Creek MI,61
Sherman TX-Ada OK,61
Toledo OH,61
Madison WI,61
Kansas City MO,61
Colorado Springs-Pueblo CO,61
Indianapolis IN,61
Biloxi-Gulfport MS,61
Jonesboro AR,61
Columbia-Jefferson City MO,61
Evansville IN,61
Bend OR,60
Detroit MI,60
St. Louis MO,60
Milwaukee WI,60
Spokane WA,60
Harrisburg-Lancaster-Lebanon-York PA,60
Joplin MO-Pittsburg KS,60
Duluth MN-Superior WI,60
Omaha NE,60
Oklahoma City OK,59
Louisville KY,59
Bowling Green KY,59
Eureka CA,59
Chicago IL,59
Corpus Christi TX,59
Albany-Schenectady-Troy NY,59
Lubbock TX,59
Binghamton NY,59
Lexington KY,59
San Diego CA,58
Clarksburg-Weston WV,58
Lansing MI,58
Dallas-Ft. Worth TX,58
Peoria-Bloomington IL,58
Little Rock-Pine Bluff AR,58
Burlington VT-Plattsburgh NY,58
Philadelphia PA,58
Tri-Cities TN-VA,57
Ft. Myers-Naples FL,57
Terre Haute IN,57
Utica NY,57
Wichita Falls TX & Lawton OK,57
Florence-Myrtle Beach SC,56
San Angelo TX,56
Bangor ME,56
Monterey-Salinas CA,56
New York NY,56
Tulsa OK,56
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,56
Honolulu HI,56
Medford-Klamath Falls OR,56
Tyler-Longview(Lufkin & Nacogdoches) TX,56
Boston MA-Manchester NH,56
Seattle-Tacoma WA,56
Columbus OH,56
Buffalo NY,56
Portland-Auburn ME,56
Sacramento-Stockton-Modesto CA,56
Providence RI-New Bedford MA,56
Shreveport LA,56
Houston TX,55
Las Vegas NV,55
Charlotte NC,55
Miami-Ft. Lauderdale FL,55
Springfield-Holyoke MA,54
Lake Charles LA,54
Eugene OR,54
Chattanooga TN,54
Waco-Temple-Bryan TX,54
Raleigh-Durham (Fayetteville) NC,54
Huntsville-Decatur (Florence) AL,54
Ft. Smith-Fayetteville-Springdale-Rogers AR,54
Beaumont-Port Arthur TX,54
Jackson TN,54
Greenville-Spartanburg SC-Asheville NC-Anderson SC,53
Nashville TN,53
Hattiesburg-Laurel MS,53
Tampa-St. Petersburg (Sarasota) FL,53
Charlottesville VA,53
Champaign & Springfield-Decatur IL,52
Roanoke-Lynchburg VA,52
Knoxville TN,52
Greenville-New Bern-Washington NC,52
Anchorage AK,52
Lafayette LA,52
Syracuse NY,51
Rochester NY,51
Atlanta GA,51
Hartford & New Haven CT,51
Charleston SC,51
Salisbury MD,51
Orlando-Daytona Beach-Melbourne FL,51
Greensboro-High Point-Winston Salem NC,51
Columbus GA,51
Baltimore MD,51
Jacksonville FL,51
Monroe LA-El Dorado AR,50
Lafayette IN,50
Albany GA,50
Harrisonburg VA,49
Portland OR,49
New Orleans LA,49
Dothan AL,49
Wilmington NC,49
Austin TX,49
Savannah GA,49
Mobile AL-Pensacola (Ft. Walton Beach) FL,49
Norfolk-Portsmouth-Newport News VA,48
Montgomery (Selma) AL,48
West Palm Beach-Ft. Pierce FL,48
Washington DC (Hagerstown MD),47
Augusta GA,47
Columbus-Tupelo-West Point MS,47
Panama City FL,47
Columbia SC,46
Memphis TN,46
Richmond-Petersburg VA,46
Macon GA,46
Gainesville FL,45
Birmingham AL,44
San Francisco-Oakland-San Jose CA,44
Baton Rouge LA,42
Jackson MS,41
Tallahassee FL-Thomasville GA,40
Presque Isle ME,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Victoria TX,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Alexandria LA,0
Greenwood-Greenville MS,0
Meridian MS,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Helena MT,0
Casper-Riverton WY,0
Glendive MT,0


Top cities for katy perry
Town/City,katy perry
Fresno,100
Phoenix,97
Denver,96
Los Angeles,93
San Antonio,92
Las Vegas,88
Houston,86
New York,83
Columbus,82
San Diego,80
Minneapolis,79
San Francisco,78
Chicago,75
Seattle,75
Dallas,74



Top searches for katy perry
katy perry lyrics,100
katy perry california,50
firework katy perry,50
firework,50
teenage dream,40
music,35
friday,35
friday katy perry,35
dark horse,30
california gurls,30
katy perry roar,30
last friday night,30
roar,30
et,30
katy perry hot,30
et katy perry,30
hot n cold,20
part of me,20
justin bieber,20
taylor swift,15
lady gaga,15
rihanna,15
katy perry songs,15
nicki minaj,15
kesha,15
t.g.i.f katy perry,10
bruno mars,10
thinking of you,10
miley cyrus,10
peacock,10
katy perry peacock,10
selena gomez,10
katy perry live,10
eminem,10
at katy perry,10
beyonce,10
chris brown,10
pink,5
karaoke,5
katy perry birthday,5
britney spears,5
adele,5
one direction,5
katty perry,5
tgif katy perry,5
california girls,5
usher,5
unconditionally katy perry,5
demi lovato,5
justin bieber baby,5



Rising searches for katy perry
california gurls,Breakout
dark horse,Breakout
et,Breakout
firework,Breakout
firework katy perry,Breakout
friday,Breakout
friday katy perry,Breakout
katy perry california,Breakout
katy perry lyrics,Breakout
katy perry roar,Breakout



