YouTube Search interest: zendaya
United States; Jan 2008 - Jul 2015

Interest over time
Week,zendaya
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,0
2010-01-31 - 2010-02-06,0
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,0
2010-02-21 - 2010-02-27,0
2010-02-28 - 2010-03-06,0
2010-03-07 - 2010-03-13,0
2010-03-14 - 2010-03-20,0
2010-03-21 - 2010-03-27,0
2010-03-28 - 2010-04-03,0
2010-04-04 - 2010-04-10,0
2010-04-11 - 2010-04-17,0
2010-04-18 - 2010-04-24,0
2010-04-25 - 2010-05-01,0
2010-05-02 - 2010-05-08,0
2010-05-09 - 2010-05-15,0
2010-05-16 - 2010-05-22,0
2010-05-23 - 2010-05-29,0
2010-05-30 - 2010-06-05,0
2010-06-06 - 2010-06-12,0
2010-06-13 - 2010-06-19,0
2010-06-20 - 2010-06-26,0
2010-06-27 - 2010-07-03,0
2010-07-04 - 2010-07-10,0
2010-07-11 - 2010-07-17,0
2010-07-18 - 2010-07-24,0
2010-07-25 - 2010-07-31,0
2010-08-01 - 2010-08-07,0
2010-08-08 - 2010-08-14,0
2010-08-15 - 2010-08-21,0
2010-08-22 - 2010-08-28,0
2010-08-29 - 2010-09-04,0
2010-09-05 - 2010-09-11,0
2010-09-12 - 2010-09-18,0
2010-09-19 - 2010-09-25,0
2010-09-26 - 2010-10-02,0
2010-10-03 - 2010-10-09,0
2010-10-10 - 2010-10-16,0
2010-10-17 - 2010-10-23,0
2010-10-24 - 2010-10-30,1
2010-10-31 - 2010-11-06,1
2010-11-07 - 2010-11-13,1
2010-11-14 - 2010-11-20,1
2010-11-21 - 2010-11-27,1
2010-11-28 - 2010-12-04,1
2010-12-05 - 2010-12-11,1
2010-12-12 - 2010-12-18,1
2010-12-19 - 2010-12-25,1
2010-12-26 - 2011-01-01,2
2011-01-02 - 2011-01-08,1
2011-01-09 - 2011-01-15,2
2011-01-16 - 2011-01-22,1
2011-01-23 - 2011-01-29,1
2011-01-30 - 2011-02-05,1
2011-02-06 - 2011-02-12,1
2011-02-13 - 2011-02-19,1
2011-02-20 - 2011-02-26,2
2011-02-27 - 2011-03-05,1
2011-03-06 - 2011-03-12,1
2011-03-13 - 2011-03-19,1
2011-03-20 - 2011-03-26,2
2011-03-27 - 2011-04-02,1
2011-04-03 - 2011-04-09,2
2011-04-10 - 2011-04-16,2
2011-04-17 - 2011-04-23,2
2011-04-24 - 2011-04-30,1
2011-05-01 - 2011-05-07,1
2011-05-08 - 2011-05-14,1
2011-05-15 - 2011-05-21,1
2011-05-22 - 2011-05-28,2
2011-05-29 - 2011-06-04,5
2011-06-05 - 2011-06-11,5
2011-06-12 - 2011-06-18,17
2011-06-19 - 2011-06-25,48
2011-06-26 - 2011-07-02,41
2011-07-03 - 2011-07-09,34
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,32
2011-07-24 - 2011-07-30,34
2011-07-31 - 2011-08-06,34
2011-08-07 - 2011-08-13,31
2011-08-14 - 2011-08-20,28
2011-08-21 - 2011-08-27,26
2011-08-28 - 2011-09-03,24
2011-09-04 - 2011-09-10,20
2011-09-11 - 2011-09-17,18
2011-09-18 - 2011-09-24,17
2011-09-25 - 2011-10-01,17
2011-10-02 - 2011-10-08,16
2011-10-09 - 2011-10-15,16
2011-10-16 - 2011-10-22,16
2011-10-23 - 2011-10-29,15
2011-10-30 - 2011-11-05,22
2011-11-06 - 2011-11-12,33
2011-11-13 - 2011-11-19,29
2011-11-20 - 2011-11-26,29
2011-11-27 - 2011-12-03,16
2011-12-04 - 2011-12-10,14
2011-12-11 - 2011-12-17,15
2011-12-18 - 2011-12-24,20
2011-12-25 - 2011-12-31,19
2012-01-01 - 2012-01-07,13
2012-01-08 - 2012-01-14,15
2012-01-15 - 2012-01-21,14
2012-01-22 - 2012-01-28,13
2012-01-29 - 2012-02-04,13
2012-02-05 - 2012-02-11,12
2012-02-12 - 2012-02-18,11
2012-02-19 - 2012-02-25,12
2012-02-26 - 2012-03-03,13
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,54
2012-03-18 - 2012-03-24,44
2012-03-25 - 2012-03-31,42
2012-04-01 - 2012-04-07,38
2012-04-08 - 2012-04-14,32
2012-04-15 - 2012-04-21,30
2012-04-22 - 2012-04-28,27
2012-04-29 - 2012-05-05,23
2012-05-06 - 2012-05-12,27
2012-05-13 - 2012-05-19,22
2012-05-20 - 2012-05-26,24
2012-05-27 - 2012-06-02,26
2012-06-03 - 2012-06-09,23
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,24
2012-06-24 - 2012-06-30,19
2012-07-01 - 2012-07-07,22
2012-07-08 - 2012-07-14,23
2012-07-15 - 2012-07-21,23
2012-07-22 - 2012-07-28,21
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,25
2012-08-12 - 2012-08-18,25
2012-08-19 - 2012-08-25,22
2012-08-26 - 2012-09-01,17
2012-09-02 - 2012-09-08,17
2012-09-09 - 2012-09-15,14
2012-09-16 - 2012-09-22,13
2012-09-23 - 2012-09-29,11
2012-09-30 - 2012-10-06,10
2012-10-07 - 2012-10-13,11
2012-10-14 - 2012-10-20,9
2012-10-21 - 2012-10-27,12
2012-10-28 - 2012-11-03,10
2012-11-04 - 2012-11-10,10
2012-11-11 - 2012-11-17,10
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,19
2012-12-09 - 2012-12-15,18
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,22
2012-12-30 - 2013-01-05,15
2013-01-06 - 2013-01-12,10
2013-01-13 - 2013-01-19,9
2013-01-20 - 2013-01-26,11
2013-01-27 - 2013-02-02,7
2013-02-03 - 2013-02-09,9
2013-02-10 - 2013-02-16,8
2013-02-17 - 2013-02-23,11
2013-02-24 - 2013-03-02,12
2013-03-03 - 2013-03-09,17
2013-03-10 - 2013-03-16,18
2013-03-17 - 2013-03-23,35
2013-03-24 - 2013-03-30,37
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,30
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,31
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,35
2013-05-12 - 2013-05-18,35
2013-05-19 - 2013-05-25,44
2013-05-26 - 2013-06-01,22
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,19
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,15
2013-06-30 - 2013-07-06,16
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,23
2013-07-28 - 2013-08-03,20
2013-08-04 - 2013-08-10,20
2013-08-11 - 2013-08-17,39
2013-08-18 - 2013-08-24,91
2013-08-25 - 2013-08-31,75
2013-09-01 - 2013-09-07,71
2013-09-08 - 2013-09-14,74
2013-09-15 - 2013-09-21,100
2013-09-22 - 2013-09-28,90
2013-09-29 - 2013-10-05,72
2013-10-06 - 2013-10-12,86
2013-10-13 - 2013-10-19,72
2013-10-20 - 2013-10-26,70
2013-10-27 - 2013-11-02,61
2013-11-03 - 2013-11-09,60
2013-11-10 - 2013-11-16,60
2013-11-17 - 2013-11-23,58
2013-11-24 - 2013-11-30,63
2013-12-01 - 2013-12-07,56
2013-12-08 - 2013-12-14,54
2013-12-15 - 2013-12-21,57
2013-12-22 - 2013-12-28,59
2013-12-29 - 2014-01-04,52
2014-01-05 - 2014-01-11,54
2014-01-12 - 2014-01-18,55
2014-01-19 - 2014-01-25,55
2014-01-26 - 2014-02-01,53
2014-02-02 - 2014-02-08,45
2014-02-09 - 2014-02-15,44
2014-02-16 - 2014-02-22,49
2014-02-23 - 2014-03-01,46
2014-03-02 - 2014-03-08,46
2014-03-09 - 2014-03-15,39
2014-03-16 - 2014-03-22,37
2014-03-23 - 2014-03-29,32
2014-03-30 - 2014-04-05,33
2014-04-06 - 2014-04-12,29
2014-04-13 - 2014-04-19,28
2014-04-20 - 2014-04-26,26
2014-04-27 - 2014-05-03,37
2014-05-04 - 2014-05-10,35
2014-05-11 - 2014-05-17,30
2014-05-18 - 2014-05-24,32
2014-05-25 - 2014-05-31,32
2014-06-01 - 2014-06-07,32
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,36
2014-06-22 - 2014-06-28,42
2014-06-29 - 2014-07-05,49
2014-07-06 - 2014-07-12,34
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,29
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,19
2014-08-31 - 2014-09-06,17
2014-09-07 - 2014-09-13,17
2014-09-14 - 2014-09-20,17
2014-09-21 - 2014-09-27,17
2014-09-28 - 2014-10-04,19
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,17
2014-10-19 - 2014-10-25,14
2014-10-26 - 2014-11-01,14
2014-11-02 - 2014-11-08,15
2014-11-09 - 2014-11-15,15
2014-11-16 - 2014-11-22,16
2014-11-23 - 2014-11-29,16
2014-11-30 - 2014-12-06,14
2014-12-07 - 2014-12-13,13
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,12
2014-12-28 - 2015-01-03,14
2015-01-04 - 2015-01-10,12
2015-01-11 - 2015-01-17,10
2015-01-18 - 2015-01-24,14
2015-01-25 - 2015-01-31,14
2015-02-01 - 2015-02-07,13
2015-02-08 - 2015-02-14,14
2015-02-15 - 2015-02-21,14
2015-02-22 - 2015-02-28,43
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,15
2015-03-15 - 2015-03-21,14
2015-03-22 - 2015-03-28,13
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,14
2015-04-12 - 2015-04-18,13
2015-04-19 - 2015-04-25,13
2015-04-26 - 2015-05-02,15
2015-05-03 - 2015-05-09,13
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,17
2015-05-24 - 2015-05-30,16
2015-05-31 - 2015-06-06,17
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,21
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,17
2015-07-19 - 2015-07-25,17
2015-07-26 - 2015-08-01,18


Top sub-regions for zendaya
Sub-region,zendaya
Louisiana,100
Georgia,100
South Carolina,97
Alabama,96
Maryland,93
Florida,92
Mississippi,91
North Carolina,90
Delaware,88
New York,85
Iowa,84
Arkansas,83
Indiana,80
New Mexico,80
Ohio,79
New Jersey,79
South Dakota,78
Michigan,78
Texas,78
Arizona,78
Pennsylvania,77
Nevada,77
Tennessee,76
Hawaii,76
Kentucky,74
Rhode Island,73
West Virginia,73
Illinois,71
Utah,69
Missouri,68
Nebraska,68
Connecticut,68
Oklahoma,67
Wyoming,65
Kansas,65
Idaho,64
Wisconsin,64
Colorado,63
California,63
Minnesota,63
Massachusetts,63
North Dakota,61
Montana,55
Maine,50
Washington,50
Alaska,48
New Hampshire,46
Oregon,46
Vermont,43
Virginia,42
District of Columbia,35


Top metros for zendaya
Metro,zendaya
Raleigh-Durham (Fayetteville) NC,100
West Palm Beach-Ft. Pierce FL,93
Atlanta GA,90
Miami-Ft. Lauderdale FL,87
Providence RI-New Bedford MA,83
Charlotte NC,83
Baltimore MD,82
Norfolk-Portsmouth-Newport News VA,80
Orlando-Daytona Beach-Melbourne FL,79
New York NY,79
Indianapolis IN,76
Cleveland-Akron (Canton) OH,75
Milwaukee WI,74
Nashville TN,73
Houston TX,72
Tampa-St. Petersburg (Sarasota) FL,71
Detroit MI,70
San Antonio TX,70
Pittsburgh PA,69
Philadelphia PA,66
Chicago IL,64
Las Vegas NV,64
Salt Lake City UT,64
Phoenix AZ,64
San Diego CA,63
Sacramento-Stockton-Modesto CA,62
Dallas-Ft. Worth TX,61
Kansas City MO,61
Los Angeles CA,61
Minneapolis-St. Paul MN,60
Columbus OH,57
Boston MA-Manchester NH,57
Hartford & New Haven CT,56
St. Louis MO,55
Denver CO,48
Seattle-Tacoma WA,47
Portland OR,42
Washington DC (Hagerstown MD),39
San Francisco-Oakland-San Jose CA,36
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for zendaya
Town/City,zendaya
New York,100
Detroit,97
Charlotte,93
Philadelphia,87
Houston,79
San Antonio,75
San Jose,70
Las Vegas,66
Phoenix,63
Chicago,58
Dallas,56
San Diego,56
Los Angeles,52
Washington,42
Atlanta,34



Top searches for zendaya
zendaya replay,100
replay,100
swag,55
swag it out,55
bella thorne,50
bella and zendaya,45
zendaya replay lyrics,30
watch me,20
zendaya watch me,20
shake it up,20
zendaya dancing,20
zendaya songs,15
zendaya coleman,10
ttylxox,10
zendaya singing,10
ttylxox bella thorne,10
watch me lyrics,5
zendaya my baby,5
zendaya contagious love,5
contagious love,5
zendaya live,5
china anne mcclain,5
val and zendaya,5
bella thorne singing,5
bella thorne songs,5
too much zendaya,5
dwts zendaya,5
replay by zendaya,5
dwts,5
zendaya interview,5
contagious love lyrics,5
zendaya replay remix,0
trevor jackson,0



Rising searches for zendaya
bella and zendaya,Breakout
bella thorne,Breakout
replay,Breakout
shake it up,Breakout
swag,Breakout
swag it out,Breakout
watch me,Breakout
zendaya dancing,Breakout
zendaya replay,Breakout
zendaya replay lyrics,Breakout



