YouTube Search interest: trey songz
United States; Jan 2008 - Jul 2015

Interest over time
Week,trey songz
2009-08-23 - 2009-08-29,24
2009-08-30 - 2009-09-05,35
2009-09-06 - 2009-09-12,32
2009-09-13 - 2009-09-19,27
2009-09-20 - 2009-09-26,28
2009-09-27 - 2009-10-03,30
2009-10-04 - 2009-10-10,28
2009-10-11 - 2009-10-17,28
2009-10-18 - 2009-10-24,32
2009-10-25 - 2009-10-31,32
2009-11-01 - 2009-11-07,53
2009-11-08 - 2009-11-14,51
2009-11-15 - 2009-11-21,43
2009-11-22 - 2009-11-28,43
2009-11-29 - 2009-12-05,50
2009-12-06 - 2009-12-12,49
2009-12-13 - 2009-12-19,54
2009-12-20 - 2009-12-26,52
2009-12-27 - 2010-01-02,50
2010-01-03 - 2010-01-09,57
2010-01-10 - 2010-01-16,57
2010-01-17 - 2010-01-23,56
2010-01-24 - 2010-01-30,56
2010-01-31 - 2010-02-06,55
2010-02-07 - 2010-02-13,57
2010-02-14 - 2010-02-20,60
2010-02-21 - 2010-02-27,65
2010-02-28 - 2010-03-06,73
2010-03-07 - 2010-03-13,69
2010-03-14 - 2010-03-20,67
2010-03-21 - 2010-03-27,66
2010-03-28 - 2010-04-03,64
2010-04-04 - 2010-04-10,60
2010-04-11 - 2010-04-17,57
2010-04-18 - 2010-04-24,62
2010-04-25 - 2010-05-01,60
2010-05-02 - 2010-05-08,61
2010-05-09 - 2010-05-15,59
2010-05-16 - 2010-05-22,54
2010-05-23 - 2010-05-29,71
2010-05-30 - 2010-06-05,59
2010-06-06 - 2010-06-12,58
2010-06-13 - 2010-06-19,56
2010-06-20 - 2010-06-26,54
2010-06-27 - 2010-07-03,65
2010-07-04 - 2010-07-10,61
2010-07-11 - 2010-07-17,67
2010-07-18 - 2010-07-24,65
2010-07-25 - 2010-07-31,63
2010-08-01 - 2010-08-07,66
2010-08-08 - 2010-08-14,64
2010-08-15 - 2010-08-21,76
2010-08-22 - 2010-08-28,77
2010-08-29 - 2010-09-04,80
2010-09-05 - 2010-09-11,81
2010-09-12 - 2010-09-18,99
2010-09-19 - 2010-09-25,100
2010-09-26 - 2010-10-02,88
2010-10-03 - 2010-10-09,88
2010-10-10 - 2010-10-16,87
2010-10-17 - 2010-10-23,83
2010-10-24 - 2010-10-30,81
2010-10-31 - 2010-11-06,82
2010-11-07 - 2010-11-13,78
2010-11-14 - 2010-11-20,74
2010-11-21 - 2010-11-27,75
2010-11-28 - 2010-12-04,66
2010-12-05 - 2010-12-11,65
2010-12-12 - 2010-12-18,64
2010-12-19 - 2010-12-25,61
2010-12-26 - 2011-01-01,62
2011-01-02 - 2011-01-08,63
2011-01-09 - 2011-01-15,65
2011-01-16 - 2011-01-22,59
2011-01-23 - 2011-01-29,58
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,57
2011-02-13 - 2011-02-19,67
2011-02-20 - 2011-02-26,63
2011-02-27 - 2011-03-05,63
2011-03-06 - 2011-03-12,61
2011-03-13 - 2011-03-19,61
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,55
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,52
2011-04-17 - 2011-04-23,52
2011-04-24 - 2011-04-30,50
2011-05-01 - 2011-05-07,48
2011-05-08 - 2011-05-14,47
2011-05-15 - 2011-05-21,48
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,47
2011-06-05 - 2011-06-11,53
2011-06-12 - 2011-06-18,51
2011-06-19 - 2011-06-25,48
2011-06-26 - 2011-07-02,58
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,51
2011-07-17 - 2011-07-23,48
2011-07-24 - 2011-07-30,50
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,45
2011-08-14 - 2011-08-20,44
2011-08-21 - 2011-08-27,43
2011-08-28 - 2011-09-03,37
2011-09-04 - 2011-09-10,39
2011-09-11 - 2011-09-17,41
2011-09-18 - 2011-09-24,40
2011-09-25 - 2011-10-01,38
2011-10-02 - 2011-10-08,37
2011-10-09 - 2011-10-15,37
2011-10-16 - 2011-10-22,34
2011-10-23 - 2011-10-29,35
2011-10-30 - 2011-11-05,44
2011-11-06 - 2011-11-12,41
2011-11-13 - 2011-11-19,38
2011-11-20 - 2011-11-26,36
2011-11-27 - 2011-12-03,37
2011-12-04 - 2011-12-10,33
2011-12-11 - 2011-12-17,34
2011-12-18 - 2011-12-24,36
2011-12-25 - 2011-12-31,35
2012-01-01 - 2012-01-07,33
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,32
2012-01-22 - 2012-01-28,32
2012-01-29 - 2012-02-04,31
2012-02-05 - 2012-02-11,31
2012-02-12 - 2012-02-18,30
2012-02-19 - 2012-02-25,29
2012-02-26 - 2012-03-03,27
2012-03-04 - 2012-03-10,28
2012-03-11 - 2012-03-17,27
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,31
2012-04-08 - 2012-04-14,31
2012-04-15 - 2012-04-21,32
2012-04-22 - 2012-04-28,32
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,46
2012-05-13 - 2012-05-19,44
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,42
2012-06-03 - 2012-06-09,43
2012-06-10 - 2012-06-16,50
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,50
2012-07-01 - 2012-07-07,49
2012-07-08 - 2012-07-14,50
2012-07-15 - 2012-07-21,50
2012-07-22 - 2012-07-28,51
2012-07-29 - 2012-08-04,49
2012-08-05 - 2012-08-11,51
2012-08-12 - 2012-08-18,55
2012-08-19 - 2012-08-25,68
2012-08-26 - 2012-09-01,62
2012-09-02 - 2012-09-08,55
2012-09-09 - 2012-09-15,54
2012-09-16 - 2012-09-22,51
2012-09-23 - 2012-09-29,51
2012-09-30 - 2012-10-06,51
2012-10-07 - 2012-10-13,50
2012-10-14 - 2012-10-20,49
2012-10-21 - 2012-10-27,46
2012-10-28 - 2012-11-03,45
2012-11-04 - 2012-11-10,44
2012-11-11 - 2012-11-17,43
2012-11-18 - 2012-11-24,38
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,32
2012-12-09 - 2012-12-15,30
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,31
2012-12-30 - 2013-01-05,30
2013-01-06 - 2013-01-12,28
2013-01-13 - 2013-01-19,27
2013-01-20 - 2013-01-26,26
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,27
2013-02-10 - 2013-02-16,28
2013-02-17 - 2013-02-23,27
2013-02-24 - 2013-03-02,27
2013-03-03 - 2013-03-09,27
2013-03-10 - 2013-03-16,30
2013-03-17 - 2013-03-23,27
2013-03-24 - 2013-03-30,27
2013-03-31 - 2013-04-06,24
2013-04-07 - 2013-04-13,23
2013-04-14 - 2013-04-20,22
2013-04-21 - 2013-04-27,23
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,19
2013-05-12 - 2013-05-18,19
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,17
2013-06-09 - 2013-06-15,17
2013-06-16 - 2013-06-22,17
2013-06-23 - 2013-06-29,17
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,14
2013-07-21 - 2013-07-27,14
2013-07-28 - 2013-08-03,14
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,13
2013-08-18 - 2013-08-24,13
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,14
2013-09-08 - 2013-09-14,13
2013-09-15 - 2013-09-21,14
2013-09-22 - 2013-09-28,14
2013-09-29 - 2013-10-05,14
2013-10-06 - 2013-10-12,15
2013-10-13 - 2013-10-19,15
2013-10-20 - 2013-10-26,13
2013-10-27 - 2013-11-02,14
2013-11-03 - 2013-11-09,14
2013-11-10 - 2013-11-16,15
2013-11-17 - 2013-11-23,14
2013-11-24 - 2013-11-30,12
2013-12-01 - 2013-12-07,14
2013-12-08 - 2013-12-14,11
2013-12-15 - 2013-12-21,11
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,12
2014-01-05 - 2014-01-11,12
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,14
2014-01-26 - 2014-02-01,14
2014-02-02 - 2014-02-08,15
2014-02-09 - 2014-02-15,20
2014-02-16 - 2014-02-22,21
2014-02-23 - 2014-03-01,20
2014-03-02 - 2014-03-08,21
2014-03-09 - 2014-03-15,25
2014-03-16 - 2014-03-22,25
2014-03-23 - 2014-03-29,25
2014-03-30 - 2014-04-05,29
2014-04-06 - 2014-04-12,27
2014-04-13 - 2014-04-19,27
2014-04-20 - 2014-04-26,25
2014-04-27 - 2014-05-03,26
2014-05-04 - 2014-05-10,24
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,26
2014-05-25 - 2014-05-31,23
2014-06-01 - 2014-06-07,25
2014-06-08 - 2014-06-14,22
2014-06-15 - 2014-06-21,23
2014-06-22 - 2014-06-28,27
2014-06-29 - 2014-07-05,37
2014-07-06 - 2014-07-12,33
2014-07-13 - 2014-07-19,31
2014-07-20 - 2014-07-26,30
2014-07-27 - 2014-08-02,31
2014-08-03 - 2014-08-09,28
2014-08-10 - 2014-08-16,26
2014-08-17 - 2014-08-23,27
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,25
2014-09-07 - 2014-09-13,27
2014-09-14 - 2014-09-20,31
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,29
2014-10-05 - 2014-10-11,29
2014-10-12 - 2014-10-18,28
2014-10-19 - 2014-10-25,28
2014-10-26 - 2014-11-01,27
2014-11-02 - 2014-11-08,27
2014-11-09 - 2014-11-15,26
2014-11-16 - 2014-11-22,24
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,18
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,17
2015-01-11 - 2015-01-17,19
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,18
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,19
2015-02-22 - 2015-02-28,21
2015-03-01 - 2015-03-07,24
2015-03-08 - 2015-03-14,24
2015-03-15 - 2015-03-21,23
2015-03-22 - 2015-03-28,24
2015-03-29 - 2015-04-04,24
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,27
2015-04-19 - 2015-04-25,27
2015-04-26 - 2015-05-02,28
2015-05-03 - 2015-05-09,26
2015-05-10 - 2015-05-16,28
2015-05-17 - 2015-05-23,28
2015-05-24 - 2015-05-30,27
2015-05-31 - 2015-06-06,26
2015-06-07 - 2015-06-13,24
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,19
2015-07-26 - 2015-08-01,19


Top sub-regions for trey songz
Sub-region,trey songz
Mississippi,100
Louisiana,81
Georgia,77
North Carolina,76
Delaware,73
South Carolina,72
Alabama,72
New York,70
Maryland,66
District of Columbia,65
Pennsylvania,64
Michigan,63
New Jersey,62
Rhode Island,60
Ohio,58
Connecticut,56
Florida,56
Arkansas,55
Tennessee,55
Illinois,53
Kentucky,53
Missouri,52
Indiana,51
Virginia,50
Texas,50
Massachusetts,46
Wisconsin,44
Arizona,40
Nevada,40
Oklahoma,39
California,39
Kansas,38
West Virginia,36
Hawaii,35
Washington,34
New Mexico,34
Minnesota,33
Iowa,33
Nebraska,32
Colorado,32
Vermont,31
South Dakota,28
New Hampshire,26
Wyoming,26
Alaska,24
North Dakota,23
Oregon,22
Maine,21
Idaho,20
Utah,18
Montana,18


Top metros for trey songz
Metro,trey songz
Greenwood-Greenville MS,100
Jackson MS,62
Montgomery (Selma) AL,58
Florence-Myrtle Beach SC,52
Memphis TN,51
Monroe LA-El Dorado AR,51
Norfolk-Portsmouth-Newport News VA,50
Columbus-Tupelo-West Point MS,50
Albany GA,48
Richmond-Petersburg VA,48
Columbia SC,47
Macon GA,45
Baton Rouge LA,44
Raleigh-Durham (Fayetteville) NC,43
Shreveport LA,42
Columbus GA,42
Augusta GA,42
Birmingham AL,41
Philadelphia PA,40
New Orleans LA,40
Salisbury MD,39
Beaumont-Port Arthur TX,39
Tallahassee FL-Thomasville GA,39
New York NY,39
Baltimore MD,39
Detroit MI,39
Greensboro-High Point-Winston Salem NC,38
Biloxi-Gulfport MS,37
Greenville-New Bern-Washington NC,37
Lafayette LA,37
Jackson TN,37
Savannah GA,36
Atlanta GA,36
Charleston SC,35
Charlotte NC,34
Little Rock-Pine Bluff AR,34
Toledo OH,33
Milwaukee WI,33
West Palm Beach-Ft. Pierce FL,33
Wilmington NC,33
Louisville KY,33
Providence RI-New Bedford MA,32
Cleveland-Akron (Canton) OH,32
Rochester NY,31
Jacksonville FL,31
Chicago IL,30
St. Louis MO,29
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,29
Hartford & New Haven CT,28
Utica NY,28
Miami-Ft. Lauderdale FL,28
Youngstown OH,28
Ft. Wayne IN,28
Tyler-Longview(Lufkin & Nacogdoches) TX,28
Buffalo NY,28
Mobile AL-Pensacola (Ft. Walton Beach) FL,28
Harrisburg-Lancaster-Lebanon-York PA,27
Cincinnati OH,27
Rockford IL,27
Evansville IN,27
Flint-Saginaw-Bay City MI,27
Lansing MI,27
Columbus OH,27
Grand Rapids-Kalamazoo-Battle Creek MI,27
Roanoke-Lynchburg VA,27
Springfield-Holyoke MA,26
Nashville TN,26
Waco-Temple-Bryan TX,26
Huntsville-Decatur (Florence) AL,26
Abilene-Sweetwater TX,26
Charlottesville VA,26
Orlando-Daytona Beach-Melbourne FL,26
Greenville-Spartanburg SC-Asheville NC-Anderson SC,26
Washington DC (Hagerstown MD),26
Houston TX,26
Kansas City MO,26
Lubbock TX,25
South Bend-Elkhart IN,25
Dallas-Ft. Worth TX,25
Tampa-St. Petersburg (Sarasota) FL,25
Indianapolis IN,25
Sacramento-Stockton-Modesto CA,25
Ft. Myers-Naples FL,24
Dayton OH,24
Boston MA-Manchester NH,24
Champaign & Springfield-Decatur IL,24
Pittsburgh PA,24
Peoria-Bloomington IL,23
Fresno-Visalia CA,23
Erie PA,23
Las Vegas NV,23
Wilkes Barre-Scranton PA,23
Binghamton NY,23
Lexington KY,23
Chattanooga TN,23
Albany-Schenectady-Troy NY,23
Los Angeles CA,22
San Antonio TX,22
Gainesville FL,22
Syracuse NY,22
El Paso TX,22
Phoenix AZ,21
Columbia-Jefferson City MO,21
Oklahoma City OK,21
Tucson (Sierra Vista) AZ,21
Bakersfield CA,21
Wichita-Hutchinson KS,21
Amarillo TX,20
Corpus Christi TX,20
Topeka KS,20
Yakima-Pasco-Richland-Kennewick WA,20
Charleston-Huntington WV,20
Honolulu HI,20
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,19
Colorado Springs-Pueblo CO,19
San Diego CA,19
Tri-Cities TN-VA,19
Palm Springs CA,19
Davenport IA-Rock Island-Moline IL,19
Ft. Smith-Fayetteville-Springdale-Rogers AR,19
Seattle-Tacoma WA,18
Burlington VT-Plattsburgh NY,18
Minneapolis-St. Paul MN,18
Austin TX,18
Madison WI,17
Omaha NE,17
Des Moines-Ames IA,17
Monterey-Salinas CA,16
Albuquerque-Santa Fe NM,16
Green Bay-Appleton WI,16
Johnstown-Altoona PA,16
Lincoln & Hastings-Kearney NE,16
Sioux Falls(Mitchell) SD,15
Tulsa OK,15
Anchorage AK,15
Knoxville TN,15
Denver CO,15
Santa Barbara-Santa Maria-San Luis Obispo CA,15
San Francisco-Oakland-San Jose CA,14
Reno NV,14
Spokane WA,13
La Crosse-Eau Claire WI,13
Springfield MO,13
Fargo-Valley City ND,12
Portland OR,12
Portland-Auburn ME,12
Boise ID,11
Eugene OR,11
Salt Lake City UT,11
Harlingen-Weslaco-Brownsville-McAllen TX,11
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
St. Joseph MO,0
Lake Charles LA,0
Alexandria LA,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for trey songz
Town/City,trey songz
Detroit,100
Norfolk,98
Jackson,93
Memphis,88
Philadelphia,86
Baltimore,80
New York,72
Milwaukee,70
New Orleans,69
Atlanta,67
Raleigh,61
Washington,60
Newark,60
St. Louis,59
Charlotte,58



Top searches for trey songz
chris brown,100
drake,95
bottoms up,70
lil wayne,65
nicki minaj,60
trey songs,50
love faces,45
trey song,40
already taken,40
usher,40
say ahh,35
one love,30
rihanna,30
beyonce,30
wiz khalifa,20
trey songz unusual,20
last time,15
bottoms up lyrics,15
nana trey songz,15
rick ross,15
kanye west,15
tyga,15
trey songz 2011,15
ciara,15
ludacris,15
keri hilson,15
fumble trey songz,15
missing you,10
plies,10
trey songz live,10
j cole,10
pleasure p,10
gucci mane,10
fabolous,10
r kelly,10
big sean,10
soulja boy,10
neyo,10
the dream,10
lupe fiasco,10
mary j blige,10
bow wow,10
keyshia cole,10
trey songz freestyle,10
foreign trey songz,10
trey songz ready,10
pretty ricky,10
alicia keys,5
new boyz,5
trey songz 2009,5



Rising searches for trey songz
already taken,Breakout
bottoms up,Breakout
love faces,Breakout
nicki minaj,Breakout
one love,Breakout
say ahh,Breakout
drake,+2,300%
usher,+300%
trey song,+140%
beyonce,+120%



