YouTube Search interest: hillsong united
United States; Jan 2008 - Jul 2015

Interest over time
Week,hillsong united
2011-06-19 - 2011-06-25,36
2011-06-26 - 2011-07-02,40
2011-07-03 - 2011-07-09,36
2011-07-10 - 2011-07-16,42
2011-07-17 - 2011-07-23,40
2011-07-24 - 2011-07-30,40
2011-07-31 - 2011-08-06,47
2011-08-07 - 2011-08-13,50
2011-08-14 - 2011-08-20,49
2011-08-21 - 2011-08-27,45
2011-08-28 - 2011-09-03,39
2011-09-04 - 2011-09-10,39
2011-09-11 - 2011-09-17,43
2011-09-18 - 2011-09-24,41
2011-09-25 - 2011-10-01,40
2011-10-02 - 2011-10-08,41
2011-10-09 - 2011-10-15,38
2011-10-16 - 2011-10-22,32
2011-10-23 - 2011-10-29,34
2011-10-30 - 2011-11-05,36
2011-11-06 - 2011-11-12,32
2011-11-13 - 2011-11-19,35
2011-11-20 - 2011-11-26,29
2011-11-27 - 2011-12-03,32
2011-12-04 - 2011-12-10,30
2011-12-11 - 2011-12-17,27
2011-12-18 - 2011-12-24,21
2011-12-25 - 2011-12-31,25
2012-01-01 - 2012-01-07,32
2012-01-08 - 2012-01-14,32
2012-01-15 - 2012-01-21,34
2012-01-22 - 2012-01-28,36
2012-01-29 - 2012-02-04,33
2012-02-05 - 2012-02-11,36
2012-02-12 - 2012-02-18,32
2012-02-19 - 2012-02-25,34
2012-02-26 - 2012-03-03,33
2012-03-04 - 2012-03-10,30
2012-03-11 - 2012-03-17,33
2012-03-18 - 2012-03-24,35
2012-03-25 - 2012-03-31,34
2012-04-01 - 2012-04-07,31
2012-04-08 - 2012-04-14,30
2012-04-15 - 2012-04-21,33
2012-04-22 - 2012-04-28,30
2012-04-29 - 2012-05-05,28
2012-05-06 - 2012-05-12,30
2012-05-13 - 2012-05-19,29
2012-05-20 - 2012-05-26,24
2012-05-27 - 2012-06-02,20
2012-06-03 - 2012-06-09,29
2012-06-10 - 2012-06-16,27
2012-06-17 - 2012-06-23,27
2012-06-24 - 2012-06-30,22
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,26
2012-07-15 - 2012-07-21,27
2012-07-22 - 2012-07-28,29
2012-07-29 - 2012-08-04,26
2012-08-05 - 2012-08-11,28
2012-08-12 - 2012-08-18,24
2012-08-19 - 2012-08-25,26
2012-08-26 - 2012-09-01,28
2012-09-02 - 2012-09-08,33
2012-09-09 - 2012-09-15,29
2012-09-16 - 2012-09-22,34
2012-09-23 - 2012-09-29,26
2012-09-30 - 2012-10-06,27
2012-10-07 - 2012-10-13,26
2012-10-14 - 2012-10-20,27
2012-10-21 - 2012-10-27,26
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,26
2012-11-11 - 2012-11-17,22
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,19
2012-12-02 - 2012-12-08,19
2012-12-09 - 2012-12-15,19
2012-12-16 - 2012-12-22,16
2012-12-23 - 2012-12-29,17
2012-12-30 - 2013-01-05,23
2013-01-06 - 2013-01-12,24
2013-01-13 - 2013-01-19,23
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,24
2013-02-03 - 2013-02-09,23
2013-02-10 - 2013-02-16,22
2013-02-17 - 2013-02-23,28
2013-02-24 - 2013-03-02,46
2013-03-03 - 2013-03-09,46
2013-03-10 - 2013-03-16,40
2013-03-17 - 2013-03-23,39
2013-03-24 - 2013-03-30,41
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,34
2013-04-14 - 2013-04-20,39
2013-04-21 - 2013-04-27,42
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,44
2013-05-12 - 2013-05-18,35
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,31
2013-06-02 - 2013-06-08,44
2013-06-09 - 2013-06-15,40
2013-06-16 - 2013-06-22,39
2013-06-23 - 2013-06-29,37
2013-06-30 - 2013-07-06,37
2013-07-07 - 2013-07-13,36
2013-07-14 - 2013-07-20,42
2013-07-21 - 2013-07-27,34
2013-07-28 - 2013-08-03,47
2013-08-04 - 2013-08-10,47
2013-08-11 - 2013-08-17,47
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,42
2013-09-01 - 2013-09-07,46
2013-09-08 - 2013-09-14,51
2013-09-15 - 2013-09-21,57
2013-09-22 - 2013-09-28,53
2013-09-29 - 2013-10-05,59
2013-10-06 - 2013-10-12,56
2013-10-13 - 2013-10-19,65
2013-10-20 - 2013-10-26,64
2013-10-27 - 2013-11-02,60
2013-11-03 - 2013-11-09,74
2013-11-10 - 2013-11-16,70
2013-11-17 - 2013-11-23,76
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,56
2013-12-08 - 2013-12-14,52
2013-12-15 - 2013-12-21,60
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,47
2014-01-05 - 2014-01-11,65
2014-01-12 - 2014-01-18,81
2014-01-19 - 2014-01-25,80
2014-01-26 - 2014-02-01,77
2014-02-02 - 2014-02-08,75
2014-02-09 - 2014-02-15,95
2014-02-16 - 2014-02-22,80
2014-02-23 - 2014-03-01,94
2014-03-02 - 2014-03-08,91
2014-03-09 - 2014-03-15,85
2014-03-16 - 2014-03-22,87
2014-03-23 - 2014-03-29,92
2014-03-30 - 2014-04-05,95
2014-04-06 - 2014-04-12,100
2014-04-13 - 2014-04-19,89
2014-04-20 - 2014-04-26,90
2014-04-27 - 2014-05-03,85
2014-05-04 - 2014-05-10,83
2014-05-11 - 2014-05-17,70
2014-05-18 - 2014-05-24,68
2014-05-25 - 2014-05-31,69
2014-06-01 - 2014-06-07,77
2014-06-08 - 2014-06-14,66
2014-06-15 - 2014-06-21,58
2014-06-22 - 2014-06-28,71
2014-06-29 - 2014-07-05,70
2014-07-06 - 2014-07-12,64
2014-07-13 - 2014-07-19,71
2014-07-20 - 2014-07-26,63
2014-07-27 - 2014-08-02,73
2014-08-03 - 2014-08-09,73
2014-08-10 - 2014-08-16,72
2014-08-17 - 2014-08-23,77
2014-08-24 - 2014-08-30,76
2014-08-31 - 2014-09-06,75
2014-09-07 - 2014-09-13,81
2014-09-14 - 2014-09-20,75
2014-09-21 - 2014-09-27,76
2014-09-28 - 2014-10-04,77
2014-10-05 - 2014-10-11,75
2014-10-12 - 2014-10-18,73
2014-10-19 - 2014-10-25,70
2014-10-26 - 2014-11-01,73
2014-11-02 - 2014-11-08,67
2014-11-09 - 2014-11-15,59
2014-11-16 - 2014-11-22,63
2014-11-23 - 2014-11-29,47
2014-11-30 - 2014-12-06,49
2014-12-07 - 2014-12-13,48
2014-12-14 - 2014-12-20,47
2014-12-21 - 2014-12-27,36
2014-12-28 - 2015-01-03,40
2015-01-04 - 2015-01-10,55
2015-01-11 - 2015-01-17,53
2015-01-18 - 2015-01-24,60
2015-01-25 - 2015-01-31,56
2015-02-01 - 2015-02-07,57
2015-02-08 - 2015-02-14,59
2015-02-15 - 2015-02-21,55
2015-02-22 - 2015-02-28,57
2015-03-01 - 2015-03-07,51
2015-03-08 - 2015-03-14,52
2015-03-15 - 2015-03-21,47
2015-03-22 - 2015-03-28,62
2015-03-29 - 2015-04-04,60
2015-04-05 - 2015-04-11,62
2015-04-12 - 2015-04-18,54
2015-04-19 - 2015-04-25,60
2015-04-26 - 2015-05-02,64
2015-05-03 - 2015-05-09,60
2015-05-10 - 2015-05-16,60
2015-05-17 - 2015-05-23,63
2015-05-24 - 2015-05-30,74
2015-05-31 - 2015-06-06,73
2015-06-07 - 2015-06-13,64
2015-06-14 - 2015-06-20,62
2015-06-21 - 2015-06-27,58
2015-06-28 - 2015-07-04,64
2015-07-05 - 2015-07-11,58
2015-07-12 - 2015-07-18,57
2015-07-19 - 2015-07-25,59
2015-07-26 - 2015-08-01,58


Top sub-regions for hillsong united
Sub-region,hillsong united
Oklahoma,100
Texas,81
Alabama,75
Florida,74
Arkansas,74
South Carolina,70
Georgia,70
Washington,66
Tennessee,65
North Carolina,65
California,64
Arizona,62
Missouri,62
New Mexico,62
Kansas,61
Indiana,57
Minnesota,57
Hawaii,55
Montana,54
Mississippi,53
Colorado,53
South Dakota,52
Iowa,52
Virginia,52
Louisiana,51
Oregon,49
Nebraska,49
Kentucky,48
Michigan,48
West Virginia,47
North Dakota,47
Ohio,47
Idaho,46
Wisconsin,44
Maryland,42
Illinois,41
Pennsylvania,40
New Jersey,37
District of Columbia,36
Rhode Island,35
Massachusetts,34
New York,33
New Hampshire,32
Nevada,31
Connecticut,26
Maine,23
Utah,15
Alaska,0
Delaware,0
Vermont,0
Wyoming,0


Top metros for hillsong united
Metro,hillsong united
Miami-Ft. Lauderdale FL,100
Tampa-St. Petersburg (Sarasota) FL,92
Los Angeles CA,89
Orlando-Daytona Beach-Melbourne FL,89
Dallas-Ft. Worth TX,88
Houston TX,87
Atlanta GA,80
Charlotte NC,77
Seattle-Tacoma WA,76
Sacramento-Stockton-Modesto CA,73
Minneapolis-St. Paul MN,67
Phoenix AZ,66
Raleigh-Durham (Fayetteville) NC,62
Washington DC (Hagerstown MD),62
Denver CO,61
San Diego CA,60
Portland OR,59
San Francisco-Oakland-San Jose CA,55
Chicago IL,48
New York NY,44
Philadelphia PA,42
Boston MA-Manchester NH,38
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Detroit MI,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Cleveland-Akron (Canton) OH,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Cincinnati OH,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Indianapolis IN,0
Louisville KY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Columbus OH,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Greenville-Spartanburg SC-Asheville NC-Anderson SC,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
St. Louis MO,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Kansas City MO,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Oklahoma City OK,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
Nashville TN,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for hillsong united
Town/City,hillsong united
Tulsa,100
Oklahoma City,57
Miami,56
Houston,56
San Antonio,54
Dallas,52
Los Angeles,51
Orlando,49
Irvine,46
Phoenix,46
Tampa,44
Richardson,43
Austin,43
Milpitas,42
San Diego,42



Top searches for hillsong united
oceans hillsong united,100
oceans,100
oceans hillsong,100
you hillsong united,45
hillsong united lyrics,45
hillsong united hosanna,20
hillsong hosanna,20
hosanna,20
hillsong united live,20
inside out hillsong,15
hillsong united stand,15
everything hillsong united,10
the stand hillsong,10
jesus culture,10
hillsong united acoustic,10
take it all,10
with everything hillsong,10
with everything,10
hillsong united avalanche,10
forever hillsong united,10
hillsong united español,10
mighty to save,5
zion hillsong united,5
aftermath hillsong,5
hillsong united aftermath,5
hillsong playlist,5
hillsong united playlist,5
relentless hillsong united,5
hillsong 2011,5
hillsong united miami,5
freedom hillsong united,5
hillsong desert song,5
hillsong united 2011,5
desert song,5
hillsong united 2010,5
hillsong united stronger,5
stronger hillsong,5
hillsong united bones,5
break free hillsong,5
i surrender hillsong,5
forever reign hillsong,5



Rising searches for hillsong united
everything hillsong united,Breakout
hillsong united live,Breakout
hillsong united lyrics,Breakout
oceans,Breakout
oceans hillsong,Breakout
oceans hillsong united,Breakout
hillsong united hosanna,+110%
inside out hillsong,+110%
you hillsong united,+110%
hosanna,+90%



