YouTube Search interest: lil wayne
United States; Jan 2008 - Jul 2015

Interest over time
Week,lil wayne
2012-08-12 - 2012-08-18,23
2012-08-19 - 2012-08-25,22
2012-08-26 - 2012-09-01,23
2012-09-02 - 2012-09-08,28
2012-09-09 - 2012-09-15,27
2012-09-16 - 2012-09-22,24
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,25
2012-10-07 - 2012-10-13,24
2012-10-14 - 2012-10-20,23
2012-10-21 - 2012-10-27,23
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,22
2012-11-11 - 2012-11-17,21
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,20
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,20
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,19
2013-01-06 - 2013-01-12,20
2013-01-13 - 2013-01-19,20
2013-01-20 - 2013-01-26,19
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,20
2013-02-17 - 2013-02-23,22
2013-02-24 - 2013-03-02,20
2013-03-03 - 2013-03-09,21
2013-03-10 - 2013-03-16,22
2013-03-17 - 2013-03-23,24
2013-03-24 - 2013-03-30,26
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,23
2013-04-14 - 2013-04-20,23
2013-04-21 - 2013-04-27,22
2013-04-28 - 2013-05-04,22
2013-05-05 - 2013-05-11,22
2013-05-12 - 2013-05-18,22
2013-05-19 - 2013-05-25,24
2013-05-26 - 2013-06-01,22
2013-06-02 - 2013-06-08,21
2013-06-09 - 2013-06-15,19
2013-06-16 - 2013-06-22,20
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,16
2013-07-21 - 2013-07-27,15
2013-07-28 - 2013-08-03,15
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,14
2013-08-18 - 2013-08-24,13
2013-08-25 - 2013-08-31,13
2013-09-01 - 2013-09-07,16
2013-09-08 - 2013-09-14,15
2013-09-15 - 2013-09-21,14
2013-09-22 - 2013-09-28,14
2013-09-29 - 2013-10-05,14
2013-10-06 - 2013-10-12,14
2013-10-13 - 2013-10-19,13
2013-10-20 - 2013-10-26,12
2013-10-27 - 2013-11-02,12
2013-11-03 - 2013-11-09,12
2013-11-10 - 2013-11-16,12
2013-11-17 - 2013-11-23,12
2013-11-24 - 2013-11-30,11
2013-12-01 - 2013-12-07,11
2013-12-08 - 2013-12-14,10
2013-12-15 - 2013-12-21,10
2013-12-22 - 2013-12-28,10
2013-12-29 - 2014-01-04,9
2014-01-05 - 2014-01-11,9
2014-01-12 - 2014-01-18,9
2014-01-19 - 2014-01-25,9
2014-01-26 - 2014-02-01,9
2014-02-02 - 2014-02-08,9
2014-02-09 - 2014-02-15,9
2014-02-16 - 2014-02-22,9
2014-02-23 - 2014-03-01,9
2014-03-02 - 2014-03-08,9
2014-03-09 - 2014-03-15,9
2014-03-16 - 2014-03-22,9
2014-03-23 - 2014-03-29,8
2014-03-30 - 2014-04-05,8
2014-04-06 - 2014-04-12,9
2014-04-13 - 2014-04-19,8
2014-04-20 - 2014-04-26,9
2014-04-27 - 2014-05-03,9
2014-05-04 - 2014-05-10,12
2014-05-11 - 2014-05-17,11
2014-05-18 - 2014-05-24,10
2014-05-25 - 2014-05-31,10
2014-06-01 - 2014-06-07,9
2014-06-08 - 2014-06-14,8
2014-06-15 - 2014-06-21,8
2014-06-22 - 2014-06-28,8
2014-06-29 - 2014-07-05,9
2014-07-06 - 2014-07-12,8
2014-07-13 - 2014-07-19,7
2014-07-20 - 2014-07-26,7
2014-07-27 - 2014-08-02,8
2014-08-03 - 2014-08-09,8
2014-08-10 - 2014-08-16,8
2014-08-17 - 2014-08-23,8
2014-08-24 - 2014-08-30,8
2014-08-31 - 2014-09-06,8
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,7
2014-09-21 - 2014-09-27,7
2014-09-28 - 2014-10-04,7
2014-10-05 - 2014-10-11,7
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,7
2014-10-26 - 2014-11-01,7
2014-11-02 - 2014-11-08,7
2014-11-09 - 2014-11-15,7
2014-11-16 - 2014-11-22,7
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,7
2014-12-21 - 2014-12-27,6
2014-12-28 - 2015-01-03,6
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,7
2015-01-18 - 2015-01-24,10
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,9
2015-02-08 - 2015-02-14,8
2015-02-15 - 2015-02-21,8
2015-02-22 - 2015-02-28,7
2015-03-01 - 2015-03-07,7
2015-03-08 - 2015-03-14,7
2015-03-15 - 2015-03-21,8
2015-03-22 - 2015-03-28,7
2015-03-29 - 2015-04-04,6
2015-04-05 - 2015-04-11,6
2015-04-12 - 2015-04-18,7
2015-04-19 - 2015-04-25,7
2015-04-26 - 2015-05-02,7
2015-05-03 - 2015-05-09,7
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,6
2015-05-24 - 2015-05-30,6
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,6
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,6
2015-07-12 - 2015-07-18,6
2015-07-19 - 2015-07-25,6
2015-07-26 - 2015-08-01,6


Top sub-regions for lil wayne
Sub-region,lil wayne
Louisiana,100
Mississippi,86
Alabama,74
North Carolina,71
South Carolina,70
Florida,69
Georgia,69
Kentucky,68
Ohio,66
Texas,62
Indiana,61
Michigan,61
Tennessee,60
Arkansas,60
Missouri,60
Illinois,60
Pennsylvania,59
District of Columbia,57
Maryland,57
West Virginia,57
New York,53
Wisconsin,53
New Jersey,52
Rhode Island,51
Connecticut,50
Delaware,49
Oklahoma,49
Iowa,48
South Dakota,48
Massachusetts,47
Kansas,47
Arizona,46
Nebraska,43
North Dakota,42
Minnesota,42
New Mexico,42
Virginia,41
Maine,41
Vermont,39
New Hampshire,39
Nevada,38
Colorado,37
California,35
Wyoming,34
Washington,32
Alaska,30
Montana,29
Hawaii,29
Idaho,28
Oregon,23
Utah,23


Top metros for lil wayne
Metro,lil wayne
Greenwood-Greenville MS,100
New Orleans LA,95
Meridian MS,82
Jackson MS,81
Montgomery (Selma) AL,80
Monroe LA-El Dorado AR,80
Alexandria LA,80
Lafayette LA,80
Albany GA,79
Shreveport LA,76
Baton Rouge LA,74
Zanesville OH,72
Florence-Myrtle Beach SC,71
Biloxi-Gulfport MS,71
Lake Charles LA,70
Birmingham AL,69
Hattiesburg-Laurel MS,68
Columbus-Tupelo-West Point MS,68
Beaumont-Port Arthur TX,67
Dothan AL,66
Tallahassee FL-Thomasville GA,66
Augusta GA,65
Columbia SC,64
Memphis TN,64
Louisville KY,64
Abilene-Sweetwater TX,64
Macon GA,63
Raleigh-Durham (Fayetteville) NC,63
St. Joseph MO,62
Little Rock-Pine Bluff AR,61
St. Louis MO,61
Lima OH,61
Corpus Christi TX,60
Savannah GA,59
Charleston SC,59
Miami-Ft. Lauderdale FL,59
Cleveland-Akron (Canton) OH,59
Jonesboro AR,58
Atlanta GA,58
Wilmington NC,58
Columbus GA,58
Tampa-St. Petersburg (Sarasota) FL,58
Jackson TN,58
Bluefield-Beckley-Oak Hill WV,58
Greenville-New Bern-Washington NC,58
Chicago IL,58
Charlotte NC,58
Detroit MI,58
West Palm Beach-Ft. Pierce FL,57
Quincy IL-Hannibal MO-Keokuk IA,57
Jacksonville FL,57
Tyler-Longview(Lufkin & Nacogdoches) TX,57
Odessa-Midland TX,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,56
Youngstown OH,56
Flint-Saginaw-Bay City MI,56
Dayton OH,56
Columbus OH,55
Orlando-Daytona Beach-Melbourne FL,55
Ft. Wayne IN,55
Toledo OH,55
Wheeling WV-Steubenville OH,55
Houston TX,55
Philadelphia PA,54
Salisbury MD,54
Indianapolis IN,54
Victoria TX,53
Greenville-Spartanburg SC-Asheville NC-Anderson SC,53
Bowling Green KY,53
Lubbock TX,53
Milwaukee WI,52
Chattanooga TN,52
Evansville IN,52
Lexington KY,52
Ft. Myers-Naples FL,52
Panama City FL,52
Rockford IL,52
San Angelo TX,51
San Antonio TX,51
Parkersburg WV,51
Charleston-Huntington WV,51
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,51
Waco-Temple-Bryan TX,51
Providence RI-New Bedford MA,51
Greensboro-High Point-Winston Salem NC,51
Terre Haute IN,51
Dallas-Ft. Worth TX,51
Baltimore MD,50
Norfolk-Portsmouth-Newport News VA,50
Richmond-Petersburg VA,50
Grand Rapids-Kalamazoo-Battle Creek MI,50
Wilkes Barre-Scranton PA,50
Sherman TX-Ada OK,50
Laredo TX,50
Clarksburg-Weston WV,50
Marquette MI,49
Pittsburgh PA,49
Wichita Falls TX & Lawton OK,49
Rochester NY,49
Huntsville-Decatur (Florence) AL,49
Amarillo TX,49
Erie PA,48
Champaign & Springfield-Decatur IL,48
Syracuse NY,48
Tri-Cities TN-VA,47
New York NY,47
Joplin MO-Pittsburg KS,47
Cincinnati OH,47
Utica NY,47
Kansas City MO,47
Gainesville FL,47
Nashville TN,47
Oklahoma City OK,47
Rapid City SD,46
South Bend-Elkhart IN,46
Davenport IA-Rock Island-Moline IL,46
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,46
Sioux City IA,45
Hartford & New Haven CT,45
Albany-Schenectady-Troy NY,45
Knoxville TN,45
Duluth MN-Superior WI,44
Binghamton NY,44
Mankato MN,44
Rochester MN-Mason City IA-Austin MN,44
Peoria-Bloomington IL,44
Lansing MI,44
Roanoke-Lynchburg VA,44
Sioux Falls(Mitchell) SD,44
El Paso TX,44
Elmira NY,44
Columbia-Jefferson City MO,43
Boston MA-Manchester NH,43
Harrisburg-Lancaster-Lebanon-York PA,43
Green Bay-Appleton WI,43
Bakersfield CA,43
Minot-Bismarck-Dickinson(Williston) ND,43
Harrisonburg VA,43
Watertown NY,43
Charlottesville VA,42
Des Moines-Ames IA,42
Lincoln & Hastings-Kearney NE,42
Buffalo NY,41
Palm Springs CA,41
Wichita-Hutchinson KS,41
Washington DC (Hagerstown MD),41
Traverse City-Cadillac MI,40
Harlingen-Weslaco-Brownsville-McAllen TX,40
Topeka KS,39
Ft. Smith-Fayetteville-Springdale-Rogers AR,39
La Crosse-Eau Claire WI,39
Minneapolis-St. Paul MN,39
Johnstown-Altoona PA,39
Omaha NE,39
Springfield-Holyoke MA,39
Portland-Auburn ME,39
Lafayette IN,39
Phoenix AZ,38
Burlington VT-Plattsburgh NY,38
Fresno-Visalia CA,38
Madison WI,38
Cheyenne WY-Scottsbluff NE,37
Austin TX,37
Los Angeles CA,37
Tucson (Sierra Vista) AZ,37
Las Vegas NV,37
Albuquerque-Santa Fe NM,36
Bangor ME,36
Ottumwa IA-Kirksville MO,35
Yuma AZ-El Centro CA,35
Wausau-Rhinelander WI,35
Casper-Riverton WY,35
Fargo-Valley City ND,35
Sacramento-Stockton-Modesto CA,35
Grand Junction-Montrose CO,34
Springfield MO,33
Tulsa OK,33
Great Falls MT,33
Yakima-Pasco-Richland-Kennewick WA,33
Colorado Springs-Pueblo CO,32
Denver CO,32
Twin Falls ID,30
Seattle-Tacoma WA,30
Billings MT,30
Spokane WA,29
Chico-Redding CA,29
Anchorage AK,28
Medford-Klamath Falls OR,28
San Diego CA,28
Reno NV,28
Eureka CA,28
Santa Barbara-Santa Maria-San Luis Obispo CA,27
Honolulu HI,27
Boise ID,26
Fairbanks AK,26
Bend OR,25
Monterey-Salinas CA,24
Butte-Bozeman MT,24
Missoula MT,24
Salt Lake City UT,23
Eugene OR,22
Idaho Falls-Pocatello ID,21
San Francisco-Oakland-San Jose CA,21
Portland OR,20
Presque Isle ME,0
Alpena MI,0
North Platte NE,0
Juneau AK,0
Helena MT,0
Glendive MT,0


Top cities for lil wayne
Town/City,lil wayne
New Orleans,100
Atlanta,71
Louisville,70
Miami,68
St. Louis,68
Tampa,65
Chicago,64
Columbus,64
Orlando,63
Philadelphia,63
Reston,62
Indianapolis,62
Houston,61
Richardson,60
Dallas,59



Top searches for lil wayne
lil wayne lyrics,100
drake,85
drake lil wayne,85
how to love,45
lil wayne remix,45
eminem,45
lil wayne new,35
nicki minaj,30
chris brown,30
down,25
wiz khalifa,25
lil wayne songs,25
gucci gucci,20
lollipop,20
lollipop lil wayne,20
drop the world,20
rick ross,20
kanye west,15
she will,15
lil wayne freestyle,15
lil wayne mirror,15
lil wayne instrumental,15
lil wayne 2011,15
lil wayne john,15
no love,15
tyga,15
forever,15
single lil wayne,15
rihanna,15
gucci mane,10
my life,10
jay z,10
justin bieber,10
right above it,10
birdman,10
young jeezy,10
the game,10
soulja boy,10
beyonce,10
lil wayne 2010,10
bruno mars,10
50 cent,10
blunt blowin,10
trey songz,10
akon,10
lil boosie,10
eminem no love,10
usher,10
young money,10
ti,10



Rising searches for lil wayne
drake,Breakout
drake lil wayne,Breakout
drop the world,Breakout
how to love,Breakout
lollipop,Breakout
lollipop lil wayne,Breakout
nicki minaj,Breakout
wiz khalifa,Breakout
lil wayne lyrics,+2,650%
eminem,+550%



