YouTube Search interest: reba mcentire
United States; Jan 2008 - Jul 2015

Interest over time
Week,reba mcentire
2010-11-14 - 2010-11-20,90
2010-11-21 - 2010-11-27,69
2010-11-28 - 2010-12-04,71
2010-12-05 - 2010-12-11,67
2010-12-12 - 2010-12-18,74
2010-12-19 - 2010-12-25,65
2010-12-26 - 2011-01-01,64
2011-01-02 - 2011-01-08,88
2011-01-09 - 2011-01-15,76
2011-01-16 - 2011-01-22,82
2011-01-23 - 2011-01-29,74
2011-01-30 - 2011-02-05,76
2011-02-06 - 2011-02-12,76
2011-02-13 - 2011-02-19,70
2011-02-20 - 2011-02-26,73
2011-02-27 - 2011-03-05,86
2011-03-06 - 2011-03-12,88
2011-03-13 - 2011-03-19,75
2011-03-20 - 2011-03-26,68
2011-03-27 - 2011-04-02,71
2011-04-03 - 2011-04-09,82
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,69
2011-04-24 - 2011-04-30,64
2011-05-01 - 2011-05-07,70
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,75
2011-05-22 - 2011-05-28,66
2011-05-29 - 2011-06-04,72
2011-06-05 - 2011-06-11,67
2011-06-12 - 2011-06-18,60
2011-06-19 - 2011-06-25,63
2011-06-26 - 2011-07-02,65
2011-07-03 - 2011-07-09,52
2011-07-10 - 2011-07-16,58
2011-07-17 - 2011-07-23,62
2011-07-24 - 2011-07-30,59
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,62
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,57
2011-08-28 - 2011-09-03,62
2011-09-04 - 2011-09-10,59
2011-09-11 - 2011-09-17,52
2011-09-18 - 2011-09-24,53
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,56
2011-10-09 - 2011-10-15,60
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,47
2011-11-06 - 2011-11-12,58
2011-11-13 - 2011-11-19,53
2011-11-20 - 2011-11-26,48
2011-11-27 - 2011-12-03,51
2011-12-04 - 2011-12-10,49
2011-12-11 - 2011-12-17,45
2011-12-18 - 2011-12-24,50
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,43
2012-01-08 - 2012-01-14,47
2012-01-15 - 2012-01-21,49
2012-01-22 - 2012-01-28,45
2012-01-29 - 2012-02-04,45
2012-02-05 - 2012-02-11,39
2012-02-12 - 2012-02-18,42
2012-02-19 - 2012-02-25,51
2012-02-26 - 2012-03-03,44
2012-03-04 - 2012-03-10,45
2012-03-11 - 2012-03-17,45
2012-03-18 - 2012-03-24,43
2012-03-25 - 2012-03-31,48
2012-04-01 - 2012-04-07,47
2012-04-08 - 2012-04-14,41
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,41
2012-04-29 - 2012-05-05,39
2012-05-06 - 2012-05-12,40
2012-05-13 - 2012-05-19,45
2012-05-20 - 2012-05-26,44
2012-05-27 - 2012-06-02,43
2012-06-03 - 2012-06-09,39
2012-06-10 - 2012-06-16,41
2012-06-17 - 2012-06-23,40
2012-06-24 - 2012-06-30,41
2012-07-01 - 2012-07-07,40
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,35
2012-07-22 - 2012-07-28,40
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,35
2012-08-12 - 2012-08-18,42
2012-08-19 - 2012-08-25,38
2012-08-26 - 2012-09-01,41
2012-09-02 - 2012-09-08,40
2012-09-09 - 2012-09-15,42
2012-09-16 - 2012-09-22,38
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,44
2012-10-07 - 2012-10-13,34
2012-10-14 - 2012-10-20,35
2012-10-21 - 2012-10-27,39
2012-10-28 - 2012-11-03,42
2012-11-04 - 2012-11-10,39
2012-11-11 - 2012-11-17,40
2012-11-18 - 2012-11-24,36
2012-11-25 - 2012-12-01,35
2012-12-02 - 2012-12-08,36
2012-12-09 - 2012-12-15,36
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,33
2012-12-30 - 2013-01-05,35
2013-01-06 - 2013-01-12,32
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,38
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,30
2013-02-24 - 2013-03-02,32
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,32
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,32
2013-04-07 - 2013-04-13,35
2013-04-14 - 2013-04-20,30
2013-04-21 - 2013-04-27,39
2013-04-28 - 2013-05-04,34
2013-05-05 - 2013-05-11,32
2013-05-12 - 2013-05-18,30
2013-05-19 - 2013-05-25,29
2013-05-26 - 2013-06-01,35
2013-06-02 - 2013-06-08,33
2013-06-09 - 2013-06-15,31
2013-06-16 - 2013-06-22,31
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,36
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,30
2013-07-21 - 2013-07-27,27
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,25
2013-08-11 - 2013-08-17,24
2013-08-18 - 2013-08-24,33
2013-08-25 - 2013-08-31,32
2013-09-01 - 2013-09-07,30
2013-09-08 - 2013-09-14,29
2013-09-15 - 2013-09-21,27
2013-09-22 - 2013-09-28,29
2013-09-29 - 2013-10-05,26
2013-10-06 - 2013-10-12,32
2013-10-13 - 2013-10-19,27
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,33
2013-11-03 - 2013-11-09,29
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,30
2013-12-01 - 2013-12-07,25
2013-12-08 - 2013-12-14,31
2013-12-15 - 2013-12-21,31
2013-12-22 - 2013-12-28,26
2013-12-29 - 2014-01-04,22
2014-01-05 - 2014-01-11,27
2014-01-12 - 2014-01-18,25
2014-01-19 - 2014-01-25,31
2014-01-26 - 2014-02-01,27
2014-02-02 - 2014-02-08,26
2014-02-09 - 2014-02-15,25
2014-02-16 - 2014-02-22,27
2014-02-23 - 2014-03-01,26
2014-03-02 - 2014-03-08,28
2014-03-09 - 2014-03-15,24
2014-03-16 - 2014-03-22,24
2014-03-23 - 2014-03-29,27
2014-03-30 - 2014-04-05,26
2014-04-06 - 2014-04-12,26
2014-04-13 - 2014-04-19,24
2014-04-20 - 2014-04-26,24
2014-04-27 - 2014-05-03,28
2014-05-04 - 2014-05-10,28
2014-05-11 - 2014-05-17,26
2014-05-18 - 2014-05-24,29
2014-05-25 - 2014-05-31,24
2014-06-01 - 2014-06-07,29
2014-06-08 - 2014-06-14,24
2014-06-15 - 2014-06-21,28
2014-06-22 - 2014-06-28,25
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,25
2014-07-13 - 2014-07-19,26
2014-07-20 - 2014-07-26,35
2014-07-27 - 2014-08-02,27
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,26
2014-08-24 - 2014-08-30,25
2014-08-31 - 2014-09-06,21
2014-09-07 - 2014-09-13,23
2014-09-14 - 2014-09-20,23
2014-09-21 - 2014-09-27,27
2014-09-28 - 2014-10-04,29
2014-10-05 - 2014-10-11,20
2014-10-12 - 2014-10-18,23
2014-10-19 - 2014-10-25,26
2014-10-26 - 2014-11-01,29
2014-11-02 - 2014-11-08,21
2014-11-09 - 2014-11-15,29
2014-11-16 - 2014-11-22,25
2014-11-23 - 2014-11-29,23
2014-11-30 - 2014-12-06,22
2014-12-07 - 2014-12-13,24
2014-12-14 - 2014-12-20,31
2014-12-21 - 2014-12-27,25
2014-12-28 - 2015-01-03,23
2015-01-04 - 2015-01-10,27
2015-01-11 - 2015-01-17,26
2015-01-18 - 2015-01-24,24
2015-01-25 - 2015-01-31,25
2015-02-01 - 2015-02-07,23
2015-02-08 - 2015-02-14,25
2015-02-15 - 2015-02-21,28
2015-02-22 - 2015-02-28,29
2015-03-01 - 2015-03-07,34
2015-03-08 - 2015-03-14,37
2015-03-15 - 2015-03-21,35
2015-03-22 - 2015-03-28,41
2015-03-29 - 2015-04-04,38
2015-04-05 - 2015-04-11,36
2015-04-12 - 2015-04-18,52
2015-04-19 - 2015-04-25,64
2015-04-26 - 2015-05-02,38
2015-05-03 - 2015-05-09,32
2015-05-10 - 2015-05-16,36
2015-05-17 - 2015-05-23,33
2015-05-24 - 2015-05-30,33
2015-05-31 - 2015-06-06,32
2015-06-07 - 2015-06-13,33
2015-06-14 - 2015-06-20,29
2015-06-21 - 2015-06-27,22
2015-06-28 - 2015-07-04,27
2015-07-05 - 2015-07-11,25
2015-07-12 - 2015-07-18,34
2015-07-19 - 2015-07-25,28
2015-07-26 - 2015-08-01,31


Top sub-regions for reba mcentire
Sub-region,reba mcentire
West Virginia,100
Kentucky,84
Oklahoma,65
Wyoming,64
South Dakota,63
Arkansas,61
Tennessee,59
North Dakota,55
Iowa,54
Montana,54
Missouri,54
Alabama,53
Indiana,51
Maine,51
Kansas,50
Ohio,50
Idaho,50
South Carolina,48
Louisiana,48
New Mexico,47
Mississippi,46
Nebraska,45
North Carolina,43
Texas,39
Georgia,38
Wisconsin,38
Michigan,37
Vermont,35
Utah,33
Colorado,33
Pennsylvania,32
Arizona,29
New Hampshire,28
Florida,28
Minnesota,27
Alaska,26
Washington,24
Nevada,23
Virginia,23
Oregon,23
Illinois,22
Delaware,21
Maryland,20
District of Columbia,17
New York,17
Massachusetts,16
Connecticut,15
Rhode Island,15
New Jersey,13
California,12
Hawaii,9


Top metros for reba mcentire
Metro,reba mcentire
Charleston-Huntington WV,100
Louisville KY,58
Oklahoma City OK,51
Greenville-Spartanburg SC-Asheville NC-Anderson SC,51
Nashville TN,49
Cincinnati OH,42
Kansas City MO,42
Columbus OH,42
Indianapolis IN,38
Cleveland-Akron (Canton) OH,37
St. Louis MO,37
Charlotte NC,34
Salt Lake City UT,33
Raleigh-Durham (Fayetteville) NC,31
Dallas-Ft. Worth TX,30
Tampa-St. Petersburg (Sarasota) FL,29
Orlando-Daytona Beach-Melbourne FL,25
Atlanta GA,25
Denver CO,23
Houston TX,23
Phoenix AZ,23
Detroit MI,22
Minneapolis-St. Paul MN,21
Portland OR,20
Sacramento-Stockton-Modesto CA,20
Seattle-Tacoma WA,18
Washington DC (Hagerstown MD),16
Boston MA-Manchester NH,16
Philadelphia PA,15
Chicago IL,14
Los Angeles CA,9
New York NY,8
San Francisco-Oakland-San Jose CA,6
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Pittsburgh PA,0
Ft. Wayne IN,0
Baltimore MD,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Greensboro-High Point-Winston Salem NC,0
Charleston SC,0
Augusta GA,0
Providence RI-New Bedford MA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Miami-Ft. Lauderdale FL,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Hartford & New Haven CT,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Norfolk-Portsmouth-Newport News VA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
West Palm Beach-Ft. Pierce FL,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Milwaukee WI,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Birmingham AL,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Austin TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
San Antonio TX,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
San Diego CA,0
Monterey-Salinas CA,0
Las Vegas NV,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for reba mcentire
Town/City,reba mcentire
Oklahoma City,100
Louisville,96
St. Louis,79
Fort Worth,75
Indianapolis,72
Columbus,69
Herndon,64
Dallas,59
San Antonio,55
Atlanta,55
Denver,52
Tampa,51
Phoenix,51
Richardson,51
Orlando,50



Top searches for reba mcentire
reba mcentire lyrics,100
fancy reba mcentire,65
reba fancy,65
fancy,65
radio reba mcentire,55
consider me gone,55
on the radio,50
reba mcentire songs,30
because of you,25
reba mcentire strange,20
martina mcbride,20
reba mcentire survivor,15
reba mcentire live,15
every other weekend,15
brooks and dunn,10
reba mcentire somebody,10
im a survivor,10
vince gill,10
reba mcentire karaoke,10
reba mcentire still,5
trisha yearwood,5



Rising searches for reba mcentire
consider me gone,Breakout
on the radio,Breakout
radio reba mcentire,Breakout
reba mcentire lyrics,Breakout
reba mcentire songs,Breakout
reba mcentire strange,Breakout
fancy reba mcentire,+450%
reba fancy,+350%
fancy,+300%
martina mcbride,+70%



