YouTube Search interest: the script
United States; Jan 2008 - Jul 2015

Interest over time
Week,the script
2009-03-22 - 2009-03-28,10
2009-03-29 - 2009-04-04,13
2009-04-05 - 2009-04-11,10
2009-04-12 - 2009-04-18,11
2009-04-19 - 2009-04-25,11
2009-04-26 - 2009-05-02,11
2009-05-03 - 2009-05-09,11
2009-05-10 - 2009-05-16,12
2009-05-17 - 2009-05-23,13
2009-05-24 - 2009-05-30,11
2009-05-31 - 2009-06-06,10
2009-06-07 - 2009-06-13,9
2009-06-14 - 2009-06-20,8
2009-06-21 - 2009-06-27,8
2009-06-28 - 2009-07-04,7
2009-07-05 - 2009-07-11,8
2009-07-12 - 2009-07-18,8
2009-07-19 - 2009-07-25,9
2009-07-26 - 2009-08-01,10
2009-08-02 - 2009-08-08,7
2009-08-09 - 2009-08-15,9
2009-08-16 - 2009-08-22,6
2009-08-23 - 2009-08-29,7
2009-08-30 - 2009-09-05,7
2009-09-06 - 2009-09-12,6
2009-09-13 - 2009-09-19,6
2009-09-20 - 2009-09-26,7
2009-09-27 - 2009-10-03,7
2009-10-04 - 2009-10-10,10
2009-10-11 - 2009-10-17,10
2009-10-18 - 2009-10-24,12
2009-10-25 - 2009-10-31,12
2009-11-01 - 2009-11-07,14
2009-11-08 - 2009-11-14,14
2009-11-15 - 2009-11-21,16
2009-11-22 - 2009-11-28,18
2009-11-29 - 2009-12-05,23
2009-12-06 - 2009-12-12,21
2009-12-13 - 2009-12-19,24
2009-12-20 - 2009-12-26,21
2009-12-27 - 2010-01-02,20
2010-01-03 - 2010-01-09,24
2010-01-10 - 2010-01-16,29
2010-01-17 - 2010-01-23,28
2010-01-24 - 2010-01-30,33
2010-01-31 - 2010-02-06,41
2010-02-07 - 2010-02-13,46
2010-02-14 - 2010-02-20,50
2010-02-21 - 2010-02-27,56
2010-02-28 - 2010-03-06,63
2010-03-07 - 2010-03-13,54
2010-03-14 - 2010-03-20,64
2010-03-21 - 2010-03-27,68
2010-03-28 - 2010-04-03,61
2010-04-04 - 2010-04-10,60
2010-04-11 - 2010-04-17,55
2010-04-18 - 2010-04-24,53
2010-04-25 - 2010-05-01,51
2010-05-02 - 2010-05-08,49
2010-05-09 - 2010-05-15,45
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,38
2010-05-30 - 2010-06-05,34
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,31
2010-06-20 - 2010-06-26,30
2010-06-27 - 2010-07-03,27
2010-07-04 - 2010-07-10,25
2010-07-11 - 2010-07-17,25
2010-07-18 - 2010-07-24,27
2010-07-25 - 2010-07-31,23
2010-08-01 - 2010-08-07,24
2010-08-08 - 2010-08-14,20
2010-08-15 - 2010-08-21,20
2010-08-22 - 2010-08-28,21
2010-08-29 - 2010-09-04,23
2010-09-05 - 2010-09-11,22
2010-09-12 - 2010-09-18,29
2010-09-19 - 2010-09-25,22
2010-09-26 - 2010-10-02,22
2010-10-03 - 2010-10-09,21
2010-10-10 - 2010-10-16,23
2010-10-17 - 2010-10-23,22
2010-10-24 - 2010-10-30,24
2010-10-31 - 2010-11-06,21
2010-11-07 - 2010-11-13,28
2010-11-14 - 2010-11-20,26
2010-11-21 - 2010-11-27,27
2010-11-28 - 2010-12-04,29
2010-12-05 - 2010-12-11,31
2010-12-12 - 2010-12-18,33
2010-12-19 - 2010-12-25,32
2010-12-26 - 2011-01-01,31
2011-01-02 - 2011-01-08,36
2011-01-09 - 2011-01-15,45
2011-01-16 - 2011-01-22,75
2011-01-23 - 2011-01-29,96
2011-01-30 - 2011-02-05,77
2011-02-06 - 2011-02-12,62
2011-02-13 - 2011-02-19,62
2011-02-20 - 2011-02-26,66
2011-02-27 - 2011-03-05,61
2011-03-06 - 2011-03-12,63
2011-03-13 - 2011-03-19,66
2011-03-20 - 2011-03-26,64
2011-03-27 - 2011-04-02,66
2011-04-03 - 2011-04-09,68
2011-04-10 - 2011-04-16,68
2011-04-17 - 2011-04-23,75
2011-04-24 - 2011-04-30,81
2011-05-01 - 2011-05-07,86
2011-05-08 - 2011-05-14,84
2011-05-15 - 2011-05-21,81
2011-05-22 - 2011-05-28,76
2011-05-29 - 2011-06-04,79
2011-06-05 - 2011-06-11,80
2011-06-12 - 2011-06-18,71
2011-06-19 - 2011-06-25,64
2011-06-26 - 2011-07-02,58
2011-07-03 - 2011-07-09,51
2011-07-10 - 2011-07-16,53
2011-07-17 - 2011-07-23,46
2011-07-24 - 2011-07-30,61
2011-07-31 - 2011-08-06,56
2011-08-07 - 2011-08-13,56
2011-08-14 - 2011-08-20,56
2011-08-21 - 2011-08-27,67
2011-08-28 - 2011-09-03,71
2011-09-04 - 2011-09-10,75
2011-09-11 - 2011-09-17,84
2011-09-18 - 2011-09-24,89
2011-09-25 - 2011-10-01,100
2011-10-02 - 2011-10-08,92
2011-10-09 - 2011-10-15,83
2011-10-16 - 2011-10-22,76
2011-10-23 - 2011-10-29,71
2011-10-30 - 2011-11-05,70
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,56
2011-11-20 - 2011-11-26,52
2011-11-27 - 2011-12-03,48
2011-12-04 - 2011-12-10,42
2011-12-11 - 2011-12-17,44
2011-12-18 - 2011-12-24,39
2011-12-25 - 2011-12-31,33
2012-01-01 - 2012-01-07,37
2012-01-08 - 2012-01-14,34
2012-01-15 - 2012-01-21,39
2012-01-22 - 2012-01-28,37
2012-01-29 - 2012-02-04,48
2012-02-05 - 2012-02-11,36
2012-02-12 - 2012-02-18,31
2012-02-19 - 2012-02-25,31
2012-02-26 - 2012-03-03,29
2012-03-04 - 2012-03-10,26
2012-03-11 - 2012-03-17,28
2012-03-18 - 2012-03-24,29
2012-03-25 - 2012-03-31,28
2012-04-01 - 2012-04-07,30
2012-04-08 - 2012-04-14,29
2012-04-15 - 2012-04-21,26
2012-04-22 - 2012-04-28,24
2012-04-29 - 2012-05-05,23
2012-05-06 - 2012-05-12,27
2012-05-13 - 2012-05-19,26
2012-05-20 - 2012-05-26,23
2012-05-27 - 2012-06-02,23
2012-06-03 - 2012-06-09,24
2012-06-10 - 2012-06-16,24
2012-06-17 - 2012-06-23,22
2012-06-24 - 2012-06-30,20
2012-07-01 - 2012-07-07,20
2012-07-08 - 2012-07-14,19
2012-07-15 - 2012-07-21,21
2012-07-22 - 2012-07-28,22
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,21
2012-08-12 - 2012-08-18,22
2012-08-19 - 2012-08-25,27
2012-08-26 - 2012-09-01,33
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,35
2012-09-16 - 2012-09-22,31
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,38
2012-10-07 - 2012-10-13,50
2012-10-14 - 2012-10-20,50
2012-10-21 - 2012-10-27,59
2012-10-28 - 2012-11-03,62
2012-11-04 - 2012-11-10,60
2012-11-11 - 2012-11-17,61
2012-11-18 - 2012-11-24,64
2012-11-25 - 2012-12-01,57
2012-12-02 - 2012-12-08,62
2012-12-09 - 2012-12-15,62
2012-12-16 - 2012-12-22,56
2012-12-23 - 2012-12-29,55
2012-12-30 - 2013-01-05,51
2013-01-06 - 2013-01-12,63
2013-01-13 - 2013-01-19,65
2013-01-20 - 2013-01-26,64
2013-01-27 - 2013-02-02,64
2013-02-03 - 2013-02-09,71
2013-02-10 - 2013-02-16,66
2013-02-17 - 2013-02-23,61
2013-02-24 - 2013-03-02,58
2013-03-03 - 2013-03-09,61
2013-03-10 - 2013-03-16,57
2013-03-17 - 2013-03-23,49
2013-03-24 - 2013-03-30,49
2013-03-31 - 2013-04-06,46
2013-04-07 - 2013-04-13,43
2013-04-14 - 2013-04-20,43
2013-04-21 - 2013-04-27,41
2013-04-28 - 2013-05-04,41
2013-05-05 - 2013-05-11,44
2013-05-12 - 2013-05-18,44
2013-05-19 - 2013-05-25,42
2013-05-26 - 2013-06-01,44
2013-06-02 - 2013-06-08,43
2013-06-09 - 2013-06-15,36
2013-06-16 - 2013-06-22,35
2013-06-23 - 2013-06-29,31
2013-06-30 - 2013-07-06,32
2013-07-07 - 2013-07-13,27
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,26
2013-08-11 - 2013-08-17,28
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,25
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,27
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,25
2013-09-29 - 2013-10-05,25
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,26
2013-10-20 - 2013-10-26,25
2013-10-27 - 2013-11-02,26
2013-11-03 - 2013-11-09,23
2013-11-10 - 2013-11-16,25
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,20
2013-12-01 - 2013-12-07,21
2013-12-08 - 2013-12-14,23
2013-12-15 - 2013-12-21,21
2013-12-22 - 2013-12-28,17
2013-12-29 - 2014-01-04,19
2014-01-05 - 2014-01-11,20
2014-01-12 - 2014-01-18,21
2014-01-19 - 2014-01-25,20
2014-01-26 - 2014-02-01,22
2014-02-02 - 2014-02-08,23
2014-02-09 - 2014-02-15,23
2014-02-16 - 2014-02-22,22
2014-02-23 - 2014-03-01,22
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,19
2014-03-16 - 2014-03-22,21
2014-03-23 - 2014-03-29,19
2014-03-30 - 2014-04-05,21
2014-04-06 - 2014-04-12,21
2014-04-13 - 2014-04-19,20
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,19
2014-05-04 - 2014-05-10,19
2014-05-11 - 2014-05-17,21
2014-05-18 - 2014-05-24,22
2014-05-25 - 2014-05-31,22
2014-06-01 - 2014-06-07,23
2014-06-08 - 2014-06-14,20
2014-06-15 - 2014-06-21,20
2014-06-22 - 2014-06-28,19
2014-06-29 - 2014-07-05,17
2014-07-06 - 2014-07-12,16
2014-07-13 - 2014-07-19,17
2014-07-20 - 2014-07-26,19
2014-07-27 - 2014-08-02,21
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,21
2014-08-24 - 2014-08-30,22
2014-08-31 - 2014-09-06,24
2014-09-07 - 2014-09-13,26
2014-09-14 - 2014-09-20,29
2014-09-21 - 2014-09-27,28
2014-09-28 - 2014-10-04,31
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,33
2014-10-19 - 2014-10-25,34
2014-10-26 - 2014-11-01,30
2014-11-02 - 2014-11-08,32
2014-11-09 - 2014-11-15,30
2014-11-16 - 2014-11-22,30
2014-11-23 - 2014-11-29,28
2014-11-30 - 2014-12-06,27
2014-12-07 - 2014-12-13,26
2014-12-14 - 2014-12-20,25
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,22
2015-01-11 - 2015-01-17,22
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,20
2015-02-01 - 2015-02-07,19
2015-02-08 - 2015-02-14,21
2015-02-15 - 2015-02-21,19
2015-02-22 - 2015-02-28,20
2015-03-01 - 2015-03-07,21
2015-03-08 - 2015-03-14,20
2015-03-15 - 2015-03-21,20
2015-03-22 - 2015-03-28,19
2015-03-29 - 2015-04-04,18
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,19
2015-04-19 - 2015-04-25,22
2015-04-26 - 2015-05-02,21
2015-05-03 - 2015-05-09,21
2015-05-10 - 2015-05-16,19
2015-05-17 - 2015-05-23,19
2015-05-24 - 2015-05-30,19
2015-05-31 - 2015-06-06,23
2015-06-07 - 2015-06-13,19
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,15
2015-06-28 - 2015-07-04,14
2015-07-05 - 2015-07-11,14
2015-07-12 - 2015-07-18,10
2015-07-19 - 2015-07-25,13
2015-07-26 - 2015-08-01,15


Top sub-regions for the script
Sub-region,the script
South Dakota,100
Minnesota,95
Idaho,95
Iowa,93
Wisconsin,93
Maine,92
North Dakota,92
New Hampshire,92
Utah,91
Pennsylvania,91
Michigan,89
Indiana,88
Nebraska,87
Ohio,86
Massachusetts,85
Connecticut,81
New Jersey,81
Wyoming,80
Rhode Island,80
Montana,80
New York,78
West Virginia,78
Illinois,77
Arizona,76
Kentucky,76
Kansas,75
Missouri,74
Colorado,74
Florida,72
North Carolina,71
Vermont,71
Oklahoma,69
Delaware,69
South Carolina,67
Maryland,67
Texas,66
New Mexico,66
Tennessee,65
Hawaii,63
Georgia,63
California,63
Washington,62
Nevada,61
Alabama,61
Arkansas,59
Louisiana,58
Alaska,57
Mississippi,55
Oregon,55
Virginia,51
District of Columbia,48


Top metros for the script
Metro,the script
Johnstown-Altoona PA,100
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,95
Minneapolis-St. Paul MN,91
Toledo OH,89
Grand Rapids-Kalamazoo-Battle Creek MI,88
Burlington VT-Plattsburgh NY,87
Dayton OH,85
Green Bay-Appleton WI,85
Omaha NE,83
Milwaukee WI,82
Rochester NY,82
Harrisburg-Lancaster-Lebanon-York PA,80
Hartford & New Haven CT,79
Boston MA-Manchester NH,79
Cincinnati OH,77
Wichita-Hutchinson KS,77
Providence RI-New Bedford MA,77
Wilkes Barre-Scranton PA,76
Spokane WA,75
Albany-Schenectady-Troy NY,75
Indianapolis IN,75
Detroit MI,75
Fresno-Visalia CA,75
Des Moines-Ames IA,74
Salt Lake City UT,74
Pittsburgh PA,74
Buffalo NY,74
Cleveland-Akron (Canton) OH,74
Flint-Saginaw-Bay City MI,73
Syracuse NY,73
Albuquerque-Santa Fe NM,73
Louisville KY,71
Denver CO,71
Columbus OH,71
Portland-Auburn ME,70
Harlingen-Weslaco-Brownsville-McAllen TX,70
Charlotte NC,70
Lexington KY,69
Sacramento-Stockton-Modesto CA,68
Philadelphia PA,68
Chicago IL,68
New York NY,67
Jacksonville FL,66
Phoenix AZ,66
Greenville-Spartanburg SC-Asheville NC-Anderson SC,66
Birmingham AL,65
Tucson (Sierra Vista) AZ,64
Atlanta GA,64
Kansas City MO,63
Orlando-Daytona Beach-Melbourne FL,63
St. Louis MO,61
Miami-Ft. Lauderdale FL,61
Madison WI,60
Tampa-St. Petersburg (Sarasota) FL,60
Nashville TN,59
Raleigh-Durham (Fayetteville) NC,59
Oklahoma City OK,58
West Palm Beach-Ft. Pierce FL,57
Honolulu HI,57
Norfolk-Portsmouth-Newport News VA,56
Baltimore MD,56
Los Angeles CA,56
Greensboro-High Point-Winston Salem NC,56
New Orleans LA,55
Seattle-Tacoma WA,54
Dallas-Ft. Worth TX,54
San Antonio TX,54
Houston TX,53
San Diego CA,53
Las Vegas NV,51
Austin TX,49
Portland OR,48
Washington DC (Hagerstown MD),43
San Francisco-Oakland-San Jose CA,43
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for the script
Town/City,the script
Minneapolis,100
Phoenix,97
Philadelphia,95
San Jose,94
New York,94
Boston,93
St. Louis,85
San Antonio,85
Denver,85
Las Vegas,84
Houston,84
San Francisco,84
Orlando,82
San Diego,78
Miami,78



Top searches for the script
the script lyrics,100
hall of fame,75
break even,65
script break even,65
nothing script,55
the script nothing,55
nothing,55
the script breakeven,25
breakeven,25
break even lyrics,15
the script live,10
the script cover,10
breakeven lyrics,10
the fray,10
the script superheroes,10
before the worst,5
falling to pieces,5



Rising searches for the script
break even,Breakout
break even lyrics,Breakout
breakeven,Breakout
hall of fame,Breakout
nothing,Breakout
nothing script,Breakout
script break even,Breakout
the script breakeven,Breakout
the script live,Breakout
the script lyrics,Breakout



