YouTube Search interest: lindsey pavao
United States; Jan 2008 - Jul 2015

Interest over time
Month,lindsey pavao
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,46
2012-03,45
2012-04,100
2012-05,63
2012-06,24
2012-07,12
2012-08,10
2012-09,13
2012-10,12
2012-11,11
2012-12,7
2013-01,5
2013-02,4
2013-03,5
2013-04,6
2013-05,4
2013-06,3
2013-07,3
2013-08,3
2013-09,4
2013-10,4
2013-11,4
2013-12,2
2014-01,2
2014-02,3
2014-03,3
2014-04,3
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,3
2015-01,3
2015-02,3
2015-03,3
2015-04,0
2015-05,0
2015-06,0
2015-07,0


Top sub-regions for lindsey pavao
Sub-region,lindsey pavao
California,100
Massachusetts,89
New York,88
Texas,82
Illinois,78
Florida,71
Pennsylvania,71
Alaska,0
Alabama,0
Arkansas,0
Arizona,0
Colorado,0
Connecticut,0
District of Columbia,0
Delaware,0
Georgia,0
Hawaii,0
Iowa,0
Idaho,0
Indiana,0
Kansas,0
Kentucky,0
Louisiana,0
Maryland,0
Maine,0
Michigan,0
Minnesota,0
Missouri,0
Mississippi,0
Montana,0
North Carolina,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Jersey,0
New Mexico,0
Nevada,0
Ohio,0
Oklahoma,0
Oregon,0
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Utah,0
Virginia,0
Vermont,0
Washington,0
Wisconsin,0
West Virginia,0
Wyoming,0




Top cities for lindsey pavao
Town/City,lindsey pavao
New York,100



Top searches for lindsey pavao
say aah,100
lindsey pavao somebody,85
lindsey pavao audition,30
juliet simms,25
mathai,15



Rising searches for lindsey pavao
juliet simms,Breakout
lindsey pavao audition,Breakout
lindsey pavao somebody,Breakout
say aah,Breakout



