YouTube Search interest: ellie goulding
United States; Jan 2008 - Jul 2015

Interest over time
Week,ellie goulding
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,1
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,1
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,1
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,1
2010-01-24 - 2010-01-30,1
2010-01-31 - 2010-02-06,1
2010-02-07 - 2010-02-13,1
2010-02-14 - 2010-02-20,1
2010-02-21 - 2010-02-27,1
2010-02-28 - 2010-03-06,1
2010-03-07 - 2010-03-13,2
2010-03-14 - 2010-03-20,2
2010-03-21 - 2010-03-27,2
2010-03-28 - 2010-04-03,1
2010-04-04 - 2010-04-10,2
2010-04-11 - 2010-04-17,2
2010-04-18 - 2010-04-24,2
2010-04-25 - 2010-05-01,2
2010-05-02 - 2010-05-08,2
2010-05-09 - 2010-05-15,2
2010-05-16 - 2010-05-22,3
2010-05-23 - 2010-05-29,2
2010-05-30 - 2010-06-05,2
2010-06-06 - 2010-06-12,2
2010-06-13 - 2010-06-19,3
2010-06-20 - 2010-06-26,2
2010-06-27 - 2010-07-03,2
2010-07-04 - 2010-07-10,3
2010-07-11 - 2010-07-17,2
2010-07-18 - 2010-07-24,2
2010-07-25 - 2010-07-31,2
2010-08-01 - 2010-08-07,2
2010-08-08 - 2010-08-14,2
2010-08-15 - 2010-08-21,2
2010-08-22 - 2010-08-28,3
2010-08-29 - 2010-09-04,3
2010-09-05 - 2010-09-11,3
2010-09-12 - 2010-09-18,2
2010-09-19 - 2010-09-25,3
2010-09-26 - 2010-10-02,3
2010-10-03 - 2010-10-09,3
2010-10-10 - 2010-10-16,3
2010-10-17 - 2010-10-23,2
2010-10-24 - 2010-10-30,3
2010-10-31 - 2010-11-06,3
2010-11-07 - 2010-11-13,4
2010-11-14 - 2010-11-20,4
2010-11-21 - 2010-11-27,4
2010-11-28 - 2010-12-04,4
2010-12-05 - 2010-12-11,5
2010-12-12 - 2010-12-18,6
2010-12-19 - 2010-12-25,4
2010-12-26 - 2011-01-01,4
2011-01-02 - 2011-01-08,5
2011-01-09 - 2011-01-15,4
2011-01-16 - 2011-01-22,5
2011-01-23 - 2011-01-29,7
2011-01-30 - 2011-02-05,8
2011-02-06 - 2011-02-12,8
2011-02-13 - 2011-02-19,9
2011-02-20 - 2011-02-26,8
2011-02-27 - 2011-03-05,9
2011-03-06 - 2011-03-12,9
2011-03-13 - 2011-03-19,10
2011-03-20 - 2011-03-26,11
2011-03-27 - 2011-04-02,11
2011-04-03 - 2011-04-09,11
2011-04-10 - 2011-04-16,16
2011-04-17 - 2011-04-23,15
2011-04-24 - 2011-04-30,14
2011-05-01 - 2011-05-07,18
2011-05-08 - 2011-05-14,34
2011-05-15 - 2011-05-21,22
2011-05-22 - 2011-05-28,19
2011-05-29 - 2011-06-04,16
2011-06-05 - 2011-06-11,15
2011-06-12 - 2011-06-18,15
2011-06-19 - 2011-06-25,14
2011-06-26 - 2011-07-02,14
2011-07-03 - 2011-07-09,13
2011-07-10 - 2011-07-16,19
2011-07-17 - 2011-07-23,16
2011-07-24 - 2011-07-30,25
2011-07-31 - 2011-08-06,27
2011-08-07 - 2011-08-13,22
2011-08-14 - 2011-08-20,19
2011-08-21 - 2011-08-27,19
2011-08-28 - 2011-09-03,20
2011-09-04 - 2011-09-10,20
2011-09-11 - 2011-09-17,21
2011-09-18 - 2011-09-24,18
2011-09-25 - 2011-10-01,20
2011-10-02 - 2011-10-08,20
2011-10-09 - 2011-10-15,20
2011-10-16 - 2011-10-22,18
2011-10-23 - 2011-10-29,19
2011-10-30 - 2011-11-05,20
2011-11-06 - 2011-11-12,20
2011-11-13 - 2011-11-19,19
2011-11-20 - 2011-11-26,21
2011-11-27 - 2011-12-03,22
2011-12-04 - 2011-12-10,21
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,19
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,21
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,24
2012-01-22 - 2012-01-28,25
2012-01-29 - 2012-02-04,25
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,29
2012-02-19 - 2012-02-25,27
2012-02-26 - 2012-03-03,27
2012-03-04 - 2012-03-10,27
2012-03-11 - 2012-03-17,28
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,27
2012-04-01 - 2012-04-07,30
2012-04-08 - 2012-04-14,33
2012-04-15 - 2012-04-21,33
2012-04-22 - 2012-04-28,33
2012-04-29 - 2012-05-05,37
2012-05-06 - 2012-05-12,39
2012-05-13 - 2012-05-19,42
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,50
2012-06-03 - 2012-06-09,55
2012-06-10 - 2012-06-16,58
2012-06-17 - 2012-06-23,59
2012-06-24 - 2012-06-30,61
2012-07-01 - 2012-07-07,65
2012-07-08 - 2012-07-14,69
2012-07-15 - 2012-07-21,68
2012-07-22 - 2012-07-28,70
2012-07-29 - 2012-08-04,70
2012-08-05 - 2012-08-11,77
2012-08-12 - 2012-08-18,75
2012-08-19 - 2012-08-25,74
2012-08-26 - 2012-09-01,63
2012-09-02 - 2012-09-08,61
2012-09-09 - 2012-09-15,56
2012-09-16 - 2012-09-22,54
2012-09-23 - 2012-09-29,56
2012-09-30 - 2012-10-06,59
2012-10-07 - 2012-10-13,72
2012-10-14 - 2012-10-20,70
2012-10-21 - 2012-10-27,61
2012-10-28 - 2012-11-03,53
2012-11-04 - 2012-11-10,58
2012-11-11 - 2012-11-17,72
2012-11-18 - 2012-11-24,66
2012-11-25 - 2012-12-01,57
2012-12-02 - 2012-12-08,54
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,58
2012-12-23 - 2012-12-29,48
2012-12-30 - 2013-01-05,48
2013-01-06 - 2013-01-12,47
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,41
2013-01-27 - 2013-02-02,41
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,38
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,38
2013-03-03 - 2013-03-09,40
2013-03-10 - 2013-03-16,42
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,34
2013-03-31 - 2013-04-06,30
2013-04-07 - 2013-04-13,30
2013-04-14 - 2013-04-20,36
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,37
2013-05-05 - 2013-05-11,39
2013-05-12 - 2013-05-18,38
2013-05-19 - 2013-05-25,38
2013-05-26 - 2013-06-01,38
2013-06-02 - 2013-06-08,42
2013-06-09 - 2013-06-15,40
2013-06-16 - 2013-06-22,42
2013-06-23 - 2013-06-29,41
2013-06-30 - 2013-07-06,42
2013-07-07 - 2013-07-13,70
2013-07-14 - 2013-07-20,52
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,48
2013-08-04 - 2013-08-10,48
2013-08-11 - 2013-08-17,51
2013-08-18 - 2013-08-24,49
2013-08-25 - 2013-08-31,50
2013-09-01 - 2013-09-07,48
2013-09-08 - 2013-09-14,48
2013-09-15 - 2013-09-21,48
2013-09-22 - 2013-09-28,46
2013-09-29 - 2013-10-05,42
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,41
2013-10-20 - 2013-10-26,42
2013-10-27 - 2013-11-02,42
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,42
2013-11-17 - 2013-11-23,45
2013-11-24 - 2013-11-30,47
2013-12-01 - 2013-12-07,54
2013-12-08 - 2013-12-14,52
2013-12-15 - 2013-12-21,51
2013-12-22 - 2013-12-28,46
2013-12-29 - 2014-01-04,45
2014-01-05 - 2014-01-11,51
2014-01-12 - 2014-01-18,52
2014-01-19 - 2014-01-25,51
2014-01-26 - 2014-02-01,51
2014-02-02 - 2014-02-08,54
2014-02-09 - 2014-02-15,55
2014-02-16 - 2014-02-22,47
2014-02-23 - 2014-03-01,45
2014-03-02 - 2014-03-08,38
2014-03-09 - 2014-03-15,41
2014-03-16 - 2014-03-22,43
2014-03-23 - 2014-03-29,45
2014-03-30 - 2014-04-05,49
2014-04-06 - 2014-04-12,44
2014-04-13 - 2014-04-19,46
2014-04-20 - 2014-04-26,39
2014-04-27 - 2014-05-03,35
2014-05-04 - 2014-05-10,30
2014-05-11 - 2014-05-17,27
2014-05-18 - 2014-05-24,27
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,26
2014-06-08 - 2014-06-14,22
2014-06-15 - 2014-06-21,23
2014-06-22 - 2014-06-28,20
2014-06-29 - 2014-07-05,24
2014-07-06 - 2014-07-12,22
2014-07-13 - 2014-07-19,20
2014-07-20 - 2014-07-26,20
2014-07-27 - 2014-08-02,21
2014-08-03 - 2014-08-09,22
2014-08-10 - 2014-08-16,21
2014-08-17 - 2014-08-23,19
2014-08-24 - 2014-08-30,17
2014-08-31 - 2014-09-06,19
2014-09-07 - 2014-09-13,18
2014-09-14 - 2014-09-20,20
2014-09-21 - 2014-09-27,19
2014-09-28 - 2014-10-04,17
2014-10-05 - 2014-10-11,17
2014-10-12 - 2014-10-18,16
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,18
2014-11-02 - 2014-11-08,18
2014-11-09 - 2014-11-15,17
2014-11-16 - 2014-11-22,17
2014-11-23 - 2014-11-29,14
2014-11-30 - 2014-12-06,16
2014-12-07 - 2014-12-13,16
2014-12-14 - 2014-12-20,15
2014-12-21 - 2014-12-27,15
2014-12-28 - 2015-01-03,16
2015-01-04 - 2015-01-10,26
2015-01-11 - 2015-01-17,31
2015-01-18 - 2015-01-24,44
2015-01-25 - 2015-01-31,61
2015-02-01 - 2015-02-07,62
2015-02-08 - 2015-02-14,76
2015-02-15 - 2015-02-21,100
2015-02-22 - 2015-02-28,99
2015-03-01 - 2015-03-07,81
2015-03-08 - 2015-03-14,86
2015-03-15 - 2015-03-21,96
2015-03-22 - 2015-03-28,87
2015-03-29 - 2015-04-04,80
2015-04-05 - 2015-04-11,73
2015-04-12 - 2015-04-18,65
2015-04-19 - 2015-04-25,62
2015-04-26 - 2015-05-02,56
2015-05-03 - 2015-05-09,52
2015-05-10 - 2015-05-16,51
2015-05-17 - 2015-05-23,48
2015-05-24 - 2015-05-30,44
2015-05-31 - 2015-06-06,40
2015-06-07 - 2015-06-13,38
2015-06-14 - 2015-06-20,34
2015-06-21 - 2015-06-27,32
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,28
2015-07-12 - 2015-07-18,26
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,28


Top sub-regions for ellie goulding
Sub-region,ellie goulding
Colorado,100
Utah,100
Montana,98
New Hampshire,96
Idaho,96
North Dakota,94
Minnesota,92
Massachusetts,92
Iowa,92
Wisconsin,91
Vermont,89
New Mexico,88
Michigan,86
Arizona,86
Rhode Island,86
South Dakota,85
Florida,85
Wyoming,84
Pennsylvania,84
Delaware,83
Maine,83
California,83
Indiana,82
Connecticut,81
Maryland,81
Washington,81
New York,81
Illinois,81
Nebraska,80
Hawaii,80
Nevada,79
Ohio,78
North Carolina,77
New Jersey,75
Oregon,75
Kansas,73
West Virginia,72
Texas,72
South Carolina,72
Tennessee,71
Missouri,70
Oklahoma,70
Georgia,68
Kentucky,67
Arkansas,66
Alaska,66
Alabama,64
Louisiana,64
Mississippi,52
Virginia,50
District of Columbia,44


Top metros for ellie goulding
Metro,ellie goulding
Peoria-Bloomington IL,100
Fargo-Valley City ND,91
Springfield MO,90
Minneapolis-St. Paul MN,86
Lansing MI,86
Johnstown-Altoona PA,86
Davenport IA-Rock Island-Moline IL,85
Santa Barbara-Santa Maria-San Luis Obispo CA,85
Denver CO,85
Salt Lake City UT,85
Lincoln & Hastings-Kearney NE,85
La Crosse-Eau Claire WI,85
Ft. Myers-Naples FL,85
Springfield-Holyoke MA,84
Tallahassee FL-Thomasville GA,83
Albuquerque-Santa Fe NM,82
Madison WI,81
Boise ID,80
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,79
Des Moines-Ames IA,78
Omaha NE,78
Eugene OR,77
Colorado Springs-Pueblo CO,77
Monterey-Salinas CA,77
Burlington VT-Plattsburgh NY,76
Austin TX,76
Roanoke-Lynchburg VA,76
Spokane WA,76
Boston MA-Manchester NH,75
Portland-Auburn ME,74
Seattle-Tacoma WA,73
Grand Rapids-Kalamazoo-Battle Creek MI,73
San Diego CA,73
Wichita-Hutchinson KS,73
New York NY,72
Los Angeles CA,72
Waco-Temple-Bryan TX,72
El Paso TX,72
Phoenix AZ,72
Tucson (Sierra Vista) AZ,72
Baltimore MD,71
Reno NV,71
Milwaukee WI,69
Orlando-Daytona Beach-Melbourne FL,69
Champaign & Springfield-Decatur IL,69
Chicago IL,68
Syracuse NY,68
Harrisburg-Lancaster-Lebanon-York PA,68
Flint-Saginaw-Bay City MI,68
Sacramento-Stockton-Modesto CA,68
San Antonio TX,68
Hartford & New Haven CT,68
South Bend-Elkhart IN,67
Cincinnati OH,67
Philadelphia PA,67
Honolulu HI,67
Pittsburgh PA,66
Tampa-St. Petersburg (Sarasota) FL,66
Green Bay-Appleton WI,66
Providence RI-New Bedford MA,66
Lexington KY,65
Toledo OH,64
Miami-Ft. Lauderdale FL,64
Rochester NY,64
Indianapolis IN,64
Detroit MI,63
Tulsa OK,63
Portland OR,63
Jacksonville FL,63
Greenville-Spartanburg SC-Asheville NC-Anderson SC,62
Fresno-Visalia CA,62
Columbus OH,62
Cleveland-Akron (Canton) OH,62
Wilkes Barre-Scranton PA,61
Albany-Schenectady-Troy NY,61
Buffalo NY,61
Harlingen-Weslaco-Brownsville-McAllen TX,61
Norfolk-Portsmouth-Newport News VA,61
Nashville TN,60
Richmond-Petersburg VA,60
Raleigh-Durham (Fayetteville) NC,60
Knoxville TN,60
Dayton OH,60
Charlotte NC,58
West Palm Beach-Ft. Pierce FL,57
Atlanta GA,57
Houston TX,57
Las Vegas NV,56
Mobile AL-Pensacola (Ft. Walton Beach) FL,56
Kansas City MO,55
New Orleans LA,55
Birmingham AL,54
Oklahoma City OK,53
Greensboro-High Point-Winston Salem NC,53
St. Louis MO,52
Dallas-Ft. Worth TX,48
Louisville KY,48
Little Rock-Pine Bluff AR,47
Memphis TN,47
San Francisco-Oakland-San Jose CA,44
Washington DC (Hagerstown MD),41
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for ellie goulding
Town/City,ellie goulding
Denver,100
San Jose,99
San Diego,90
New York,90
Austin,88
Boston,84
Portland,81
San Antonio,80
Houston,75
Los Angeles,75
Minneapolis,70
Phoenix,67
Seattle,66
San Francisco,66
Philadelphia,64



Top searches for ellie goulding
lights,100
lights ellie goulding,100
ellie goulding lyrics,60
burn,25
ellie goulding burn,25
ellie goulding remix,20
lights lyrics,20
calvin harris,20
starry eyed,15
ellie goulding dubstep,15
dubstep,15
your song,15
bassnectar,10
ellie goulding bassnectar,10
lights bassnectar,10
lights remix,10
ellie goulding skrillex,10
ellie goulding live,5
ellie goulding cover,5
high for this,5
ellie goulding outside,5
explosions ellie goulding,5
ellie goulding acoustic,5
ellie goulding home,5
ellie goulding light,5
zedd,5
bittersweet ellie goulding,0
ellie goulding album,0
titanium david guetta,0
ellie goulding interview,0
ellie goulding halcyon,0
ellie goulding tessellate,0



Rising searches for ellie goulding
bassnectar,Breakout
burn,Breakout
calvin harris,Breakout
dubstep,Breakout
ellie goulding bassnectar,Breakout
ellie goulding burn,Breakout
ellie goulding dubstep,Breakout
ellie goulding lyrics,Breakout
ellie goulding remix,Breakout
lights,Breakout



