YouTube Search interest: jaron and the long road to love
United States; Jan 2008 - Jul 2015

Interest over time
Week,jaron and the long road to love
2009-03-15 - 2009-03-21,0
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,0
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,7
2010-01-24 - 2010-01-30,6
2010-01-31 - 2010-02-06,8
2010-02-07 - 2010-02-13,6
2010-02-14 - 2010-02-20,12
2010-02-21 - 2010-02-27,9
2010-02-28 - 2010-03-06,10
2010-03-07 - 2010-03-13,14
2010-03-14 - 2010-03-20,19
2010-03-21 - 2010-03-27,22
2010-03-28 - 2010-04-03,25
2010-04-04 - 2010-04-10,39
2010-04-11 - 2010-04-17,47
2010-04-18 - 2010-04-24,54
2010-04-25 - 2010-05-01,61
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,67
2010-05-23 - 2010-05-29,67
2010-05-30 - 2010-06-05,66
2010-06-06 - 2010-06-12,77
2010-06-13 - 2010-06-19,87
2010-06-20 - 2010-06-26,100
2010-06-27 - 2010-07-03,83
2010-07-04 - 2010-07-10,80
2010-07-11 - 2010-07-17,79
2010-07-18 - 2010-07-24,70
2010-07-25 - 2010-07-31,69
2010-08-01 - 2010-08-07,54
2010-08-08 - 2010-08-14,46
2010-08-15 - 2010-08-21,40
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,32
2010-09-05 - 2010-09-11,34
2010-09-12 - 2010-09-18,29
2010-09-19 - 2010-09-25,32
2010-09-26 - 2010-10-02,32
2010-10-03 - 2010-10-09,43
2010-10-10 - 2010-10-16,39
2010-10-17 - 2010-10-23,39
2010-10-24 - 2010-10-30,40
2010-10-31 - 2010-11-06,39
2010-11-07 - 2010-11-13,31
2010-11-14 - 2010-11-20,27
2010-11-21 - 2010-11-27,28
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,31
2010-12-12 - 2010-12-18,24
2010-12-19 - 2010-12-25,20
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,26
2011-01-09 - 2011-01-15,23
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,25
2011-01-30 - 2011-02-05,28
2011-02-06 - 2011-02-12,22
2011-02-13 - 2011-02-19,19
2011-02-20 - 2011-02-26,18
2011-02-27 - 2011-03-05,17
2011-03-06 - 2011-03-12,29
2011-03-13 - 2011-03-19,18
2011-03-20 - 2011-03-26,16
2011-03-27 - 2011-04-02,17
2011-04-03 - 2011-04-09,20
2011-04-10 - 2011-04-16,28
2011-04-17 - 2011-04-23,25
2011-04-24 - 2011-04-30,19
2011-05-01 - 2011-05-07,18
2011-05-08 - 2011-05-14,17
2011-05-15 - 2011-05-21,22
2011-05-22 - 2011-05-28,24
2011-05-29 - 2011-06-04,14
2011-06-05 - 2011-06-11,18
2011-06-12 - 2011-06-18,20
2011-06-19 - 2011-06-25,21
2011-06-26 - 2011-07-02,22
2011-07-03 - 2011-07-09,18
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,20
2011-07-24 - 2011-07-30,18
2011-07-31 - 2011-08-06,20
2011-08-07 - 2011-08-13,17
2011-08-14 - 2011-08-20,19
2011-08-21 - 2011-08-27,18
2011-08-28 - 2011-09-03,10
2011-09-04 - 2011-09-10,10
2011-09-11 - 2011-09-17,14
2011-09-18 - 2011-09-24,15
2011-09-25 - 2011-10-01,13
2011-10-02 - 2011-10-08,11
2011-10-09 - 2011-10-15,14
2011-10-16 - 2011-10-22,12
2011-10-23 - 2011-10-29,10
2011-10-30 - 2011-11-05,10
2011-11-06 - 2011-11-12,10
2011-11-13 - 2011-11-19,11
2011-11-20 - 2011-11-26,11
2011-11-27 - 2011-12-03,10
2011-12-04 - 2011-12-10,9
2011-12-11 - 2011-12-17,11
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,8
2012-01-01 - 2012-01-07,6
2012-01-08 - 2012-01-14,6
2012-01-15 - 2012-01-21,11
2012-01-22 - 2012-01-28,8
2012-01-29 - 2012-02-04,8
2012-02-05 - 2012-02-11,11
2012-02-12 - 2012-02-18,7
2012-02-19 - 2012-02-25,7
2012-02-26 - 2012-03-03,6
2012-03-04 - 2012-03-10,11
2012-03-11 - 2012-03-17,11
2012-03-18 - 2012-03-24,9
2012-03-25 - 2012-03-31,6
2012-04-01 - 2012-04-07,8
2012-04-08 - 2012-04-14,12
2012-04-15 - 2012-04-21,5
2012-04-22 - 2012-04-28,9
2012-04-29 - 2012-05-05,8
2012-05-06 - 2012-05-12,9
2012-05-13 - 2012-05-19,6
2012-05-20 - 2012-05-26,7
2012-05-27 - 2012-06-02,6
2012-06-03 - 2012-06-09,8
2012-06-10 - 2012-06-16,7
2012-06-17 - 2012-06-23,8
2012-06-24 - 2012-06-30,7
2012-07-01 - 2012-07-07,7
2012-07-08 - 2012-07-14,10
2012-07-15 - 2012-07-21,8
2012-07-22 - 2012-07-28,5
2012-07-29 - 2012-08-04,5
2012-08-05 - 2012-08-11,6
2012-08-12 - 2012-08-18,8
2012-08-19 - 2012-08-25,6
2012-08-26 - 2012-09-01,5
2012-09-02 - 2012-09-08,5
2012-09-09 - 2012-09-15,5
2012-09-16 - 2012-09-22,7
2012-09-23 - 2012-09-29,5
2012-09-30 - 2012-10-06,5
2012-10-07 - 2012-10-13,5
2012-10-14 - 2012-10-20,9
2012-10-21 - 2012-10-27,7
2012-10-28 - 2012-11-03,8
2012-11-04 - 2012-11-10,6
2012-11-11 - 2012-11-17,6
2012-11-18 - 2012-11-24,10
2012-11-25 - 2012-12-01,8
2012-12-02 - 2012-12-08,5
2012-12-09 - 2012-12-15,4
2012-12-16 - 2012-12-22,5
2012-12-23 - 2012-12-29,6
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,6
2013-01-13 - 2013-01-19,6
2013-01-20 - 2013-01-26,6
2013-01-27 - 2013-02-02,6
2013-02-03 - 2013-02-09,7
2013-02-10 - 2013-02-16,5
2013-02-17 - 2013-02-23,5
2013-02-24 - 2013-03-02,7
2013-03-03 - 2013-03-09,5
2013-03-10 - 2013-03-16,5
2013-03-17 - 2013-03-23,5
2013-03-24 - 2013-03-30,5
2013-03-31 - 2013-04-06,5
2013-04-07 - 2013-04-13,5
2013-04-14 - 2013-04-20,5
2013-04-21 - 2013-04-27,7
2013-04-28 - 2013-05-04,5
2013-05-05 - 2013-05-11,5
2013-05-12 - 2013-05-18,5
2013-05-19 - 2013-05-25,5
2013-05-26 - 2013-06-01,5
2013-06-02 - 2013-06-08,5
2013-06-09 - 2013-06-15,5
2013-06-16 - 2013-06-22,5
2013-06-23 - 2013-06-29,5
2013-06-30 - 2013-07-06,5
2013-07-07 - 2013-07-13,0
2013-07-14 - 2013-07-20,0
2013-07-21 - 2013-07-27,0
2013-07-28 - 2013-08-03,0
2013-08-04 - 2013-08-10,0
2013-08-11 - 2013-08-17,0
2013-08-18 - 2013-08-24,0
2013-08-25 - 2013-08-31,0
2013-09-01 - 2013-09-07,0
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,0
2013-09-22 - 2013-09-28,0
2013-09-29 - 2013-10-05,0
2013-10-06 - 2013-10-12,0
2013-10-13 - 2013-10-19,0
2013-10-20 - 2013-10-26,6
2013-10-27 - 2013-11-02,0
2013-11-03 - 2013-11-09,0
2013-11-10 - 2013-11-16,0
2013-11-17 - 2013-11-23,0
2013-11-24 - 2013-11-30,0
2013-12-01 - 2013-12-07,0
2013-12-08 - 2013-12-14,0
2013-12-15 - 2013-12-21,0
2013-12-22 - 2013-12-28,0
2013-12-29 - 2014-01-04,0
2014-01-05 - 2014-01-11,0
2014-01-12 - 2014-01-18,0
2014-01-19 - 2014-01-25,0
2014-01-26 - 2014-02-01,0
2014-02-02 - 2014-02-08,0
2014-02-09 - 2014-02-15,0
2014-02-16 - 2014-02-22,0
2014-02-23 - 2014-03-01,0
2014-03-02 - 2014-03-08,0
2014-03-09 - 2014-03-15,0
2014-03-16 - 2014-03-22,0
2014-03-23 - 2014-03-29,0
2014-03-30 - 2014-04-05,0
2014-04-06 - 2014-04-12,0
2014-04-13 - 2014-04-19,0
2014-04-20 - 2014-04-26,0
2014-04-27 - 2014-05-03,0
2014-05-04 - 2014-05-10,0
2014-05-11 - 2014-05-17,0
2014-05-18 - 2014-05-24,0
2014-05-25 - 2014-05-31,0
2014-06-01 - 2014-06-07,0
2014-06-08 - 2014-06-14,6
2014-06-15 - 2014-06-21,0
2014-06-22 - 2014-06-28,0
2014-06-29 - 2014-07-05,0
2014-07-06 - 2014-07-12,0
2014-07-13 - 2014-07-19,0
2014-07-20 - 2014-07-26,0
2014-07-27 - 2014-08-02,0
2014-08-03 - 2014-08-09,0
2014-08-10 - 2014-08-16,0
2014-08-17 - 2014-08-23,0
2014-08-24 - 2014-08-30,0
2014-08-31 - 2014-09-06,0
2014-09-07 - 2014-09-13,0
2014-09-14 - 2014-09-20,0
2014-09-21 - 2014-09-27,0
2014-09-28 - 2014-10-04,0
2014-10-05 - 2014-10-11,0
2014-10-12 - 2014-10-18,0
2014-10-19 - 2014-10-25,0
2014-10-26 - 2014-11-01,0
2014-11-02 - 2014-11-08,0
2014-11-09 - 2014-11-15,0
2014-11-16 - 2014-11-22,0
2014-11-23 - 2014-11-29,0
2014-11-30 - 2014-12-06,0
2014-12-07 - 2014-12-13,0
2014-12-14 - 2014-12-20,0
2014-12-21 - 2014-12-27,0
2014-12-28 - 2015-01-03,0
2015-01-04 - 2015-01-10,0
2015-01-11 - 2015-01-17,0
2015-01-18 - 2015-01-24,0
2015-01-25 - 2015-01-31,0
2015-02-01 - 2015-02-07,0
2015-02-08 - 2015-02-14,0
2015-02-15 - 2015-02-21,0
2015-02-22 - 2015-02-28,0
2015-03-01 - 2015-03-07,0
2015-03-08 - 2015-03-14,0
2015-03-15 - 2015-03-21,0
2015-03-22 - 2015-03-28,0
2015-03-29 - 2015-04-04,0
2015-04-05 - 2015-04-11,0
2015-04-12 - 2015-04-18,0
2015-04-19 - 2015-04-25,0
2015-04-26 - 2015-05-02,0
2015-05-03 - 2015-05-09,0
2015-05-10 - 2015-05-16,0
2015-05-17 - 2015-05-23,0
2015-05-24 - 2015-05-30,0
2015-05-31 - 2015-06-06,0
2015-06-07 - 2015-06-13,0
2015-06-14 - 2015-06-20,0
2015-06-21 - 2015-06-27,0
2015-06-28 - 2015-07-04,0
2015-07-05 - 2015-07-11,0
2015-07-12 - 2015-07-18,0
2015-07-19 - 2015-07-25,0
2015-07-26 - 2015-08-01,0


Top sub-regions for jaron and the long road to love
Sub-region,jaron and the long road to love
Oklahoma,100
Missouri,94
Kentucky,89
Iowa,85
Kansas,82
Wisconsin,80
Minnesota,74
Tennessee,73
Alabama,70
Indiana,67
Ohio,65
Michigan,56
North Carolina,55
Georgia,54
Washington,52
Pennsylvania,47
Oregon,46
Colorado,45
Virginia,44
Texas,44
Illinois,40
Florida,38
Massachusetts,33
Arizona,32
New Jersey,28
New York,24
California,19
Alaska,0
Arkansas,0
Connecticut,0
District of Columbia,0
Delaware,0
Hawaii,0
Idaho,0
Louisiana,0
Maryland,0
Maine,0
Mississippi,0
Montana,0
North Dakota,0
Nebraska,0
New Hampshire,0
New Mexico,0
Nevada,0
Rhode Island,0
South Carolina,0
South Dakota,0
Utah,0
Vermont,0
West Virginia,0
Wyoming,0




Top cities for jaron and the long road to love
Town/City,jaron and the long road to love
St. Louis,100
Atlanta,62
Houston,42
Chicago,32
Los Angeles,22



Top searches for jaron and the long road to love
pray for you,100
i pray,80



Rising searches for jaron and the long road to love
i pray,Breakout
pray for you,Breakout



