YouTube Search interest: dj khaled
United States; Jan 2008 - Jul 2015

Interest over time
Week,dj khaled
2011-02-20 - 2011-02-26,40
2011-02-27 - 2011-03-05,40
2011-03-06 - 2011-03-12,38
2011-03-13 - 2011-03-19,40
2011-03-20 - 2011-03-26,40
2011-03-27 - 2011-04-02,36
2011-04-03 - 2011-04-09,33
2011-04-10 - 2011-04-16,32
2011-04-17 - 2011-04-23,30
2011-04-24 - 2011-04-30,34
2011-05-01 - 2011-05-07,32
2011-05-08 - 2011-05-14,44
2011-05-15 - 2011-05-21,93
2011-05-22 - 2011-05-28,81
2011-05-29 - 2011-06-04,75
2011-06-05 - 2011-06-11,81
2011-06-12 - 2011-06-18,72
2011-06-19 - 2011-06-25,64
2011-06-26 - 2011-07-02,100
2011-07-03 - 2011-07-09,86
2011-07-10 - 2011-07-16,90
2011-07-17 - 2011-07-23,94
2011-07-24 - 2011-07-30,75
2011-07-31 - 2011-08-06,71
2011-08-07 - 2011-08-13,60
2011-08-14 - 2011-08-20,56
2011-08-21 - 2011-08-27,49
2011-08-28 - 2011-09-03,45
2011-09-04 - 2011-09-10,46
2011-09-11 - 2011-09-17,45
2011-09-18 - 2011-09-24,39
2011-09-25 - 2011-10-01,36
2011-10-02 - 2011-10-08,32
2011-10-09 - 2011-10-15,30
2011-10-16 - 2011-10-22,24
2011-10-23 - 2011-10-29,24
2011-10-30 - 2011-11-05,24
2011-11-06 - 2011-11-12,20
2011-11-13 - 2011-11-19,23
2011-11-20 - 2011-11-26,22
2011-11-27 - 2011-12-03,23
2011-12-04 - 2011-12-10,20
2011-12-11 - 2011-12-17,20
2011-12-18 - 2011-12-24,18
2011-12-25 - 2011-12-31,20
2012-01-01 - 2012-01-07,18
2012-01-08 - 2012-01-14,19
2012-01-15 - 2012-01-21,16
2012-01-22 - 2012-01-28,15
2012-01-29 - 2012-02-04,15
2012-02-05 - 2012-02-11,15
2012-02-12 - 2012-02-18,14
2012-02-19 - 2012-02-25,14
2012-02-26 - 2012-03-03,12
2012-03-04 - 2012-03-10,12
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,13
2012-03-25 - 2012-03-31,25
2012-04-01 - 2012-04-07,32
2012-04-08 - 2012-04-14,28
2012-04-15 - 2012-04-21,24
2012-04-22 - 2012-04-28,29
2012-04-29 - 2012-05-05,34
2012-05-06 - 2012-05-12,33
2012-05-13 - 2012-05-19,34
2012-05-20 - 2012-05-26,49
2012-05-27 - 2012-06-02,53
2012-06-03 - 2012-06-09,47
2012-06-10 - 2012-06-16,45
2012-06-17 - 2012-06-23,37
2012-06-24 - 2012-06-30,40
2012-07-01 - 2012-07-07,42
2012-07-08 - 2012-07-14,34
2012-07-15 - 2012-07-21,29
2012-07-22 - 2012-07-28,34
2012-07-29 - 2012-08-04,33
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,68
2012-08-19 - 2012-08-25,76
2012-08-26 - 2012-09-01,57
2012-09-02 - 2012-09-08,46
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,44
2012-09-23 - 2012-09-29,34
2012-09-30 - 2012-10-06,33
2012-10-07 - 2012-10-13,30
2012-10-14 - 2012-10-20,27
2012-10-21 - 2012-10-27,25
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,20
2012-11-11 - 2012-11-17,20
2012-11-18 - 2012-11-24,19
2012-11-25 - 2012-12-01,17
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,20
2012-12-16 - 2012-12-22,19
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,19
2013-01-06 - 2013-01-12,18
2013-01-13 - 2013-01-19,17
2013-01-20 - 2013-01-26,23
2013-01-27 - 2013-02-02,18
2013-02-03 - 2013-02-09,15
2013-02-10 - 2013-02-16,13
2013-02-17 - 2013-02-23,12
2013-02-24 - 2013-03-02,13
2013-03-03 - 2013-03-09,15
2013-03-10 - 2013-03-16,14
2013-03-17 - 2013-03-23,13
2013-03-24 - 2013-03-30,13
2013-03-31 - 2013-04-06,11
2013-04-07 - 2013-04-13,9
2013-04-14 - 2013-04-20,29
2013-04-21 - 2013-04-27,28
2013-04-28 - 2013-05-04,19
2013-05-05 - 2013-05-11,17
2013-05-12 - 2013-05-18,19
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,15
2013-06-02 - 2013-06-08,16
2013-06-09 - 2013-06-15,20
2013-06-16 - 2013-06-22,14
2013-06-23 - 2013-06-29,14
2013-06-30 - 2013-07-06,14
2013-07-07 - 2013-07-13,12
2013-07-14 - 2013-07-20,11
2013-07-21 - 2013-07-27,33
2013-07-28 - 2013-08-03,57
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,23
2013-08-18 - 2013-08-24,19
2013-08-25 - 2013-08-31,15
2013-09-01 - 2013-09-07,23
2013-09-08 - 2013-09-14,19
2013-09-15 - 2013-09-21,17
2013-09-22 - 2013-09-28,16
2013-09-29 - 2013-10-05,18
2013-10-06 - 2013-10-12,18
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,40
2013-10-27 - 2013-11-02,30
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,20
2013-11-17 - 2013-11-23,21
2013-11-24 - 2013-11-30,17
2013-12-01 - 2013-12-07,13
2013-12-08 - 2013-12-14,15
2013-12-15 - 2013-12-21,12
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,10
2014-01-05 - 2014-01-11,12
2014-01-12 - 2014-01-18,12
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,9
2014-02-09 - 2014-02-15,10
2014-02-16 - 2014-02-22,9
2014-02-23 - 2014-03-01,9
2014-03-02 - 2014-03-08,9
2014-03-09 - 2014-03-15,9
2014-03-16 - 2014-03-22,7
2014-03-23 - 2014-03-29,7
2014-03-30 - 2014-04-05,8
2014-04-06 - 2014-04-12,9
2014-04-13 - 2014-04-19,7
2014-04-20 - 2014-04-26,6
2014-04-27 - 2014-05-03,19
2014-05-04 - 2014-05-10,13
2014-05-11 - 2014-05-17,13
2014-05-18 - 2014-05-24,11
2014-05-25 - 2014-05-31,10
2014-06-01 - 2014-06-07,9
2014-06-08 - 2014-06-14,11
2014-06-15 - 2014-06-21,8
2014-06-22 - 2014-06-28,14
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,10
2014-07-13 - 2014-07-19,11
2014-07-20 - 2014-07-26,11
2014-07-27 - 2014-08-02,8
2014-08-03 - 2014-08-09,12
2014-08-10 - 2014-08-16,42
2014-08-17 - 2014-08-23,34
2014-08-24 - 2014-08-30,25
2014-08-31 - 2014-09-06,30
2014-09-07 - 2014-09-13,34
2014-09-14 - 2014-09-20,43
2014-09-21 - 2014-09-27,40
2014-09-28 - 2014-10-04,43
2014-10-05 - 2014-10-11,47
2014-10-12 - 2014-10-18,49
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,49
2014-11-02 - 2014-11-08,51
2014-11-09 - 2014-11-15,48
2014-11-16 - 2014-11-22,44
2014-11-23 - 2014-11-29,40
2014-11-30 - 2014-12-06,38
2014-12-07 - 2014-12-13,41
2014-12-14 - 2014-12-20,38
2014-12-21 - 2014-12-27,33
2014-12-28 - 2015-01-03,29
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,25
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,19
2015-02-08 - 2015-02-14,23
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,16
2015-03-01 - 2015-03-07,17
2015-03-08 - 2015-03-14,15
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,16
2015-03-29 - 2015-04-04,14
2015-04-05 - 2015-04-11,11
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,11
2015-04-26 - 2015-05-02,12
2015-05-03 - 2015-05-09,12
2015-05-10 - 2015-05-16,35
2015-05-17 - 2015-05-23,24
2015-05-24 - 2015-05-30,26
2015-05-31 - 2015-06-06,25
2015-06-07 - 2015-06-13,22
2015-06-14 - 2015-06-20,22
2015-06-21 - 2015-06-27,23
2015-06-28 - 2015-07-04,20
2015-07-05 - 2015-07-11,21
2015-07-12 - 2015-07-18,20
2015-07-19 - 2015-07-25,21
2015-07-26 - 2015-08-01,24


Top sub-regions for dj khaled
Sub-region,dj khaled
Mississippi,100
Louisiana,94
Florida,86
Alabama,85
South Carolina,81
Georgia,81
North Carolina,76
Delaware,75
New York,75
Maryland,72
New Jersey,69
District of Columbia,68
Michigan,67
Pennsylvania,67
Connecticut,65
Ohio,64
Tennessee,64
Kentucky,63
Arkansas,63
Illinois,62
Rhode Island,61
Missouri,60
Texas,60
Massachusetts,59
Indiana,59
Wisconsin,57
West Virginia,54
South Dakota,54
New Mexico,50
Iowa,50
Nebraska,49
Oklahoma,48
Kansas,48
Virginia,48
Minnesota,46
New Hampshire,46
Arizona,46
North Dakota,45
Maine,41
Nevada,41
Colorado,41
California,40
Vermont,39
Washington,36
Wyoming,36
Hawaii,35
Montana,32
Alaska,32
Idaho,31
Utah,26
Oregon,25


Top metros for dj khaled
Metro,dj khaled
Savannah GA,100
Jackson MS,94
Memphis TN,87
Miami-Ft. Lauderdale FL,87
New Orleans LA,77
Birmingham AL,73
West Palm Beach-Ft. Pierce FL,73
Atlanta GA,70
Charlotte NC,70
New York NY,69
Orlando-Daytona Beach-Melbourne FL,69
Philadelphia PA,69
Mobile AL-Pensacola (Ft. Walton Beach) FL,68
Raleigh-Durham (Fayetteville) NC,68
Louisville KY,67
Richmond-Petersburg VA,67
Detroit MI,66
Milwaukee WI,65
Norfolk-Portsmouth-Newport News VA,64
Jacksonville FL,63
Tampa-St. Petersburg (Sarasota) FL,62
Providence RI-New Bedford MA,60
Baltimore MD,59
Columbus OH,59
Greensboro-High Point-Winston Salem NC,58
Buffalo NY,58
Chicago IL,57
Cleveland-Akron (Canton) OH,56
Hartford & New Haven CT,55
Houston TX,54
Albany-Schenectady-Troy NY,54
Indianapolis IN,54
St. Louis MO,53
Pittsburgh PA,53
Kansas City MO,53
Dallas-Ft. Worth TX,52
Greenville-Spartanburg SC-Asheville NC-Anderson SC,52
Nashville TN,51
Boston MA-Manchester NH,50
San Antonio TX,48
Grand Rapids-Kalamazoo-Battle Creek MI,48
Minneapolis-St. Paul MN,46
Washington DC (Hagerstown MD),46
Harrisburg-Lancaster-Lebanon-York PA,44
Cincinnati OH,44
Oklahoma City OK,42
Las Vegas NV,40
Los Angeles CA,39
Phoenix AZ,38
Austin TX,36
San Diego CA,35
Denver CO,33
Sacramento-Stockton-Modesto CA,32
Seattle-Tacoma WA,31
San Francisco-Oakland-San Jose CA,28
Portland OR,27
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for dj khaled
Town/City,dj khaled
Detroit,100
Philadelphia,95
Miami,92
Jacksonville,88
New York,87
Milwaukee,84
Orlando,82
Tampa,77
Baltimore,76
Charlotte,74
Atlanta,72
Houston,70
Washington,69
Indianapolis,69
St. Louis,68



Top searches for dj khaled
im on one,100
dj khaled drake,85
rick ross,65
hold you down,60
new dj khaled,50
dj khaled money,35
out here grindin,30
dj khaled akon,25
fed up,25
we takin over,25
dj khaled instrumental,20
future dj khaled,20
im so hood,20
ace hood,20
dj khaled 2011,15
dj khaled bottles,5
holla at me,5
brown paper bag,5



Rising searches for dj khaled
dj khaled drake,Breakout
hold you down,Breakout
im on one,Breakout
out here grindin,Breakout
new dj khaled,+250%
dj khaled money,+190%
rick ross,+160%



