YouTube Search interest: yo gotti
United States; Jan 2008 - Jul 2015

Interest over time
Week,yo gotti
2009-08-16 - 2009-08-22,39
2009-08-23 - 2009-08-29,33
2009-08-30 - 2009-09-05,34
2009-09-06 - 2009-09-12,34
2009-09-13 - 2009-09-19,36
2009-09-20 - 2009-09-26,35
2009-09-27 - 2009-10-03,34
2009-10-04 - 2009-10-10,38
2009-10-11 - 2009-10-17,47
2009-10-18 - 2009-10-24,48
2009-10-25 - 2009-10-31,46
2009-11-01 - 2009-11-07,35
2009-11-08 - 2009-11-14,35
2009-11-15 - 2009-11-21,36
2009-11-22 - 2009-11-28,36
2009-11-29 - 2009-12-05,34
2009-12-06 - 2009-12-12,35
2009-12-13 - 2009-12-19,32
2009-12-20 - 2009-12-26,33
2009-12-27 - 2010-01-02,33
2010-01-03 - 2010-01-09,33
2010-01-10 - 2010-01-16,37
2010-01-17 - 2010-01-23,41
2010-01-24 - 2010-01-30,42
2010-01-31 - 2010-02-06,49
2010-02-07 - 2010-02-13,47
2010-02-14 - 2010-02-20,43
2010-02-21 - 2010-02-27,51
2010-02-28 - 2010-03-06,53
2010-03-07 - 2010-03-13,55
2010-03-14 - 2010-03-20,56
2010-03-21 - 2010-03-27,55
2010-03-28 - 2010-04-03,55
2010-04-04 - 2010-04-10,55
2010-04-11 - 2010-04-17,53
2010-04-18 - 2010-04-24,51
2010-04-25 - 2010-05-01,52
2010-05-02 - 2010-05-08,51
2010-05-09 - 2010-05-15,47
2010-05-16 - 2010-05-22,48
2010-05-23 - 2010-05-29,46
2010-05-30 - 2010-06-05,44
2010-06-06 - 2010-06-12,39
2010-06-13 - 2010-06-19,40
2010-06-20 - 2010-06-26,47
2010-06-27 - 2010-07-03,42
2010-07-04 - 2010-07-10,44
2010-07-11 - 2010-07-17,45
2010-07-18 - 2010-07-24,48
2010-07-25 - 2010-07-31,51
2010-08-01 - 2010-08-07,51
2010-08-08 - 2010-08-14,49
2010-08-15 - 2010-08-21,48
2010-08-22 - 2010-08-28,50
2010-08-29 - 2010-09-04,50
2010-09-05 - 2010-09-11,55
2010-09-12 - 2010-09-18,50
2010-09-19 - 2010-09-25,51
2010-09-26 - 2010-10-02,53
2010-10-03 - 2010-10-09,46
2010-10-10 - 2010-10-16,50
2010-10-17 - 2010-10-23,45
2010-10-24 - 2010-10-30,44
2010-10-31 - 2010-11-06,47
2010-11-07 - 2010-11-13,44
2010-11-14 - 2010-11-20,46
2010-11-21 - 2010-11-27,44
2010-11-28 - 2010-12-04,41
2010-12-05 - 2010-12-11,44
2010-12-12 - 2010-12-18,51
2010-12-19 - 2010-12-25,47
2010-12-26 - 2011-01-01,46
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,58
2011-01-16 - 2011-01-22,57
2011-01-23 - 2011-01-29,58
2011-01-30 - 2011-02-05,52
2011-02-06 - 2011-02-12,56
2011-02-13 - 2011-02-19,53
2011-02-20 - 2011-02-26,53
2011-02-27 - 2011-03-05,51
2011-03-06 - 2011-03-12,53
2011-03-13 - 2011-03-19,48
2011-03-20 - 2011-03-26,56
2011-03-27 - 2011-04-02,54
2011-04-03 - 2011-04-09,53
2011-04-10 - 2011-04-16,49
2011-04-17 - 2011-04-23,50
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,49
2011-05-08 - 2011-05-14,49
2011-05-15 - 2011-05-21,51
2011-05-22 - 2011-05-28,50
2011-05-29 - 2011-06-04,49
2011-06-05 - 2011-06-11,50
2011-06-12 - 2011-06-18,46
2011-06-19 - 2011-06-25,60
2011-06-26 - 2011-07-02,62
2011-07-03 - 2011-07-09,62
2011-07-10 - 2011-07-16,63
2011-07-17 - 2011-07-23,61
2011-07-24 - 2011-07-30,72
2011-07-31 - 2011-08-06,68
2011-08-07 - 2011-08-13,65
2011-08-14 - 2011-08-20,65
2011-08-21 - 2011-08-27,63
2011-08-28 - 2011-09-03,58
2011-09-04 - 2011-09-10,57
2011-09-11 - 2011-09-17,58
2011-09-18 - 2011-09-24,57
2011-09-25 - 2011-10-01,55
2011-10-02 - 2011-10-08,54
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,51
2011-10-30 - 2011-11-05,48
2011-11-06 - 2011-11-12,47
2011-11-13 - 2011-11-19,45
2011-11-20 - 2011-11-26,44
2011-11-27 - 2011-12-03,44
2011-12-04 - 2011-12-10,42
2011-12-11 - 2011-12-17,45
2011-12-18 - 2011-12-24,42
2011-12-25 - 2011-12-31,50
2012-01-01 - 2012-01-07,59
2012-01-08 - 2012-01-14,73
2012-01-15 - 2012-01-21,69
2012-01-22 - 2012-01-28,64
2012-01-29 - 2012-02-04,61
2012-02-05 - 2012-02-11,63
2012-02-12 - 2012-02-18,54
2012-02-19 - 2012-02-25,57
2012-02-26 - 2012-03-03,58
2012-03-04 - 2012-03-10,63
2012-03-11 - 2012-03-17,60
2012-03-18 - 2012-03-24,61
2012-03-25 - 2012-03-31,59
2012-04-01 - 2012-04-07,58
2012-04-08 - 2012-04-14,59
2012-04-15 - 2012-04-21,58
2012-04-22 - 2012-04-28,55
2012-04-29 - 2012-05-05,54
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,57
2012-05-20 - 2012-05-26,56
2012-05-27 - 2012-06-02,49
2012-06-03 - 2012-06-09,53
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,55
2012-06-24 - 2012-06-30,59
2012-07-01 - 2012-07-07,52
2012-07-08 - 2012-07-14,55
2012-07-15 - 2012-07-21,53
2012-07-22 - 2012-07-28,54
2012-07-29 - 2012-08-04,55
2012-08-05 - 2012-08-11,46
2012-08-12 - 2012-08-18,44
2012-08-19 - 2012-08-25,43
2012-08-26 - 2012-09-01,47
2012-09-02 - 2012-09-08,44
2012-09-09 - 2012-09-15,43
2012-09-16 - 2012-09-22,40
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,39
2012-10-07 - 2012-10-13,42
2012-10-14 - 2012-10-20,61
2012-10-21 - 2012-10-27,79
2012-10-28 - 2012-11-03,83
2012-11-04 - 2012-11-10,75
2012-11-11 - 2012-11-17,71
2012-11-18 - 2012-11-24,69
2012-11-25 - 2012-12-01,66
2012-12-02 - 2012-12-08,58
2012-12-09 - 2012-12-15,55
2012-12-16 - 2012-12-22,55
2012-12-23 - 2012-12-29,56
2012-12-30 - 2013-01-05,49
2013-01-06 - 2013-01-12,49
2013-01-13 - 2013-01-19,49
2013-01-20 - 2013-01-26,43
2013-01-27 - 2013-02-02,45
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,43
2013-02-17 - 2013-02-23,39
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,40
2013-03-10 - 2013-03-16,35
2013-03-17 - 2013-03-23,37
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,32
2013-04-07 - 2013-04-13,31
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,38
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,35
2013-05-12 - 2013-05-18,33
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,29
2013-06-09 - 2013-06-15,35
2013-06-16 - 2013-06-22,28
2013-06-23 - 2013-06-29,33
2013-06-30 - 2013-07-06,31
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,31
2013-07-21 - 2013-07-27,39
2013-07-28 - 2013-08-03,44
2013-08-04 - 2013-08-10,43
2013-08-11 - 2013-08-17,40
2013-08-18 - 2013-08-24,38
2013-08-25 - 2013-08-31,40
2013-09-01 - 2013-09-07,44
2013-09-08 - 2013-09-14,42
2013-09-15 - 2013-09-21,47
2013-09-22 - 2013-09-28,44
2013-09-29 - 2013-10-05,45
2013-10-06 - 2013-10-12,46
2013-10-13 - 2013-10-19,55
2013-10-20 - 2013-10-26,49
2013-10-27 - 2013-11-02,55
2013-11-03 - 2013-11-09,57
2013-11-10 - 2013-11-16,65
2013-11-17 - 2013-11-23,91
2013-11-24 - 2013-11-30,93
2013-12-01 - 2013-12-07,99
2013-12-08 - 2013-12-14,100
2013-12-15 - 2013-12-21,92
2013-12-22 - 2013-12-28,87
2013-12-29 - 2014-01-04,82
2014-01-05 - 2014-01-11,89
2014-01-12 - 2014-01-18,84
2014-01-19 - 2014-01-25,82
2014-01-26 - 2014-02-01,78
2014-02-02 - 2014-02-08,79
2014-02-09 - 2014-02-15,78
2014-02-16 - 2014-02-22,70
2014-02-23 - 2014-03-01,67
2014-03-02 - 2014-03-08,63
2014-03-09 - 2014-03-15,67
2014-03-16 - 2014-03-22,66
2014-03-23 - 2014-03-29,57
2014-03-30 - 2014-04-05,59
2014-04-06 - 2014-04-12,61
2014-04-13 - 2014-04-19,61
2014-04-20 - 2014-04-26,72
2014-04-27 - 2014-05-03,81
2014-05-04 - 2014-05-10,77
2014-05-11 - 2014-05-17,79
2014-05-18 - 2014-05-24,81
2014-05-25 - 2014-05-31,80
2014-06-01 - 2014-06-07,66
2014-06-08 - 2014-06-14,56
2014-06-15 - 2014-06-21,52
2014-06-22 - 2014-06-28,57
2014-06-29 - 2014-07-05,49
2014-07-06 - 2014-07-12,52
2014-07-13 - 2014-07-19,53
2014-07-20 - 2014-07-26,48
2014-07-27 - 2014-08-02,47
2014-08-03 - 2014-08-09,43
2014-08-10 - 2014-08-16,46
2014-08-17 - 2014-08-23,47
2014-08-24 - 2014-08-30,51
2014-08-31 - 2014-09-06,51
2014-09-07 - 2014-09-13,49
2014-09-14 - 2014-09-20,48
2014-09-21 - 2014-09-27,53
2014-09-28 - 2014-10-04,50
2014-10-05 - 2014-10-11,54
2014-10-12 - 2014-10-18,51
2014-10-19 - 2014-10-25,47
2014-10-26 - 2014-11-01,51
2014-11-02 - 2014-11-08,42
2014-11-09 - 2014-11-15,40
2014-11-16 - 2014-11-22,38
2014-11-23 - 2014-11-29,30
2014-11-30 - 2014-12-06,32
2014-12-07 - 2014-12-13,31
2014-12-14 - 2014-12-20,34
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,24
2015-01-11 - 2015-01-17,29
2015-01-18 - 2015-01-24,42
2015-01-25 - 2015-01-31,43
2015-02-01 - 2015-02-07,36
2015-02-08 - 2015-02-14,37
2015-02-15 - 2015-02-21,36
2015-02-22 - 2015-02-28,36
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,29
2015-03-15 - 2015-03-21,26
2015-03-22 - 2015-03-28,27
2015-03-29 - 2015-04-04,27
2015-04-05 - 2015-04-11,24
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,25
2015-04-26 - 2015-05-02,25
2015-05-03 - 2015-05-09,23
2015-05-10 - 2015-05-16,23
2015-05-17 - 2015-05-23,22
2015-05-24 - 2015-05-30,20
2015-05-31 - 2015-06-06,19
2015-06-07 - 2015-06-13,18
2015-06-14 - 2015-06-20,18
2015-06-21 - 2015-06-27,18
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,20
2015-07-12 - 2015-07-18,19
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,14


Top sub-regions for yo gotti
Sub-region,yo gotti
Mississippi,100
Tennessee,67
Alabama,54
Arkansas,45
South Carolina,43
Georgia,29
North Carolina,28
Kentucky,28
Missouri,27
Maryland,26
Indiana,25
Ohio,20
Louisiana,19
Michigan,18
Florida,18
Illinois,17
Delaware,16
District of Columbia,13
Wisconsin,13
Texas,13
West Virginia,11
Virginia,11
Pennsylvania,10
Iowa,10
Minnesota,10
Kansas,9
Oklahoma,9
Nebraska,8
New Mexico,7
Vermont,7
Alaska,7
New Jersey,7
North Dakota,7
Colorado,6
South Dakota,6
Arizona,6
New York,5
Rhode Island,5
Nevada,5
Connecticut,4
Massachusetts,4
Washington,4
California,4
Maine,3
Montana,3
New Hampshire,3
Hawaii,3
Idaho,2
Oregon,2
Utah,2
Wyoming,0


Top metros for yo gotti
Metro,yo gotti
Greenwood-Greenville MS,100
Memphis TN,64
Columbus-Tupelo-West Point MS,40
Jackson TN,36
Jonesboro AR,30
Montgomery (Selma) AL,26
Jackson MS,26
Albany GA,24
Florence-Myrtle Beach SC,20
Columbia SC,19
Augusta GA,19
Little Rock-Pine Bluff AR,19
Birmingham AL,18
Biloxi-Gulfport MS,18
Columbus GA,16
Nashville TN,15
Macon GA,15
Mobile AL-Pensacola (Ft. Walton Beach) FL,14
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,14
Baltimore MD,13
St. Louis MO,13
Charleston SC,13
Savannah GA,13
Tallahassee FL-Thomasville GA,13
Richmond-Petersburg VA,12
Huntsville-Decatur (Florence) AL,12
Louisville KY,12
Shreveport LA,11
Chattanooga TN,11
Wilmington NC,11
Charlotte NC,11
Raleigh-Durham (Fayetteville) NC,11
Jacksonville FL,10
Indianapolis IN,10
Greenville-New Bern-Washington NC,10
Evansville IN,10
Greensboro-High Point-Winston Salem NC,9
Greenville-Spartanburg SC-Asheville NC-Anderson SC,9
Champaign & Springfield-Decatur IL,8
Flint-Saginaw-Bay City MI,8
West Palm Beach-Ft. Pierce FL,8
Cincinnati OH,8
Atlanta GA,8
Baton Rouge LA,8
Knoxville TN,8
Toledo OH,8
Columbus OH,7
Norfolk-Portsmouth-Newport News VA,7
Milwaukee WI,7
Dayton OH,7
Grand Rapids-Kalamazoo-Battle Creek MI,6
Tampa-St. Petersburg (Sarasota) FL,6
Dallas-Ft. Worth TX,6
Cleveland-Akron (Canton) OH,6
Roanoke-Lynchburg VA,6
Detroit MI,6
Lexington KY,6
Chicago IL,5
New Orleans LA,5
Waco-Temple-Bryan TX,5
Pittsburgh PA,5
Orlando-Daytona Beach-Melbourne FL,5
Miami-Ft. Lauderdale FL,5
Philadelphia PA,4
Buffalo NY,4
Houston TX,4
Minneapolis-St. Paul MN,4
Washington DC (Hagerstown MD),3
Oklahoma City OK,3
Kansas City MO,3
San Antonio TX,3
Harrisburg-Lancaster-Lebanon-York PA,3
Providence RI-New Bedford MA,2
Austin TX,2
Denver CO,2
Phoenix AZ,2
Las Vegas NV,2
New York NY,2
Sacramento-Stockton-Modesto CA,2
Hartford & New Haven CT,2
Boston MA-Manchester NH,2
Seattle-Tacoma WA,2
Los Angeles CA,1
San Diego CA,1
San Francisco-Oakland-San Jose CA,1
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Albany-Schenectady-Troy NY,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Watertown NY,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Ft. Myers-Naples FL,0
Johnstown-Altoona PA,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Salt Lake City UT,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Portland OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for yo gotti
Town/City,yo gotti
Memphis,100
Jackson,55
Mobile,42
Jackson,40
Montgomery,39
Baltimore,38
Little Rock,36
Birmingham,35
Indianapolis,25
Nashville,25
Columbia,25
St. Louis,23
Louisville,22
Richmond,20
Fayetteville,19



Top searches for yo gotti
gucci,100
gucci mane,75
jeezy,50
boosie,50
lil boosie,45
young jeezy,45
yo gotti kitchen,40
future,40
new yo gotti,40
yayo,35
yayo yo gotti,35
yo gotti sack,35
rick ross,35
yo gotti touchdown,30
yo gotti instrumental,25
2 chainz,25
act right,20
waka flocka,20
chief keef,20
yo gotti life,20
plies,20
meek mill,20
yo gotti freestyle,15
webbie,15
yo gotti 2011,15
rich homie quan,15
yo gotti cocaine,15
yo gotti mirror,15
single yo gotti,15
yo gotti 2012,10
yo gotti work,10
yo gotti 2010,10
yo gotti racks,10
yo gotti boo,10
cm6 yo gotti,10
yo gotti cm7,10
yo gotti diss,10
yo gotti 2013,10
rocko,10
everybody yo gotti,10
errbody yo gotti,10
migos,10
gucci man,10
young thug,10
yo gotti sorry,10



Rising searches for yo gotti
future,Breakout
jeezy,Breakout
rick ross,Breakout
yayo,Breakout
yayo yo gotti,Breakout
yo gotti kitchen,Breakout
yo gotti sack,Breakout
young jeezy,Breakout
gucci,+250%
gucci mane,+200%



