YouTube Search interest: jason derulo
United States; Jan 2008 - Jul 2015

Interest over time
Week,jason derulo
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,1
2009-07-12 - 2009-07-18,1
2009-07-19 - 2009-07-25,2
2009-07-26 - 2009-08-01,2
2009-08-02 - 2009-08-08,3
2009-08-09 - 2009-08-15,4
2009-08-16 - 2009-08-22,6
2009-08-23 - 2009-08-29,8
2009-08-30 - 2009-09-05,9
2009-09-06 - 2009-09-12,9
2009-09-13 - 2009-09-19,16
2009-09-20 - 2009-09-26,25
2009-09-27 - 2009-10-03,31
2009-10-04 - 2009-10-10,31
2009-10-11 - 2009-10-17,29
2009-10-18 - 2009-10-24,34
2009-10-25 - 2009-10-31,36
2009-11-01 - 2009-11-07,44
2009-11-08 - 2009-11-14,40
2009-11-15 - 2009-11-21,36
2009-11-22 - 2009-11-28,38
2009-11-29 - 2009-12-05,36
2009-12-06 - 2009-12-12,35
2009-12-13 - 2009-12-19,42
2009-12-20 - 2009-12-26,43
2009-12-27 - 2010-01-02,39
2010-01-03 - 2010-01-09,38
2010-01-10 - 2010-01-16,41
2010-01-17 - 2010-01-23,43
2010-01-24 - 2010-01-30,50
2010-01-31 - 2010-02-06,49
2010-02-07 - 2010-02-13,54
2010-02-14 - 2010-02-20,63
2010-02-21 - 2010-02-27,64
2010-02-28 - 2010-03-06,68
2010-03-07 - 2010-03-13,62
2010-03-14 - 2010-03-20,62
2010-03-21 - 2010-03-27,63
2010-03-28 - 2010-04-03,60
2010-04-04 - 2010-04-10,63
2010-04-11 - 2010-04-17,65
2010-04-18 - 2010-04-24,60
2010-04-25 - 2010-05-01,58
2010-05-02 - 2010-05-08,59
2010-05-09 - 2010-05-15,56
2010-05-16 - 2010-05-22,53
2010-05-23 - 2010-05-29,55
2010-05-30 - 2010-06-05,54
2010-06-06 - 2010-06-12,56
2010-06-13 - 2010-06-19,62
2010-06-20 - 2010-06-26,66
2010-06-27 - 2010-07-03,71
2010-07-04 - 2010-07-10,71
2010-07-11 - 2010-07-17,73
2010-07-18 - 2010-07-24,74
2010-07-25 - 2010-07-31,71
2010-08-01 - 2010-08-07,65
2010-08-08 - 2010-08-14,65
2010-08-15 - 2010-08-21,62
2010-08-22 - 2010-08-28,57
2010-08-29 - 2010-09-04,55
2010-09-05 - 2010-09-11,58
2010-09-12 - 2010-09-18,53
2010-09-19 - 2010-09-25,48
2010-09-26 - 2010-10-02,45
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,43
2010-10-17 - 2010-10-23,38
2010-10-24 - 2010-10-30,35
2010-10-31 - 2010-11-06,35
2010-11-07 - 2010-11-13,34
2010-11-14 - 2010-11-20,34
2010-11-21 - 2010-11-27,35
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,30
2010-12-12 - 2010-12-18,30
2010-12-19 - 2010-12-25,29
2010-12-26 - 2011-01-01,27
2011-01-02 - 2011-01-08,27
2011-01-09 - 2011-01-15,25
2011-01-16 - 2011-01-22,25
2011-01-23 - 2011-01-29,22
2011-01-30 - 2011-02-05,22
2011-02-06 - 2011-02-12,20
2011-02-13 - 2011-02-19,18
2011-02-20 - 2011-02-26,18
2011-02-27 - 2011-03-05,17
2011-03-06 - 2011-03-12,18
2011-03-13 - 2011-03-19,16
2011-03-20 - 2011-03-26,16
2011-03-27 - 2011-04-02,16
2011-04-03 - 2011-04-09,15
2011-04-10 - 2011-04-16,15
2011-04-17 - 2011-04-23,15
2011-04-24 - 2011-04-30,14
2011-05-01 - 2011-05-07,14
2011-05-08 - 2011-05-14,16
2011-05-15 - 2011-05-21,16
2011-05-22 - 2011-05-28,20
2011-05-29 - 2011-06-04,22
2011-06-05 - 2011-06-11,23
2011-06-12 - 2011-06-18,23
2011-06-19 - 2011-06-25,21
2011-06-26 - 2011-07-02,20
2011-07-03 - 2011-07-09,20
2011-07-10 - 2011-07-16,21
2011-07-17 - 2011-07-23,19
2011-07-24 - 2011-07-30,18
2011-07-31 - 2011-08-06,21
2011-08-07 - 2011-08-13,23
2011-08-14 - 2011-08-20,22
2011-08-21 - 2011-08-27,21
2011-08-28 - 2011-09-03,21
2011-09-04 - 2011-09-10,23
2011-09-11 - 2011-09-17,25
2011-09-18 - 2011-09-24,27
2011-09-25 - 2011-10-01,31
2011-10-02 - 2011-10-08,30
2011-10-09 - 2011-10-15,27
2011-10-16 - 2011-10-22,24
2011-10-23 - 2011-10-29,23
2011-10-30 - 2011-11-05,23
2011-11-06 - 2011-11-12,24
2011-11-13 - 2011-11-19,22
2011-11-20 - 2011-11-26,19
2011-11-27 - 2011-12-03,19
2011-12-04 - 2011-12-10,18
2011-12-11 - 2011-12-17,17
2011-12-18 - 2011-12-24,17
2011-12-25 - 2011-12-31,15
2012-01-01 - 2012-01-07,15
2012-01-08 - 2012-01-14,14
2012-01-15 - 2012-01-21,15
2012-01-22 - 2012-01-28,13
2012-01-29 - 2012-02-04,14
2012-02-05 - 2012-02-11,14
2012-02-12 - 2012-02-18,15
2012-02-19 - 2012-02-25,14
2012-02-26 - 2012-03-03,15
2012-03-04 - 2012-03-10,16
2012-03-11 - 2012-03-17,14
2012-03-18 - 2012-03-24,16
2012-03-25 - 2012-03-31,15
2012-04-01 - 2012-04-07,13
2012-04-08 - 2012-04-14,13
2012-04-15 - 2012-04-21,11
2012-04-22 - 2012-04-28,11
2012-04-29 - 2012-05-05,11
2012-05-06 - 2012-05-12,11
2012-05-13 - 2012-05-19,11
2012-05-20 - 2012-05-26,13
2012-05-27 - 2012-06-02,12
2012-06-03 - 2012-06-09,11
2012-06-10 - 2012-06-16,11
2012-06-17 - 2012-06-23,10
2012-06-24 - 2012-06-30,10
2012-07-01 - 2012-07-07,9
2012-07-08 - 2012-07-14,9
2012-07-15 - 2012-07-21,9
2012-07-22 - 2012-07-28,9
2012-07-29 - 2012-08-04,9
2012-08-05 - 2012-08-11,8
2012-08-12 - 2012-08-18,8
2012-08-19 - 2012-08-25,7
2012-08-26 - 2012-09-01,8
2012-09-02 - 2012-09-08,8
2012-09-09 - 2012-09-15,7
2012-09-16 - 2012-09-22,7
2012-09-23 - 2012-09-29,7
2012-09-30 - 2012-10-06,7
2012-10-07 - 2012-10-13,7
2012-10-14 - 2012-10-20,7
2012-10-21 - 2012-10-27,7
2012-10-28 - 2012-11-03,6
2012-11-04 - 2012-11-10,7
2012-11-11 - 2012-11-17,6
2012-11-18 - 2012-11-24,7
2012-11-25 - 2012-12-01,6
2012-12-02 - 2012-12-08,6
2012-12-09 - 2012-12-15,6
2012-12-16 - 2012-12-22,6
2012-12-23 - 2012-12-29,5
2012-12-30 - 2013-01-05,5
2013-01-06 - 2013-01-12,6
2013-01-13 - 2013-01-19,6
2013-01-20 - 2013-01-26,5
2013-01-27 - 2013-02-02,6
2013-02-03 - 2013-02-09,6
2013-02-10 - 2013-02-16,6
2013-02-17 - 2013-02-23,5
2013-02-24 - 2013-03-02,5
2013-03-03 - 2013-03-09,5
2013-03-10 - 2013-03-16,6
2013-03-17 - 2013-03-23,5
2013-03-24 - 2013-03-30,5
2013-03-31 - 2013-04-06,5
2013-04-07 - 2013-04-13,5
2013-04-14 - 2013-04-20,9
2013-04-21 - 2013-04-27,9
2013-04-28 - 2013-05-04,12
2013-05-05 - 2013-05-11,15
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,17
2013-05-26 - 2013-06-01,17
2013-06-02 - 2013-06-08,18
2013-06-09 - 2013-06-15,18
2013-06-16 - 2013-06-22,17
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,17
2013-07-07 - 2013-07-13,17
2013-07-14 - 2013-07-20,16
2013-07-21 - 2013-07-27,16
2013-07-28 - 2013-08-03,15
2013-08-04 - 2013-08-10,16
2013-08-11 - 2013-08-17,15
2013-08-18 - 2013-08-24,14
2013-08-25 - 2013-08-31,14
2013-09-01 - 2013-09-07,14
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,14
2013-09-22 - 2013-09-28,19
2013-09-29 - 2013-10-05,22
2013-10-06 - 2013-10-12,22
2013-10-13 - 2013-10-19,26
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,29
2013-11-03 - 2013-11-09,30
2013-11-10 - 2013-11-16,30
2013-11-17 - 2013-11-23,29
2013-11-24 - 2013-11-30,28
2013-12-01 - 2013-12-07,28
2013-12-08 - 2013-12-14,26
2013-12-15 - 2013-12-21,27
2013-12-22 - 2013-12-28,27
2013-12-29 - 2014-01-04,27
2014-01-05 - 2014-01-11,28
2014-01-12 - 2014-01-18,37
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,60
2014-02-02 - 2014-02-08,69
2014-02-09 - 2014-02-15,72
2014-02-16 - 2014-02-22,74
2014-02-23 - 2014-03-01,72
2014-03-02 - 2014-03-08,74
2014-03-09 - 2014-03-15,76
2014-03-16 - 2014-03-22,75
2014-03-23 - 2014-03-29,68
2014-03-30 - 2014-04-05,62
2014-04-06 - 2014-04-12,68
2014-04-13 - 2014-04-19,72
2014-04-20 - 2014-04-26,65
2014-04-27 - 2014-05-03,63
2014-05-04 - 2014-05-10,74
2014-05-11 - 2014-05-17,75
2014-05-18 - 2014-05-24,90
2014-05-25 - 2014-05-31,94
2014-06-01 - 2014-06-07,100
2014-06-08 - 2014-06-14,95
2014-06-15 - 2014-06-21,85
2014-06-22 - 2014-06-28,78
2014-06-29 - 2014-07-05,76
2014-07-06 - 2014-07-12,68
2014-07-13 - 2014-07-19,60
2014-07-20 - 2014-07-26,53
2014-07-27 - 2014-08-02,50
2014-08-03 - 2014-08-09,45
2014-08-10 - 2014-08-16,39
2014-08-17 - 2014-08-23,36
2014-08-24 - 2014-08-30,35
2014-08-31 - 2014-09-06,36
2014-09-07 - 2014-09-13,37
2014-09-14 - 2014-09-20,39
2014-09-21 - 2014-09-27,43
2014-09-28 - 2014-10-04,45
2014-10-05 - 2014-10-11,43
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,44
2014-10-26 - 2014-11-01,42
2014-11-02 - 2014-11-08,43
2014-11-09 - 2014-11-15,41
2014-11-16 - 2014-11-22,38
2014-11-23 - 2014-11-29,35
2014-11-30 - 2014-12-06,31
2014-12-07 - 2014-12-13,29
2014-12-14 - 2014-12-20,27
2014-12-21 - 2014-12-27,24
2014-12-28 - 2015-01-03,23
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,20
2015-01-18 - 2015-01-24,18
2015-01-25 - 2015-01-31,17
2015-02-01 - 2015-02-07,16
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,15
2015-02-22 - 2015-02-28,15
2015-03-01 - 2015-03-07,13
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,18
2015-03-22 - 2015-03-28,24
2015-03-29 - 2015-04-04,24
2015-04-05 - 2015-04-11,25
2015-04-12 - 2015-04-18,26
2015-04-19 - 2015-04-25,26
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,31
2015-05-10 - 2015-05-16,27
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,27
2015-05-31 - 2015-06-06,29
2015-06-07 - 2015-06-13,26
2015-06-14 - 2015-06-20,24
2015-06-21 - 2015-06-27,22
2015-06-28 - 2015-07-04,21
2015-07-05 - 2015-07-11,19
2015-07-12 - 2015-07-18,20
2015-07-19 - 2015-07-25,18
2015-07-26 - 2015-08-01,20


Top sub-regions for jason derulo
Sub-region,jason derulo
South Dakota,100
Iowa,89
Wisconsin,81
Nebraska,76
North Dakota,76
Missouri,73
Kansas,73
West Virginia,71
Kentucky,71
Idaho,71
Ohio,71
Minnesota,70
Indiana,69
Wyoming,69
Pennsylvania,69
Montana,68
Maine,68
Michigan,67
New Hampshire,66
Rhode Island,66
Vermont,63
Hawaii,62
Massachusetts,61
New York,60
Utah,59
Connecticut,59
Oklahoma,58
New Jersey,58
Arizona,58
North Carolina,58
Arkansas,57
Colorado,55
Illinois,55
Washington,55
Florida,54
South Carolina,52
Tennessee,51
Nevada,51
Texas,51
New Mexico,50
Delaware,50
Alabama,49
Georgia,49
Louisiana,48
California,47
Oregon,47
Virginia,46
Maryland,46
Mississippi,45
District of Columbia,44
Alaska,43


Top metros for jason derulo
Metro,jason derulo
Sioux City IA,100
Sioux Falls(Mitchell) SD,91
Wausau-Rhinelander WI,84
La Crosse-Eau Claire WI,81
Fargo-Valley City ND,80
Davenport IA-Rock Island-Moline IL,77
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,74
Binghamton NY,73
Green Bay-Appleton WI,73
Minot-Bismarck-Dickinson(Williston) ND,73
Flint-Saginaw-Bay City MI,72
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,71
Ft. Wayne IN,70
Wilkes Barre-Scranton PA,69
South Bend-Elkhart IN,69
Wichita-Hutchinson KS,67
Des Moines-Ames IA,67
Lincoln & Hastings-Kearney NE,67
Rochester MN-Mason City IA-Austin MN,66
Portland-Auburn ME,65
Rockford IL,65
Omaha NE,64
Johnstown-Altoona PA,64
Columbia-Jefferson City MO,63
Toledo OH,63
Madison WI,62
Kansas City MO,61
Harrisburg-Lancaster-Lebanon-York PA,61
Albany-Schenectady-Troy NY,61
Syracuse NY,60
Grand Rapids-Kalamazoo-Battle Creek MI,59
Burlington VT-Plattsburgh NY,59
Ft. Smith-Fayetteville-Springdale-Rogers AR,59
Springfield MO,59
Topeka KS,58
Tri-Cities TN-VA,58
Buffalo NY,58
Dayton OH,58
Lexington KY,57
Youngstown OH,57
St. Louis MO,57
Indianapolis IN,57
Milwaukee WI,57
Louisville KY,57
Cleveland-Akron (Canton) OH,56
Boston MA-Manchester NH,56
Honolulu HI,56
Spokane WA,56
Minneapolis-St. Paul MN,56
Charlottesville VA,56
Yakima-Pasco-Richland-Kennewick WA,56
Cincinnati OH,55
Detroit MI,55
Pittsburgh PA,55
Providence RI-New Bedford MA,55
Charleston-Huntington WV,55
Boise ID,54
Roanoke-Lynchburg VA,54
Evansville IN,54
Chattanooga TN,54
Colorado Springs-Pueblo CO,54
Champaign & Springfield-Decatur IL,54
Peoria-Bloomington IL,53
Springfield-Holyoke MA,53
Rochester NY,53
Knoxville TN,53
Columbus OH,52
Hartford & New Haven CT,52
Florence-Myrtle Beach SC,52
Salt Lake City UT,52
Greensboro-High Point-Winston Salem NC,51
Tucson (Sierra Vista) AZ,51
Charlotte NC,51
Philadelphia PA,50
Fresno-Visalia CA,50
New York NY,50
Greenville-New Bern-Washington NC,50
Sacramento-Stockton-Modesto CA,49
Oklahoma City OK,49
Birmingham AL,49
Corpus Christi TX,48
Tulsa OK,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,48
Reno NV,48
Denver CO,47
Phoenix AZ,46
Huntsville-Decatur (Florence) AL,46
Lansing MI,46
Little Rock-Pine Bluff AR,46
Ft. Myers-Naples FL,46
Albuquerque-Santa Fe NM,45
Waco-Temple-Bryan TX,44
Eugene OR,44
Tampa-St. Petersburg (Sarasota) FL,43
Raleigh-Durham (Fayetteville) NC,43
Chicago IL,43
Las Vegas NV,43
Orlando-Daytona Beach-Melbourne FL,43
Anchorage AK,43
Bakersfield CA,43
Dallas-Ft. Worth TX,43
Tyler-Longview(Lufkin & Nacogdoches) TX,43
Atlanta GA,42
Seattle-Tacoma WA,42
West Palm Beach-Ft. Pierce FL,42
Nashville TN,41
New Orleans LA,41
San Antonio TX,41
Mobile AL-Pensacola (Ft. Walton Beach) FL,41
Baltimore MD,40
Los Angeles CA,40
Washington DC (Hagerstown MD),39
Norfolk-Portsmouth-Newport News VA,39
Harlingen-Weslaco-Brownsville-McAllen TX,39
El Paso TX,39
Portland OR,39
Baton Rouge LA,38
San Diego CA,38
Jacksonville FL,38
Columbia SC,38
Richmond-Petersburg VA,37
Tallahassee FL-Thomasville GA,37
Savannah GA,36
Shreveport LA,36
Memphis TN,36
Santa Barbara-Santa Maria-San Luis Obispo CA,36
Charleston SC,35
Miami-Ft. Lauderdale FL,35
Jackson MS,34
Houston TX,34
Monterey-Salinas CA,34
San Francisco-Oakland-San Jose CA,32
Austin TX,32
Macon GA,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Palm Springs CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for jason derulo
Town/City,jason derulo
Herndon,100
St. Louis,97
Richardson,84
New York,83
Minneapolis,83
Phoenix,83
Boston,79
Tampa,77
Philadelphia,77
Seattle,76
Denver,74
Orlando,72
Atlanta,72
Los Angeles,71
Portland,70



Top searches for jason derulo
jason derulo lyrics,100
solo jason derulo,50
solo,50
ridin solo,40
in my head,35
whatcha say,25
wiggle wiggle wiggle,25
jason derulo wiggle,25
wiggle,25
jason derulo trumpets,15
trumpets,15
marry me,15
ridin solo lyrics,10
it girl,10
what if,10
riding solo,5
whatcha say lyrics,5
iyaz,5
what you say,5
jay sean,5
blind,5
blind jason derulo,5
breathing jason derulo,5
jason derulo live,5
replay,5
dynamite,5
solo iyaz,5
text jason derulo,5
dark horse,5
break your heart,0
dynamite taio cruz,0
fancy,0
perfect jason derulo,0



Rising searches for jason derulo
in my head,Breakout
jason derulo lyrics,Breakout
jason derulo trumpets,Breakout
jason derulo wiggle,Breakout
marry me,Breakout
ridin solo,Breakout
solo,Breakout
solo jason derulo,Breakout
trumpets,Breakout
whatcha say,Breakout



