YouTube Search interest: the band perry
United States; Jan 2008 - Jul 2015

Interest over time
Week,the band perry
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0
2009-07-05 - 2009-07-11,0
2009-07-12 - 2009-07-18,0
2009-07-19 - 2009-07-25,0
2009-07-26 - 2009-08-01,0
2009-08-02 - 2009-08-08,0
2009-08-09 - 2009-08-15,0
2009-08-16 - 2009-08-22,0
2009-08-23 - 2009-08-29,0
2009-08-30 - 2009-09-05,0
2009-09-06 - 2009-09-12,0
2009-09-13 - 2009-09-19,0
2009-09-20 - 2009-09-26,0
2009-09-27 - 2009-10-03,0
2009-10-04 - 2009-10-10,0
2009-10-11 - 2009-10-17,0
2009-10-18 - 2009-10-24,0
2009-10-25 - 2009-10-31,0
2009-11-01 - 2009-11-07,0
2009-11-08 - 2009-11-14,0
2009-11-15 - 2009-11-21,0
2009-11-22 - 2009-11-28,0
2009-11-29 - 2009-12-05,1
2009-12-06 - 2009-12-12,0
2009-12-13 - 2009-12-19,0
2009-12-20 - 2009-12-26,0
2009-12-27 - 2010-01-02,0
2010-01-03 - 2010-01-09,0
2010-01-10 - 2010-01-16,0
2010-01-17 - 2010-01-23,0
2010-01-24 - 2010-01-30,1
2010-01-31 - 2010-02-06,1
2010-02-07 - 2010-02-13,0
2010-02-14 - 2010-02-20,1
2010-02-21 - 2010-02-27,1
2010-02-28 - 2010-03-06,1
2010-03-07 - 2010-03-13,1
2010-03-14 - 2010-03-20,1
2010-03-21 - 2010-03-27,1
2010-03-28 - 2010-04-03,1
2010-04-04 - 2010-04-10,2
2010-04-11 - 2010-04-17,2
2010-04-18 - 2010-04-24,1
2010-04-25 - 2010-05-01,4
2010-05-02 - 2010-05-08,2
2010-05-09 - 2010-05-15,2
2010-05-16 - 2010-05-22,2
2010-05-23 - 2010-05-29,4
2010-05-30 - 2010-06-05,5
2010-06-06 - 2010-06-12,5
2010-06-13 - 2010-06-19,6
2010-06-20 - 2010-06-26,7
2010-06-27 - 2010-07-03,9
2010-07-04 - 2010-07-10,12
2010-07-11 - 2010-07-17,15
2010-07-18 - 2010-07-24,20
2010-07-25 - 2010-07-31,25
2010-08-01 - 2010-08-07,30
2010-08-08 - 2010-08-14,32
2010-08-15 - 2010-08-21,37
2010-08-22 - 2010-08-28,43
2010-08-29 - 2010-09-04,47
2010-09-05 - 2010-09-11,42
2010-09-12 - 2010-09-18,41
2010-09-19 - 2010-09-25,45
2010-09-26 - 2010-10-02,43
2010-10-03 - 2010-10-09,47
2010-10-10 - 2010-10-16,53
2010-10-17 - 2010-10-23,55
2010-10-24 - 2010-10-30,47
2010-10-31 - 2010-11-06,46
2010-11-07 - 2010-11-13,51
2010-11-14 - 2010-11-20,54
2010-11-21 - 2010-11-27,58
2010-11-28 - 2010-12-04,47
2010-12-05 - 2010-12-11,49
2010-12-12 - 2010-12-18,43
2010-12-19 - 2010-12-25,42
2010-12-26 - 2011-01-01,36
2011-01-02 - 2011-01-08,38
2011-01-09 - 2011-01-15,38
2011-01-16 - 2011-01-22,37
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,37
2011-02-06 - 2011-02-12,33
2011-02-13 - 2011-02-19,30
2011-02-20 - 2011-02-26,35
2011-02-27 - 2011-03-05,35
2011-03-06 - 2011-03-12,37
2011-03-13 - 2011-03-19,40
2011-03-20 - 2011-03-26,38
2011-03-27 - 2011-04-02,37
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,40
2011-04-17 - 2011-04-23,39
2011-04-24 - 2011-04-30,37
2011-05-01 - 2011-05-07,36
2011-05-08 - 2011-05-14,46
2011-05-15 - 2011-05-21,59
2011-05-22 - 2011-05-28,61
2011-05-29 - 2011-06-04,55
2011-06-05 - 2011-06-11,68
2011-06-12 - 2011-06-18,67
2011-06-19 - 2011-06-25,72
2011-06-26 - 2011-07-02,75
2011-07-03 - 2011-07-09,82
2011-07-10 - 2011-07-16,88
2011-07-17 - 2011-07-23,83
2011-07-24 - 2011-07-30,86
2011-07-31 - 2011-08-06,86
2011-08-07 - 2011-08-13,94
2011-08-14 - 2011-08-20,100
2011-08-21 - 2011-08-27,97
2011-08-28 - 2011-09-03,90
2011-09-04 - 2011-09-10,98
2011-09-11 - 2011-09-17,90
2011-09-18 - 2011-09-24,84
2011-09-25 - 2011-10-01,78
2011-10-02 - 2011-10-08,73
2011-10-09 - 2011-10-15,70
2011-10-16 - 2011-10-22,66
2011-10-23 - 2011-10-29,60
2011-10-30 - 2011-11-05,59
2011-11-06 - 2011-11-12,76
2011-11-13 - 2011-11-19,69
2011-11-20 - 2011-11-26,69
2011-11-27 - 2011-12-03,58
2011-12-04 - 2011-12-10,53
2011-12-11 - 2011-12-17,51
2011-12-18 - 2011-12-24,54
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,44
2012-01-08 - 2012-01-14,44
2012-01-15 - 2012-01-21,41
2012-01-22 - 2012-01-28,41
2012-01-29 - 2012-02-04,38
2012-02-05 - 2012-02-11,37
2012-02-12 - 2012-02-18,41
2012-02-19 - 2012-02-25,37
2012-02-26 - 2012-03-03,32
2012-03-04 - 2012-03-10,30
2012-03-11 - 2012-03-17,29
2012-03-18 - 2012-03-24,28
2012-03-25 - 2012-03-31,27
2012-04-01 - 2012-04-07,29
2012-04-08 - 2012-04-14,27
2012-04-15 - 2012-04-21,27
2012-04-22 - 2012-04-28,25
2012-04-29 - 2012-05-05,24
2012-05-06 - 2012-05-12,26
2012-05-13 - 2012-05-19,26
2012-05-20 - 2012-05-26,25
2012-05-27 - 2012-06-02,27
2012-06-03 - 2012-06-09,32
2012-06-10 - 2012-06-16,31
2012-06-17 - 2012-06-23,24
2012-06-24 - 2012-06-30,25
2012-07-01 - 2012-07-07,25
2012-07-08 - 2012-07-14,23
2012-07-15 - 2012-07-21,24
2012-07-22 - 2012-07-28,23
2012-07-29 - 2012-08-04,22
2012-08-05 - 2012-08-11,20
2012-08-12 - 2012-08-18,21
2012-08-19 - 2012-08-25,19
2012-08-26 - 2012-09-01,18
2012-09-02 - 2012-09-08,16
2012-09-09 - 2012-09-15,15
2012-09-16 - 2012-09-22,15
2012-09-23 - 2012-09-29,14
2012-09-30 - 2012-10-06,16
2012-10-07 - 2012-10-13,13
2012-10-14 - 2012-10-20,15
2012-10-21 - 2012-10-27,14
2012-10-28 - 2012-11-03,21
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,25
2012-11-18 - 2012-11-24,25
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,36
2012-12-09 - 2012-12-15,40
2012-12-16 - 2012-12-22,38
2012-12-23 - 2012-12-29,33
2012-12-30 - 2013-01-05,33
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,40
2013-01-20 - 2013-01-26,49
2013-01-27 - 2013-02-02,42
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,33
2013-02-17 - 2013-02-23,30
2013-02-24 - 2013-03-02,31
2013-03-03 - 2013-03-09,28
2013-03-10 - 2013-03-16,30
2013-03-17 - 2013-03-23,24
2013-03-24 - 2013-03-30,28
2013-03-31 - 2013-04-06,45
2013-04-07 - 2013-04-13,51
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,32
2013-05-05 - 2013-05-11,30
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,29
2013-05-26 - 2013-06-01,26
2013-06-02 - 2013-06-08,24
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,20
2013-06-23 - 2013-06-29,20
2013-06-30 - 2013-07-06,22
2013-07-07 - 2013-07-13,21
2013-07-14 - 2013-07-20,19
2013-07-21 - 2013-07-27,16
2013-07-28 - 2013-08-03,18
2013-08-04 - 2013-08-10,14
2013-08-11 - 2013-08-17,19
2013-08-18 - 2013-08-24,17
2013-08-25 - 2013-08-31,15
2013-09-01 - 2013-09-07,16
2013-09-08 - 2013-09-14,14
2013-09-15 - 2013-09-21,14
2013-09-22 - 2013-09-28,13
2013-09-29 - 2013-10-05,13
2013-10-06 - 2013-10-12,15
2013-10-13 - 2013-10-19,16
2013-10-20 - 2013-10-26,15
2013-10-27 - 2013-11-02,16
2013-11-03 - 2013-11-09,15
2013-11-10 - 2013-11-16,13
2013-11-17 - 2013-11-23,15
2013-11-24 - 2013-11-30,14
2013-12-01 - 2013-12-07,12
2013-12-08 - 2013-12-14,12
2013-12-15 - 2013-12-21,13
2013-12-22 - 2013-12-28,11
2013-12-29 - 2014-01-04,11
2014-01-05 - 2014-01-11,10
2014-01-12 - 2014-01-18,11
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,13
2014-02-09 - 2014-02-15,9
2014-02-16 - 2014-02-22,10
2014-02-23 - 2014-03-01,11
2014-03-02 - 2014-03-08,11
2014-03-09 - 2014-03-15,10
2014-03-16 - 2014-03-22,11
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,10
2014-04-06 - 2014-04-12,14
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,12
2014-04-27 - 2014-05-03,13
2014-05-04 - 2014-05-10,13
2014-05-11 - 2014-05-17,14
2014-05-18 - 2014-05-24,12
2014-05-25 - 2014-05-31,12
2014-06-01 - 2014-06-07,12
2014-06-08 - 2014-06-14,11
2014-06-15 - 2014-06-21,12
2014-06-22 - 2014-06-28,11
2014-06-29 - 2014-07-05,11
2014-07-06 - 2014-07-12,12
2014-07-13 - 2014-07-19,10
2014-07-20 - 2014-07-26,10
2014-07-27 - 2014-08-02,9
2014-08-03 - 2014-08-09,8
2014-08-10 - 2014-08-16,8
2014-08-17 - 2014-08-23,8
2014-08-24 - 2014-08-30,7
2014-08-31 - 2014-09-06,7
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,8
2014-09-21 - 2014-09-27,9
2014-09-28 - 2014-10-04,7
2014-10-05 - 2014-10-11,8
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,8
2014-10-26 - 2014-11-01,7
2014-11-02 - 2014-11-08,10
2014-11-09 - 2014-11-15,8
2014-11-16 - 2014-11-22,8
2014-11-23 - 2014-11-29,8
2014-11-30 - 2014-12-06,6
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,7
2014-12-21 - 2014-12-27,7
2014-12-28 - 2015-01-03,8
2015-01-04 - 2015-01-10,7
2015-01-11 - 2015-01-17,7
2015-01-18 - 2015-01-24,7
2015-01-25 - 2015-01-31,6
2015-02-01 - 2015-02-07,7
2015-02-08 - 2015-02-14,8
2015-02-15 - 2015-02-21,7
2015-02-22 - 2015-02-28,7
2015-03-01 - 2015-03-07,8
2015-03-08 - 2015-03-14,7
2015-03-15 - 2015-03-21,6
2015-03-22 - 2015-03-28,6
2015-03-29 - 2015-04-04,6
2015-04-05 - 2015-04-11,6
2015-04-12 - 2015-04-18,6
2015-04-19 - 2015-04-25,7
2015-04-26 - 2015-05-02,6
2015-05-03 - 2015-05-09,5
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,6
2015-05-24 - 2015-05-30,6
2015-05-31 - 2015-06-06,7
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,5
2015-06-21 - 2015-06-27,6
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,5
2015-07-12 - 2015-07-18,4
2015-07-19 - 2015-07-25,6
2015-07-26 - 2015-08-01,6


Top sub-regions for the band perry
Sub-region,the band perry
West Virginia,100
South Dakota,96
Kentucky,94
Montana,83
Iowa,82
North Dakota,82
Indiana,79
Idaho,77
Wyoming,77
Nebraska,74
Tennessee,73
Wisconsin,72
Oklahoma,72
Missouri,71
Ohio,71
Maine,70
Kansas,70
Arkansas,69
South Carolina,67
Alabama,67
Michigan,67
Minnesota,63
Utah,62
North Carolina,61
Vermont,57
Pennsylvania,56
Mississippi,56
New Mexico,55
New Hampshire,53
Colorado,53
Georgia,50
Louisiana,49
Texas,48
Arizona,47
Illinois,46
Washington,45
Oregon,44
Delaware,42
Massachusetts,41
Florida,41
Rhode Island,38
Maryland,37
Alaska,36
Connecticut,36
Nevada,36
Virginia,32
New York,30
New Jersey,29
California,28
Hawaii,25
District of Columbia,20


Top metros for the band perry
Metro,the band perry
Charleston-Huntington WV,100
Lexington KY,96
Wichita-Hutchinson KS,88
Davenport IA-Rock Island-Moline IL,82
Sioux Falls(Mitchell) SD,79
Johnstown-Altoona PA,79
Springfield MO,78
Dayton OH,74
Louisville KY,71
Chattanooga TN,71
La Crosse-Eau Claire WI,70
Huntsville-Decatur (Florence) AL,70
Champaign & Springfield-Decatur IL,69
Toledo OH,69
Cincinnati OH,68
Boise ID,68
Grand Rapids-Kalamazoo-Battle Creek MI,66
Green Bay-Appleton WI,65
Flint-Saginaw-Bay City MI,65
Spokane WA,63
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,63
Tulsa OK,63
Nashville TN,62
Knoxville TN,61
Roanoke-Lynchburg VA,60
Wilkes Barre-Scranton PA,60
Mobile AL-Pensacola (Ft. Walton Beach) FL,60
Indianapolis IN,59
Greenville-Spartanburg SC-Asheville NC-Anderson SC,58
Des Moines-Ames IA,58
Little Rock-Pine Bluff AR,57
Buffalo NY,57
Portland-Auburn ME,57
Oklahoma City OK,57
Columbus OH,57
Burlington VT-Plattsburgh NY,57
Kansas City MO,56
Cleveland-Akron (Canton) OH,56
Greensboro-High Point-Winston Salem NC,54
Salt Lake City UT,54
Harrisburg-Lancaster-Lebanon-York PA,54
Omaha NE,53
Charlotte NC,52
Minneapolis-St. Paul MN,52
St. Louis MO,52
Madison WI,51
Birmingham AL,51
Milwaukee WI,49
Syracuse NY,49
Colorado Springs-Pueblo CO,48
Pittsburgh PA,48
Denver CO,45
Raleigh-Durham (Fayetteville) NC,45
Richmond-Petersburg VA,45
Albany-Schenectady-Troy NY,44
Jacksonville FL,44
Tampa-St. Petersburg (Sarasota) FL,43
Albuquerque-Santa Fe NM,42
Detroit MI,42
Fresno-Visalia CA,42
San Antonio TX,42
Phoenix AZ,41
Norfolk-Portsmouth-Newport News VA,41
Sacramento-Stockton-Modesto CA,40
Memphis TN,39
New Orleans LA,39
Atlanta GA,38
Providence RI-New Bedford MA,38
Houston TX,37
Rochester NY,37
Boston MA-Manchester NH,35
Portland OR,34
Dallas-Ft. Worth TX,33
Las Vegas NV,33
Seattle-Tacoma WA,32
Chicago IL,32
Orlando-Daytona Beach-Melbourne FL,31
Baltimore MD,31
Austin TX,31
West Palm Beach-Ft. Pierce FL,31
Hartford & New Haven CT,31
Philadelphia PA,31
San Diego CA,27
Los Angeles CA,23
Miami-Ft. Lauderdale FL,22
Washington DC (Hagerstown MD),20
New York NY,20
San Francisco-Oakland-San Jose CA,15
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Honolulu HI,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0


Top cities for the band perry
Town/City,the band perry
Louisville,100
Columbus,97
Denver,86
St. Louis,85
San Antonio,80
Portland,72
Houston,68
Phoenix,66
Dallas,64
Seattle,50
Atlanta,49
San Diego,44
Chicago,42
San Francisco,39
Los Angeles,32



Top searches for the band perry
you lie,100
better dig two,95
all your life,80
done band perry,45
done,45
lady antebellum,35
miranda lambert,30
sugarland,25
zac brown band,20
little big town,15
stuck like glue,15
taylor swift mean,10
kesha die young,10



Rising searches for the band perry
all your life,Breakout
better dig two,Breakout
done,Breakout
done band perry,Breakout
lady antebellum,Breakout
you lie,Breakout



