YouTube Search interest: wale
United States; Jan 2008 - Jul 2015

Interest over time
Week,wale
2009-08-09 - 2009-08-15,9
2009-08-16 - 2009-08-22,9
2009-08-23 - 2009-08-29,11
2009-08-30 - 2009-09-05,11
2009-09-06 - 2009-09-12,10
2009-09-13 - 2009-09-19,10
2009-09-20 - 2009-09-26,9
2009-09-27 - 2009-10-03,8
2009-10-04 - 2009-10-10,7
2009-10-11 - 2009-10-17,9
2009-10-18 - 2009-10-24,8
2009-10-25 - 2009-10-31,9
2009-11-01 - 2009-11-07,11
2009-11-08 - 2009-11-14,14
2009-11-15 - 2009-11-21,11
2009-11-22 - 2009-11-28,10
2009-11-29 - 2009-12-05,9
2009-12-06 - 2009-12-12,9
2009-12-13 - 2009-12-19,8
2009-12-20 - 2009-12-26,9
2009-12-27 - 2010-01-02,9
2010-01-03 - 2010-01-09,9
2010-01-10 - 2010-01-16,9
2010-01-17 - 2010-01-23,9
2010-01-24 - 2010-01-30,9
2010-01-31 - 2010-02-06,9
2010-02-07 - 2010-02-13,12
2010-02-14 - 2010-02-20,10
2010-02-21 - 2010-02-27,11
2010-02-28 - 2010-03-06,11
2010-03-07 - 2010-03-13,11
2010-03-14 - 2010-03-20,11
2010-03-21 - 2010-03-27,11
2010-03-28 - 2010-04-03,11
2010-04-04 - 2010-04-10,12
2010-04-11 - 2010-04-17,13
2010-04-18 - 2010-04-24,12
2010-04-25 - 2010-05-01,12
2010-05-02 - 2010-05-08,16
2010-05-09 - 2010-05-15,13
2010-05-16 - 2010-05-22,12
2010-05-23 - 2010-05-29,10
2010-05-30 - 2010-06-05,10
2010-06-06 - 2010-06-12,10
2010-06-13 - 2010-06-19,9
2010-06-20 - 2010-06-26,9
2010-06-27 - 2010-07-03,8
2010-07-04 - 2010-07-10,8
2010-07-11 - 2010-07-17,8
2010-07-18 - 2010-07-24,9
2010-07-25 - 2010-07-31,10
2010-08-01 - 2010-08-07,13
2010-08-08 - 2010-08-14,14
2010-08-15 - 2010-08-21,12
2010-08-22 - 2010-08-28,12
2010-08-29 - 2010-09-04,13
2010-09-05 - 2010-09-11,12
2010-09-12 - 2010-09-18,14
2010-09-19 - 2010-09-25,15
2010-09-26 - 2010-10-02,15
2010-10-03 - 2010-10-09,13
2010-10-10 - 2010-10-16,14
2010-10-17 - 2010-10-23,15
2010-10-24 - 2010-10-30,15
2010-10-31 - 2010-11-06,16
2010-11-07 - 2010-11-13,15
2010-11-14 - 2010-11-20,14
2010-11-21 - 2010-11-27,13
2010-11-28 - 2010-12-04,14
2010-12-05 - 2010-12-11,13
2010-12-12 - 2010-12-18,13
2010-12-19 - 2010-12-25,14
2010-12-26 - 2011-01-01,14
2011-01-02 - 2011-01-08,17
2011-01-09 - 2011-01-15,16
2011-01-16 - 2011-01-22,16
2011-01-23 - 2011-01-29,15
2011-01-30 - 2011-02-05,16
2011-02-06 - 2011-02-12,24
2011-02-13 - 2011-02-19,22
2011-02-20 - 2011-02-26,20
2011-02-27 - 2011-03-05,19
2011-03-06 - 2011-03-12,20
2011-03-13 - 2011-03-19,19
2011-03-20 - 2011-03-26,18
2011-03-27 - 2011-04-02,20
2011-04-03 - 2011-04-09,23
2011-04-10 - 2011-04-16,22
2011-04-17 - 2011-04-23,18
2011-04-24 - 2011-04-30,18
2011-05-01 - 2011-05-07,19
2011-05-08 - 2011-05-14,18
2011-05-15 - 2011-05-21,22
2011-05-22 - 2011-05-28,23
2011-05-29 - 2011-06-04,23
2011-06-05 - 2011-06-11,21
2011-06-12 - 2011-06-18,21
2011-06-19 - 2011-06-25,23
2011-06-26 - 2011-07-02,21
2011-07-03 - 2011-07-09,21
2011-07-10 - 2011-07-16,24
2011-07-17 - 2011-07-23,25
2011-07-24 - 2011-07-30,26
2011-07-31 - 2011-08-06,25
2011-08-07 - 2011-08-13,26
2011-08-14 - 2011-08-20,31
2011-08-21 - 2011-08-27,28
2011-08-28 - 2011-09-03,31
2011-09-04 - 2011-09-10,29
2011-09-11 - 2011-09-17,30
2011-09-18 - 2011-09-24,34
2011-09-25 - 2011-10-01,37
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,55
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,100
2011-11-06 - 2011-11-12,87
2011-11-13 - 2011-11-19,90
2011-11-20 - 2011-11-26,73
2011-11-27 - 2011-12-03,67
2011-12-04 - 2011-12-10,66
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,66
2011-12-25 - 2011-12-31,62
2012-01-01 - 2012-01-07,56
2012-01-08 - 2012-01-14,54
2012-01-15 - 2012-01-21,51
2012-01-22 - 2012-01-28,52
2012-01-29 - 2012-02-04,51
2012-02-05 - 2012-02-11,49
2012-02-12 - 2012-02-18,44
2012-02-19 - 2012-02-25,48
2012-02-26 - 2012-03-03,47
2012-03-04 - 2012-03-10,46
2012-03-11 - 2012-03-17,49
2012-03-18 - 2012-03-24,52
2012-03-25 - 2012-03-31,45
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,45
2012-04-15 - 2012-04-21,44
2012-04-22 - 2012-04-28,43
2012-04-29 - 2012-05-05,40
2012-05-06 - 2012-05-12,38
2012-05-13 - 2012-05-19,35
2012-05-20 - 2012-05-26,33
2012-05-27 - 2012-06-02,32
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,29
2012-06-17 - 2012-06-23,27
2012-06-24 - 2012-06-30,32
2012-07-01 - 2012-07-07,33
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,28
2012-07-22 - 2012-07-28,30
2012-07-29 - 2012-08-04,30
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,25
2012-09-02 - 2012-09-08,23
2012-09-09 - 2012-09-15,23
2012-09-16 - 2012-09-22,23
2012-09-23 - 2012-09-29,22
2012-09-30 - 2012-10-06,23
2012-10-07 - 2012-10-13,24
2012-10-14 - 2012-10-20,21
2012-10-21 - 2012-10-27,19
2012-10-28 - 2012-11-03,19
2012-11-04 - 2012-11-10,20
2012-11-11 - 2012-11-17,22
2012-11-18 - 2012-11-24,20
2012-11-25 - 2012-12-01,20
2012-12-02 - 2012-12-08,19
2012-12-09 - 2012-12-15,18
2012-12-16 - 2012-12-22,20
2012-12-23 - 2012-12-29,27
2012-12-30 - 2013-01-05,24
2013-01-06 - 2013-01-12,22
2013-01-13 - 2013-01-19,24
2013-01-20 - 2013-01-26,22
2013-01-27 - 2013-02-02,25
2013-02-03 - 2013-02-09,26
2013-02-10 - 2013-02-16,29
2013-02-17 - 2013-02-23,35
2013-02-24 - 2013-03-02,43
2013-03-03 - 2013-03-09,49
2013-03-10 - 2013-03-16,55
2013-03-17 - 2013-03-23,65
2013-03-24 - 2013-03-30,63
2013-03-31 - 2013-04-06,61
2013-04-07 - 2013-04-13,56
2013-04-14 - 2013-04-20,54
2013-04-21 - 2013-04-27,52
2013-04-28 - 2013-05-04,49
2013-05-05 - 2013-05-11,43
2013-05-12 - 2013-05-18,41
2013-05-19 - 2013-05-25,43
2013-05-26 - 2013-06-01,40
2013-06-02 - 2013-06-08,51
2013-06-09 - 2013-06-15,47
2013-06-16 - 2013-06-22,44
2013-06-23 - 2013-06-29,59
2013-06-30 - 2013-07-06,49
2013-07-07 - 2013-07-13,45
2013-07-14 - 2013-07-20,37
2013-07-21 - 2013-07-27,35
2013-07-28 - 2013-08-03,33
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,28
2013-08-25 - 2013-08-31,26
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,25
2013-09-15 - 2013-09-21,25
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,21
2013-10-13 - 2013-10-19,20
2013-10-20 - 2013-10-26,18
2013-10-27 - 2013-11-02,20
2013-11-03 - 2013-11-09,18
2013-11-10 - 2013-11-16,19
2013-11-17 - 2013-11-23,18
2013-11-24 - 2013-11-30,16
2013-12-01 - 2013-12-07,18
2013-12-08 - 2013-12-14,18
2013-12-15 - 2013-12-21,15
2013-12-22 - 2013-12-28,15
2013-12-29 - 2014-01-04,14
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,14
2014-01-19 - 2014-01-25,14
2014-01-26 - 2014-02-01,13
2014-02-02 - 2014-02-08,12
2014-02-09 - 2014-02-15,13
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,12
2014-03-02 - 2014-03-08,12
2014-03-09 - 2014-03-15,11
2014-03-16 - 2014-03-22,12
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,11
2014-04-06 - 2014-04-12,10
2014-04-13 - 2014-04-19,10
2014-04-20 - 2014-04-26,10
2014-04-27 - 2014-05-03,10
2014-05-04 - 2014-05-10,10
2014-05-11 - 2014-05-17,10
2014-05-18 - 2014-05-24,10
2014-05-25 - 2014-05-31,9
2014-06-01 - 2014-06-07,8
2014-06-08 - 2014-06-14,8
2014-06-15 - 2014-06-21,8
2014-06-22 - 2014-06-28,8
2014-06-29 - 2014-07-05,7
2014-07-06 - 2014-07-12,10
2014-07-13 - 2014-07-19,8
2014-07-20 - 2014-07-26,8
2014-07-27 - 2014-08-02,8
2014-08-03 - 2014-08-09,7
2014-08-10 - 2014-08-16,7
2014-08-17 - 2014-08-23,7
2014-08-24 - 2014-08-30,7
2014-08-31 - 2014-09-06,7
2014-09-07 - 2014-09-13,10
2014-09-14 - 2014-09-20,9
2014-09-21 - 2014-09-27,10
2014-09-28 - 2014-10-04,9
2014-10-05 - 2014-10-11,9
2014-10-12 - 2014-10-18,9
2014-10-19 - 2014-10-25,10
2014-10-26 - 2014-11-01,10
2014-11-02 - 2014-11-08,10
2014-11-09 - 2014-11-15,9
2014-11-16 - 2014-11-22,12
2014-11-23 - 2014-11-29,10
2014-11-30 - 2014-12-06,10
2014-12-07 - 2014-12-13,10
2014-12-14 - 2014-12-20,10
2014-12-21 - 2014-12-27,11
2014-12-28 - 2015-01-03,10
2015-01-04 - 2015-01-10,10
2015-01-11 - 2015-01-17,11
2015-01-18 - 2015-01-24,10
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,10
2015-02-08 - 2015-02-14,10
2015-02-15 - 2015-02-21,10
2015-02-22 - 2015-02-28,10
2015-03-01 - 2015-03-07,12
2015-03-08 - 2015-03-14,10
2015-03-15 - 2015-03-21,10
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,21
2015-04-05 - 2015-04-11,21
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,17
2015-04-26 - 2015-05-02,17
2015-05-03 - 2015-05-09,16
2015-05-10 - 2015-05-16,15
2015-05-17 - 2015-05-23,15
2015-05-24 - 2015-05-30,13
2015-05-31 - 2015-06-06,14
2015-06-07 - 2015-06-13,17
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,14
2015-06-28 - 2015-07-04,13
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,11
2015-07-19 - 2015-07-25,12
2015-07-26 - 2015-08-01,11


Top sub-regions for wale
Sub-region,wale
Maryland,100
Delaware,76
District of Columbia,76
North Carolina,69
South Carolina,62
Mississippi,61
Georgia,61
Louisiana,57
Pennsylvania,55
Alabama,55
Florida,52
Michigan,50
New York,49
Rhode Island,49
Illinois,49
Ohio,45
New Jersey,44
Virginia,43
Connecticut,42
Massachusetts,41
Indiana,40
Tennessee,40
Kentucky,37
West Virginia,37
Arkansas,36
Texas,36
Missouri,34
Wisconsin,33
California,32
Kansas,32
Nevada,32
Iowa,31
New Hampshire,30
Arizona,30
Minnesota,30
Oklahoma,30
New Mexico,29
Nebraska,27
Washington,26
North Dakota,25
Vermont,24
Colorado,24
Maine,23
Hawaii,23
South Dakota,22
Oregon,22
Alaska,19
Montana,17
Wyoming,15
Utah,14
Idaho,14


Top metros for wale
Metro,wale
Salisbury MD,100
Norfolk-Portsmouth-Newport News VA,97
Augusta GA,88
Florence-Myrtle Beach SC,84
Tallahassee FL-Thomasville GA,84
Richmond-Petersburg VA,78
Columbus GA,77
Baltimore MD,77
Albany GA,74
Raleigh-Durham (Fayetteville) NC,72
Greenville-New Bern-Washington NC,71
Columbia SC,71
Memphis TN,65
Savannah GA,63
Macon GA,63
Montgomery (Selma) AL,62
Baton Rouge LA,62
New Orleans LA,61
Greensboro-High Point-Winston Salem NC,61
Wilmington NC,60
Charleston SC,60
Philadelphia PA,60
Detroit MI,58
Miami-Ft. Lauderdale FL,57
Washington DC (Hagerstown MD),57
Atlanta GA,56
Charlotte NC,56
Jackson MS,55
New York NY,54
Gainesville FL,52
Peoria-Bloomington IL,52
Jacksonville FL,51
Chicago IL,51
Cleveland-Akron (Canton) OH,51
Lansing MI,49
Providence RI-New Bedford MA,49
Shreveport LA,49
Birmingham AL,49
Charlottesville VA,48
Milwaukee WI,47
Houston TX,47
Hartford & New Haven CT,46
Buffalo NY,46
Flint-Saginaw-Bay City MI,46
West Palm Beach-Ft. Pierce FL,46
Roanoke-Lynchburg VA,46
Harrisburg-Lancaster-Lebanon-York PA,45
Dayton OH,45
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,45
Grand Rapids-Kalamazoo-Battle Creek MI,44
Mobile AL-Pensacola (Ft. Walton Beach) FL,44
Champaign & Springfield-Decatur IL,44
Ft. Wayne IN,43
Lafayette LA,43
Pittsburgh PA,43
Ft. Myers-Naples FL,43
Little Rock-Pine Bluff AR,43
Springfield-Holyoke MA,43
Rochester NY,42
Waco-Temple-Bryan TX,42
Tampa-St. Petersburg (Sarasota) FL,42
Greenville-Spartanburg SC-Asheville NC-Anderson SC,42
Huntsville-Decatur (Florence) AL,41
Wilkes Barre-Scranton PA,40
Nashville TN,40
Bakersfield CA,40
Columbus OH,40
Albany-Schenectady-Troy NY,40
South Bend-Elkhart IN,40
Cincinnati OH,39
Orlando-Daytona Beach-Melbourne FL,39
Boston MA-Manchester NH,39
Louisville KY,38
Indianapolis IN,38
Toledo OH,38
Syracuse NY,37
Los Angeles CA,37
Sacramento-Stockton-Modesto CA,37
Wichita-Hutchinson KS,37
St. Louis MO,36
Kansas City MO,36
Fresno-Visalia CA,35
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,34
Lexington KY,34
Johnstown-Altoona PA,34
Las Vegas NV,34
Dallas-Ft. Worth TX,32
Tucson (Sierra Vista) AZ,31
Phoenix AZ,31
Chattanooga TN,31
Albuquerque-Santa Fe NM,30
Austin TX,30
Madison WI,29
Omaha NE,29
San Diego CA,29
Minneapolis-St. Paul MN,29
Seattle-Tacoma WA,29
Knoxville TN,28
San Antonio TX,28
Oklahoma City OK,28
Santa Barbara-Santa Maria-San Luis Obispo CA,28
Tulsa OK,27
Charleston-Huntington WV,27
Des Moines-Ames IA,27
Denver CO,26
Colorado Springs-Pueblo CO,26
Honolulu HI,26
Burlington VT-Plattsburgh NY,26
Portland-Auburn ME,25
El Paso TX,25
San Francisco-Oakland-San Jose CA,23
Portland OR,20
Spokane WA,20
Salt Lake City UT,14
Binghamton NY,0
Erie PA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for wale
Town/City,wale
Detroit,100
Baltimore,96
Philadelphia,87
Washington,82
Norfolk,82
Charlotte,65
Jacksonville,63
New York,56
Chicago,56
Houston,50
Columbus,48
Atlanta,47
Boston,41
Las Vegas,38
Miami,38



Top searches for wale
wale bad,100
bad,100
drake,70
wale flower bomb,65
lotus flower,60
lotus flower bomb,60
rick ross,60
wale rick ross,60
wale ambition,45
that way wale,35
that way,35
wiz khalifa,35
wale work,30
meek mill,30
j cole,30
new wale,25
wale instrumental,25
bad wale lyrics,25
big sean,20
tyga,20
wale slight work,20
chillin wale,20
wale miguel,15
miguel,15
jeydon wale,15
wale freestyle,15
wale dance,15
future,15
kid cudi,15
bad rihanna wale,15
wale bad remix,15
2 chainz,15
wale sabotage,10
kendrick lamar,10
meek millz,10
wale diary,10
90210 wale,10
90210,10
wale bait,10
mia omarion wale,10
french montana,10
pretty girls,10
pretty girls wale,5
wale pretty girlz,5
wale focused,5
the body wale,5



Rising searches for wale
bad,Breakout
drake,Breakout
lotus flower,Breakout
lotus flower bomb,Breakout
rick ross,Breakout
that way,Breakout
that way wale,Breakout
wale ambition,Breakout
wale bad,Breakout
wale flower bomb,Breakout



