YouTube Search interest: snoop dogg
United States; Jan 2008 - Jul 2015

Interest over time
Week,snoop dogg
2014-06-08 - 2014-06-14,45
2014-06-15 - 2014-06-21,31
2014-06-22 - 2014-06-28,30
2014-06-29 - 2014-07-05,29
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,25
2014-07-20 - 2014-07-26,27
2014-07-27 - 2014-08-02,23
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,24
2014-08-17 - 2014-08-23,24
2014-08-24 - 2014-08-30,26
2014-08-31 - 2014-09-06,26
2014-09-07 - 2014-09-13,24
2014-09-14 - 2014-09-20,25
2014-09-21 - 2014-09-27,27
2014-09-28 - 2014-10-04,23
2014-10-05 - 2014-10-11,23
2014-10-12 - 2014-10-18,27
2014-10-19 - 2014-10-25,24
2014-10-26 - 2014-11-01,24
2014-11-02 - 2014-11-08,23
2014-11-09 - 2014-11-15,22
2014-11-16 - 2014-11-22,23
2014-11-23 - 2014-11-29,23
2014-11-30 - 2014-12-06,22
2014-12-07 - 2014-12-13,22
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,22
2014-12-28 - 2015-01-03,21
2015-01-04 - 2015-01-10,24
2015-01-11 - 2015-01-17,25
2015-01-18 - 2015-01-24,29
2015-01-25 - 2015-01-31,34
2015-02-01 - 2015-02-07,37
2015-02-08 - 2015-02-14,34
2015-02-15 - 2015-02-21,30
2015-02-22 - 2015-02-28,32
2015-03-01 - 2015-03-07,31
2015-03-08 - 2015-03-14,31
2015-03-15 - 2015-03-21,31
2015-03-22 - 2015-03-28,29
2015-03-29 - 2015-04-04,32
2015-04-05 - 2015-04-11,32
2015-04-12 - 2015-04-18,30
2015-04-19 - 2015-04-25,30
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,32
2015-05-10 - 2015-05-16,33
2015-05-17 - 2015-05-23,31
2015-05-24 - 2015-05-30,31
2015-05-31 - 2015-06-06,28
2015-06-07 - 2015-06-13,27
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,25
2015-06-28 - 2015-07-04,22
2015-07-05 - 2015-07-11,24
2015-07-12 - 2015-07-18,21
2015-07-19 - 2015-07-25,22
2015-07-26 - 2015-08-01,21


Top sub-regions for snoop dogg
Sub-region,snoop dogg
California,100
Arizona,81
Nevada,80
New Mexico,80
North Carolina,73
Arkansas,71
Texas,70
Washington,69
South Dakota,69
Colorado,69
Rhode Island,68
Mississippi,68
Vermont,67
Oklahoma,66
New York,66
South Carolina,66
Georgia,66
Ohio,65
Kansas,65
Michigan,65
Kentucky,65
Missouri,65
Florida,64
Virginia,63
Maine,63
Massachusetts,63
Oregon,63
New Hampshire,63
District of Columbia,62
Indiana,62
Alabama,62
North Dakota,62
Idaho,61
Wisconsin,61
Nebraska,61
Louisiana,61
Maryland,61
Alaska,60
Hawaii,60
Iowa,59
Montana,59
Connecticut,58
Illinois,58
Wyoming,58
West Virginia,58
Minnesota,58
Delaware,58
Pennsylvania,58
Tennessee,57
Utah,57
New Jersey,56


Top metros for snoop dogg
Metro,snoop dogg
Palm Springs CA,100
Bakersfield CA,90
Los Angeles CA,87
Santa Barbara-Santa Maria-San Luis Obispo CA,84
San Diego CA,74
Reno NV,73
Fresno-Visalia CA,73
Las Vegas NV,69
El Paso TX,69
Florence-Myrtle Beach SC,68
Montgomery (Selma) AL,64
Monterey-Salinas CA,64
Phoenix AZ,63
Eugene OR,63
Sacramento-Stockton-Modesto CA,63
Yakima-Pasco-Richland-Kennewick WA,62
Tallahassee FL-Thomasville GA,62
Harlingen-Weslaco-Brownsville-McAllen TX,62
Macon GA,61
Tucson (Sierra Vista) AZ,59
Raleigh-Durham (Fayetteville) NC,58
Greenville-New Bern-Washington NC,58
Albuquerque-Santa Fe NM,58
Omaha NE,58
Spokane WA,57
Fargo-Valley City ND,57
Columbia SC,57
Portland-Auburn ME,57
Greensboro-High Point-Winston Salem NC,57
Toledo OH,56
Lansing MI,55
Wichita-Hutchinson KS,55
Louisville KY,55
Seattle-Tacoma WA,54
West Palm Beach-Ft. Pierce FL,54
Oklahoma City OK,54
Providence RI-New Bedford MA,54
Boise ID,54
Birmingham AL,54
Ft. Smith-Fayetteville-Springdale-Rogers AR,53
Springfield-Holyoke MA,53
Kansas City MO,53
Denver CO,52
Shreveport LA,52
Charlotte NC,52
Dallas-Ft. Worth TX,51
Little Rock-Pine Bluff AR,51
Baton Rouge LA,51
South Bend-Elkhart IN,51
Grand Rapids-Kalamazoo-Battle Creek MI,51
New York NY,51
Milwaukee WI,51
San Francisco-Oakland-San Jose CA,51
Detroit MI,51
Sioux Falls(Mitchell) SD,51
Boston MA-Manchester NH,51
Des Moines-Ames IA,51
Flint-Saginaw-Bay City MI,51
Memphis TN,50
Washington DC (Hagerstown MD),50
Burlington VT-Plattsburgh NY,50
Colorado Springs-Pueblo CO,50
Honolulu HI,50
Dayton OH,50
St. Louis MO,49
Wilkes Barre-Scranton PA,49
Buffalo NY,49
Miami-Ft. Lauderdale FL,49
Norfolk-Portsmouth-Newport News VA,49
San Antonio TX,48
Jackson MS,48
Savannah GA,48
Cleveland-Akron (Canton) OH,48
Charleston-Huntington WV,48
New Orleans LA,48
La Crosse-Eau Claire WI,48
Indianapolis IN,48
Lexington KY,48
Houston TX,48
Atlanta GA,48
Lincoln & Hastings-Kearney NE,48
Waco-Temple-Bryan TX,47
Pittsburgh PA,47
Orlando-Daytona Beach-Melbourne FL,46
Philadelphia PA,46
Salt Lake City UT,46
Green Bay-Appleton WI,46
Ft. Myers-Naples FL,46
Minneapolis-St. Paul MN,45
Nashville TN,45
Portland OR,45
Richmond-Petersburg VA,45
Hartford & New Haven CT,45
Austin TX,44
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,44
Columbus OH,44
Huntsville-Decatur (Florence) AL,44
Jacksonville FL,44
Baltimore MD,44
Tampa-St. Petersburg (Sarasota) FL,43
Greenville-Spartanburg SC-Asheville NC-Anderson SC,43
Madison WI,42
Chicago IL,42
Johnstown-Altoona PA,42
Syracuse NY,42
Tulsa OK,42
Rochester NY,42
Roanoke-Lynchburg VA,42
Champaign & Springfield-Decatur IL,41
Albany-Schenectady-Troy NY,41
Cincinnati OH,41
Harrisburg-Lancaster-Lebanon-York PA,40
Mobile AL-Pensacola (Ft. Walton Beach) FL,40
Springfield MO,38
Knoxville TN,32
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for snoop dogg
Town/City,snoop dogg
Los Angeles,100
Irvine,89
San Diego,79
Las Vegas,71
Phoenix,70
Tucson,66
Sacramento,64
Denver,60
Richardson,59
Portland,59
San Francisco,58
New York,57
St. Louis,57
Seattle,56
Reston,55



Top searches for snoop dogg
wiz khalifa,100
gin and juice,60
snoop dogg weed,55
dr dre,50
snoop dog,45
50 cent,35
smoke weed everyday,30
snoop dogg beautiful,30
tupac,30
next episode,25
akon,25
ice cube,25
snoop dogg west,25
vato snoop dogg,25
vato,25
sweat snoop dogg,25
sweat,25
2pac,25
snoop dogg live,20
pharrell,20
nate dogg,20
snoop dogg boom,20
snoop dogg freestyle,20
ludacris,15
wet snoop dogg,15
snoop dogg 2011,15
snoop dogg show,15
the next episode,15
snoop dogg 2010,15
dr. dre,10
i wanna rock,10
snoop dogg interview,10
pronto snoop dogg,10
still dre,10
eazy e,10
kush snoop dogg,10
snoop dogg smoking,10



Rising searches for snoop dogg
smoke weed everyday,Breakout
wiz khalifa,Breakout
snoop dogg weed,+600%
gin and juice,+500%
next episode,+250%
snoop dogg beautiful,+170%
dr dre,+150%
tupac,+100%
snoop dogg west,+40%



