YouTube Search interest: madonna
United States; Jan 2008 - Jul 2015

Interest over time
Week,madonna
2010-03-14 - 2010-03-20,12
2010-03-21 - 2010-03-27,13
2010-03-28 - 2010-04-03,13
2010-04-04 - 2010-04-10,13
2010-04-11 - 2010-04-17,19
2010-04-18 - 2010-04-24,26
2010-04-25 - 2010-05-01,19
2010-05-02 - 2010-05-08,17
2010-05-09 - 2010-05-15,14
2010-05-16 - 2010-05-22,13
2010-05-23 - 2010-05-29,13
2010-05-30 - 2010-06-05,12
2010-06-06 - 2010-06-12,13
2010-06-13 - 2010-06-19,13
2010-06-20 - 2010-06-26,12
2010-06-27 - 2010-07-03,11
2010-07-04 - 2010-07-10,12
2010-07-11 - 2010-07-17,11
2010-07-18 - 2010-07-24,11
2010-07-25 - 2010-07-31,11
2010-08-01 - 2010-08-07,10
2010-08-08 - 2010-08-14,11
2010-08-15 - 2010-08-21,11
2010-08-22 - 2010-08-28,11
2010-08-29 - 2010-09-04,11
2010-09-05 - 2010-09-11,12
2010-09-12 - 2010-09-18,12
2010-09-19 - 2010-09-25,12
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,11
2010-10-10 - 2010-10-16,11
2010-10-17 - 2010-10-23,11
2010-10-24 - 2010-10-30,10
2010-10-31 - 2010-11-06,10
2010-11-07 - 2010-11-13,10
2010-11-14 - 2010-11-20,11
2010-11-21 - 2010-11-27,10
2010-11-28 - 2010-12-04,10
2010-12-05 - 2010-12-11,10
2010-12-12 - 2010-12-18,11
2010-12-19 - 2010-12-25,10
2010-12-26 - 2011-01-01,9
2011-01-02 - 2011-01-08,9
2011-01-09 - 2011-01-15,10
2011-01-16 - 2011-01-22,9
2011-01-23 - 2011-01-29,9
2011-01-30 - 2011-02-05,10
2011-02-06 - 2011-02-12,12
2011-02-13 - 2011-02-19,17
2011-02-20 - 2011-02-26,12
2011-02-27 - 2011-03-05,11
2011-03-06 - 2011-03-12,10
2011-03-13 - 2011-03-19,10
2011-03-20 - 2011-03-26,9
2011-03-27 - 2011-04-02,10
2011-04-03 - 2011-04-09,10
2011-04-10 - 2011-04-16,10
2011-04-17 - 2011-04-23,13
2011-04-24 - 2011-04-30,10
2011-05-01 - 2011-05-07,10
2011-05-08 - 2011-05-14,9
2011-05-15 - 2011-05-21,10
2011-05-22 - 2011-05-28,10
2011-05-29 - 2011-06-04,9
2011-06-05 - 2011-06-11,9
2011-06-12 - 2011-06-18,9
2011-06-19 - 2011-06-25,9
2011-06-26 - 2011-07-02,9
2011-07-03 - 2011-07-09,9
2011-07-10 - 2011-07-16,9
2011-07-17 - 2011-07-23,8
2011-07-24 - 2011-07-30,8
2011-07-31 - 2011-08-06,8
2011-08-07 - 2011-08-13,8
2011-08-14 - 2011-08-20,9
2011-08-21 - 2011-08-27,9
2011-08-28 - 2011-09-03,9
2011-09-04 - 2011-09-10,9
2011-09-11 - 2011-09-17,9
2011-09-18 - 2011-09-24,8
2011-09-25 - 2011-10-01,8
2011-10-02 - 2011-10-08,8
2011-10-09 - 2011-10-15,8
2011-10-16 - 2011-10-22,7
2011-10-23 - 2011-10-29,8
2011-10-30 - 2011-11-05,7
2011-11-06 - 2011-11-12,9
2011-11-13 - 2011-11-19,8
2011-11-20 - 2011-11-26,8
2011-11-27 - 2011-12-03,8
2011-12-04 - 2011-12-10,8
2011-12-11 - 2011-12-17,8
2011-12-18 - 2011-12-24,7
2011-12-25 - 2011-12-31,7
2012-01-01 - 2012-01-07,8
2012-01-08 - 2012-01-14,11
2012-01-15 - 2012-01-21,13
2012-01-22 - 2012-01-28,9
2012-01-29 - 2012-02-04,21
2012-02-05 - 2012-02-11,100
2012-02-12 - 2012-02-18,28
2012-02-19 - 2012-02-25,20
2012-02-26 - 2012-03-03,19
2012-03-04 - 2012-03-10,16
2012-03-11 - 2012-03-17,15
2012-03-18 - 2012-03-24,18
2012-03-25 - 2012-03-31,22
2012-04-01 - 2012-04-07,18
2012-04-08 - 2012-04-14,15
2012-04-15 - 2012-04-21,12
2012-04-22 - 2012-04-28,12
2012-04-29 - 2012-05-05,11
2012-05-06 - 2012-05-12,10
2012-05-13 - 2012-05-19,10
2012-05-20 - 2012-05-26,10
2012-05-27 - 2012-06-02,13
2012-06-03 - 2012-06-09,11
2012-06-10 - 2012-06-16,16
2012-06-17 - 2012-06-23,10
2012-06-24 - 2012-06-30,8
2012-07-01 - 2012-07-07,9
2012-07-08 - 2012-07-14,8
2012-07-15 - 2012-07-21,10
2012-07-22 - 2012-07-28,10
2012-07-29 - 2012-08-04,9
2012-08-05 - 2012-08-11,8
2012-08-12 - 2012-08-18,9
2012-08-19 - 2012-08-25,9
2012-08-26 - 2012-09-01,9
2012-09-02 - 2012-09-08,9
2012-09-09 - 2012-09-15,8
2012-09-16 - 2012-09-22,8
2012-09-23 - 2012-09-29,9
2012-09-30 - 2012-10-06,8
2012-10-07 - 2012-10-13,8
2012-10-14 - 2012-10-20,8
2012-10-21 - 2012-10-27,9
2012-10-28 - 2012-11-03,9
2012-11-04 - 2012-11-10,9
2012-11-11 - 2012-11-17,10
2012-11-18 - 2012-11-24,9
2012-11-25 - 2012-12-01,8
2012-12-02 - 2012-12-08,8
2012-12-09 - 2012-12-15,7
2012-12-16 - 2012-12-22,7
2012-12-23 - 2012-12-29,7
2012-12-30 - 2013-01-05,7
2013-01-06 - 2013-01-12,7
2013-01-13 - 2013-01-19,7
2013-01-20 - 2013-01-26,7
2013-01-27 - 2013-02-02,7
2013-02-03 - 2013-02-09,10
2013-02-10 - 2013-02-16,7
2013-02-17 - 2013-02-23,7
2013-02-24 - 2013-03-02,7
2013-03-03 - 2013-03-09,7
2013-03-10 - 2013-03-16,6
2013-03-17 - 2013-03-23,7
2013-03-24 - 2013-03-30,7
2013-03-31 - 2013-04-06,7
2013-04-07 - 2013-04-13,6
2013-04-14 - 2013-04-20,6
2013-04-21 - 2013-04-27,7
2013-04-28 - 2013-05-04,7
2013-05-05 - 2013-05-11,7
2013-05-12 - 2013-05-18,7
2013-05-19 - 2013-05-25,8
2013-05-26 - 2013-06-01,7
2013-06-02 - 2013-06-08,6
2013-06-09 - 2013-06-15,6
2013-06-16 - 2013-06-22,7
2013-06-23 - 2013-06-29,7
2013-06-30 - 2013-07-06,6
2013-07-07 - 2013-07-13,6
2013-07-14 - 2013-07-20,7
2013-07-21 - 2013-07-27,6
2013-07-28 - 2013-08-03,6
2013-08-04 - 2013-08-10,6
2013-08-11 - 2013-08-17,7
2013-08-18 - 2013-08-24,7
2013-08-25 - 2013-08-31,8
2013-09-01 - 2013-09-07,6
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,7
2013-09-22 - 2013-09-28,6
2013-09-29 - 2013-10-05,6
2013-10-06 - 2013-10-12,6
2013-10-13 - 2013-10-19,6
2013-10-20 - 2013-10-26,6
2013-10-27 - 2013-11-02,6
2013-11-03 - 2013-11-09,6
2013-11-10 - 2013-11-16,6
2013-11-17 - 2013-11-23,6
2013-11-24 - 2013-11-30,6
2013-12-01 - 2013-12-07,6
2013-12-08 - 2013-12-14,6
2013-12-15 - 2013-12-21,6
2013-12-22 - 2013-12-28,5
2013-12-29 - 2014-01-04,6
2014-01-05 - 2014-01-11,6
2014-01-12 - 2014-01-18,6
2014-01-19 - 2014-01-25,6
2014-01-26 - 2014-02-01,13
2014-02-02 - 2014-02-08,8
2014-02-09 - 2014-02-15,6
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,6
2014-03-02 - 2014-03-08,6
2014-03-09 - 2014-03-15,6
2014-03-16 - 2014-03-22,6
2014-03-23 - 2014-03-29,6
2014-03-30 - 2014-04-05,6
2014-04-06 - 2014-04-12,6
2014-04-13 - 2014-04-19,6
2014-04-20 - 2014-04-26,6
2014-04-27 - 2014-05-03,5
2014-05-04 - 2014-05-10,5
2014-05-11 - 2014-05-17,5
2014-05-18 - 2014-05-24,5
2014-05-25 - 2014-05-31,5
2014-06-01 - 2014-06-07,6
2014-06-08 - 2014-06-14,5
2014-06-15 - 2014-06-21,6
2014-06-22 - 2014-06-28,6
2014-06-29 - 2014-07-05,5
2014-07-06 - 2014-07-12,5
2014-07-13 - 2014-07-19,5
2014-07-20 - 2014-07-26,5
2014-07-27 - 2014-08-02,6
2014-08-03 - 2014-08-09,5
2014-08-10 - 2014-08-16,5
2014-08-17 - 2014-08-23,6
2014-08-24 - 2014-08-30,6
2014-08-31 - 2014-09-06,5
2014-09-07 - 2014-09-13,4
2014-09-14 - 2014-09-20,5
2014-09-21 - 2014-09-27,5
2014-09-28 - 2014-10-04,5
2014-10-05 - 2014-10-11,5
2014-10-12 - 2014-10-18,5
2014-10-19 - 2014-10-25,6
2014-10-26 - 2014-11-01,5
2014-11-02 - 2014-11-08,5
2014-11-09 - 2014-11-15,5
2014-11-16 - 2014-11-22,5
2014-11-23 - 2014-11-29,5
2014-11-30 - 2014-12-06,6
2014-12-07 - 2014-12-13,4
2014-12-14 - 2014-12-20,5
2014-12-21 - 2014-12-27,8
2014-12-28 - 2015-01-03,7
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,6
2015-01-18 - 2015-01-24,6
2015-01-25 - 2015-01-31,5
2015-02-01 - 2015-02-07,8
2015-02-08 - 2015-02-14,16
2015-02-15 - 2015-02-21,9
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,10
2015-03-08 - 2015-03-14,11
2015-03-15 - 2015-03-21,12
2015-03-22 - 2015-03-28,9
2015-03-29 - 2015-04-04,11
2015-04-05 - 2015-04-11,11
2015-04-12 - 2015-04-18,23
2015-04-19 - 2015-04-25,9
2015-04-26 - 2015-05-02,7
2015-05-03 - 2015-05-09,8
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,7
2015-05-24 - 2015-05-30,7
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,14
2015-06-21 - 2015-06-27,11
2015-06-28 - 2015-07-04,9
2015-07-05 - 2015-07-11,8
2015-07-12 - 2015-07-18,8
2015-07-19 - 2015-07-25,7
2015-07-26 - 2015-08-01,8


Top sub-regions for madonna
Sub-region,madonna
New York,100
Virginia,99
California,95
District of Columbia,89
Massachusetts,76
Florida,75
Illinois,73
New Jersey,73
Texas,71
Nevada,70
Pennsylvania,69
New Mexico,69
Arizona,68
Connecticut,66
Rhode Island,66
Colorado,63
Washington,62
Maryland,61
Ohio,60
Maine,60
Missouri,59
New Hampshire,59
Michigan,59
Hawaii,58
Georgia,58
Kentucky,58
Wisconsin,58
Vermont,56
Louisiana,56
Oregon,56
Indiana,56
Minnesota,54
Tennessee,54
Utah,54
West Virginia,53
North Carolina,53
Montana,53
Arkansas,52
Oklahoma,52
Delaware,52
South Carolina,51
Wyoming,51
Nebraska,51
Kansas,51
Idaho,50
South Dakota,49
Alaska,49
Iowa,49
Mississippi,47
Alabama,47
North Dakota,45


Top metros for madonna
Metro,madonna
San Francisco-Oakland-San Jose CA,100
Washington DC (Hagerstown MD),96
New York NY,89
Miami-Ft. Lauderdale FL,87
El Paso TX,79
Los Angeles CA,78
Las Vegas NV,73
Albuquerque-Santa Fe NM,72
Reno NV,70
Boston MA-Manchester NH,70
San Antonio TX,69
Chicago IL,69
Pittsburgh PA,69
Tucson (Sierra Vista) AZ,68
Harlingen-Weslaco-Brownsville-McAllen TX,67
Philadelphia PA,66
Orlando-Daytona Beach-Melbourne FL,65
San Diego CA,65
Madison WI,65
Seattle-Tacoma WA,65
Tampa-St. Petersburg (Sarasota) FL,64
Houston TX,64
Syracuse NY,63
Austin TX,63
Ft. Myers-Naples FL,63
Hartford & New Haven CT,63
Johnstown-Altoona PA,62
New Orleans LA,62
Albany-Schenectady-Troy NY,61
Buffalo NY,61
Detroit MI,60
Atlanta GA,60
Phoenix AZ,59
Dallas-Ft. Worth TX,59
Denver CO,59
Santa Barbara-Santa Maria-San Luis Obispo CA,58
Wilkes Barre-Scranton PA,58
Columbus OH,58
Louisville KY,58
Milwaukee WI,58
Springfield-Holyoke MA,58
Toledo OH,57
Fresno-Visalia CA,57
Lexington KY,57
Cleveland-Akron (Canton) OH,56
Portland OR,55
Colorado Springs-Pueblo CO,55
Omaha NE,54
Portland-Auburn ME,54
Rochester NY,54
Baltimore MD,54
Boise ID,54
St. Louis MO,54
West Palm Beach-Ft. Pierce FL,54
Champaign & Springfield-Decatur IL,54
Honolulu HI,54
Sacramento-Stockton-Modesto CA,54
Cincinnati OH,54
Jacksonville FL,54
Burlington VT-Plattsburgh NY,53
Oklahoma City OK,53
Richmond-Petersburg VA,53
Harrisburg-Lancaster-Lebanon-York PA,53
Salt Lake City UT,52
Norfolk-Portsmouth-Newport News VA,52
Little Rock-Pine Bluff AR,52
Mobile AL-Pensacola (Ft. Walton Beach) FL,52
Providence RI-New Bedford MA,52
Flint-Saginaw-Bay City MI,51
Indianapolis IN,51
Knoxville TN,50
Roanoke-Lynchburg VA,50
Nashville TN,50
Birmingham AL,49
Des Moines-Ames IA,49
Dayton OH,49
Kansas City MO,49
Charlotte NC,49
Minneapolis-St. Paul MN,48
Green Bay-Appleton WI,47
Raleigh-Durham (Fayetteville) NC,47
Greenville-Spartanburg SC-Asheville NC-Anderson SC,47
Wichita-Hutchinson KS,47
Spokane WA,46
Tulsa OK,44
Greensboro-High Point-Winston Salem NC,44
Memphis TN,43
Waco-Temple-Bryan TX,43
Grand Rapids-Kalamazoo-Battle Creek MI,43
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Chico-Redding CA,0


Top cities for madonna
Town/City,madonna
Milpitas,100
Sterling,95
New York,70
Miami,62
Los Angeles,59
San Francisco,56
Chicago,54
Irvine,54
Washington,52
San Diego,46
Boston,46
Richardson,46
Newark,45
Philadelphia,44
Orlando,44



Top searches for madonna
music madonna,100
lady madonna,85
like a prayer,75
madonna britney,70
madonna live,70
madonna justin,70
lady gaga madonna,65
madonna 4 minutes,60
4 minutes,60
madonna vogue,55
vogue,55
like a virgin,55
madonna justin timberlake,55
justin timberlake,50
britney spears,50
britney spears madonna,50
madonna remix,40
isla bonita madonna,40
madonna hung up,35
la isla bonita,35
hung up,35
madonna songs,30
express yourself madonna,30
express yourself,30
madonna celebration,30
celebration,30
madonna super bowl,30
frozen madonna,30
madonna 2012,25
glee madonna,25
holiday madonna,25
madona,20
crazy for you,20
madonna interview,15
rain madonna,15
madonna secret,15
take a bow,15
ray of light,15
madonna revolver,15
madonna and justin,15
madonna borderline,15
madonna halftime show,15
drake madonna,15
material girl- madonna,15



Rising searches for madonna
lady gaga madonna,Breakout
madonna 4 minutes,+1,400%
4 minutes,+1,250%
justin timberlake,+450%
lady madonna,+450%
madonna justin,+400%
madonna justin timberlake,+400%
like a prayer,+190%
madonna vogue,+120%
vogue,+110%



