YouTube Search interest: fergie
United States; Jan 2008 - Jul 2015

Interest over time
Week,fergie
2014-07-06 - 2014-07-12,7
2014-07-13 - 2014-07-19,8
2014-07-20 - 2014-07-26,8
2014-07-27 - 2014-08-02,7
2014-08-03 - 2014-08-09,8
2014-08-10 - 2014-08-16,9
2014-08-17 - 2014-08-23,8
2014-08-24 - 2014-08-30,8
2014-08-31 - 2014-09-06,8
2014-09-07 - 2014-09-13,9
2014-09-14 - 2014-09-20,8
2014-09-21 - 2014-09-27,9
2014-09-28 - 2014-10-04,15
2014-10-05 - 2014-10-11,16
2014-10-12 - 2014-10-18,18
2014-10-19 - 2014-10-25,25
2014-10-26 - 2014-11-01,26
2014-11-02 - 2014-11-08,31
2014-11-09 - 2014-11-15,39
2014-11-16 - 2014-11-22,38
2014-11-23 - 2014-11-29,62
2014-11-30 - 2014-12-06,45
2014-12-07 - 2014-12-13,44
2014-12-14 - 2014-12-20,33
2014-12-21 - 2014-12-27,27
2014-12-28 - 2015-01-03,32
2015-01-04 - 2015-01-10,31
2015-01-11 - 2015-01-17,28
2015-01-18 - 2015-01-24,26
2015-01-25 - 2015-01-31,23
2015-02-01 - 2015-02-07,22
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,16
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,18
2015-03-08 - 2015-03-14,16
2015-03-15 - 2015-03-21,16
2015-03-22 - 2015-03-28,15
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,12
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,14
2015-04-26 - 2015-05-02,12
2015-05-03 - 2015-05-09,13
2015-05-10 - 2015-05-16,11
2015-05-17 - 2015-05-23,12
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,8
2015-06-14 - 2015-06-20,9
2015-06-21 - 2015-06-27,10
2015-06-28 - 2015-07-04,10
2015-07-05 - 2015-07-11,10
2015-07-12 - 2015-07-18,8
2015-07-19 - 2015-07-25,9
2015-07-26 - 2015-08-01,10


Top sub-regions for fergie
Sub-region,fergie
Virginia,100
South Dakota,90
California,86
Wyoming,85
North Dakota,84
Texas,81
Arizona,81
District of Columbia,81
Missouri,81
Mississippi,80
Ohio,76
Colorado,75
Oklahoma,74
Kentucky,74
Georgia,73
New Mexico,73
Pennsylvania,73
North Carolina,72
Nevada,72
Utah,72
Nebraska,72
Louisiana,72
Arkansas,71
Montana,71
West Virginia,71
Tennessee,70
Idaho,70
Florida,70
Kansas,70
South Carolina,70
Illinois,69
Michigan,69
Wisconsin,69
New Jersey,69
New York,68
Alabama,67
Minnesota,67
Indiana,66
Rhode Island,65
Maine,65
Alaska,65
Hawaii,65
Connecticut,64
Massachusetts,63
Washington,62
Maryland,62
Iowa,62
Vermont,62
New Hampshire,61
Oregon,55
Delaware,55


Top metros for fergie
Metro,fergie
San Francisco-Oakland-San Jose CA,100
Washington DC (Hagerstown MD),99
Fresno-Visalia CA,86
Kansas City MO,82
Louisville KY,81
Los Angeles CA,81
Dallas-Ft. Worth TX,80
Greensboro-High Point-Winston Salem NC,80
St. Louis MO,80
Birmingham AL,79
Phoenix AZ,79
Salt Lake City UT,76
Oklahoma City OK,76
Houston TX,75
Columbus OH,74
Philadelphia PA,74
Cleveland-Akron (Canton) OH,73
Honolulu HI,73
Chicago IL,73
Wilkes Barre-Scranton PA,73
Detroit MI,73
Denver CO,72
Atlanta GA,71
Orlando-Daytona Beach-Melbourne FL,70
San Antonio TX,70
Greenville-Spartanburg SC-Asheville NC-Anderson SC,69
Pittsburgh PA,68
New York NY,68
Tampa-St. Petersburg (Sarasota) FL,67
New Orleans LA,67
Albany-Schenectady-Troy NY,67
Albuquerque-Santa Fe NM,66
Charlotte NC,66
San Diego CA,66
Minneapolis-St. Paul MN,66
Las Vegas NV,66
Raleigh-Durham (Fayetteville) NC,66
Cincinnati OH,65
Boston MA-Manchester NH,65
Sacramento-Stockton-Modesto CA,65
West Palm Beach-Ft. Pierce FL,65
Hartford & New Haven CT,64
Seattle-Tacoma WA,63
Miami-Ft. Lauderdale FL,62
Baltimore MD,62
Providence RI-New Bedford MA,61
Milwaukee WI,61
Indianapolis IN,61
Norfolk-Portsmouth-Newport News VA,60
Nashville TN,53
Austin TX,51
Portland OR,47
Portland-Auburn ME,0
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Buffalo NY,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Rochester NY,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Richmond-Petersburg VA,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Jacksonville FL,0
Grand Rapids-Kalamazoo-Battle Creek MI,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisburg-Lancaster-Lebanon-York PA,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for fergie
Town/City,fergie
Milpitas,100
Sterling,94
Richardson,75
Irvine,68
Reston,60
Phoenix,59
St. Louis,58
Ashburn,58
Atlanta,56
Los Angeles,56
Herndon,55
Pleasanton,53
Tampa,53
Newark,52
Orlando,50



Top searches for fergie
glamorous,100
fergie glamorous,100
fergie lyrics,95
fergie london,70
london bridge fergie,65
london bridge,65
fergalicious fergie,50
fergalicious,50
black eyed peas,50
fergie clumsy,45
clumsy,45
la fergie,35
david guetta,35
fergie david guetta,35
nelly fergie,25
la love,25
fergie la love,25
fergie songs,20
glamorous fergie lyrics,20
glamorous lyrics,20
fergie live,20
slash fergie,20
my humps,20
slash,20
my humps fergie,20
fergie fergalicious lyrics,15
fergalicious lyrics,15
fergie big girls,15
fergie party people,10
fergie clumsy lyrics,10
gwen stefani,10
fergie finally,10



Rising searches for fergie
david guetta,Breakout
fergie david guetta,Breakout
la fergie,+700%
fergie lyrics,+600%
london bridge,+400%
london bridge fergie,+400%
fergie glamorous,+350%
fergie london,+350%
glamorous,+350%
black eyed peas,+300%



