YouTube Search interest: linkin park
United States; Jan 2008 - Jul 2015

Interest over time
Week,linkin park
2014-05-25 - 2014-05-31,22
2014-06-01 - 2014-06-07,27
2014-06-08 - 2014-06-14,29
2014-06-15 - 2014-06-21,32
2014-06-22 - 2014-06-28,28
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,24
2014-07-13 - 2014-07-19,24
2014-07-20 - 2014-07-26,22
2014-07-27 - 2014-08-02,24
2014-08-03 - 2014-08-09,23
2014-08-10 - 2014-08-16,25
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,23
2014-08-31 - 2014-09-06,28
2014-09-07 - 2014-09-13,23
2014-09-14 - 2014-09-20,25
2014-09-21 - 2014-09-27,23
2014-09-28 - 2014-10-04,22
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,22
2014-10-19 - 2014-10-25,22
2014-10-26 - 2014-11-01,21
2014-11-02 - 2014-11-08,21
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,20
2014-11-23 - 2014-11-29,19
2014-11-30 - 2014-12-06,20
2014-12-07 - 2014-12-13,21
2014-12-14 - 2014-12-20,22
2014-12-21 - 2014-12-27,19
2014-12-28 - 2015-01-03,18
2015-01-04 - 2015-01-10,19
2015-01-11 - 2015-01-17,19
2015-01-18 - 2015-01-24,21
2015-01-25 - 2015-01-31,18
2015-02-01 - 2015-02-07,18
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,17
2015-02-22 - 2015-02-28,17
2015-03-01 - 2015-03-07,17
2015-03-08 - 2015-03-14,17
2015-03-15 - 2015-03-21,18
2015-03-22 - 2015-03-28,20
2015-03-29 - 2015-04-04,17
2015-04-05 - 2015-04-11,18
2015-04-12 - 2015-04-18,18
2015-04-19 - 2015-04-25,18
2015-04-26 - 2015-05-02,19
2015-05-03 - 2015-05-09,19
2015-05-10 - 2015-05-16,18
2015-05-17 - 2015-05-23,18
2015-05-24 - 2015-05-30,17
2015-05-31 - 2015-06-06,17
2015-06-07 - 2015-06-13,16
2015-06-14 - 2015-06-20,17
2015-06-21 - 2015-06-27,17
2015-06-28 - 2015-07-04,18
2015-07-05 - 2015-07-11,16
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,16
2015-07-26 - 2015-08-01,14


Top sub-regions for linkin park
Sub-region,linkin park
South Dakota,100
Wyoming,91
North Dakota,91
Virginia,90
California,86
Utah,85
Texas,85
Nebraska,84
Ohio,84
Missouri,83
Arizona,83
New Mexico,81
Pennsylvania,80
Oklahoma,80
Iowa,80
Wisconsin,80
Montana,79
Kansas,79
Colorado,79
Nevada,79
Florida,79
Indiana,78
Idaho,78
Kentucky,77
Maine,77
Michigan,76
West Virginia,73
New Hampshire,73
Illinois,72
New York,72
New Jersey,71
North Carolina,70
Arkansas,70
Minnesota,69
Connecticut,69
Alaska,68
Tennessee,67
Washington,66
Massachusetts,66
Georgia,66
District of Columbia,65
Delaware,64
Rhode Island,63
South Carolina,63
Mississippi,62
Louisiana,61
Alabama,60
Maryland,60
Vermont,59
Hawaii,57
Oregon,57


Top metros for linkin park
Metro,linkin park
Rapid City SD,100
Sioux City IA,88
Corpus Christi TX,80
Bakersfield CA,80
Washington DC (Hagerstown MD),80
Sioux Falls(Mitchell) SD,79
Colorado Springs-Pueblo CO,78
Idaho Falls-Pocatello ID,78
Wilkes Barre-Scranton PA,78
Wichita-Hutchinson KS,78
Salt Lake City UT,77
Lincoln & Hastings-Kearney NE,76
Johnstown-Altoona PA,76
Toledo OH,75
Phoenix AZ,74
El Paso TX,74
Green Bay-Appleton WI,74
Omaha NE,74
Flint-Saginaw-Bay City MI,74
Minot-Bismarck-Dickinson(Williston) ND,73
Traverse City-Cadillac MI,73
Dallas-Ft. Worth TX,72
Erie PA,72
Binghamton NY,71
Albuquerque-Santa Fe NM,71
Tucson (Sierra Vista) AZ,71
Houston TX,70
Harrisburg-Lancaster-Lebanon-York PA,70
Boise ID,70
Ft. Wayne IN,70
San Francisco-Oakland-San Jose CA,70
Fresno-Visalia CA,70
Duluth MN-Superior WI,70
Des Moines-Ames IA,70
Lubbock TX,69
Amarillo TX,69
Palm Springs CA,69
Louisville KY,69
Dayton OH,68
Oklahoma City OK,68
San Antonio TX,68
Davenport IA-Rock Island-Moline IL,67
La Crosse-Eau Claire WI,67
Los Angeles CA,67
Orlando-Daytona Beach-Melbourne FL,67
Youngstown OH,67
Tri-Cities TN-VA,67
Kansas City MO,67
Fargo-Valley City ND,67
St. Louis MO,67
Springfield MO,66
Tampa-St. Petersburg (Sarasota) FL,66
Cleveland-Akron (Canton) OH,66
Rochester NY,66
Las Vegas NV,66
Philadelphia PA,66
Grand Rapids-Kalamazoo-Battle Creek MI,66
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,66
Greenville-Spartanburg SC-Asheville NC-Anderson SC,65
Portland-Auburn ME,65
Denver CO,65
Tyler-Longview(Lufkin & Nacogdoches) TX,64
Pittsburgh PA,64
Syracuse NY,64
Waco-Temple-Bryan TX,64
Harlingen-Weslaco-Brownsville-McAllen TX,64
Peoria-Bloomington IL,64
Charleston-Huntington WV,64
South Bend-Elkhart IN,63
Eugene OR,63
Hartford & New Haven CT,63
Miami-Ft. Lauderdale FL,63
Reno NV,63
Topeka KS,63
Ft. Smith-Fayetteville-Springdale-Rogers AR,62
Wausau-Rhinelander WI,62
Rochester MN-Mason City IA-Austin MN,62
Tulsa OK,62
Ft. Myers-Naples FL,62
Champaign & Springfield-Decatur IL,62
Milwaukee WI,62
Raleigh-Durham (Fayetteville) NC,62
Albany-Schenectady-Troy NY,61
Lansing MI,61
Columbus OH,61
Sacramento-Stockton-Modesto CA,61
Chattanooga TN,61
Charlottesville VA,61
New York NY,61
Buffalo NY,60
Charlotte NC,60
Yakima-Pasco-Richland-Kennewick WA,60
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,60
Chicago IL,60
Seattle-Tacoma WA,60
Cincinnati OH,59
Mobile AL-Pensacola (Ft. Walton Beach) FL,59
Madison WI,59
Columbia-Jefferson City MO,59
Spokane WA,59
Jacksonville FL,58
Anchorage AK,58
Indianapolis IN,58
Providence RI-New Bedford MA,58
Detroit MI,57
West Palm Beach-Ft. Pierce FL,57
Minneapolis-St. Paul MN,57
Greensboro-High Point-Winston Salem NC,57
Burlington VT-Plattsburgh NY,57
Little Rock-Pine Bluff AR,57
Lexington KY,56
Norfolk-Portsmouth-Newport News VA,56
Huntsville-Decatur (Florence) AL,56
Evansville IN,56
San Diego CA,56
Boston MA-Manchester NH,56
Baltimore MD,56
Nashville TN,56
Greenville-New Bern-Washington NC,55
Knoxville TN,55
Shreveport LA,55
Jackson MS,54
Macon GA,54
Gainesville FL,54
Springfield-Holyoke MA,53
Savannah GA,53
Lafayette LA,53
Florence-Myrtle Beach SC,53
New Orleans LA,53
Chico-Redding CA,52
Atlanta GA,52
Santa Barbara-Santa Maria-San Luis Obispo CA,52
Charleston SC,51
Augusta GA,51
Baton Rouge LA,50
Monterey-Salinas CA,49
Portland OR,49
Birmingham AL,48
Columbia SC,48
Richmond-Petersburg VA,48
Honolulu HI,48
Roanoke-Lynchburg VA,47
Austin TX,47
Montgomery (Selma) AL,47
Tallahassee FL-Thomasville GA,46
Memphis TN,41
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Rockford IL,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Beaumont-Port Arthur TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Medford-Klamath Falls OR,0
Bend OR,0


Top cities for linkin park
Town/City,linkin park
Milpitas,100
Sterling,99
Richardson,78
Phoenix,69
Reston,69
Irvine,69
Las Vegas,68
Orlando,68
Los Angeles,68
St. Louis,67
San Antonio,66
Tampa,66
Miami,65
Houston,64
Dallas,61



Top searches for linkin park
linkin park lyrics,100
numb,85
numb linkin park,85
in the end,70
new linkin park,60
new divide,40
burn it down,30
linkin park live,30
eminem,25
linkin park catalyst,25
jay z,25
bleed it out,25
faint linkin park,25
faint,20
what ive done,20
crawling,20
linkin park remix,20
crawling linkin park,20
linkin park songs,20
linkin park iridescent,15
linkin park encore,15
breaking the habit,15
linkin park papercut,10
one step closer,10
linkin park album,10
nickelback,10
linkin park transformers,10
evanescence,10
three days grace,10
numb encore,10
transformers,10
linkin park cover,10
naruto linkin park,10
green day,10
somewhere i belong,10
disturbed,10
linkin park dubstep,10
linkin park echo,10
breaking benjamin,10
linkin park piano,5
skillet,5
paramore,5
papa roach,5
we made it,5
korn,5
slipknot,5
99 problems,5
limp bizkit,5
hollywood undead,5
headstrong,5



Rising searches for linkin park
burn it down,Breakout
linkin park catalyst,Breakout
new divide,Breakout
linkin park lyrics,+1,050%
new linkin park,+500%
numb,+160%
in the end,+150%
numb linkin park,+150%
linkin park songs,+120%
jay z,+100%



