id,name,country,city,state,extended_address,url,display_location,score,postal_code,address,timezone,slug,event_count,lat,lon
31784,Jockey Club del Peru,Peru,Lima,Lim,"Lima, Peru",https://seatgeek.com/venues/jockey-club-del-peru/tickets/,"Lima, Peru",0.0,45801,El Derby,America/Lima,jockey-club-del-peru,1,-12.0982,-76.9745
29937,Allianz Parque,Brazil,Sao Paulo,,"Sao Paulo, Brazil",https://seatgeek.com/venues/allianz-parque-1/tickets/,"Sao Paulo, Brazil",0.0,05005-000,,America/Sao_Paulo,allianz-parque-1,3,-23.5275,-46.6785
9869,Estadio Nacional,Chile,Santiago,RM,"Santiago, Chile",https://seatgeek.com/venues/estadio-nacional/tickets/,"Santiago, Chile",0.0,7780464,,America/Santiago,estadio-nacional,3,-33.4642,-70.6109
7870,Coliseo de Puerto Rico,Puerto Rico,San Juan,PR,"San Juan, Puerto Rico",https://seatgeek.com/venues/coliseo-de-puerto-rico/tickets/,"San Juan, Puerto Rico",0.54185,00918,500 Arterial B St.,America/Puerto_Rico,coliseo-de-puerto-rico,6,18.2016,-66.5813
2983,Rogers Arena,Canada,Vancouver,BC,"Vancouver, Canada",https://seatgeek.com/venues/rogers-arena/tickets/,"Vancouver, Canada",0.76409,V6B 6G1,800 Griffiths Way,America/Vancouver,rogers-arena,62,49.2782,-123.108
76071,Lex Nightclub,US,Reno,NV,"Reno, NV 89595",https://seatgeek.com/venues/lex-nightclub/tickets/,"Reno, NV",0.0,89595,2500 East Second Street,America/Los_Angeles,lex-nightclub,2,39.5235,-119.78
7336,Exchange LA,US,Los Angeles,CA,"Los Angeles, CA 90014",https://seatgeek.com/venues/exchange-la/tickets/,"Los Angeles, CA",0.47449,90014,618 South Spring Street,America/Los_Angeles,exchange-la,10,34.0453,-118.251
2176,Country Jam USA,US,Eau Claire,WI,"Eau Claire, WI 54701",https://seatgeek.com/venues/country-jam-usa/tickets/,"Eau Claire, WI",0.38654,54701,3633 Crescent Ave.,America/Chicago,country-jam-usa,4,44.7853,-91.5929
60477,Denny Sanford Premier Center,US,Sioux Falls,SD,"Sioux Falls, SD 57104",https://seatgeek.com/venues/denny-sanford-premier-center/tickets/,"Sioux Falls, SD",0.74597,57104,1201 North West Avenue,America/Chicago,denny-sanford-premier-center,10,43.5635,-96.747
1568,INTRUST Bank Arena,US,Wichita,KS,"Wichita, KS 67202",https://seatgeek.com/venues/intrust-bank-arena/tickets/,"Wichita, KS",0.68867,67202,500 East Waterman Street,America/Chicago,intrust-bank-arena,23,37.6824,-97.3321
3703,Fiddler's Green Amphitheatre,US,Englewood,CO,"Englewood, CO 80111",https://seatgeek.com/venues/fiddler-s-green-amphitheatre/tickets/,"Englewood, CO",0.7358,80111,6350 Greenwood Plaza Blvd,America/Denver,fiddler-s-green-amphitheatre,14,39.6008,-104.894
77,USANA Amphitheatre,US,West Valley City,UT,"West Valley City, UT 84118",https://seatgeek.com/venues/usana-amphitheatre/tickets/,"West Valley City, UT",0.64047,84118,5150 South 6055 West,America/Denver,usana-amphitheatre,17,40.6577,-112.035
188,EnergySolutions Arena,US,Salt Lake City,UT,"Salt Lake City, UT 84101",https://seatgeek.com/venues/energysolutions-arena/tickets/,"Salt Lake City, UT",0.70032,84101,301 West South Temple,America/Denver,energysolutions-arena,42,40.7693,-111.9
698,Enmax Centre,Canada,Lethbridge,AB,"Lethbridge, Canada",https://seatgeek.com/venues/enmax-centre/tickets/,"Lethbridge, Canada",0.59354,T1K 1N2,2510 Scenic Dr.,America/Edmonton,enmax-centre,2,49.6688,-112.805
62,PNC Music Pavilion,US,Charlotte,NC,"Charlotte, NC 28262",https://seatgeek.com/venues/pnc-music-pavilion/tickets/,"Charlotte, NC",0.75922,28262,707 Pavilion Blvd.,America/New_York,pnc-music-pavilion,14,35.3274,-80.7107
61,Walnut Creek Amphitheatre,US,Raleigh,NC,"Raleigh, NC 27610",https://seatgeek.com/venues/walnut-creek-amphitheatre/tickets/,"Raleigh, NC",0.73789,27610,3801 Rock Quarry Road,America/New_York,walnut-creek-amphitheatre,15,35.7456,-78.584
72,Farm Bureau Live at Virginia Beach,US,Virginia Beach,VA,"Virginia Beach, VA 23456",https://seatgeek.com/venues/farm-bureau-live-at-virginia-beach/tickets/,"Virginia Beach, VA",0.7224,23456,3550 Cellar Door Way,America/New_York,farm-bureau-live-at-virginia-beach,13,36.7687,-76.102
33,Gillette Stadium,US,Foxborough,MA,"Foxborough, MA 02035",https://seatgeek.com/venues/gillette-stadium/tickets/,"Foxborough, MA",0.89528,02035,1 Patriot Place,America/New_York,gillette-stadium,27,42.0906,-71.2674
46,BC Place Stadium,Canada,Vancouver,BC,"Vancouver, Canada",https://seatgeek.com/venues/bc-place-stadium/tickets/,"Vancouver, Canada",0.74344,V6B 4Y8,777 Pacific Boulevard,America/Vancouver,bc-place-stadium,21,49.2767,-123.112
163,Rexall Place,Canada,Edmonton,AB,"Edmonton, Canada",https://seatgeek.com/venues/rexall-place/tickets/,"Edmonton, Canada",0.74698,T5B 4M9,7424 118 Ave NW,America/Edmonton,rexall-place,65,53.5704,-113.456
339,CenturyLink Field,US,Seattle,WA,"Seattle, WA 98134",https://seatgeek.com/venues/centurylink-field/tickets/,"Seattle, WA",0.88084,98134,800 Occidental Avenue South,America/Los_Angeles,centurylink-field,19,47.5951,-122.332
58670,Levi's Stadium,US,Santa Clara,CA,"Santa Clara, CA 95054",https://seatgeek.com/venues/levi-s-stadium/tickets/,"Santa Clara, CA",0.97121,95054,4900 Centennial Blvd,America/Los_Angeles,levi-s-stadium,20,37.4032,-121.97
